A	[A]	ax
CRUNCH	[CRUNCH]	k r ah n ch
CRUNCHING	[CRUNCHING]	k r ah n ch ix ng
CRUNCHY	[CRUNCHY]	k r ah n ch iy
CRUSH	[CRUSH]	k r ah sh
CRUSHER	[CRUSHER]	k r ah sh er
CRUSHING	[CRUSHING]	k r ah sh ix ng
CRUST	[CRUST]	k r ah s t
CRUSTIES	[CRUSTIES]	k r ah s t iy z
CRUSTIMONY	[CRUSTIMONY]	k r ah s t ax m aa n iy
CRUSTY	[CRUSTY]	k r ah s t iy
CRY	[CRY]	k r ay
CRYING	[CRYING]	k r ay ix ng
CUATRO	[CUATRO]	k w aa t r ow
CUB	[CUB]	k ah b
CUBE	[CUBE]	k y uw b
CUBES	[CUBES]	k y uw b z
CUBS	[CUBS]	k ah b z
CUCKOO	[CUCKOO]	k ah k uw
CUCUMBER	[CUCUMBER]	k y uw k ax m b er
CUDDLE	[CUDDLE]	k ah dx ax l
CUDDLED	[CUDDLED]	k ah dx ax l d
CUFF	[CUFF]	k ah f
CUFFS	[CUFFS]	k ah f s
CUMULATIVE	[CUMULATIVE]	k y uw m y ax l ax dx ix v
CUP	[CUP]	k ah p
CUPCAKE	[CUPCAKE]	k ah p k ey k
CUPCAKES	[CUPCAKES]	k ah p k ey k s
CUPPYCAKES	[CUPPYCAKES]	k ah p iy k ey k s
CUPS	[CUPS]	k ah p s
CUP_A	[CUP_A]	k ah p
CURB	[CURB]	k er b
CURIOUS	[CURIOUS]	k y uh r iy ax s
CURL	[CURL]	k er l
CURLED	[CURLED]	k er l d
CURLING	[CURLING]	k er l ix ng
CURLS	[CURLS]	k er l z
CURLY	[CURLY]	k er l iy
CURSING	[CURSING]	k er s ix ng
CURTAIN	[CURTAIN]	k er t ax n
CURTAINS	[CURTAINS]	k er t ax n z
CURVE	[CURVE]	k er v
CURVY	[CURVY]	k er v iy
CUSHION	[CUSHION]	k uh sh ax n
CUSTOMARY	[CUSTOMARY]	k ah s t ax m eh r iy
CUSTOMER	[CUSTOMER]	k ah s t ax m er
CUSTOMERS	[CUSTOMERS]	k ah s t ax m er z
CUT	[CUT]	k ah t
CUTE	[CUTE]	k y uw t
CUTEST	[CUTEST]	k y uw dx ix s t
CUTS	[CUTS]	k ah t s
CUTTER	[CUTTER]	k ah dx er
CUTTING	[CUTTING]	k ah dx ix ng
CUTTING_A	[CUTTING_A]	k ah t iy ng
CVS	[CVS]	s iy v iy eh s
CYLINDER	[CYLINDER]	s ih l ax n d er
CYMBAL	[CYMBAL]	s ih m b ax l
CYRIL	[CYRIL]	s ih r ax l
D	[D]	d iy
D'AVIGNON	[D'AVIGNON]	d ae v ih n y ax
D'S	[D'S]	d iy z
D'YOU	[D'YOU]	jh y uw
DABAGI	[DABAGI]	d aa b ax jh iy
DABBY	[DABBY]	d ae b iy
DAD	[DAD]	d ae d
DADA	[DADA]	d aa d aa
DADA'S	[DADA'S]	d aa d aa z
DADADUN	[DADADUN]	d aa d aa d ah n
DADAJI	[DADAJI]	d aa d aa jh iy
DADAJI'S	[DADAJI'S]	d aa d ax jh iy z
DADDER	[DADDER]	d ae dx er
DADDIES	[DADDIES]	d ae dx iy z
DADDIJI	[DADDIJI]	d ah d iy jh iy
DADDIJI'S	[DADDIJI'S]	d aa d iy jh iy z
DADDLE	[DADDLE]	d ae dx ax l
DADDY	[DADDY]	d ae dx iy
DADDY'S	[DADDY'S]	d ae dx iy z
DADDYJI	[DADDYJI]	d ae dx iy jh iy
DADDY_A	[DADDY_A]	d ae d iy
DADIH	[DADIH]	d aa d iy
DADIJI'S	[DADIJI'S]	d aa d iy jh iy z
DADY	[DADY]	d ey dx iy
DAD_A	[DAD_A]	d ae d
DAFFODILS	[DAFFODILS]	d ae f ax d ih l z
DAFFY	[DAFFY]	d ae f iy
DAFFY'S	[DAFFY'S]	d ae f iy z
DAIHU	[DAIHU]	d ay hh uw
DAINKNER	[DAINKNER]	d ey n k n er
DAINKNER'S	[DAINKNER'S]	d ey n k n er z
DAIRY	[DAIRY]	d eh r iy
DAISY	[DAISY]	d ey z iy
DAISY'S	[DAISY'S]	d ey z iy z
DALICI	[DALICI]	d ax l ih k iy
DALLA	[DALLA]	d ae l ax
DALLAS	[DALLAS]	d ae l ax s
DALMATIAN	[DALMATIAN]	d ae l m ey sh ax n
DALMATION	[DALMATION]	d ae l m ae t y ax n
DAM	[DAM]	d ae m
DAMAGE	[DAMAGE]	d ae m ax jh
DAMP	[DAMP]	d ae m p
DAN	[DAN]	d ae n
DAN'S	[DAN'S]	d ae n z
DANCE	[DANCE]	d ae n s
DANCED	[DANCED]	d ae n s t
DANCER	[DANCER]	d ae n s er
DANCES	[DANCES]	d ae n s ax z
DANCEY	[DANCEY]	d ae n s iy
DANCING	[DANCING]	d ae n s ix ng
DANDELION	[DANDELION]	d ae n d ax l ay ax n
DANDELIONS	[DANDELIONS]	d ae n d ax l ay ax n z
DANDY	[DANDY]	d ae n d iy
DANGER	[DANGER]	d ey n jh er
DANGEROUS	[DANGEROUS]	d ey n jh er ax s
DANKNER	[DANKNER]	d ae ng k n er
DANNY	[DANNY]	d ae n iy
DARE	[DARE]	d eh r
DAREDEVIL	[DAREDEVIL]	d eh r d eh v ax l
DARK	[DARK]	d aa r k
DARKER	[DARKER]	d aa r k er
DARKEST	[DARKEST]	d aa r k ax s t
DARKNESS	[DARKNESS]	d aa r k n ax s
DARLA	[DARLA]	d aa r l aa
DARLIN	[DARLIN]	d aa r l ix n
DARLING	[DARLING]	d aa r l ix ng
DARN	[DARN]	d aa r n
DARROT	[DARROT]	d eh r ao t
DARTBOARD	[DARTBOARD]	d aa r t b ao r d
DARTING	[DARTING]	d aa r dx ix ng
DASH	[DASH]	d ae sh
DASHED	[DASHED]	d ae sh t
DASHING	[DASHING]	d ae sh ix ng
DATA	[DATA]	d ey dx ax
DATE	[DATE]	d ey t
DAUGHTER	[DAUGHTER]	d ao dx er
DAVE	[DAVE]	d ey v
DAVID	[DAVID]	d ey v ix d
DAVIGNON	[DAVIGNON]	d aa v iy g n ao n
DAVY	[DAVY]	d ey v iy
DAWN	[DAWN]	d ao n
DAY	[DAY]	d ey
DAY'S	[DAY'S]	d ey z
DAYLIGHT	[DAYLIGHT]	d ey l ay t
DAYS	[DAYS]	d ey z
DAYTIME	[DAYTIME]	d ey t ay m
DAZZLE	[DAZZLE]	d ae z ax l
DAZZLING	[DAZZLING]	d ae z ax l ix ng
DC	[DC]	d iy z iy
DEAD	[DEAD]	d eh d
DEAF	[DEAF]	d eh f
DEAL	[DEAL]	d iy l
DEALING	[DEALING]	d iy l ix ng
DEALT	[DEALT]	d eh l t
DEAN	[DEAN]	d iy n
DEAR	[DEAR]	d ih r
DEARS	[DEARS]	d ih r z
DEBBIE	[DEBBIE]	d eh b iy
DEBBIE'S	[DEBBIE'S]	d eh b iy z
DECAF	[DECAF]	d iy k ae f
DECEMBER	[DECEMBER]	d ix s eh m b er
DECENT	[DECENT]	d iy s ax n t
DECIDE	[DECIDE]	d ix s ay d
DECIDED	[DECIDED]	d ix s ay dx ix d
DECK	[DECK]	d eh k
DECORATE	[DECORATE]	d eh k er ey t
DECORATED	[DECORATED]	d eh k er ey dx ax d
DECORATING	[DECORATING]	d eh k er ey dx ix ng
DECORATION	[DECORATION]	d eh k er ey sh ax n
DEDE	[DEDE]	d iy d iy
DEEDLE	[DEEDLE]	d iy d ax l
DEEP	[DEEP]	d iy p
DEEPER	[DEEPER]	d iy p er
DEER	[DEER]	d ih r
DEFINITELY	[DEFINITELY]	d eh f ax n ax t l iy
DEFINITION	[DEFINITION]	d eh f ax n ih sh ax n
DELA	[DELA]	d eh l ax
DELICIOUS	[DELICIOUS]	d ix l ih sh ax s
DELICIOUS_A	[DELICIOUS_A]	d ax l ih k iy
DELICIOUS_B	[DELICIOUS_B]	d ax l ih k iy
DELIGHT	[DELIGHT]	d ix l ay t
DELIGHTFUL	[DELIGHTFUL]	d ix l ay t f ax l
DELISH	[DELISH]	d eh l ih sh
DELIVER	[DELIVER]	d ix l ih v er
DELIVERED	[DELIVERED]	d ix l ih v er d
DELIVERING	[DELIVERING]	d ix l ih v er ix ng
DELIVERS	[DELIVERS]	d ix l ih v er z
DELIVERY	[DELIVERY]	d ix l ih v er iy
DELL	[DELL]	d eh l
DELUXE	[DELUXE]	d ax l ah k s
DEN	[DEN]	d eh n
DENKNER	[DENKNER]	d ey ng k n er
DENTAL	[DENTAL]	d eh n t ax l
DENTIST	[DENTIST]	d eh n t ax s t
DEPARTMENT	[DEPARTMENT]	d ix p aa r t m ax n t
DEPENDING	[DEPENDING]	d ix p eh n d ix ng
DEPENDS	[DEPENDS]	d ix p eh n d z
DEPOT	[DEPOT]	d iy p ow
DESCRIBE	[DESCRIBE]	d ix s k r ay b
DESERT	[DESERT]	d eh z er t
DESERVE	[DESERVE]	d ix z er v
DESIGN	[DESIGN]	d ix z ay n
DESIGNATE	[DESIGNATE]	d eh z ax g n ey t
DESK	[DESK]	d eh s k
DESKS	[DESKS]	d eh s k s
DESOLATE	[DESOLATE]	d eh s ax l ax t
DESTINATION	[DESTINATION]	d eh s t ax n ey sh ax n
DESTROY	[DESTROY]	d ix s t r oy
DESTROYS	[DESTROYS]	d ix s t r oy z
DESTRUCTION	[DESTRUCTION]	d ix s t r ah k sh ax n
DESTRUCTO	[DESTRUCTO]	d ax s t r ah k t ow
DETAIL	[DETAIL]	d ix t ey l
DETAILS	[DETAILS]	d ix t ey l z
DETECTIVE	[DETECTIVE]	d ix t eh k t ix v
DETERMINED	[DETERMINED]	d ix t er m ax n d
DEVASION	[DEVASION]	d iy v ey zh ax n
DEVELOPED	[DEVELOPED]	d ix v eh l ax p t
DEVELOPING	[DEVELOPING]	d ix v eh l ax p ix ng
DEVIOUS	[DEVIOUS]	d iy v iy ax s
DEW	[DEW]	d uw
DI	[DI]	d iy
DIALING	[DIALING]	d ay ax l ix ng
DIAMOND	[DIAMOND]	d ay m ax n d
DIAMONDS	[DIAMONDS]	d ay m ax n d z
DIAPER	[DIAPER]	d ay p er
DIAPERBAG	[DIAPERBAG]	d ay p er b ae g
DIAPERS	[DIAPERS]	d ay ax p er z
DIAPIE	[DIAPIE]	d ay p iy
DIAPY	[DIAPY]	d ay p iy
DIBBLE	[DIBBLE]	d ih b ax l
DIBLE	[DIBLE]	d ay b ax l
DICE	[DICE]	d ay s
DICKY	[DICKY]	d ih k iy
DID	[DID]	d ih d
DIDDLE	[DIDDLE]	d ih dx ax l
DIDI	[DIDI]	d iy dx iy
DIDN'T	[DIDN'T]	d ih d ax n t
DIESEL	[DIESEL]	d iy s ax l
DIET	[DIET]	d ay ax t
DIFFERENCE	[DIFFERENCE]	d ih f er ax n s
DIFFERENCES	[DIFFERENCES]	d ih f er ax n s ix z
DIFFERENT	[DIFFERENT]	d ih f er ax n t
DIFFICULT	[DIFFICULT]	d ih f ax k ax l t
DIG	[DIG]	d ih g
DIGGER	[DIGGER]	d ih g er
DIGGING	[DIGGING]	d ih g ix ng
DIGOLIGO	[DIGOLIGO]	d ih g ao l iy g ao
DIGS	[DIGS]	d ih g z
DIJERIDOO	[DIJERIDOO]	d ih jh er iy d uw
DILAPIDATED	[DILAPIDATED]	d ax l ae p ax d ey dx ix d
DIMENSIONAL	[DIMENSIONAL]	d ix m eh n sh ax n ax l
DIMOND	[DIMOND]	d ay m ax n d
DINA	[DINA]	d iy n ax
DING	[DING]	d ih ng
DINING	[DINING]	d ay n ix ng
DINK	[DINK]	d ih ng k
DINKY	[DINKY]	d ih ng k iy
DINNER	[DINNER]	d ih n er
DINNERTIME	[DINNERTIME]	d ih n er t ay m
DINNING	[DINNING]	d ih n ix ng
DINO	[DINO]	d iy n ow
DINOSAUR	[DINOSAUR]	d ay n ax s ao r
DINOSAUR'S	[DINOSAUR'S]	d ay n ax s ao r z
DINOSAURS	[DINOSAURS]	d ay n ax s ao r z
DINOSAUR_A	[DINOSAUR_A]	d ay n ax s ow r
DION	[DION]	d ay ax n
DIONNE	[DIONNE]	d iy aa n
DIP	[DIP]	d ih p
DIPPED	[DIPPED]	d ih p t
DIPPER	[DIPPER]	d ih p er
DIPSTICK	[DIPSTICK]	d ih p s t ih k
DIPSY	[DIPSY]	d ih p s iy
DIPSY'S	[DIPSY'S]	d ih p s iy z
DIRECT	[DIRECT]	d er eh k t
DIRECTION	[DIRECTION]	d er eh k sh ax n
DIRECTIONS	[DIRECTIONS]	d er eh k sh ax n z
DIRT	[DIRT]	d er t
DIRTY	[DIRTY]	d er dx iy
DISABLE	[DISABLE]	d ix s ey b ax l
DISAGREEABLE	[DISAGREEABLE]	d ih s ax g r iy ax b ax l
DISAPPEARED	[DISAPPEARED]	d ih s ax p ih r d
DISASTER	[DISASTER]	d ix z ae s t er
DISC	[DISC]	d ih s k
DISCERN	[DISCERN]	d ix s er n
DISCIPLINED	[DISCIPLINED]	d ih s ax p l ax n d
DISCOVER	[DISCOVER]	d ix s k ah v er
DISCOVERED	[DISCOVERED]	d ix s k ah v er d
DISCUSS	[DISCUSS]	d ix s k ah s
DISCUSSING	[DISCUSSING]	d ix s k ah s ix ng
DISCUSSION	[DISCUSSION]	d ix s k ah sh ax n
DISGUISE	[DISGUISE]	d ix s g ay z
DISGUISED	[DISGUISED]	d ix s g ay z d
DISGUISING	[DISGUISING]	d ix s g ay z ix ng
DISH	[DISH]	d ih sh
DISHES	[DISHES]	d ih sh ax z
DISHTOWEL	[DISHTOWEL]	d ih sh t aw ax l
DISHWASHER	[DISHWASHER]	d ih sh w aa sh er
DISKS	[DISKS]	d ih s k s
DISORDER	[DISORDER]	d ix s ao r dx er
DISPOSAL	[DISPOSAL]	d ix s p ow z ax l
DISPY'S	[DISPY'S]	d ih p s iy
DISSOLVED	[DISSOLVED]	d ix z aa l v d
DISTRACT	[DISTRACT]	d ix s t r ae k t
DISTRACTED	[DISTRACTED]	d ix s t r ae k t ax d
DISTRACTING	[DISTRACTING]	d ix s t r ae k t ix ng
DISTRESS	[DISTRESS]	d ix s t r eh s
DISTRESSED	[DISTRESSED]	d ix s t r eh s t
DISTRIBUTOR	[DISTRIBUTOR]	d ix s t r ih b y ax dx er
DISTURB	[DISTURB]	d ix s t er b
DIT	[DIT]	d iy t
DITCH	[DITCH]	d ih ch
DITHD	[DITHD]	d ih dh d
DIVA	[DIVA]	d iy v ax
DIVE	[DIVE]	d ay v
DIVING	[DIVING]	d ay v ix ng
DIVISION	[DIVISION]	d ix v ih zh ax n
DIZZY	[DIZZY]	d ih z iy
DO	[DO]	d uw
DOABLE	[DOABLE]	d uw ax b ax l
DOBBLE	[DOBBLE]	d aa b ax l
DOCK	[DOCK]	d aa k
DOCTOR	[DOCTOR]	d aa k t er
DOCTOR'S	[DOCTOR'S]	d aa k t er z
DOCTORS	[DOCTORS]	d aa k t er z
DODGED	[DODGED]	d aa jh d
DODO	[DODO]	d ow dx ow
DOES	[DOES]	d ah z
DOESN'T	[DOESN'T]	d ah z ax n t
DOG	[DOG]	d ao g
DOG'S	[DOG'S]	d ao g z
DOGERTY	[DOGERTY]	d ao g er dx iy
DOGGIE	[DOGGIE]	d ao g iy
DOGGIE'S	[DOGGIE'S]	d ao g iy z
DOGGIES	[DOGGIES]	d ao g iy z
DOGGY	[DOGGY]	d ao g iy
DOGGY'S	[DOGGY'S]	d ao g iy z
DOGGYWOGGY	[DOGGYWOGGY]	d aa g iy w aa g iy
DOGHOUSE	[DOGHOUSE]	d ao g hh aw s
DOGS	[DOGS]	d aa g z
DOIING	[DOIING]	d oy ix ng
DOING	[DOING]	d uw ix ng
DOINK	[DOINK]	d oy ng k
DOINKA	[DOINKA]	d oy ng k ax
DOKEY	[DOKEY]	d ow k iy
DOLL	[DOLL]	d aa l
DOLL'S	[DOLL'S]	d aa l z
DOLLARS	[DOLLARS]	d aa l er z
DOLLHOUSE	[DOLLHOUSE]	d aa l hh aw s
DOLLIES	[DOLLIES]	d aa l iy z
DOLLS	[DOLLS]	d aa l z
DOLLY	[DOLLY]	d aa l iy
DOLLY'S	[DOLLY'S]	d aa l iy z
DOLPHIN	[DOLPHIN]	d aa l f ax n
DOLPHIN'S	[DOLPHIN'S]	d aa l f ax n z
DOLPHINS	[DOLPHINS]	d aa l f ax n z
DOME	[DOME]	d ow m
DOMINOES	[DOMINOES]	d aa m ax n ow z
DOMINOS	[DOMINOS]	d aa m ix n ow z
DOMMY	[DOMMY]	d aa m iy
DON	[DON]	d aa n
DON'T	[DON'T]	d ow n t
DONALD	[DONALD]	d aa n ax l d
DONE	[DONE]	d ah n
DONG	[DONG]	d ao ng
DONKEY	[DONKEY]	d aa ng k iy
DONKEY'S	[DONKEY'S]	d aa ng k iy z
DONKEYS	[DONKEYS]	d aa ng k iy z
DONNA	[DONNA]	d aa n ax
DONUT	[DONUT]	d ow n ah t
DONUTS	[DONUTS]	d ow n ah t s
DOODLE	[DOODLE]	d uw dx ax l
DOODLING	[DOODLING]	d uw d ax l ix ng
DOODY	[DOODY]	d uw dx iy
DOOR	[DOOR]	d ao r
DOOR'S	[DOOR'S]	d ao r z
DOORBELL	[DOORBELL]	d ao r b eh l
DOORKNOB	[DOORKNOB]	d uw r n aa b
DOORMAT	[DOORMAT]	d ao r m ae t
DOORS	[DOORS]	d ao r z
DOORWAY	[DOORWAY]	d ao r w ey
DORA	[DORA]	d ao r ax
DORA'S	[DORA'S]	d ow r ax z
DOROTHY	[DOROTHY]	d ao r ax th iy
DOROTHY'S	[DOROTHY'S]	d ao r ax th iy z
DOS	[DOS]	d ao s
DOSY'S	[DOSY'S]	d ao s w iy z
DOT	[DOT]	d aa t
DOTS	[DOTS]	d aa t s
DOUBLE	[DOUBLE]	d ah b ax l
DOUBLECHECK	[DOUBLECHECK]	d ah b ax l ch eh k
DOUBT	[DOUBT]	d aw t
DOUG	[DOUG]	d ah g
DOUGH	[DOUGH]	d ow
DOUGHNUT	[DOUGHNUT]	d ow n ah t
DOUGHNUTS	[DOUGHNUTS]	d ow n ah t s
DOUGLAS	[DOUGLAS]	d ah g l ax s
DOW	[DOW]	d aw
DOWA	[DOWA]	d uw w aa
DOWEL	[DOWEL]	d aw ax l
DOWN	[DOWN]	d aw n
DOWNHILL	[DOWNHILL]	d aw n hh ih l
DOWNS	[DOWNS]	d aw n z
DOWNSTAIRS	[DOWNSTAIRS]	d aw n s t eh r z
DOWNTOWN	[DOWNTOWN]	d aw n t aw n
DOWNY	[DOWNY]	d aw n iy
DOZEN	[DOZEN]	d ah z ax n
DOZERS	[DOZERS]	d ow z er z
DR	[DR]	d r ay v
DRAG	[DRAG]	d r ae g
DRAGGED	[DRAGGED]	d r ae g d
DRAGGING	[DRAGGING]	d r ae g ix ng
DRAGON	[DRAGON]	d r ae g ax n
DRAGON'S	[DRAGON'S]	d r ae g ax n z
DRAGONFLIES	[DRAGONFLIES]	d r ae g ax n f l ay z
DRAGONFLY	[DRAGONFLY]	d r ae g ax n f l ay
DRAGONS	[DRAGONS]	d r ae g ax n z
DRAGS	[DRAGS]	d r ae g z
DRAIN	[DRAIN]	d r ey n
DRAKEY	[DRAKEY]	d r ey k iy
DRAMA	[DRAMA]	d r aa m ax
DRANK	[DRANK]	d r ae ng k
DRAW	[DRAW]	d r ao
DRAWER	[DRAWER]	d r ao r
DRAWERS	[DRAWERS]	d r ao r z
DRAWING	[DRAWING]	d r ao ix ng
DRAWINGS	[DRAWINGS]	d r ao ix ng z
DRAWS	[DRAWS]	d r ao z
DREAM	[DREAM]	d r iy m
DREAMED	[DREAMED]	d r iy m d
DREAMING	[DREAMING]	d r iy m ix ng
DREAMS	[DREAMS]	d r iy m z
DREAMT	[DREAMT]	d r eh m t
DREIDEL	[DREIDEL]	d r ey dx ax l
DRESS	[DRESS]	d r eh s
DRESSED	[DRESSED]	d r eh s t
DRESSER	[DRESSER]	d r eh s er
DRESSES	[DRESSES]	d r eh s ax z
DRESSING	[DRESSING]	d r eh s ix ng
DREW	[DREW]	d r uw
DRIBBLE	[DRIBBLE]	d r ih b ax l
DRIED	[DRIED]	d r ay d
DRIES	[DRIES]	d r ay z
DRIFTING	[DRIFTING]	d r ih f t ix ng
DRILL	[DRILL]	d r ih l
DRINK	[DRINK]	d r ih ng k
DRINKING	[DRINKING]	d r ih ng k ix ng
DRINKS	[DRINKS]	d r ih ng k s
DRIP	[DRIP]	d r ih p
DRIPPING	[DRIPPING]	d r ih p ix ng
DRIVE	[DRIVE]	d r ay v
DRIVEN	[DRIVEN]	d r ih v ax n
DRIVER	[DRIVER]	d r ay v er
DRIVERS	[DRIVERS]	d r ay v er z
DRIVES	[DRIVES]	d r ay v z
DRIVEWAY	[DRIVEWAY]	d r ay v w ey
DRIVING	[DRIVING]	d r ay v ix ng
DROOL	[DROOL]	d r uw l
DROOLING	[DROOLING]	d r uw l ix ng
DROOLY	[DROOLY]	d r uw l iy
DROP	[DROP]	d r aa p
DROPPED	[DROPPED]	d r aa p t
DROPS	[DROPS]	d r aa p s
DROVE	[DROVE]	d r ow v
DROWNED	[DROWNED]	d r aw n d
DRUG	[DRUG]	d r ah g
DRUM	[DRUM]	d r ah m
DRUMMING	[DRUMMING]	d r ah m ix ng
DRUMS	[DRUMS]	d r ah m z
DRUMSTICK	[DRUMSTICK]	d r ah m s t ix k
DRUNK	[DRUNK]	d r ah ng k
DRURY	[DRURY]	d r uw r iy
DRY	[DRY]	d r ay
DRYER	[DRYER]	d r ay er
DRYING	[DRYING]	d r ay ix ng
DUB	[DUB]	d ah b
DUBBY	[DUBBY]	d ah b iy
DUCK	[DUCK]	d ah k
DUCK'S	[DUCK'S]	d ah k s
DUCKALEE	[DUCKALEE]	d ah k ax l iy
DUCKALING	[DUCKALING]	d ah k ax l ix ng
DUCKDOG	[DUCKDOG]	d ah k d ao g
DUCKIE	[DUCKIE]	d ah k iy
DUCKIES	[DUCKIES]	d ah k iy z
DUCKLING	[DUCKLING]	d ah k l ix ng
DUCKLINGS	[DUCKLINGS]	d ah k l ix ng z
DUCKS	[DUCKS]	d ah k s
DUCKSIE	[DUCKSIE]	d ah k s iy
DUCKY	[DUCKY]	d ah k iy
DUCKY'S	[DUCKY'S]	d ah k iy z
DUDE	[DUDE]	d uw d
DUDS	[DUDS]	d ah d z
DUE	[DUE]	d uw
DUKE	[DUKE]	d uw k
DUMP	[DUMP]	d ah m p
DUMPED	[DUMPED]	d ah m p t
DUMPING	[DUMPING]	d ah m p ix ng
DUMPLING	[DUMPLING]	d ah m p l ix ng
DUMPS	[DUMPS]	d ah m p s
DUMPTRUCK	[DUMPTRUCK]	d ah m p t r ah k
DUMPTY	[DUMPTY]	d ah m p t iy
DUN	[DUN]	d ah n
DUNG	[DUNG]	d ah ng
DUNKICCINO	[DUNKICCINO]	d ah ng k ih ch ih n ow
DUNKIN	[DUNKIN]	d ah ng k ix n
DUPER	[DUPER]	d uw p er
DURING	[DURING]	d uh r ix ng
DUST	[DUST]	d ah s t
DUSTY	[DUSTY]	d ah s t iy
DUTCHY	[DUTCHY]	d ah ch iy
DUTY	[DUTY]	d uw dx iy
DUWANIZ	[DUWANIZ]	d uh w ey n iy z
DVD	[DVD]	d iy v iy d iy
DYE	[DYE]	d ay
DYING	[DYING]	d ay ix ng
DYLAN	[DYLAN]	d ih l ax n
DYOMP	[DYOMP]	d y ah m p
E	[E]	iy
E'S	[E'S]	iy z
EACH	[EACH]	iy ch
EACHOTHER	[EACHOTHER]	iy ch ah dh er
EAGERLY	[EAGERLY]	iy g er l iy
EAGLE	[EAGLE]	iy g ax l
EAGLE'S	[EAGLE'S]	iy g ax l z
EAR	[EAR]	ih r
EARL	[EARL]	er l
EARLIER	[EARLIER]	er l iy er
EARLIEST	[EARLIEST]	er l iy ax s t
EARLY	[EARLY]	er l iy
EARNEST	[EARNEST]	er n ix s t
EARRING	[EARRING]	ih r ix ng
EARRINGS	[EARRINGS]	ih r ix ng z
EARS	[EARS]	ih r z
EARTH	[EARTH]	er th
EARTHWORMS	[EARTHWORMS]	er th w er m z
EASEL	[EASEL]	iy z ax l
EASIER	[EASIER]	iy z iy er
EASIEST	[EASIEST]	iy z iy ax s t
EASILY	[EASILY]	iy z ax l iy
EAST	[EAST]	iy s t
EASTER	[EASTER]	iy s t er
EASTEREGGS	[EASTEREGGS]	iy s t er eh g z
EASY	[EASY]	iy z iy
EAT	[EAT]	iy t
EATEN	[EATEN]	iy t ax n
EATER	[EATER]	iy dx er
EATING	[EATING]	iy dx ix ng
EATS	[EATS]	iy t s
EBSIN	[EBSIN]	eh b s iy n
ECHO	[ECHO]	eh k ow
ECZEMA	[ECZEMA]	eh k s ax m ax
EDDIE	[EDDIE]	eh dx iy
EDDY	[EDDY]	eh dx iy
EDGAR	[EDGAR]	eh d g er
EDGE	[EDGE]	eh jh
EDGEWOOD	[EDGEWOOD]	eh jh w uh d
EDIBLE	[EDIBLE]	eh dx ax b ax l
EDWARD	[EDWARD]	eh d w er d
EDWIN	[EDWIN]	eh d w ax n
EENIE	[EENIE]	iy n iy
EENSY	[EENSY]	iy n z iy
EENY	[EENY]	iy n iy
EERIEOHS	[EERIEOHS]	ih r y iy ow z
EEYAIH	[EEYAIH]	iy ay
EEYORE	[EEYORE]	iy y ao r
EEYORE'S	[EEYORE'S]	iy y ao r z
EFFECT	[EFFECT]	ix f eh k t
EFFECTIVE	[EFFECTIVE]	ix f eh k t ix v
EFFICIENT	[EFFICIENT]	ix f ih sh ax n t
EFFORT	[EFFORT]	eh f er t
EGG	[EGG]	eh g
EGGPLANT	[EGGPLANT]	eh g p l ae n t
EGGS	[EGGS]	eh g z
EGGSHELLS	[EGGSHELLS]	eh g sh eh l z
EGGWHITE	[EGGWHITE]	eh g w ay t
EGGWHITES	[EGGWHITES]	eh g w ay t s
EGG_A	[EGG_A]	ey k
EGRET	[EGRET]	iy g r eh t
EIFFEL	[EIFFEL]	ay f ax l
EIGHT	[EIGHT]	ey t
EIGHTEEN	[EIGHTEEN]	ey t iy n
EIGHTEENTH	[EIGHTEENTH]	ey t iy n th
EIGHTH	[EIGHTH]	ey t th
EIGHTIETH	[EIGHTIETH]	ey dx iy ix th
EIGHTOCLOCK	[EIGHTOCLOCK]	ey t ow k l aa k
EIGHTS	[EIGHTS]	ey t s
EINSTEIN	[EINSTEIN]	ay n s t ay n
EITHER	[EITHER]	iy dh er
EJIH	[EJIH]	eh y ih
ELANA	[ELANA]	eh l ax n aa
ELASTIC	[ELASTIC]	ix l ae s t ix k
ELASTICS	[ELASTICS]	ix l ae s t ix k s
ELBOW	[ELBOW]	eh l b ow
ELBOWS	[ELBOWS]	eh l b ow z
ELECTRIC	[ELECTRIC]	ix l eh k t r ix k
ELECTRICIAN	[ELECTRICIAN]	ix l eh k t r ih sh ax n
ELECTRONIC	[ELECTRONIC]	ix l eh k t r aa n ix k
ELEPHANT	[ELEPHANT]	eh l ax f ax n t
ELEPHANT'S	[ELEPHANT'S]	eh l ax f ax n t s
ELEPHANTS	[ELEPHANTS]	eh l ax f ax n t s
ELEVATOR	[ELEVATOR]	eh l ax v ey dx er
ELEVEN	[ELEVEN]	ix l eh v ax n
ELEVENTH	[ELEVENTH]	ix l eh v ax n th
ELEVENTH_A	[ELEVENTH_A]	ax l eh v ax n th
ELF	[ELF]	eh l f
ELI	[ELI]	iy l ay
ELIZA	[ELIZA]	ix l ay z ax
ELIZABETH	[ELIZABETH]	ix l ih z ax b ax th
ELLEN	[ELLEN]	eh l ax n
ELMER	[ELMER]	eh l m er
ELMER'S	[ELMER'S]	eh l m er z
ELMO	[ELMO]	eh l m ow
ELMO'S	[ELMO'S]	eh l m ow z
ELMOS	[ELMOS]	eh l m ow z
ELSE	[ELSE]	eh l s
ELSE'S	[ELSE'S]	eh l s ix z
ELTON	[ELTON]	eh l t ax n
