_t4 		what would you like ? 
_t4 		will that work for us ? 
_t4 		yes . 
_t4 		d . 
_t4 		and then we need a u +//.
_t4 		here's a red u . 
_t4 		and now we need a c , can you find me a c ? 
_t4 		are there any down here on the floor ? 
_t4 		are there any c's here ? 
_t4 		well I'm looking +//.
_t4 		that's an o , that's a l , that's a k , that's an s .
_t4 		oh you did find a c . 
_t4 		it goes right here . 
_t4 		great . 
_t4 		yup [: yes] right here . 
_t4 		yeah . 
_t4 		well it goes like that . 
_t4 		okay and then the k is the next letter . 
_t4 		and that spells duck . 
_t4 		d , u , c , k .
_t4 		oh you wanna spell duck puzzle . 
_t4 		all+right puzzle , that's a hard word , okay . 
_t4 		the first letter of puzzle is +... 
_t4 		p . 
_t4 		can we find a p ? 
_t4 		where's there a p , let's see . 
_t4 		huh , I see one ! 
_t4 		there's the p . 
_t4 		I'm gonna spell puzzle underneath duck , okay ? 
_t4 		then we need a u . 
_t4 		another u . 
_t4 		are there any on the fireplace ?
_t4 		can you find a u ? 
_t4 		I think I see one over there . 
_t4 		a blue u . 
_t4 		see the blue u ? 
_t4 		right there . 
_t4 		yeah .
_t4 		that's a purple u you're right . 
_t4 		that's also a u . 
_t4 		okay we're gonna spell puzzle down here so we'll put the u next t(o) +//.
_t4 		oh that spells up . 
_t4 		you just spelled up . 
_t4 		when you put that here . 
_t4 		that spells duck up . 
_t4 		duck up . 
_t4 		that's very silly +//.
_t4 		duck up . 
_t4 		that spells duck  . 
_t4 		I see a red one . 
_t4 		you see it too +//.
_t4 		you can get it .
_t4 		do we have more than one z +//.
_t4 		oh here's a yellow one . 
_t4 		so let's put the z's here +//.
_t4 		put the next z here . 
_t4 		now that spells +//.
_t4 		do you know what that spells ? 
_t4 		it spells puzz . 
_t4 		puzz , duck puzz . 
_t4 		duck puzz .
_t4 		that sounds very silly . 
_t4 		now we wanna spell puzzle right , so we need an l like that +... 
_t4 		and then we need an e: . 
_t4 		here's an e . 
_t4 		now that spells +... 
_t4 		duck +...
_t4 		yes . 
_t4 		what do you wanna spell now . 
_t4 		that spells +... 
_t4 		vrap . 
_t4 		that's a silly word , it doesn't mean anything . 
_t4 		vrap . 
_t4 		vrap . 
_t4 		gog ,  we made up that word months ago ,  . 
_t4 		gog . 
_t4 		gog . 
_t4 		hee   . 
_t4 		duck puzzle .
_t4 		duck puzzle . 
_t4 		vrap . 
_t4 		vrap . 
_t4 		I'm gonna pause just to make sure this is recor(ding) .
_t4 		no that belongs up here +//.
_t4 		I'm gonna put it back . 
_t4 		wanna spell something else ? 
_t4 		vrap . 
_t4 		lap ,  we could spell lap . 
_t4 		like sit in my lap .
_t4 		come on over here . 
_t4 		let's spell lap . 
_t4 		it does spell lap .
_t4 		nap ! 
_t4 		okay . 
_t4 		let's get an n: . 
_t4 		for nap . 
_t4 		sometimes you can spell Naima with an n that's right . 
_t4 		but to say nap +//.
_t4 		to spell nap +... 
_t4 		see here's our lap . 
_t4 		take away the l . 
_t4 		and put the n right there , it becomes nap . 
_t4 		that spells nap . 
_t4 		would you like to take a nap .
_t4 		on my lap . 
_t4 		that rhymes doesn't it ?
_t4 		is my lap going to take a (.) nap ? 
_t4 		that's silly . 
_t4 		is it supper+time for you , are you hungry ? 
_t4 		okay .
_t4 		spe(lls) +//.
_t4 		what does it spell ? 
_t4 		d , u , c , k . 
_t4 		it spells duck . 
_t4 		this spells puzzle down here . 
_t4 		p , u , z , z , l , e +//.
_t4 		remember what this spells ? 
_t4 		with the two z's it becomes puzz and the l and the e it becomes puzzle .
_t4 		puzzle . 
_t4 		puzzle my muzzle .
_t4 		well , puzzle my muzzle . 
_t4 		xxx .
_t4 		oh , spell muzzle , what a good idea . 
_t4 		can you find an m ? 
_t4 		we need an m to spell muzzle . 
_t4 		oh , great !
_t4 		muzzle , now this spells muzzle . 
_t4 		and actually what this spells is duck nap muzzle . 
_t4 		this spells duck , this spells nap , and this spells muzzle . 
_t4 		duck nap muzzle .
_t4 		what's a duck nap muzzle ?
_t4 		silly .
_t4 		oh , you wanna spell lap again ? 
_t4 		spell what ? 
_t4 		knack ? 
_t4 		what does knack mean ? 
_t4 		sun . 
_t4 		okay , can you get me the s that's over there ? 
_t4 		s . 
_t4 		and then we need a u . 
_t4 		and then we need an n and that spells sun . 
_t4 		grub ? 
_t4 		xxx .
_t4 		those are  +//.
_t4 		those are Naima's words sh(e) that you use when your mad , aren't they ? 
_t4 		do you say those words when you're mad ? 
_t4 		grub and manuminy are words you use when you're mad . 
_t4 		vavuvuvi . 
_t4 		we would need a lot of v's to spell that . 
_t4 		and besides , it's not really a word .
_t4 		but do you +/.
_t4 		duduniniz . 
_t4 		d . 
_t4 		u . 
_t4 		d . 
_t4 		u , n . 
_t4 		u , n .
_t4 		yes , the corner of the tip of the triangle is sharp in that puzzle . 
_t4 		it's here , I put the puzzle pieces in this box again . 
_t4 		it's in this box . 
_t4 		oh , okay .
_t4 		come on sit with me .
_t4 		oh , you don't wanna read this one ? 
_t4 		I don't know , I think that's in the other room . 
_t4 		this is +/.
_t4 		well let's read this one , look there's there's the fire engine .
_t4 		there's the police (.) the police pig . 
_t4 		and there's look what is Loly Worm doing there ?
_t4 		yeah . 
_t4 		pa pig bought a new car to give to Ma pig on her birthday . 
_t4 		she will certainly be surprised when she sees her new car , won't she ? 
_t4 		oh this is the car store , over here . 
_t4 		on the way home pa stopped at a drug store , when he came out he got into a jeep . 
_t4 		by mistake , see the jeep , it's a green jeep . 
_t4 		you should be wearing your glasses , pa pig . 
_t4 		Harry and Sally thought that pa had swapped cars with a soldier . 
_t4 		then he went to the supermarket . 
_t4 		when he came out he got into a police car . 
_t4 		you made a good swap Daddy said Harry but pa wasn't listening and he didn't seemed to be thinking very well either , don't you agree ? 
_t4 		he is blowing a whistle and he's saying , sto:p !
_t4 		sto:p ! 
_t4 		that's (.) the pig family in a police car . 
_t4 		driving a police car . 
_t4 		who's in back of them that's a good question .
_t4 		oh the police fox is chasing them that's right . 
_t4 		and then what happens +//.
_t4 		next he drove to a fruit stand to buy some apples . 
_t4 		when he left he took farmer fox's tractor . 
_t4 		my , but pa is absent minded , isn't he +//?
_t4 		oh there's the tractor . 
_t4 		it's red . 
_t4 		ma: will certainly like her new tractor , said Sally to Harry . 
_t4 		they stopped to watch a fire . 
_t4 		when the fire was up they left in the fire engine . 
_t4 		how can anyone make so many mistakes ? 
_t4 		and now what's happening ? 
_t4 		then they  +//.
_t4 		look at all that dirt .
_t4 		then they stopped to watch some workers who digging a big hole in the ground . 
_t4 		no , pa did not get into that dump truck by but by mistake he got into  he drove the car into the ho:le . 
_t4 		oh brother . 
_t4 		Roger Rhi(no) +//.
_t4 		Ma_Pig was certainly surprised to see her new ca:r . 
_t4 		there's Roger Rhino .
_t4 		I am reading the book .
_t4 		it looks as though he is very angry , that means mad . 
_t4 		with that someone who took his power shovel . 
_t4 		does he look mad to you ? 
_t4 		mmmm I think he is mad .
_t4 		they are feeling a little bit worried , I think . 
_t4 		well , let's all hope that pa pig will never again make that many mistakes in one (.) day . 
_t4 		hmmm .
_t4 		he's mad .
_t4 		he's bringing (.) the pig's car back to them , cause [: because] he wants to get his (.) steam shovel .
_t4 		pa pig took the steam shovel by accident . 
_t4 		it's over here . 
_t4 		is that funny ?
_t4 		that pig is worrying because the boat that he's in is about to (.) sink .
_t4 		she's very surprised . 
_t4 		the steam shovel is almost knocking her over . 
_t4 		by accident . 
_t4 		those are the pig children , they are watching (.) their daddy drive the steam shovel . 
_t4 		let's see what else's in the here . 
_t4 		these are different stories . 
_t4 		I wanna look for a different story . 
_t4 		oh here's a Loly Worm story , okay , let's go back and stick this one .
_t4 		the story is called the talking (.) bread . 
_t4 		they are making dough for bread . 
_t4 		you've seen me do that , haven't you ?
_t4 		yes , I use a rolling pin when I make bread . 
_t4 		that's the dough , that's a lo:t of dough , look at all the +/.
_t4 		they are kneading the dough . 
_t4 		they patted it into loaves of all different shapes and sizes . 
_t4 		balls , yep [: yes] , bowls are like balls .
_t4 		then Humper Dink +//.
_t4 		that's the oven . 
_t4 		they're putting the bread dough into the oven to bake it +//.
_t4 		okay , what happens over here ? 
_t4 		after the loa(ves) +//.
_t4 		look at all that bread on the wagon .
_t4 		there must be twenty loaves of bread there . 
_t4 		after the loaves had finished baking Humper Dink set them out on the table to cool . 
_t4 		oh here , you're right on Mommy's microphone , I didn't realize that . 
_t4 		mmmm   , fresh bread smells good . 
_t4 		Mama , Humper Dink says , Mama . 
_t4 		let me just adjust this , okay , okay . 
_t4 		Mama . 
_t4 		that's what he says , he's surprised .
_t4 		Mama . 
_t4 		finally he took out the last loaf . 
_t4 		listen , did you hear that one when he pick that loaf , it said ,  it said , Mama . 
_t4 		huh , but everybody knows that bread can't talk . 
_t4 		the bread is talking , Naima . 
_t4 		it must be haunted . 
_t4 		huh help poli:ce , Humper Dink picked up Flossy and ran from the room . 
_t4 		I must telephone sargent Murphy , he said . 
_t4 		the bread said Mama .
_t4 		sergeant Murphy +//.
_t4 		that's the police dog . 
_t4 		arrived in a hurry . 
_t4 		he (.) is (.) driving the motorcycle without his shoes on and his shoes are tied to the end of the motorcycle . 
_t4 		cause [: because] he was in such a hurry . 
_t4 		he reached down and picked up the loaf of haunted bread . 
_t4 		Mama +//.
_t4 		oh+my+goodness , the bread is saying , Mama . 
_t4 		the bread is talking . 
_t4 		Murphy was so startled he fell into the mixing trough . 
_t4 		that's where the dough is +//.
_t4 		he fell into the dough +//.
_t4 		look at what a mess he is , huh . 
_t4 		at just that moment Huckle and Loly came into the bakery . 
_t4 		who's gonna get him out is right , I don't know who's gonna get him out .
_t4 		somebody had better get him out , he is going to be all sticky , and messy , and gooey . 
_t4 		that is a very strange loaf of bread +/.
_t4 		said Loly +//.
_t4 		yep [: yes] . 
_t4 		stretching out +//.
_t4 		
_t4 		that's how Lo(ly) +//.
_t4 		that's how Loly walks .
_t4 		he took a nibble , the bread said nothing , he nibbled and nibbled til [: until] only his foot showing . 
_t4 		he went into the bread .
_t4 		and still the bread said nothing .
_t4 		Mama +//.
_t4 		oh+my+goodness . 
_t4 		Loly stood up . 
_t4 		that's Loly and the bread is on top of him . 
_t4 		the bread said (.) Mama .
_t4 		Loly took another nibble then stuck out his head , I have solved the mystery .
_t4 		he's ooching across the floor up there .
_t4 		I have sol:ved the mystery , he said +/.
_t4 		he is sticking his head out of the loaf of bread .
_t4 		he's +//.
_t4 		break the loaf open +/.
_t4 		yeah , that's him .
_t4 		but please don't break me .
_t4 		Mama . 
_t4 		baby , she says . 
_t4 		it had fallen into the mixing trough and had been baked inside the bread . 
_t4 		he is opening the bread and finding a doll inside the bread . 
_t4 		hmmm .
_t4 		oh with mystery solved they all sat down to eat the haunted bread , all of them that is except Loly . 
_t4 		he had already eaten his fill .
_t4 		he is ooching towards the loaf .
_t4 		ooching .
_t4 		you like that word , ooching , I like it , too .
_t4 		ooching , Loly is ooching .
_t4 		that means he is going toward the bread . 
_t4 		ooching . 
_t4 		ooching .
_t4 		what is Loly doing in that picture , Naima ?
_t4 		ooching .
_t4 		he is ooching .
_t4 		he's ooching . 
_t4 		xxx do you wanna have some supper , Naima ?
_t4 		read a book about ooching Loly Worm .
_t4 		is that more fun ?
_t4 		o:kay .
_t4 		he is (.) taking a nibble . 
_t4 		xxx he is nibble the bread  .
_t4 		he's standing up with the bread on top of him , and the bread is saying Mama . 
_t4 		he's standing up , sticking his head out of the bread . 
_t4 		are you comfort(able) +//?
_t4 		you don't look very comfortable .
_t4 		he's ooching towards the bread , ooching .
_t4 		when you're in bed .
_t4 		you  around . 
_t4 		ooching !
_t4 		ooching sort of means crawling .
_t4 		it sort of means crawling . 
_t4 		ooching . 
_t4 		ooching .
_t4 		yeah .
_t4 		he's ooching . 
_t4 		xxx .
_t4 		ooching .
_t4 		he's ooching .
_t4 		mmmm+hmmm , the bread +//.
_t4 		what is the bread saying , do you remember ? 
_t4 		xxx yes , it's saying Mama .
_t4 		Mama .
_t4 		it's talking , that bread is talking . 
_t4 		because the doll is in there , and the doll is talking .
_t4 		the doll +//.
_t4 		oh the pig opens the bread and gets the doll out . 
_t4 		this is a very silly , silly , silly story .
_t4 		that's a funny story .
_t4 		in this picture he's ooching toward the bread . 
_t4 		and in this picture he's nibbling the bread .
_t4 		he's nibbling , and nibbling , and nibbling . 
_t4 		oh , what's in this picture ?
_t4 		oh , and here's +//.
_t4 		oh+my+goodness , look at this . 
_t4 		the accident , Harvey pig (.) was driving down the street .
_t4 		better keep your eyes on the road , Harvey . 
_t4 		well , he didn't keep his eyes on the road and he had an accident . 
_t4 		he bumped into that other (.) car , which is actually a taxi (.) taxi car . 
_t4 		he's bumping into that car and getting in +/.
_t4 		the pig is driving the pink car (.) and getting into an accident with a taxi . 
_t4 		Loly Worm is riding in that taxi . 
_t4 		well , Sergeant Murphy came riding along , do you see sergeant Murphy ?
_t4 		which one is Sergeant Murphy +//?
_t4 		he's a police dog , where is he ?
_t4 		o:h I don't think so , I think he's here , he wears a helmet . 
_t4 		that's how you can tell it's him . 
_t4 		yep [: yes] .
_t4 		yep [: yes] , he's blowing his whistle .
_t4 		xxx . 
_t4 		Sergeant Murphy came riding along .
_t4 		everyone get on the sidewalk , he said . 
_t4 		I don't want anyone arguing in the street , you might get run over +/.
_t4 		Loly Worm is riding in that car .
_t4 		so everyone got onto the sidewalk . 
_t4 		now what happens ? 
_t4 		and just in time , too .
_t4 		Rockey was driving his bulldozer +/.
_t4 		where ? 
_t4 		that's a picture of a (.)  a (.) place  .
_t4 		xxx the place where cars +/.
_t4 		hmmm .
_t4 		that's spells what ?
_t4 		mobile ?
_t4 		it smells +//.
_t4 		spells muzzle actually . 
_t4 		but , but mobiles +//.
_t4 		oh wait +//.
_t4 		hmmm .
_t4 		I don't know what (.) what letters you are talking about . 
_t4 		oh Murphy , Sergeant Murphy .
_t4 		yes .
_t4 		Murphy .
_t4 		oh .
_t4 		okay .
_t4 		I will .
_t4 		I'll look for it and I'll find it .
_t4 		here it is ,  let's bring it back in here .
_t4 		this is the good book , isn't it ?
_t4 		this is a new book , we just +/.
_t4 		we just +/.
_t4 		we just got this book today .
_t4 		that's banana's gorilla . 
_t4 		somewhere on this train is a load of bananas for banana's gorilla . 
_t4 		he asks where can they  can +/.
_t4 		there's an elephant in that box car .
_t4 		these are called box cars , that's a locomotive that pulls the train .
_t4 		and these are box cars . 
_t4 		yeah .
_t4 		where did walruses go ?
_t4 		well , we will find him . 
_t4 		has anyone seen my bananas in here ? 
_t4 		no bananas in here . 
_t4 		go look in the rear . 
_t4 		huh maybe they were put on this bus . 
_t4 		that's what he's asking . 
_t4 		sorry bananas , they are not with us . 
_t4 		there's a pick up car , there's mr pink pig's car . 
_t4 		were the bananas moved by this crane ? 
_t4 		xxx or take it for a ride +/?
_t4 		in this little red plane ?
_t4 		so sorry bananas , try try again .
_t4 		here is a car where bananas might hide . 
_t4 		oh no , that's not what's riding inside . 
_t4 		that's walruses , aren't they ? 
_t4 		can you count those walruses ?
_t4 		yes .
_t4 		those are three walruses . 
_t4 		and that is the first time Naima has accurately counted on her own .
_t4 		she did it today . 
_t4 		you counted them when we first looked at this book and I was surprised . 
_t4 		you counted one two three walruses . 
_t4 		huh really , look at this lo:ng train ,  my gosh . 
_t4 		cheer up bananas , don't give up yet . 
_t4 		just be careful you don't get wet .
_t4 		maybe my bananas are hiding in here .
_t4 		certainly not ,  my ,  dear . 
_t4 		there's not one banana on this whole train , I'll just have_to go hungry again . 
_t4 		look bananas in the last car , you bananas bananas , that's where they are . 
_t4 		I found them , I found them . 
_t4 		now I can eat , thank you so much . 
_t4 		hmmm . 
_t4 		yeah .
_t4 		oh here's the other side of the train .
_t4 		here's the other side of the train . 
_t4 		this side of the train doesn't have +...
_t4 		doesn't have flaps or (.) words , it's just the train . 
_t4 		I think they are on the other side of this car .
_t4 		there they are: .
_t4 		do you wanna check ? 
_t4 		okay , let's find the other side . 
_t4 		there's the elephants .
_t4 		can you find the walrus ?
_t4 		can you find it ? 
_t4 		mmmm , I knew  there's the alligator . 
_t4 		xxx .
_t4 		can you find the alligator ?
_t4 		mmmm+hmmm .
_t4 		I think I am going to pick up a few things here and there .
_t4 		clean up , clean up .
_t4 		we don't have_to clean up everything , just a few things .
_t4 		xxx .
_t4 		where did the elephant go: ? 
_t4 		there it is , in that box car .
_t4 		the walruses and three horses ? 
_t4 		can you find them ?
_t4 		I think they might be over here .
_t4 		they're in their car . 
_t4 		where are they ? 
_t4 		do you see where they are ?
_t4 		where did the alligator go ? 
_t4 		where's the mouse ?
_t4 		hmmm , I think the mouse is in the green locomotive . 
_t4 		remember , and a tiny little +... 
_t4 		ye:s , try the other side of that locomotive . 
_t4 		is the mouse there ?
_t4 		oh good .
_t4 		banana's gorilla is surprised see the alligator . 
_t4 		banana's gori(lla) +/.
_t4 		oh where did they go ? 
_t4 		do you wanna help me hang up the laundry in the yellow bathroom ? 
_t4 		it needs to dry . 
_t4 		oh , can you find the walruses ?
_t4 		can you find them ?
_t4 		elephant , I think the elephant's in a brown box car . 
_t4 		oh , that's the telephone .
_t4 		let's see who it is , who do you think it is ? 
_t4 		that's the alligator ? 
_t4 		hello .
_t4 		hi .
_t4 		okay , good .
_t4 		um , I can't think of anything .
_t4 		okay .
_t4 		I haven't .
_t4 		and she had some dinner actually , she had a +...
_t4 		yeah , that turned into kind of a big snack , but I think she needs to eat soon .
_t4 		but ,  , yeah I'll +//.
_t4 		I gotta get her in the chair and +//.
_t4 		see what there is for her to eat .
_t4 		see you soon .
_t4 		that was Daddy , he's coming home .
_t4 		he's in the office , what was he doing in the off(ice) +/.
_t4 		he's in the train ? 
_t4 		Daddy was in the train ? 
_t4 		do you think so ?
_t4 		that dog is Sergeant Murphy .
_t4 		xxx , Sergeant Murphy .
_t4 		Sergeant Murphy . 
_t4 		yeah , Sergeant Murphy . 
_t4 		Sergeant .
_t4 		Sergeant . 
_t4 		on the grass ? 
_t4 		o:h .
_t4 		Sergeant Murphy .
_t4 		Sergeant Moofy ? 
_t4 		Sergeant Moofy ? 
_t4 		Sergeant Moofy . 
_t4 		Sergeant Murphy .
_t4 		Sergeant Murphy . 
_t4 		that's that dog's name .
_t4 		xxx .
_t4 		Sergeant Mommy ?
_t4 		Sergeant Murphy , yeah .
_t4 		mmmm+hmmm .
_t4 		on the grass ?
_t4 		I wonder +...
_t4 		what there is for supper , would Naima like to eat some humus (.) for supper ? 
_t4 		okay .
_t4 		I think Mommy and Daddy are gonna eat supper cause [: because] Daddy's [: Daddy is] gonna come home . 
_t4 		how bout [: about] you ?
_t4 		Naima's [: Naima is] gonna have supper , also . 
_t4 		supper , not summer . 
_t4 		summer supper .
_t4 		supper summer . 
_t4 		summer mummer . 
_t4 		I think the elephant is in the +... 
_t4 		brown box+car . 
_t4 		xxx .
_t4 		where did the walruses go ? 
_t4 		the , the three walruses .
_t4 		where did those three walruses go ? 
_t4 		an hour ? 
_t4 		good ? 
_t4 		is that wheat good ? 
_t4 		xxx ,  .
_t4 		yeah ,   had a pacifier in the music class . 
_t4 		mmmm+hmmm .
_t4 		perhaps I'll move my mic [: microphone] . 
_t4 		further away from my mouth while I'm eating ? 
_t4 		xxx Naima's [: Naima is] feeding herself like a big girl . 
_t4 		we're eating breakfast . 
_t4 		mmmm .
_t4 		mmmm , you have wheat in your bowl .
_t4 		a little wheat ? 
_t4 		mmmm .
_t4 		I think we should go see  this morning . 
_t4 		and  and buy some vegetables from them . 
_t4 		they might have plums . 
_t4 		you have more yogurt , you have a lot of yogurt in there . 
_t4 		and there's wheat in there , too . 
_t4 		mmmm+hmmm .
_t4 		you got any wheat ? 
_t4 		want some more wheat ? 
_t4 		some there and some there . 
_t4 		you can call it kamut or wheat . 
_t4 		Max ?
_t4 		good morning Max . 
_t4 		that's from the bedtime book . 
_t4 		Max says good morning when he spills water on his red rubber elephant at bedtime . 
_t4 		that Max , he's really a character . 
_t4 		what else happens at bedtime ? 
_t4 		Ru:by tries to put him to sleep . 
_t4 		mmmm+hmmm . 
_t4 		sleepy bear . 
_t4 		ye:ah [: yes] .
_t4 		Ruby gives him his walky+talky teddy bear . 
_t4 		what ? 
_t4 		fly ? 
_t4 		xxx ,   . 
_t4 		mmmm+hmmm . 
_t4 		you're touching your legs , mmmm+hmmm . 
_t4 		and your toes +... 
_t4 		who did +//?
_t4 		who did we see at the library yesterday ?
_t4 		mmmm+hmmm , babies . 
_t4 		which babies ? 
_t4 		Alex .
_t4 		mmmm+hmmm . 
_t4 		follow baby Alex . 
_t4 		I have no idea what that's supposed to mean . 
_t4 		you did not follow him , he's too little . 
_t4 		he can't even walk . 
_t4 		he can't even crawl ! 
_t4 		he's barely sitting up . 
_t4 		mmmm .
_t4 		would you like more wheat ? 
_t4 		some in there and some in there . 
_t4 		xxx ,     . 
_t4 		some , mmmm+hmmm . 
_t4 		I gave you some wheat . 
_t4 		some kamut .
_t4 		mmmm+hmmm . 
_t4 		mmmm , you have some , mmmm+hmmm . 
_t4 		mmmm+hmmm .
_t4 		good morning , Max .
_t4 		Wendy Max ? 
_t4 		I think this morning we will drive to the bank . 
_t4 		we'll take a stroller with us . 
_t4 		and we'll go do our business at the bank . 
_t4 		and then we will go (.) in the stroller . 
_t4 		from the bank and we'll walk to  . 
_t4 		and back to our car . 
_t4 		does that sound like a good adventure ? 
_t4 		mmmm+hmmm . 
_t4 		you wanna meet a woman ?
_t4 		hmmm . 
_t4 		wheat . 
_t4 		mmmm+hmmm . 
_t4 		some . 
_t4 		mmmm+hmmm , did you get it on your bib , mmmm+hmmm ?
_t4 		hmmm . 
_t4 		cheese ? 
_t4 		you want some cheese ?
_t4 		okay . 
_t4 		when you're finished with that yogurt . 
_t4 		hi , baby . 
_t4 		are you done with that ?
_t4 		I'll take it if you're done . 
_t4 		you giving me the spoon , too ? 
_t4 		thanks . 
_t4 		let's clean up a little and then I'll give you some cheese , okay ?
_t4 		xxx . 
_t4 		Nai Nai Nai Nai ? 
_t4 		that's your name !
_t4 		that's your name .
_t4 		Nai Nai Nai Nai .
_t4 		Nai Nai Key ? 
_t4 		nursey Key ? 
_t4 		what kind of nonsense is that ? 
_t4 		I don't think he does . 
_t4 		Naima nurses , mmmm+hmmm .
_t4 		you nurse with your mommy . 
_t4 		I nurse you .
_t4 		right now ? 
_t4 		I thought you wanted cheese to eat . 
_t4 		xxx you'd rather nurse ?
_t4 		do you want more wheat ?
_t4 		do you want cheese ?
_t4 		to nurse ? 
_t4 		or wheat ? 
_t4 		those are very different things . 
_t4 		miss , miss yogurt on her legs .
_t4 		nursey legs ? 
_t4 		wha:t ? 
_t4 		Mommy's legs .
_t4 		are your toes attached to your leg ?
_t4 		oh , the doggy licked your toe . 
_t4 		yes , he did . 
_t4 		Daddy told me all about that . 
_t4 		did it tickle ? 
_t4 		sorry .
_t4 		sorry , sorry ,  . 
_t4 		not you . 
_t4 		what would you like ? 
_t4 		do you want wheat ? 
_t4 		or do you want some (.) cheese ? 
_t4 		okay . 
_t4 		I'll get you some cheese .
_t4 		teeny tiny cheese ?
_t4 		teeny tiny cheese ? 
_t4 		is that what your saying , oh+my+goodness .
_t4 		wriggle giggle .
_t4 		xxx . 
_t4 		wiggle ?
_t4 		wiggle your nose ? 
_t4 		if you're happy and you know it (.) wiggle your nose . 
_t4 		if you're happy and you know it wiggle your nose .
_t4 		yeah , that's good . 
_t4 		if you're happy and you know it , and you really wanna show it , if you're happy and you know it , wiggle your nose . 
_t4 		hee   .
_t4 		if you're happy and you know it +... 
_t4 		touch your eyebrow . 
_t4 		if you're happy and you know it , touch your eyebrow .
_t4 		if you're happy and you know it , and you really wanna show it , if you're happy and you know it , touch your eyebrow . 
_t4 		i:f you're happy and you know it , shout out loud . 
_t4 		yay ! 
_t4 		if you're happy and you know it , shout out loud . 
_t4 		ya:y ! 
_t4 		if you're happy and you know it , and you really wanna show it , if you're happy and you know it , shout out loud !
_t4 		yay ! 
_t4 		you didn't say yay . 
_t4 		can you say yay ?
_t4 		ya:y . 
_t4 		loud . 
_t4 		ya:y . 
_t4 		that was loud . 
_t4 		mmmm . 
_t4 		what ? 
_t4 		broccoli stew . 
_t4 		o:h , I know why you're thinking of that . 
_t4 		that book says +...
_t4 		shout out loud ! 
_t4 		good morning , sun . 
_t4 		happy morning everyone ! 
_t4 		breakfast too , buttered toast and broccoli ste:w +... 
_t4 		for the bunny: , not for you: .
_t4 		that book ? 
_t4 		get it ?
_t4 		well , I don't know where it is , we can look for it together . 
_t4 		we can look for that book together , how does that sound ? 
_t4 		xxx when you're done with your breakfast , we'll [: we will] look for that book . 
_t4 		kids ? 
_t4 		Tyler . 
_t4 		yeah , Tyler went back home to North Carolina . 
_t4 		a long time ago . 
_t4 		but , you know what , we have a picture of them , we could look at that after breakfast , too . 
_t4 		Kinana was hiding . 
_t4 		she made a good place to hide . 
_t4 		amongst the toys .
_t4 		Tyler was hiding , too , they were both hiding .
_t4 		they were hiding in the slide .
_t4 		they were hiding under the blankets .
_t4 		the kids . 
_t4 		yep [: yes] , they were hiding .
_t4 		xxx .
_t4 		xxx .
_t4 		wha:t ? 
_t4 		are you ready (.) to get out from there ? 
_t4 		that was very shrill .
_t4 		you know what , we're out of straws .
_t4 		we have no straws , we'll [: we will] have_to go to the store and get some straws today . 
_t4 		that's a scream . 
_t4 		that's almost a scream , I should say . 
_t4 		oh , you want the box , okay .
_t4 		you can open that box .
_t4 		that box is already open , in fact . 
_t4 		this is a messy kitchen . 
_t4 		our kitchen is messy , now . 
_t4 		hmmm , is that funny ? 
_t4 		are you having fun with the box ? 
_t4 		xxx . 
_t4 		xxx are you taking the box apart ? 
_t4 		no straws .
_t4 		no stra:ws in that box . 
_t4 		all gone . 
_t4 		cake ?
_t4 		cake ? 
_t4 		ca:ke .
_t4 		Daddy's cake .
_t4 		Mommy's cake ? 
_t4 		o:h .
_t4 		oh , I thought you were done with the cheese .
_t4 		okay . 
_t4 		cheesy Naima .
_t4 		are you a cheesy girl ?
_t4 		I think you're a cheesy girl .
_t4 		macaroni , that's right . 
_t4 		xxx . 
_t4 		xxx .
_t4 		xxx .
_t4 		no straws . 
_t4 		no straws . 
_t4 		you wanna see yourself ? 
_t4 		that's kinda hard to do . 
_t4 		that's too hard . 
_t4 		are we gonna read are what about snake ?
_t4 		oh these are snake in the clock ? 
_t4 		can you see it ? 
_t4 		what's Sleepy Bear like to listen to ? 
_t4 		hah he does I meant which story does he like to listen to . 
_t4 		he likes the word spot book . 
_t4 		which animal does he like does he like crocodile or the penguins the best . 
_t4 		hah the snake in the clock let's show Sleepy Bear the snake in the clock .
_t4 		hah  no there's the snake . 
_t4 		is he in the piano ? 
_t4 		he's sticking his nose in the piano . 
_t4 		hah no no said the hippo and the bird . 
_t4 		no no is he under the stairs ? 
_t4 		lions do nurse that's right who doesn't nurse Naima ? 
_t4 		what animal doesn't nurse . 
_t4 		right they don't nurse crocodiles don't nurse . 
_t4 		who else doesn't nurse ? 
_t4 		right .
_t4 		birds don't nurse .
_t4 		they do hatch out of eggs . 
_t4 		and who else doesn't nurse do insects nurse ? 
_t4 		they do . 
_t4 		right ostriches don't nurse .
_t4 		snakes .
_t4 		yeah can you leave that back pack on  . 
_t4 		you wanna put things in there . 
_t4 		let's go sit over here and read this book to sleepy bear . 
_t4 		I'll take that . 
_t4 		come on over here . 
_t4 		shall we read him Rosey ? 
_t4 		does he like the Rosey book ? 
_t4 		okay .
_t4 		I'll put him in the .
_t4 		let's read him a book . 
_t4 		do you want to sit on my lap ?
_t4 		next to Sleepy Bear .
_t4 		he likes spot better okay .
_t4 		come sit here . 
_t4 		okay good .
_t4 		okay go Sleepy Bear he's listening . 
_t4 		is he in the piano ?
_t4 		he sticks his nose in the piano yeah . 
_t4 		what's in the piano ? 
