_t4 		little girl .
_t4 		oh , so , so what was it like out there , cleaning up the oil ? 
_t4 		oh , no . 
_t4 		did you rescue that chicken ? 
_t4 		hmmm .
_t4 		it was breathing the fumes ? 
_t4 		oh .
_t4 		will , will , will there be a veterinarian who knows how to take care of chickens who have problems with oil spills ? 
_t4 		oh , what kind of texture was that oil ? 
_t4 		o:h . 
_t4 		huh . 
_t4 		must be hard to get clean at the end of the day for you . 
_t4 		if you're handling that .
_t4 		oh , did it smell bad too ? 
_t4 		oh . 
_t4 		hmmm . 
_t4 		well +/.
_t4 		and do you think that +//? 
_t4 		how is the veterinarian going to get the oil off the feathers ?
_t4 		it's pretty sticky , isn't it ? 
_t4 		that won't hurt them ? 
_t4 		uh+huh .
_t4 		and it'll [: it will] take the oil off ?
_t4 		oh , that's good . 
_t4 		I'm sure that chicken will need to rest in the veterinary hospital for a while . 
_t4 		before it's returned . 
_t4 		xxx . 
_t4 		leave that alone , okay ?
_t4 		okay , and what am I doing ? 
