_d5113 		hurt your toe ? 
_d5136 		that's right , she's  and  mommy . 
_d5136 		and +... 
_d5136 		uh  was there . 
_d5136 		whose mommy is  ? 
_d5136 		xxx . 
_d5136 		I'm eating my salmon . 
_d5136 		what ? 
_d5136 		oh .
_d5136 		okay I can get you more yogurt . 
_d5136 		you need what ? 
_d5136 		okay .
_d5136 		here I'm gonna pour it . 
_d5136 		you can use that spoon to [?] get [?] it [?] with . 
_d5136 		you wanna have some dried apricots ? 
_d5136 		I'll cut it up for you . 
_d5136 		you wanna talk about a bear for all seasons ? 
_d5136 		that's a good book . 
_d5136 		I think there's a fox in that book . 
_d5136 		mmmm+hmmm .
_d5136 		the fox +... 
_d5136 		yeah .
_d5137 		which bear wanted to nurse ? 
_d5137 		mmmm , the artist who illustrated that book ? 
_d5137 		she +//.
_d5137 		mmmm+hmmm , and a bear for all seasons . 
_d5137 		she did .
_d5137 		mmmm+hmmm .
_d5137 		mmmm+hmmm . 
_d5137 		I think she does in that book . 
_d5137 		she doesn't squash the worm in that book , I don't think so . 
_d5137 		oh , we don't have any , but we could go buy some frozen strawberries . 
_d5137 		next time we go to the store . 
_d5137 		would you like to do that ? 
_d5137 		mmmm+hmmm , would you like some frozen blueberries right now or some fresh banana ? 
_d5137 		mmmm , I don't think we have frozen banana . 
_d5137 		I'll check .
_d5137 		oh , there is a little bit . 
_d5137 		xxx get the phone .
_d5137 		hello ?
_d5137 		hi .
_d5137 		okay .
_d5137 		uh  look here .
_d5137 		July .
_d5137 		for  ,  +...
_d5137 		xxx nineteenth and twentieth .
_d5137 		of July .
_d5137 		I hope that's right , I'm like ninety percent sure that's right .
_d5137 		uh +...
_d5137 		I have_to (.)  , where can I call you back in your office ? 
_d5137 		I don't have that number easily available , so I'll call you on your office phone and leave a message there .
_d5137 		I'm sorry  that was Daddy , I had to (.) talk to him +... 
_d5137 		for a minute . 
_d5137 		xxx it was very hard to wait , I know , cause [: because] you saw it . 
_d5137 		it is , I'm cutting them in half for you so that they won't be so big . 
_d5137 		okay . 
_d5137 		I have_to go (.) look up something for Daddy I'll be right back , okay ? 
_d5137 		how you doing in here ? 
_d5137 		is that frozen banana good ? 
_d5137 		xxx .
_d5137 		oh .
_d5137 		that's a good idea . 
_d5137 		when you're done you can do that . 
_d5137 		I'll get it for you in just a minute , I have_to make one phone call .
_d5137 		hi  it's  . 
_d5137 		how are you ? 
_d5137 		oh ,  . 
_d5137 		xxx .
_d5137 		uh+huh .
_d5137 		oh , well that's why I'm calling , because  +...
_d5138 		xxx just called from work because he's gotta submit his request for +... 
_d5138 		xxx try not to be on call  starting July first , cause [: because] they do the schedule really late .
_d5138 		so I want to just confirm with you that the weekend of the nineteenth and twentieth is still (.) free for you because then I will ask him to ask +... 
_d5138 		to not be on call that weekend . 
_d5138 		right . 
_d5138 		okay , well I'll just  tell him +... 
_d5138 		okay .
_d5138 		a:nd I  I will look into the fare situation I'm assuming it's not gonna be that  .
_d5138 		oh . 
_d5138 		but I will plan on  . 
_d5138 		oh , and if I  +...
_d5138 		you can come in Friday , right ? 
_d5138 		mmmm+hmmm . 
_d5138 		mmmm+hmmm . 
_d5138 		um . 
_d5138 		okay , and I have a question  schedule  +... 
_d5138 		great . 
_d5138 		that sounds like a plan .
_d5138 		yep [: yes] . 
_d5138 		mmmm+hmmm . 
_d5138 		mmmm+hmmm . 
_d5138 		xxx . 
_d5138 		mmmm+hmmm . 
_d5138 		right . 
_d5138 		xxx . 
_d5138 		uh+huh . 
_d5138 		oh . 
_d5138 		like in the real afternoon  evening . 
_d5138 		xxx . 
_d5138 		yeah . 
_d5138 		but anyway you're only going , getting yourself to the  ferry  . 
_d5138 		xxx ,  . 
_d5138 		good ,  +/. 
_d5138 		I don't think so . 
_d5138 		I don't believe so . 
_d5138 		yes , yeah I mean people might (.) do that actually but there might be weekend commuters  , that's a good point , who just have summer places . 
_d5138 		on the ,  +... 
_d5138 		xxx .
_d5138 		xxx , and that's still pretty far in advance .
_d5138 		xxx problem . 
_d5138 		xxx ,  we're fine . 
_d5138 		I guess , is that true ? 
_d5138 		I guess so , I guess that's all  email , yeah .
_d5138 		xxx ,  just , yeah , we're fine . 
_d5138 		yeah , she hasn't been  .
_d5138 		xxx .
_d5138 		
_d5138 		I +//.
_d5138 		I may have_to go soon because she's (.) a little on the sleepy side and +... 
_d5138 		uh yes , actually . 
_d5138 		yeah I'm sorry ,  I can't stay  really , but ,  , but I'll talk to you to confirm those details or email you . 
_d5138 		good luck recovering from the end of your semester . 
_d5138 		o:h . 
_d5138 		xxx , okay , bye . 
_d5138 		I see what you're doing . 
_d5138 		you want your spoon , I think it's in your lap . 
_d5138 		xxx see it right here .
_d5138 		hey , where'd that ice+cream come from ? 
_d5138 		hmmm . 
_d5138 		well , it's not  . 
_d5139 		you're gonna what ? 
_d5139 		you wanna see yourself ? 
_d5139 		well , there's nothing to see , just yet . 
_d5139 		I'm putting the , microphone on myself .
_d5139 		you have tomato sauce on your finger .
_d5139 		today +...
_d5140 		oh , that's the noise of the , dishwasher . 
_d5140 		let's see if that water's boiling . 
_d5140 		
_d5140 		because I'm boiling the water . 
_d5140 		is it too hot for you ? 
_d5140 		is it bothering you ?
_d5140 		okay . 
_d5140 		is that better ?
_d5140 		it's not as hot now right ? 
_d5140 		I'm waiting for the water to boil so that I can put the orzo in .
_d5141 		almost time . 
_d5141 		now it's boiling .
_d5141 		gonna watch me pour it in ? 
_d5141 		and it's boiling . 
_d5141 		it's hot because I turned the stove on to boil the water . 
_d5141 		yes .
_d5141 		trying to figure out where to put your , microphone , so that it won't bother you . 
_d5141 		I think I better stir the orzo .
_d5141 		do you want some frozen green beans to eat maybe ? 
_d5141 		doesn't that sound great ?
_d5141 		I thought you'd like that idea . 
_d5141 		all+right , I'll cut them into little pieces .
_d5141 		they are frozen , they are going to be , cold like ice ! 
_d5141 		cold like ice green beans . 
_d5141 		polar bears probably like these frozen green beans . 
_d5141 		I'm cutting them , into , little tiny circles .
_d5141 		see how they become circles when I cut them ? 
_d5141 		wow , little frozen circle . 
_d5141 		mmmm , those are kind of yummy aren't they ? 
_d5141 		mmmm . 
_d5141 		mmmm+hmmm , I'll cut some more .
_d5142 		anonay . 
_d5142 		anonay . 
_d5142 		moishy moishy anonay . 
_d5142 		are you spitting those out Naima ? 
_d5142 		well , I would like you to swallow them .
_d5142 		use the , juicy water to wash em [: them] down , okay ? 
_d5142 		I'm gonna bring you more frozen green beans . 
_d5142 		then I'm gonna grate some more salty+cheese . 
_d5142 		did you like the salty cheese ? 
_d5143 		what ? 
_d5143 		oh I saw some more birds there . 
_d5143 		you wanna have a bite ? 
_d5143 		do you want a bite ?
_d5143 		you asked for more hummus and then you didn't , eat it . 
_d5143 		how bout [: about] more salty cheese ? 
_d5143 		no , don't spit it out . 
_d5143 		I want you to chew it and eat it . 
_d5143 		I mean the , green beans . 
_d5143 		it's not for doing that , it's not for playing ! 
_d5143 		well , that would be fine if you would actually drink it . 
_d5143 		
_d5143 		xxx . 
_d5143 		what's this ?
_d5143 		hmmm that looks like a , been sitting here for like a month . 
_d5143 		oh .
_d5143 		um , I thought I'd , make some quick pasta supper .
_d5143 		since I'm here anyway and I need to sit with her .
_d5143 		birds do eat insects .
_d5143 		hi Miss Boo what are you eating ?
_d5143 		that sounds fine .
_d5143 		what ? 
_d5143 		that sounds fine . 
_d5143 		what's insects ? 
_d5143 		need to move up for a second .
_d5143 		birds are not insects , birds are , birds are birds . 
_d5143 		birds are birds .
_d5143 		insects , insects are insects . 
_d5143 		birds are birds and insects are insects and you have toes . 
_d5143 		actually taping .
_d5143 		I know .
_d5143 		xxx .
_d5143 		we're taping , you . 
_d5143 		my , little , my sweet little +... 
_d5143 		carrot seed !
_d5143 		my sweet little cherry blossom .
_d5143 		no !
_d5143 		no , why not ? 
_d5143 		the +...
_d5143 		you're not a cherry blossom ? 
_d5143 		it's steaming , wow it really is .
_d5143 		oh ! 
_d5143 		only the black part would really be damaged . 
_d5143 		metal transmits heat so +...
_d5143 		okay .
_d5143 		can you , bring her +..?
_d5143 		never mind .
_d5144 		there's steam because the pasta was boiling . 
_d5144 		are you okay ?
_d5144 		still sleepy ?
_d5144 		yeah I'm just slowly waking up . 
_d5144 		but I think I'm okay now , I'll be able to help you now .
_d5144 		I'm gonna give you some it's very hot , I'm gonna [: going to] put more cold , tomato sauce on it to make it cool enough to eat . 
_d5144 		and I'm gonna wash off +...
_d5144 		actually you know what you should really eat this with , a +... 
_d5144 		a big spoon . 
_d5144 		oh !
_d5144 		try it with this spoon . 
_d5144 		you could try this spoon . 
_d5144 		gonna make sure it's not too hot . 
_d5144 		oh it's perfect , mmmm+hmmm . 
_d5144 		okay , go ahead . 
_d5144 		yum , Naima . 
_d5144 		thought I had it . 
_d5144 		
_d5144 		yeah it's this , trip to  . 
_d5144 		oh yes I think you're right Naima . 
_d5144 		Babaji and Daddy are watching television . 
_d5144 		that's what she said , she said I think but +... 
_d5144 		I forgot I had a movie . 
_d5144 		hey that was , good . 
_d5144 		you're eating orzo with a very big spoon . 
_d5144 		that spoon is as big as Naima ! 
_d5144 		ah , let's see +... 
_d5144 		xxx . 
_d5144 		well I mean , the tomato sauce won't work , for my dad . 
_d5144 		uh , no ,  , I was gonna make  , I have , some +... 
_d5144 		probably olive oil and garlic or something .
_d5144 		I have mushrooms +... 
_d5144 		and , actually , I'll make whole wheat pasta for us but he can have this little bit of orzo that , she's having . 
_d5144 		tomato ,  , mushroom and olive , I do have olives +... 
_d5145 		uh so , mushrooms are fine babe . 
_d5145 		oh good , okay .
_d5145 		what about olives ? 
_d5145 		I dunno .
_d5145 		oh you mean , whole olives ? 
_d5145 		yes . 
_d5145 		how bout [: about] olives ?
_d5145 		olives are okay too . 
_d5145 		okay . 
_d5145 		good .
_d5145 		that's great . 
_d5145 		and , onions , garlic he can have that , without , restriction ? 
_d5145 		yeah onions and garlic +...
_d5145 		is that good Naima ? 
_d5145 		is it yummy ? 
_d5145 		great . 
_d5146 		I think maybe tomorrow I will , have a non+cooking day , for myself . 
_d5146 		well I mean , he can eat , small amounts .
_d5146 		or have it on the side , that way people can do what they want . 
_d5146 		an' [: and] we can make a salad too . 
_d5146 		you want more orzo Naima ? 
_d5146 		you do . 
_d5146 		save some for your dad , if possible . 
_d5146 		oh is the whole wheat not good for him ? 
_d5146 		I , right he avoids whole wheat ,  . 
_d5146 		oh that's right he eats  . 
_d5146 		and you want some tomato sauce too ? 
_d5146 		there . 
_d5146 		is it hot ? 
_d5146 		I dunno .
_d5146 		what's Daddy doing ? 
_d5146 		mmmm .
_d5146 		Daddy's eating something called , cashews . 
_d5146 		it's a kind of a nut . 
_d5146 		I think animals probably like cashews too . 
_d5146 		oh do you not have a pocket in these ?
_d5146 		or you probably do . 
_d5146 		no . 
_d5146 		oh well .
_d5146 		take it off if you can .
_d5146 		oh you were cooling the pasta down I wondered what you were doing . 
_d5146 		you're cooling it down yourself ? 
_d5146 		hmmm ! 
_d5146 		like this . 
_d5146 		yes , yes , I've seen her do that before . 
_d5147 		those azaleas outside are really nice looking . 
_d5147 		mmmm .
_d5147 		one is pink and there's a red one , coming in . 
_d5147 		I was thinking maybe we should all go , for at least one meal we should go to like to the paddock or something . 
_d5147 		mmmm+hmmm , I had the same thought .
_d5147 		it might be , busy , though , although if we went , &er  +... 
_d5147 		this is a weird weekend .
_d5147 		you want more orzo ?
_d5147 		okay . 
_d5148 		more orzo for the Boo . 
_d5148 		want more tomato sauce too ?
_d5148 		you think one of these is enough for , all of us ? 
_d5148 		yeah . 
_d5148 		there's twenty one +... 
_d5148 		twenty+one grams of protein in this whole thing that's not enough for four adults really . 
_d5148 		no .
_d5148 		three plus fifteen +... 
_d5148 		or I could fry this up . 
_d5148 		yeah . 
_d5148 		that would probably be tastier , especially if you , threw it in with the +... 
_d5148 		this salsa only has twenty+one +//.
_d5148 		well your dad's +...
_d5148 		oh . 
_d5148 		right , he'll he'll have maybe four or five grams , the rest of us will , have more . 
_d5148 		no . 
_d5148 		miss Naima boo you're having a good supper . 
_d5148 		actually that's  , add some soy .
_d5148 		you could , switch , (be)cause I did start this tape , because I thought we'd get your parents in here on , and maybe , segue into , them , talking about this or that , so +... 
_d5148 		mmmm+hmmm .
_d5148 		it's okay if it's a hybrid tape I think ,  have_to be +... 
_d5148 		you are having a good supper Naima , I'm glad to see you eating it . 
_d5148 		mmmm .
_d5148 		that's the only problem with a Friday call if +... 
_d5148 		if it's bad , the whole next day is kinda [: kind of] , shot .
_d5148 		mmmm+hmmm .
_d5148 		you want Portishead . 
_d5148 		well Dadaji an' [: and] Babaji are watching something that they'd like to watch right now . 
_d5148 		you could listen later , to Portishead . 
_d5148 		somebody's got a little bit of a short , fuse this afternoon . 
_d5148 		nursies are in the world Naima . 
_d5149 		I know Naima but you know what , Babaji and Dadaji are watching it . 
_d5149 		and Daddy wants them to watch it and I wanna be able to watch it sometimes .
_d5149 		he wants them to have fun too and they're having fun watching it .
_d5149 		they're our guests .
_d5149 		then let's figure out something fun for you to do .
_d5149 		I know you do , I know you want to but , actually I don't think we're going to because , Babaji and Dadaji are listening , and they're watching . 
_d5149 		they are . 
_d5149 		you want some , garlic hummus ?
_d5149 		look at this mushroom . 
_d5149 		wow . 
_d5149 		that's a mushroom !
_d5149 		that's a , that's a big mushroom . 
_d5149 		I'm rubbing the mushroom .
_d5149 		that mushroom is huge .
_d5149 		it's huge !
_d5149 		it's so big , it's huge ! 
_d5149 		in fact it's so huge it's , humongous . 
_d5149 		it's a humongous fungus . 
_d5149 		there is some more orzo here .
_d5150 		ouch . 
_d5150 		why did she say ouch ?
_d5150 		I think her finger touched something that was very hot while she was cooking .
_d5150 		the oil , the oil was hot , and it came up and touched my hand . 
_d5150 		do you want some water Naima or some juice ? 
_d5150 		she had some . 
_d5150 		oh I , I took it away because she was , putting it on her food .
_d5150 		I'm hungry . 
_d5150 		mmmm , me too . 
_d5150 		thank you for the sleep it was really good . 
_d5150 		oh , I'm glad you were able to get to sleep .
_d5150 		did you lie down , and stay down , or what did you do ? 
_d5150 		I was lying down for a little while but I really really sleep at all , I just , figured there was no point .
_d5150 		no point . 
_d5150 		I enjoyed myself by buying , some nursing bras online on sale . 
_d5150 		that's what I did instead of taking a nap . 
_d5150 		wowie . 
_d5150 		what else Naima you want some more , hummus ? 
_d5150 		oh I was closing it because I thought it was bothering you to hear the noise of the movie . 
_d5150 		but we can open the door . 
_d5150 		oh and my water's boiling here . 
_d5150 		should I do something ? 
_d5150 		you could open the door for Naima since she likes  . 
_d5151 		you wanna go in the room ? 
_d5151 		are you all done , should I clean you up ? 
_d5151 		oh , you should eat some more orzo ? 
_d5151 		okay Miss Hungry Baby . 
_d5151 		let's finish the orzo . 
_d5151 		you know what ?
_d5151 		do we have any other non+wheat ? 
_d5151 		I could make some , separately for your dad , non+whole+wheat , pasta .
_d5151 		yeah that's what I was , well they're wheels , I can make  . 
_d5151 		that's a lotta [: lot of] orzo boo+boo . 
_d5151 		are you cooling it down ? 
_d5151 		that's a very nice , cooling down kind of action .
_d5151 		you know it with their other our fish , frozen fish filet +...
_d5151 		what are you looking +..? 
_d5151 		oh , well , did you put away the , tomato sauce ?
_d5151 		or did I ?
_d5151 		uh , I guess , I might have , I don't really remember . 
_d5151 		huh ,  .
_d5151 		yes .
_d5151 		yup [: yes] , there it is . 
_d5151 		the frozen fish filets you mean for him ?
_d5151 		yeah they're breaded but he , in fact they might even be whole+wheat breaded . 
_d5151 		okay , tomato sauce . 
_d5151 		but , he might be able to eat that .
_d5152 		what's that ? 
_d5152 		you want Mommy to watch you do the orzo ? 
_d5152 		do you want some more beans ? 
_d5152 		green beans ? 
_d5152 		okay , here's some more green beans . 
_d5152 		should I put them in here ? 
_d5152 		mmmm , crunchy green beans , yummy . 
_d5152 		mmmm hot cilantro  . 
_d5152 		xxx . 
_d5152 		so she's +//.
_d5152 		wow , she ate all that pasta . 
_d5152 		there's more pasta in your plate . 
_d5152 		you got a big spoon here . 
_d5152 		I'm gonna go make us a salad . 
_d5152 		you really getting very good at feeding yourself Naima . 
_d5152 		you know how to do it . 
_d5152 		she doesn't usually have that big spoon but it's actually , helpful in a way . 
_d5152 		all+right +... 
_d5152 		mmmm .
_d5152 		mmmm !
_d5152 		xxx Dad's making funny  . 
_d5152 		it's somewhere +//.
_d5152 		oh ! 
_d5153 		no it's in the way , okay okay okay okay . 
_d5153 		that's not a good idea . 
_d5153 		we can , stop for now , too . 
_d5153 		xxx . 
_d5153 		Daddy's gonna teach you . 
_d5153 		I don't think I wanna teach you that . 
_d5153 		you were telling Daddy what ? 
_d5153 		a word that is not good ? 
_d5153 		what word is that ? 
_d5153 		oh is that a new word , that's not good ? 
_d5153 		is that word not good Naima ? 
_d5153 		oh ! 
_d5153 		you made a new word .
_d5153 		rubianeany . 
_d5153 		
_d5153 		
_d5153 		
_d5154 		these are actually not for you to play with , Miss Naima . 
_d5154 		I dunno [: don't know] but , these aren't for you to play with . 
_d5154 		Naima +...
_d5154 		Naima do you wanna sort silverware for me ? 
_d5154 		okay .
_d5154 		I'm gonna blend I'll need some help from you . 
_d5154 		helper kangaroo .
_d5154 		I fixed it (be)cause you , it broke when you threw it down so I fixed it .
_d5154 		
_d5154 		
_d5154 		
_d5154 		
_d5154 		
_d5154 		well why do you wanna break it ?
_d5154 		
_d5154 		no .
_d5154 		you wanna take the cables ?
_d5155 		you're drilling a hole ? 
_d5155 		are you drilling a hole , where are you drilling a hole ? 
_d5155 		in the hallway where's your drill I don't see your drill . 
_d5155 		J stands for +... 
_d5155 		what's jiggaluh ? 
_d5155 		
_d5156 		are you upset Naima ? 
_d5156 		
_d5157 		aren't you gonna give her a bath ? 
_d5157 		yeah . 
_d5157 		Naima you wanna take a bath ? 
_d5157 		
_d5157 		
_d5157 		
_d5157 		
_d5157 		
_d5157 		mmmm+hmmm .
_d5157 		
_d5157 		are you pretending to cry ?
_d5157 		
_d5157 		
_d5157 		
_d5157 		
_d5157 		are you ready for a nap , are you ready for a bath , Boo ?
_d5157 		Daddy's gonna go , run the water .
_d5157 		ah yeah you should cry (be)cause you broke the l .
_d5157 		
_d5157 		
_d5157 		
_d5157 		
_d5157 		
_d5157 		why ?
_d5157 		
_d5157 		yeah .
_d5158 		let's take a bath Miss Boo . 
_d5158 		let's take a bath . 
_d5158 		Daddy's ready , I'm gonna run the water ! 
_d5158 		I'm gonna +...
_d5158 		
_d5158 		
_d5158 		is , is that , diaper bothering you boo ?
_d5158 		okay I'm gonna turn the water on ! 
_d5158 		and he looked like this !
_d5158 		it looks like this !
_d5158 		it looks like that .
_d5158 		okay .
_d5158 		Naima tore one of her cards . 
_d5158 		aha . 
_d5158 		and then ran away , and , cried , and said , you're pretending to cry .
_d5158 		thank you .
_d5158 		Daddy's gonna run the water Boo !
_d5158 		partly . 
_d5158 		so , &er what , do you have in the building ? 
_d5158 		oh I don't know , I mean , I didn't really have +... 
_d5158 		you know I try to suppress that as soon as I , have the thought . 
_d5158 		so that I don't actually +... 
_d5158 		no , of course something sweet . 
_d5158 		sucrose +...
_d5158 		pastry . 
_d5158 		oh I can go get , that's easy . 
_d5158 		yeah but you know , your parents , it's not so , great to have it around because of them . 
_d5158 		but this I dunno [: don't know] you know , I didn't check the hours of the new place up here . 
_d5158 		oh Naima's [: Naima is] +...
_d5158 		I think , that their other ones aren't ripe , but you could have some strawberry , the other ones are , hard . 
_d5158 		can I get you some fresh strawberry ? 
_d5158 		he's double checking . 
_d5158 		that's , that's what I meant .
_d5158 		how bout [: about] some fresh +..?
_d5158 		well this one seems , to fight . 
_d5158 		oh well , sorry . 
_d5158 		have some strawberries honey .
_d5158 		look , don't these look good ? 
_d5158 		that's a huge strawberry !
_d5159 		okay . 
_d5159 		I think Naima's [: Naima is] correcting herself instead of saying you she's saying Naima (be)cause she knows has a sense that you is not quite right . 
_d5159 		yeah .
_d5159 		I'm gonna .
_d5159 		I'm gonna cut it . 
_d5159 		Naima's [: Naima is] gonna , do it . 
_d5159 		you gonna take a bite of it ?
_d5159 		you could take a bite of it .
_d5159 		you can try it . 
_d5159 		like an apple . 
_d5159 		it's as big as a little apple . 
_d5159 		small bite , take a small bite . 
_d5159 		it's good for your teeth . 
_d5159 		mmmm . 
_d5159 		mmmm . 
_d5159 		Naima's [: Naima is] eating a strawberry . 
_d5159 		the way that it's meant to be eaten . 
_d5159 		that's right . 
_d5159 		well Naima had strawberries at Gene's farm . 
_d5159 		warm from the sun , just picked . 
_d5159 		mmmm .
_d5159 		not washed except , Mommy dusted it off . 
_d5159 		last summer , last June probably . 
_d5159 		got lost , did he ? 
_d5159 		I know .
_d5159 		you didn't run into deer poop ? 
_d5159 		well , they were +... 
_d5159 		I don't think the deer actually come into the strawberry patch to poop . 
_d5159 		do you have a twenty+four hour video camera ,  ? 
_d5159 		I think it was one of these things where they were right on top , they were , you know .
_d5159 		here .
_d5159 		well , it's hard to , to do it by hand .
_d5159 		why don't I use the knife ?
_d5159 		to make it easier to eat , okay ? 
_d5159 		oh .
_d5159 		oh , you got strawberry in your eye ? 
_d5159 		close your eyes for a minute and then I'll they'll feel better , if you , close them for a little +//. 
_d5159 		not not hard , just lightly . 
_d5159 		you don't have_to , shut them that tightly , look how Mommy's closing her eyes . 
_d5159 		see I'm not squeezing them that's squeezing them , I'm just shutting them . 
_d5159 		now just close em [: them] now . 
_d5159 		as if you were asleep . 
_d5159 		yeah . 
_d5159 		here have some strawberry . 
_d5159 		what's Naima doing ? 
_d5159 		are you recording ?
_d5159 		yeah . 
_d5159 		good . 
_d5159 		I'm sitting across from you . 
_d5159 		Daddy's sitting across from you over here .
_d5159 		mmmm . 
_d5159 		thanks for the coffee . 
_d5159 		you're welcome and I'd be happy to go get some +... 
_d5159 		something bad ? 
_d5159 		croissant . 
_d5159 		from Fancy's . 
_d5159 		well , what I was gonna say is this place might actually be open on Sundays , since it's different , ownership . 
_d5159 		I know , but +...
_d5159 		yeah , I guess it's worth , an extra , few minutes . 
_d5159 		they had +...
_d5159 		no .
_d5159 		on a Sunday it's hard to predict , people's opening times . 
_d5159 		yup [: yes] , yeah .
_d5159 		well , and what , what was Fancy's on Sundays ? 
_d5159 		in fact , weren't , wasn't Fancy's closed also on Sundays ? 
_d5159 		oh , I drove out there and it was closed .
_d5159 		yeah , I think so . 
_d5159 		the difference was the Saturday hours .
_d5159 		yeah , you're right .
_d5159 		I think Fancy had longer Saturday hours . 
_d5159 		you're right .
_d5159 		but this place is unknown . 
_d5159 		oh I hate  .
_d5159 		the other thing is we could go out but that involves everybody , getting ready to go out which takes too long .
_d5159 		it's a huge production .
_d5159 		I could make something but +...
_d5159 		and it's gonna be really crowded today . 
_d5159 		well , higher bout [: about] early in the morning . 
_d5159 		there is the  , race , today . 
_d5159 		I dunno [: don't know] .
_d5159 		I don't +...
_d5159 		what race is it ?
_d5159 		it's the Johnny Kelly , ten+k I think . 
_d5159 		oh .
_d5159 		is he gonna run in it ? 
_d5159 		I think he does actually . 
_d5159 		is he your patient ? 
_d5159 		no .
_d5159 		think I think he's ,  , he may still see Mac I don't remember . 
_d5159 		um +... 
_d5159 		I don't wanna have it because you've been squeezing it . 
_d5159 		I will have one that you haven't been squeezing .
_d5159 		do you wanna give me a piece that you haven't been +..? 
_d5159 		okay .
_d5159 		thank you Naima . 
_d5159 		mmmm , that's nice for sharing .
_d5159 		are they delicious Naima are they good ? 
_d5159 		the strawberries ?
_d5159 		mmmm , wow . 
_d5159 		is it tasty Boo ? 
_d5159 		squeeze it sweetie . 
_d5159 		don't squeeze it , eat it . 
_d5159 		you don't wanna eat them anymore ?
_d5159 		you want some yogurt with it ? 
_d5159 		okay . 
_d5159 		what could we make here that would be easy ? 
_d5159 		why ? 
_d5159 		oh you don't wanna mix them ?
_d5159 		you don't wanna mix up the yogurt and the strawberries ? 
_d5159 		here comes the yogurt ! 
_d5159 		lucky . 
_d5159 		or strawberry .
_d5159 		or both . 
_d5159 		dya [: do you] want wheat or oatie+o's ? 
_d5159 		just strawberry ? 
_d5159 		how bout [: about] wheat germ ? 
_d5159 		okay .
_d5159 		I don't .
_d5159 		no , don't do that .
_d5159 		Naima ! 
_d5159 		that's making a mess . 
_d5159 		I'm gonna take all the food away if you keep doing that .
_d5159 		Naima hold still , there's a strawberry down here . 
_d5159 		somewhere . 
_d5159 		xxx just making +...
_d5159 		I have a feeling , you don't like these strawberries .
_d5159 		is that right ? 
_d5159 		you don't wanna do yogurt ?
_d5159 		you didn't have any yogurt . 
_d5159 		remember this , this bowl has letters on it . 
_d5159 		it's a j .
_d5160 		spells baby Bjorn . 
_d5160 		I would actually like to get , more of these bowls . 
_d5160 		and the spoons that go with em [: them] are just right too . 
_d5160 		I think they're too deep they're , too much like her bowl . 
_d5160 		the spoons . 
_d5160 		the spoons or the bowl ?
_d5160 		the spoons . 
_d5160 		the , ones that match that ? 
_d5160 		yeah isn't it the short , handle on the round +...
_d5160 		yeah .
_d5160 		xxx .
_d5160 		what's too deep ?
_d5160 		they're not deep . 
_d5160 		they're the same , about the same as this +... 
_d5160 		there was a bird at the feeder ? 
_d5160 		what was he doing ? 
_d5160 		he was eating some seeds ?
_d5160 		how did he know that the seeds were there ? 
_d5160 		that's a good question . 
_d5160 		how did he know , that the seeds were there ? 
_d5160 		because we put them there , maybe he saw us putting them there ? 
_d5160 		that would be one way he would know . 
_d5160 		not the weeds . 
_d5160 		we planted the seeds not the weeds .
_d5160 		we want the seeds to grow not the weeds . 
_d5160 		flowers ? 
_d5160 		the weeds were flowering ? 
_d5160 		you were helping me so much when we were pulling weeds down at the garden the other day .
_d5160 		you were tugging them up , yeah .
_d5160 		you were tugging weeds ? 
_d5160 		we have lots more things to plant in our garden . 
_d5160 		beans , and I ordered some more seeds from a , kind of a rare seed place . 
_d5160 		a french pumpkin . 
_d5160 		a french pumpkin ? 
_d5160 		why ?
_d5160 		a french pumpkin . 
_d5160 		how frenchist .
_d5160 		sorry , your hair is in your yogurt on your face .
_d5160 		um , some flowers . 
_d5160 		what did I order ? 
_d5160 		I just kinda [: kind of] did it on a whim .
_d5160 		well we have beans we need to plant .
_d5160 		and Daddy has bachelor's+buttons .
_d5160 		oh yes , bachelor's+buttons ! 
_d5160 		good idea .
_d5160 		you have_to find a special place for them with Daddy . 
_d5160 		yeah . 
_d5160 		you gonna make a row for them , just like we made rows in the garden . 
_d5160 		you could do that . 
_d5160 		I would spare space if you wanted to , have them in the , vegetable garden . 
_d5160 		boy the birds are really , feeding . 
_d5160 		and they're chirping .
_d5160 		are they hungry ?
_d5160 		I think bachelor's+buttons need sun , right ?
_d5161 		or at least partial sun . 
_d5161 		you know what might be a good place ? 
_d5161 		this , area , right here , actually gets morning sun .
_d5161 		yeah , I know .
_d5161 		I don't think it does all day .
_d5161 		I know .
_d5161 		but , you could just clear out , some of whatever's there and put them . 
_d5161 		this variety is tall bachelor's+buttons .
_d5161 		yeah . 
_d5161 		see how tall they are . 
_d5161 		maybe Tuesday when it's , if maybe if it's not raining . 
_d5161 		drought tolerant .
_d5162 		in the vegetable garden ? 
_d5162 		we could plant them there , too .
_d5162 		early spring , one to two weeks before last frost so really they should , be +...
_d5162 		yeah , it's it's a perfect time . 
_d5162 		yeah . 
_d5162 		seeds require dark to germinate .
_d5162 		completely cover . 
_d5162 		mmmm .
_d5162 		some , some don't . 
_d5162 		okay , does not transplant well . 
_d5162 		two to three foot tall , that's really tall for bachelor's+buttons . 
_d5162 		huh , it'd be interesting . 
_d5162 		no , three feet is common . 
_d5162 		two to three .
_d5162 		well you see , you see them , from time to time . 
_d5162 		I've never seen bachelor's+buttons that tall .
_d5162 		mmmm . 
_d5162 		I have up to here . 
_d5162 		well , then , it's a variety for you . 
