_d5206 		some recording now . 
_d5232 		why are you upset ? 
_d5232 		yes , I'm getting the magic markers ! 
_d5232 		you want some paper ? 
_d5232 		all+right ? 
_d5232 		should we write down +... 
_d5232 		you want some crayons , okay . 
_d5232 		crayons are good . 
_d5232 		and we certainly have some .
_d5232 		you don't want what ? 
_d5232 		oh .
_d5232 		okay , I'll put the markers away . 
_d5232 		take all these crayons with us to the living room . 
_d5232 		a piece of what ? 
_d5232 		yeah , this is paper right here . 
_d5232 		yeah , there are ants in the kitchen . 
_d5232 		I don't like ants in my kitchen , okay . 
_d5232 		so , here's some crayons . 
_d5232 		and you want to learn how to write some words you said ? 
_d5232 		you want me to write the words ? 
_d5232 		well , I could write them and you could practice . 
_d5232 		practicing is good too . 
_d5232 		that's a yellow crayon . 
_d5232 		isn't it ? 
_d5232 		oh , you're taking that page out ? 
_d5232 		okay . 
_d5232 		all+right . 
_d5232 		well you can still write on it though , look it's good to write on . 
_d5232 		why don't you write on that ? 
_d5232 		well you need to write on a hard surface like this . 
_d5232 		that's a nice hard surface and you could put here , you could put this down . 
_d5232 		you could draw on that one . 
_d5232 		what color  crayons should I use to write the names of the animals ? 
_d5232 		okay .
_d5232 		okay , orange . 
_d5232 		should I write eagle here ? 
_d5232 		you can just leave that alone , okay ? 
_d5232 		just leave it alone , just ignore it . 
_d5232 		that means don't pay attention . 
_d5232 		okay , I'm gonna write +... 
_d5232 		eagle right here . 
_d5232 		do you know how to spell eagle ? 
_d5232 		you wanna practice writing ? 
_d5232 		e+a+g+l+e ! 
_d5232 		oh see it ? 
_d5232 		or you wanna practice ? 
_d5232 		using the clothes+pins now ? 
_d5232 		looks like you're using the clothes+pins . 
_d5232 		yup [: yes] , we can do this later when +... 
_d5232 		oh , did that clothes+pin break ? 
_d5232 		all+right , I'll see if I can fix that . 
_d5232 		well it's broken right , so why don't you give it to me and I'll see if I can put it back together . 
_d5232 		okay . 
_d5232 		you didn't think it was delicate I think . 
_d5232 		but it was a little bit delicate . 
_d5232 		okay . 
_d5232 		what are you doing ? 
_d5232 		you're putting clothes+pins there ? 
_d5232 		how (a)bout putting them on this side now ? 
_d5232 		(be)cause there's more room here .
_d5232 		hmmm . 
_d5232 		it's not easy , is it ? 
_d5232 		you did it , there ! 
_d5232 		should we do it together ? 
_d5232 		yeah .
_d5232 		I see that .
_d5232 		I think that's the other part why don't you give that one to me . 
_d5232 		remember , push and clip . 
_d5232 		mmmm+hmmm , yeah .
_d5232 		push . 
_d5232 		push . 
_d5232 		and clip . 
_d5232 		it's not easy on that side , when it's on that side ? 
_d5232 		I think you're doing a pretty good job actually . 
_d5232 		hmmm , there that one's fixed . 
_d5232 		which fingers am I using ? 
_d5232 		that's right . 
_d5232 		mmmm+hmmm . 
_d5232 		I like these new clothes+pins , they're so +... 
_d5232 		new and clean and they're in these nice colors . 
_d5232 		blue and white . 
_d5232 		hello . 
_d5232 		hello . 
_d5232 		it's like a mouth . 
_d5232 		that end of the clothes+pin looks like an animals mouth , like a crocodile . 
_d5232 		hello .
_d5232 		squeak ! 
_d5232 		squeak squeak squeak ! 
_d5232 		do you wanna try hanging up the dolls clothes with the clothes+pins ? 
_d5232 		on a +... 
_d5232 		I'm trying to think +... 
_d5232 		what we could use a clothes , make a little clothes+line in the house . 
_d5232 		oh , do you know how to take them off ? 
_d5232 		you squeeze them again when you get them off . 
_d5232 		you squeeze with your fingers , index or thumb . 
_d5232 		watch Mommy do it . 
_d5232 		watch . 
_d5232 		squeeze . 
_d5232 		squeeze when it comes off . 
_d5232 		squeeze and open when you take it off . 
_d5232 		can you practice taking it off too ? 
_d5232 		squeeze . 
_d5232 		and open , yeah . 
_d5232 		squeeze and open . 
_d5232 		squeeze , open , pull up . 
_d5232 		squeeze , open , pull up . 
_d5232 		one at a time , one at a time it's easier . 
_d5232 		watch Mommy do it . 
_d5232 		squeeze , open , pull up . 
_d5232 		you have_to squeeze at the top , right up here . 
_d5232 		squeeze , there . 
_d5232 		okay , I'm just trying to think whether we have anything like a clothes+line in the house . 
_d5232 		oh I know , we have that twine that I was using for the garden . 
_d5232 		how (a)bout if I get that ? 
_d5232 		where can we tie it here in the living room ? 
_d5232 		don't step on that please .
_d5232 		because I don't want you to step on it . 
_d5232 		really ? 
_d5232 		you do like to step on your pony , why do you like to step on your pony ? 
_d5232 		(be)cause he's mad ? 
_d5232 		do you do that when you're feeling mad ? 
_d5232 		who's crying ?
_d5232 		why is Naima crying ?
_d5232 		why is Naima crying ? 
_d5232 		the what ? 
_d5232 		the twine , yeah . 
_d5232 		I'm just trying to think where we're gonna put the twine . 
_d5232 		how about +... 
_d5232 		oh you know , we could do it over there at the fire+place if we clean the toys away a little bit . 
_d5232 		lemme [: let me] get a big piece of twine . 
_d5232 		okay . 
_d5232 		let's a , let's clip that on to you . 
_d5232 		actually you know what , you have a great little pocket . 
_d5232 		you can put it right there in the +... 
_d5232 		hey , I think that's the garbage truck . 
_d5232 		do you wanna see it ? 
_d5232 		okay . 
_d5232 		let's go see . 
_d5232 		oh here I'll lift you up . 
_d5232 		here it is . 
_d5232 		what color is it ? 
_d5232 		blue ? 
_d5232 		it looks black to me . 
_d5232 		what color lights does it have ? 
_d5232 		yeah . 
_d5232 		there he is ! 
_d5232 		yes . 
_d5232 		green green buckets of garbage .
_d5232 		it's a big truck ! 
_d5232 		yay ! 
_d5232 		he's very strong . 
_d5232 		bye+bye garbage truck ! 
_d5232 		bye+bye . 
_d5232 		the truck takes the garbage to the dump . 
_d5232 		okay . 
_d5232 		there's water in the dump+truck ? 
_d5232 		oh , you're talking about your toy dump+truck ? 
_d5232 		the twine is right here . 
_d5232 		and I'm going to put the clothes+line for the doll clothes right here . 
_d5232 		yup [: yes] , and we have_to clean the toys up so that you can stand there and hang those . 
_d5232 		clothes with the clothes+pins . 
_d5232 		I'm gonna help you do that . 
_d5232 		in just a second . 
_d5232 		oh let's clean them up in a nice neat way though , okay ? 
_d5232 		I don't want just everything dumped in the living room , ouch ! 
_d5232 		(be)cause I hit my foot , that's why . 
_d5232 		yes , thank you . 
_d5232 		you're right . 
_d5232 		I do like a nice neat room ,  I see what you're doing ! 
_d5232 		you're straightening up . 
_d5232 		for Daddy to stand ? 
_d5232 		for you to stand . 
_d5232 		where is , yeah . 
_d5232 		now the other thing we need to do is to find the  +... 
_d5232 		doll clothes . 
_d5232 		why don't you put these things  +... 
_d5232 		over where the +... 
_d5232 		here this too . 
_d5232 		where the tool box is . 
_d5232 		that's where those things belong . 
_d5232 		they belong with the tool+box . 
_d5232 		well , we're straightening up so that you have room . 
_d5232 		to put the +... 
_d5232 		doll clothes .
_d5232 		hanging up there with the +...
_d5232 		yeah . 
_d5232 		can you just , why don't you practice by just putting a clothes+pin on that line . 
_d5232 		can you do that ? 
_d5232 		do it the same way you do it on the box , you have_to hold the top of the clothes+pin . 
_d5232 		push . 
_d5232 		and then clip . 
_d5232 		can I show you ? 
_d5232 		okay watch my fingers , push ! 
_d5232 		there yeah , and it hangs upside down like that .
_d5232 		okay , the way you take it off +... 
_d5232 		push ! 
_d5232 		and there . 
_d5232 		okay , what +...
_d5232 		find the doll clothes , you need to find them before you hang them up . 
_d5232 		here's something to hang up . 
_d5232 		where are the rest of the doll clothes ? 
_d5232 		for hanging up . 
_d5232 		seems to me you need to find some more . 
_d5232 		okay , this is what we're gonna do . 
_d5232 		put it here and now you can push . 
_d5232 		just like you did it on the box the same way , but you have_to point it down . 
_d5232 		it's upside down . 
_d5232 		okay watch Mommy do it . 
_d5232 		push . 
_d5232 		and clip . 
_d5232 		and this is gonna move but that's okay . 
_d5232 		it doesn't matter . 
_d5232 		you need to use words to say what you want .
_d5232 		put it up right ? 
_d5232 		it doesn't matter .
_d5232 		we can't put it up right because the twine is too small . 
_d5232 		if it were thicker twine then it would stay up right I think . 
_d5232 		oh yeah ? 
_d5232 		do you wanna get some more doll clothes and hang them up to dry ? 
_d5232 		why don't you look in your room and see if there's some in there ? 
_d5232 		hey look what I found under the lego table ! 
_d5232 		okay . 
_d5232 		this is tricky , you gotta hold that with one hand . 
_d5232 		and hold the clothes+pin with your other hand . 
_d5232 		want me to hold the clothes up for you ? 
_d5232 		yeah , you were doing a good job . 
_d5232 		okay . 
_d5232 		push a little more on the top of the clothes+pin . 
_d5232 		you wanna do it on the floor ? 
_d5232 		you know you can hang the clothes up right on the box where you've been putting the clothes+pins . 
_d5232 		take the clothes over to the box . 
_d5232 		let me have it . 
_d5232 		I wanna show you . 
_d5232 		I wanna show you .
_d5232 		you don't want me to show you ? 
_d5232 		oh okay . 
_d5232 		I could show you and then you could try it after I do it . 
_d5232 		that's how you learn things . 
_d5232 		you watch someone do it .
_d5232 		oh .
_d5232 		I see . 
_d5232 		what happened ? 
_d5232 		what happened ? 
_d5232 		the other +... 
_d5232 		yeah , the other hair clip . 
_d5232 		the green one is in your hair . 
_d5232 		this one . 
_d5232 		you had both of them in your hair . 
_d5232 		I'm getting your hair outta [: out of] your eyes , that's good it'll make it easier to play . 
_d5232 		do you wanna have a snack ? 
_d5232 		want some grapes ? 
_d5232 		you're gonna go in the tunnel , okay . 
_d5232 		well , I'm gonna straighten up a little bit here . 
_d5232 		do you wanna write the words in the book with me ? 
_d5232 		oh I see . 
_d5232 		are we in a bad mood now ? 
_d5232 		do you want some snack bar ? 
_d5232 		do you want some frozen +... 
_d5232 		cherries ? 
_d5232 		yeah ?
_d5232 		are you feeling upset ? 
_d5232 		why don't you have a bottle of milk or something ? 
_d5232 		you want a bottle of cow's milk ? 
_d5232 		grape juice ? 
_d5232 		apple juice ? 
_d5232 		uhh cookie ? 
_d5232 		alphabet cookie ? 
_d5232 		frozen banana ? 
_d5232 		you could have frozen banana . 
_d5232 		nursies want to rest . 
_d5232 		why don't you  pick out something from the fridge that you want ?
_d5232 		there's baby yogurt .
_d5232 		how (a)bout count to ten nursie ? 
_d5232 		count to six nursie . 
_d5232 		what ?
_d5232 		somebody else nursie ? 
_d5232 		okay hold on a second .
_d5232 		we'll do +...
_d5232 		it's okay to do count to ten nursie . 
_d5232 		then you need to have some . 
_d5232 		and then you can have some +... 
_d5232 		snack .
_d5232 		here .
_d5232 		one two three four five six seven eight nine ten . 
_d5232 		six . 
_d5232 		oh I already said six .
_d5232 		are you sure you don't want some baby yogurt with grape .
_d5232 		all+right six , six more and that's it . 
_d5232 		okay . 
_d5232 		okay . 
_d5232 		poor you , poor you . 
_d5232 		all+right , all+right .
_d5232 		all+right . 
_d5232 		one , two , three , four , five , six .
_d5232 		okay . 
_d5232 		baby yogurt , no ? 
_d5232 		I think a little food would be a good idea . 
_d5232 		it willn't [= won't] , it won't be good ? 
_d5232 		oh all+right , you want me to read that while you're eating and drinking ? 
_d5232 		we could do that . 
_d5232 		yes+y ?
_d5232 		then we'll come back and straighten up the living room . 
_d5232 		when we're done .
_d5232 		let's go in here and have a little snack and I'll read the book to you , how's that ?
_d5232 		is that what you want ?
_d5232 		right , why don't you pick something out of the refrigerator ? 
_d5232 		all+right , do you want baby yogurt , (be)cause it's way in the back somewhere ? 
_d5232 		oh okay , what do you want ? 
_d5232 		tofu ? 
_d5232 		these are the grapes . 
_d5232 		and there's cheese . 
_d5232 		and hummus . 
_d5232 		and there's  wheat shreds . 
_d5232 		that's milk . 
_d5232 		okay , hummus to eat . 
_d5232 		smoothie to drink ! 
_d5232 		you got it . 
_d5232 		you got it ! 
_d5232 		it is snack time anyway . 
_d5232 		it certainly is snack time . 
_d5232 		it is . 
_d5232 		we need to buy more smoothie , remember we went to the store yesterday and they didn't have the right kind of smoothie ! 
_d5232 		they just didn't . 
_d5232 		that store doesn't carry that kind of smoothie , I was very disappointed . 
_d5232 		yeah , there is a picture of a cow right there . 
_d5232 		bah ?
_d5232 		that's what cows say ? 
_d5232 		bah and gah ? 
_d5232 		are you sure that's what cows say ? 
_d5232 		really ? 
_d5232 		I don't think so . 
_d5232 		they don't ? 
_d5232 		cows say bah , that's a good joke ! 
_d5232 		oh , that's not a joke ?
_d5232 		oh .
_d5233 		snow sled ? 
_d5233 		quite a long time ago ? 
_d5233 		that one ?
_d5233 		oh . 
_d5233 		yeah , we did buy a snow sled at the toy store . 
_d5233 		that was a long time ago . 
_d5233 		who wants to play in the snow with that ? 
_d5233 		well if it snows I'll definitely give you that to play with . 
_d5234 		smoothie_c . 
_d5234 		let's put it in here . 
_d5234 		you want a paper cup ? 
_d5234 		all+right . 
_d5234 		you better use both hands . 
_d5234 		are you gonna have the hummus too ? 
_d5234 		it's Mommy Day today ? 
_d5234 		I didn't know it was Mommy Day . 
_d5234 		use both hands with that . 
_d5234 		Mommy Day ? 
_d5234 		hmmm . 
_d5234 		do you wanna [: want a] little cracker with your hummus or are you just gonna just use the spoon ? 
_d5234 		okay I think , you wanna try this kinda [: kind of] cracker ? 
_d5234 		with sesame seeds on it . 
_d5234 		mmmm . 
_d5234 		crunchy and good . 
_d5234 		Akmak . 
_d5234 		that's the kinda [: kind of] crackers they are . 
_d5234 		Akmak . 
_d5234 		Akmak . 
_d5234 		oh , I heard a birdie ! 
_d5234 		I thought it was a vulture ? 
_d5234 		actually , I didn't think that was a vulture . 
_d5234 		it doesn't sound like a vulture , I'm gonna drink some orange juice . 
_d5234 		while you're having your snack . 
_d5234 		yeah .
_d5234 		yeah , (be)cause I'm thirsty . 
_d5234 		that's exactly what I was doing ! 
_d5234 		how did you know that ? 
_d5235 		umm , what does the police+man say to Corduroy ? 
_d5235 		he says how did you get up here ? 
_d5235 		why does he say that ? 
_d5235 		yeah , Corduroy went up the escalator all by himself ! 
_d5235 		that's very strange for a little bear to do that all by himself . 
_d5235 		or herself .
_d5235 		(be)cause bears don't usually walk around department stores all by themselves after dark . 
_d5235 		they might get lost ! 
_d5235 		he did get a little bit lost , didn't he ? 
_d5235 		yes .
_d5235 		he was trying to look for the button . 
_d5235 		well +...
_d5235 umm 
_d5235  because he knows that the people who are in the store who want to buy a little bear he hears them say that they want bears who don't have lost buttons 
_d5235  they want bears who already have their buttons . 
_d5235 		let's see here +... 
_d5235 		wow , you polished that right up didn't you ? 
_d5235 		hungry girl ! 
_d5235 		here's a bit more ! 
_d5235 		oh boy ! 
_d5235 		you like that , huh ? 
_d5235 		that's how the akh makh is made . 
_d5235 		it's made with sesame seeds on it . 
_d5235 		that's just how it's made . 
_d5235 		did you have fun this morning ? 
_d5235 		where did we go ? 
_d5235 		do you remember ? 
_d5235 		whose house did we go to ? 
_d5235 		xxx house . 
_d5235 		that was fun . 
_d5235 		and you wanted to see what his high+chair looked like . 
_d5235 		and you saw it . 
_d5235 		looks like a restaurant high+chair , doesn't it ? 
_d5235 		it looks the same kinda [: kind of] restaurant ,  high+chair that restaurants usually use . 
_d5235 		well he has one that's like a restaurant high+chair , but he uses it at home . 
_d5235 		what did you say ? 
_d5235 		you're interesting ? 
_d5235 		mmmm+hmmm .
_d5235 		what are they called , do you remember ?
_d5235 		akh makh , yes . 
_d5235 		more smoothie ? 
_d5235 		smoothie_c . 
_d5235 		smoothie_c . 
_d5235 		you're helping me , okay . 
_d5235 		you've never seen what ? 
_d5235 		you've never seen a Mommy duckling kissing her mommy duck ? 
_d5235 		you've never seen a duckling hug her Mommy . 
_d5235 		why ? 
_d5236 		what do ducks eat ? 
_d5236 		I think they eat little plants that grow in the water . 
_d5236 		mostly . 
_d5236 		I dunno [: don't know] if ducks eat insects , I'd like to find out . 
_d5236 		I think we should find out . 
_d5236 		maybe I'll write that , we have a list of questions on the board . 
_d5236 		and one would be do ducks , what do ducks eat ? 
_d5236 		that's a very good question . 
_d5236 		I will write it down on our question sheet right now . 
_d5236 		our list of questions . 
_d5236 		what do ducks eat ? 
_d5236 		I dunno [: don't know] , I'm gonna find out for you . 
_d5237 		they live near the water . 
_d5237 		I think they drink water from ponds , or lakes or +... 
_d5237 		rivers .
_d5237 		oh . 
_d5237 		just from lakes . 
_d5237 		I think we should go to Cape Cod Natural Foods . 
_d5237 		when you're done with your snack .
_d5237 		so that we can buy more smoothie . 
_d5237 		because +... 
_d5237 		(be)cause +... 
_d5237 		we're out , almost out of smoothie . 
_d5237 		you're about to , you're about to finish . 
_d5237 		the last smoothie . 
_d5237 		and we also need some +... 
_d5237 		uhh canola oil . 
_d5237 		and fish sticks . 
_d5237 		yeah . 
_d5237 		you wanna eat , drink some more ? 
_d5237 		there's a little bit left . 
_d5237 		let's see +... 
_d5237 		yeah , okay . 
_d5237 		that's the end of it though . 
_d5237 		all gone . 
_d5237 		it's all gone ! 
_d5237 		well , how (a)bout drinking more smoothie ? 
_d5237 		I heard you say that . 
_d5237 		but  a smoothie is for drinking , not for washing . 
_d5237 		it just is . 
_d5238 		okay , Mommy's gonna make chili tonight . 
_d5238 		to eat , chili is a food we eat , it's spicy beans . 
_d5238 		yeah ?
_d5238 		what ? 
_d5238 		you're a silly+willy ? 
_d5238 		who's a silly+willy ? 
_d5238 		mmmm+hmmm , I'm cutting . 
_d5238 		hot peppers here . 
_d5238 		I'm gonna freeze these hot peppers . 
_d5238 		to use later , or maybe I'll +... 
_d5238 		use a little more of them now . 
_d5238 		I'm cutting those hot peppers . 
_d5238 		well , they're very very hot and spicy so I don't wanna +... 
_d5238 		cause you to sneeze excessively . 
_d5238 		there we go . 
_d5238 		we're gonna put these in the freezer . 
_d5238 		say excuse me . 
_d5238 		yeah . 
_d5238 		excuse me . 
_d5238 		it's empty . 
_d5238 		okay . 
_d5238 		no smoothie in there . 
_d5238 		there is ? 
_d5238 		I thought it was all gone . 
_d5238 		dripping it . 
_d5238 		no smoothie_c . 
_d5238 		you still eating your hummus or are you finished with it ? 
_d5238 		oh , okay . 
_d5238 		what is that cracker called ? 
_d5238 		remember ? 
_d5239 		well , I am still drinking it . 
_d5239 		(be)cause it's thirsty , I'm thirsty . 
_d5239 		and I +... 
_d5239 		wanna keep healthy . 
_d5239 		I'm not eating anything right now . 
_d5239 		I'm just drinking orange juice . 
_d5239 		there's no Daddy down+stairs . 
_d5239 		you know where he is and what he's doing I think . 
_d5239 		yeah . 
_d5239 		he's gonna help people feel better . 
_d5239 		patients . 
_d5239 		what do you think ? 
_d5239 		you know the answer to that question . 
_d5239 		he's gonna check their hearts , oops . 
_d5239 		well , I just realized that your bib and your microphone fell down . 
_d5239 		some time ago , perhaps . 
_d5239 		there . 
_d5239 		he's gonna listen to their hearts with a stethoscope . 
_d5239 		what else does he do to help them feel better Naima ? 
_d5239 		he looks in their ears with an otoscope ? 
_d5239 		I don't think he does that a lot , but I think once in a while maybe he does that . 
_d5239 		he figures out what kind of medicine they need . 
_d5239 		I'm cooking onions and garlic . 
_d5239 		and green hot spicy peppers . 
_d5239 		(be)cause I'm making chili . 
_d5239 		and chili's also gonna have black+beans in it . 
_d5239 		and tomatoes . 
_d5239 		and we're gonna eat it for supper later on . 
_d5239 		you'll have chili . 
_d5239 		well right now it's just onions , it's not that interesting . 
_d5239 		but +... 
_d5239 		when it's all cooking everything's in it you can have a look at it . 
_d5239 		your hand's [: hand is] going away ? 
_d5239 		oh , it's very dark outside isn't it ? 
_d5239 		I think it's overcast .
_d5239 		you think it's gonna snow or rain ? 
_d5239 		it doesn't really snow in the summer . 
_d5239 		just summer is not a time when there's snow . 
_d5239 		winter , fall and spring are the only time when it snows . 
_d5239 		uhh  house . 
_d5239 		what was he doing there ? 
_d5239 		he was actually , he was giving you little hugs . 
_d5239 		he wanted to touch you and give you hugs . 
_d5239 		and he actually give you a kiss on your back , he's a very sneaky kisser . 
_d5239 		he likes to sneak up behind people and kiss them on the back of their head . 
_d5239 		well he's little . 
_d5239 		he's a little bit shy , I think +... 
_d5240 		oh ,  . 
_d5240 		it does fit ? 
_d5240 		no .
_d5240 		what's not working ? 
_d5240 		oh .
_d5240 		yeah , that's not really a very important part of the +... 
_d5240 		top . 
_d5240 		I think I'll call   .
_d5240 		it has what on it ? 
_d5240 		hi  , it's   . 
_d5240 		how are you ?
_d5240 		uh , just a little spit I think . 
_d5240 		yeah . 
_d5240 		I was wondering if it's too late to order for tomorrow ? 
_d5240 		okay . 
_d5240 		okay . 
_d5240 		okay . 
_d5240 		great . 
_d5240 		well the broccoli was fabulous . 
_d5240 		we'll definitely take some more broccoli . 
_d5240 		two , two +... 
_d5240 		I'd take two or three bunches , I mean it depends on how many you wanna get rid of . 
_d5240 		yes . 
_d5240 		yeah . 
_d5240 		okay . 
_d5240 		do you have lettuce these days ? 
_d5240 		okay . 
_d5240 		we'd like lettuce . 
_d5240 		I think actually like two smaller bunches would be better than one big bunch . 
_d5240 		but we take whatever you have . 
_d5240 		yeah , okay . 
_d5240 		okay . 
_d5240 		well that's fine either way . 
_d5240 		I , yeah . 
_d5240 		umm , I think just the way you normally have it is fine . 
_d5240 		I think that's fine .
_d5240 		oh do you ?
_d5240 		do you have any peas yet or is that still a ways off ?
_d5240 		okay . 
_d5240 		okay .
_d5240 		okay .
_d5240 		yup [: yes] .
_d5240 		so what else might you have ?
_d5240 		you're not sure .
_d5241 		uhh , I would take a few , I actually still have some from last week but +... 
_d5241 		I'll take maybe just four leaves of that . 
_d5241 		oh flak , I'll take another bunch of flak that was really good too . 
_d5241 		that has a lot of vitamin c in it , as you may know . 
_d5241 		I think not actually . 
_d5241 		yeah .
_d5241 		yeah , I'll try that .
_d5241 		I guess .
_d5241 		if you have some . 
_d5241 		yeah .
_d5241 		yeah . 
_d5241 		okay .
_d5241 		uhh what kind of cabbage do you have ?
_d5241 		mmmm+hmmm .
_d5241 		okay .
_d5241 		that's fine .
_d5241 		I can wait , I actually have some at home right now so +...
_d5241 		yes .
_d5242 		oh yeah I would imagine . 
_d5242 		mmmm+hmmm .
_d5242 		oh that's good . 
_d5242 		uh+huh . 
_d5242 		yeah . 
_d5242 		yes Naima . 
_d5242 		oh I'd love beets . 
_d5242 		oh absolutely . 
_d5242 		yup [: yes] . 
_d5242 		yup [: yes] . 
_d5242 		definitely . 
_d5242 		yeah . 
_d5242 		I think yeah we , it's not that far . 
_d5242 		we're coming from Dennis anyway tomorrow .
_d5242 		yeah .
_d5242 		oh I know , you have the tour .
_d5243 		it's not raining that much either , it's hard to know what to do . 
_d5243 		yeah . 
_d5243 		yeah . 
_d5243 		you canceling it , or you gonna +...
_d5243 		you're gonna +...
_d5243 		yeah .
_d5243 		I think I probably have_to go since Naima needs me . 
_d5243 		no , I mean +...
_d5243 		I'm not talking about the tour , I'm not gonna go . 
_d5243 		yeah , I'm sorry . 
_d5243 		but we'll definitely see you tomorrow . 
_d5243 		thank you .
_d5243 		very much .
_d5243 		have a good tour .
_d5243 		okay . 
_d5243 		bye .
_d5243 		yes I was talking to   .
_d5243 		I know okay . 
_d5243 		hold on . 
_d5243 		here you go . 
_d5243 		it's wet , you can wipe your hands right on that okay .
_d5243 		you cleaning off your elbows and everything ? 
_d5243 		you've got some shaving cream on your elbow here . 
_d5243 		is that a reason ? 
_d5243 		oh okay . 
_d5243 		I am going to record you and me , that's what I'm trying to do . 
_d5243 		um , today is Friday the twenty fifth . 
_d5243 		of July , two thousand and three +...
_d5243 		and you can see yourself when it's done , you can't see yourself now . 
_d5243 		um , so . 
_d5243 		we're about +//. 
_d5243 		three days late recording .
_d5243 		and have switched +... 
_d5243 		batteries in the receiver and one of the transmitters . 
_d5243 		and not in the other transmitter .
_d5243 		cause [: because] that seemed to be a problem .
_d5243 		really ?
_d5243 		I see more bear food here . 
_d5243 		how +//.
_d5243 		how bout [: about] yo(gurt) +//.
_d5243 		would you like yogurt to have with those almonds ? 
_d5243 		how bout [: about] some cheese ? 
_d5243 		all+right !
_d5243 		I think bears do like cheese , especially bear +/. 
_d5243 		I think bears do like cheese , especially bear cubs . 
_d5243 		where's the cheese , here it is . 
_d5243 		that's quite a roar . 
_d5243 		doesn't like the bear food ? 
_d5243 		why not ?
_d5243 		why doesn't the bear like the bear food ? 
_d5243 		what , that's cheese , you like cheese . 
_d5243 		a smaller piece ? 
_d5243 		dyou [: did you] say the bear's tummy would like a smaller piece ? 
_d5243 		xxx . 
_d5243 		here , put that cheese down I'll cut that too . 
_d5243 		put it down , I'll cut it . 
_d5243 		xxx . 
_d5243 		very funny . 
_d5243 		very funny . 
_d5243 		it's a cheese square . 
_d5243 		you have +...
_d5244 		what ? 
_d5244 		that's the shape of a curve ,  that piece of cheese ? 
_d5244 		let's see . 
_d5244 		yeah it does have a curve you're right . 
_d5244 		curve cheese .
_d5244 		do you have any triangles ?
_d5244 		it doesn't rock , well blocks that are curved can rock , cheese that is curved (.) probably won't rock as well . 
_d5244 		do you want crackers with your cheese ?
_d5244 		he:re's the crackers . 
_d5245 		you rearranging your cheese ? 
_d5245 		you straightening up ? 
_d5245 		mmmm .
_d5245 		xxx . 
_d5245 		hmmm . 
_d5245 		are you making a little sandwich ? 
_d5245 		xxx , is it a sunny day today ? 
_d5245 		what kind of a day is it ? 
_d5245 		hmmm , it's a Mommy day ? 
_d5245 		are you sure it's not a Naima day ? 
_d5246 		it's a lovely Naima day today . 
_d5246 		mmmm+hmmm I bet  would love to take you to the play+ground today . 
_d5246 		well , maybe . 
_d5246 		well , you need to make sure you have lunch before you have ice+cream . 
_d5246 		besides , are you gonna go shopping with  and buy the eggs ? 
_d5246 		but I need you to buy eggs . 
_d5246 		why not ? 
_d5246 		that would be very helpful for Mommy . 
_d5246 		don't you like helping Mommy ? 
_d5246 		no , usually you do like helping . 
_d5246 		you joking ? 
_d5246 		you're joking , yeah .
_d5246 		I thought so . 
_d5246 		rawr . 
_d5246 		you could be the only bear in the store , if you go to the store . 
_d5246 		you could bring Grizzly to the store and put him next to you in the wagon . 
_d5246 		and Griz could wear the booties . 
_d5246 		and you could even carry him in the backpack in the store if you want . 
_d5246 		go with  and buy the eggs and show Griz where the eggs are in the store . 
_d5246 		I bet he doesn't know , cause [: because] he's a little bear . 
_d5246 		yup [: yes] , you know and you could show him . 
_d5246 		you could show him what things a store has . 
_d5246 		I don't think Griz has , I think maybe Sleepy Bear's been to the store with you but I don't think Griz has been to the store . 
_d5246 		Sleepy's [: Sleepy is] a big bear . 
_d5246 		oh , he can buy things ? 
_d5246 		Sleepy or Griz ?
_d5246 		who are we talking about now ? 
_d5246 		mmmm+hmmm . 
_d5247 		why do I think you should have lunch before ice+cream ? 
_d5247 		cause [: because] ice+cream is a treat . 
_d5247 		it's a little bit special . 
_d5247 		and (.) you need to make sure you have things with protein before you eat ice+cream . 
_d5247 		it's just a rule . 
_d5247 		it is a rule . 
_d5247 		don't spill that please . 
_d5247 		well , please don't take it out , that's gonna make a +//. 
_d5247 		Naima . 
_d5247 		are you making a mess , I'm gonna take this away from you . 
_d5247 		well then stop making the mess , good . 
_d5248 		those are almonds . 
_d5248 		you don't have_to eat them . 
_d5248 		you can just leave them there . 
_d5248 		okay ? 
_d5248 		they're almonds . 
_d5248 		what ? 
_d5248 		it's pear ? 
_d5248 		it's almonds . 
_d5248 		it's apple ? 
_d5248 		that's an apple ?
_d5248 		that's a funny looking apple . 
_d5248 		it looks just like almonds . 
_d5248 		ground up almonds . 
_d5248 		you're telling me that's an apple ? 
_d5248 		that's a wei:rd looking apple . 
_d5248 		what ?
_d5248 		what ? 
_d5248 		what a weird looking apple . 
_d5248 		why ?
_d5248 		cause [: because] apples are red and round . 
_d5248 		and that is not re:d . 
_d5248 		a:nd , it's not round ! 
_d5248 		I know you're joking . 
_d5248 		you're a good joker Naima . 
_d5248 		it's a (.) pea:r ? 
_d5248 		really ? 
_d5248 		but it's not yellow and it's not pear shaped . 
_d5248 		it isn't . 
_d5248 		it is not . 
_d5248 		it is not pear (.) shaped .
_d5248 		oh you're joking . 
_d5248 		o:kay , you're joking . 
_d5248 		what ?
_d5248 		that's walnuts ?
_d5249 		doesn't taste like walnuts . 
_d5249 		it tastes like (.) almonds . 
_d5249 		it tastes like tickle food . 
