_d4491 		oh there's that siren noise . 
_d4511 		wow . 
_d4511 		Naima rode on the escalator by herself . 
_d4511 		what ? 
_d4511 		by herself ? 
_d4511 		standing . 
_d4511 		oh my God !
_d4511 		that's a red dog . 
_d4511 		what did we buy in the store ?
_d4511 		tell Daddy , he wasn't there , he doesn't know . 
_d4511 		did you hear that ? 
_d4511 		seats ? 
_d4511 		tell him again . 
_d4511 		sheets ?
_d4511 		who did +//?
_d4511 		who did we buy them for ? 
_d4511 		oh_a . 
_d4511 		who did we buy those for ? 
_d4511 		I think I know . 
_d4511 		who were the sheets for ? 
_d4511 		do you remember ?
_d4511 		Naima , Daddy's asking you . 
_d4511 		that's Bob the builder . 
_d4511 		were they for  ? 
_d4511 		yes_b . 
_d4511 		yes_b . 
_d4511 		that is +...
_d4511 		some animal . 
_d4511 		what color is that costume ? 
_d4511 		looks like a puppy dog , doesn't it ? 
_d4511 		another puppy dog . 
_d4511 		what are you gonna be for Halloween , what are you gonna dress up as ? 
_d4511 		what's you +...
_d4511 		a bee , and who made the costume for you ? 
_d4511 		yes , Grandma  made it for you . 
_d4511 		oh , there is , there is a bee in here actually , let's find that +... 
_d4511 		what's Mommy gonna dress up as for Halloween ? 
_d4511 		what's my costume , d'ya [: do you] know ? 
_d4511 		yes , Mommy is a bee also . 
_d4511 		great+grandma is also a bee . 
_d4511 		and Grandma  is also a bee . 
_d4511 		yeah , that is a bear . 
_d4511 		xxx  , it's time to say bye+bye to Daddy . 
_d4511 		you wanna give him a kiss bye+bye ? 
_d4511 		yeah , mmmm+hmmm .
_d4511 		no ?
_d4511 		this talk I have_to  .
_d4512 		that's a stethoscope . 
_d4512 		it's at five , which means I gotta leave at four+thirty , which means I have_to reschedule some of the patients , which means I'll move it to the lunch hour .
_d4512 		Daddy's gonna wear it . 
_d4512 		at the hospital again , yeah . 
_d4512 		&aw baby , I love you so much . 
_d4512 		xxx I'm serious about coming with you to the talk , who are you +...
_d4512 		xxx council on aging .
_d4512 		is it open to the public , or no ?
_d4512 		it doesn't matter .
_d4512 		we can at least , you can be with her in the car , I mean +...
_d4512 		otherwise you're gonna have a  +//.
_d4512 		a night like tonight .
_d4513 		you having a seat ? 
_d4513 		so let's try to talk about it .
_d4513 		you have_to leave at what time , four+thirty ? 
_d4513 		probably around four+thirty ,  .
_d4513 		we could all go in one car , we'll pick you up from there .
_d4513 		I mean +... 
_d4513 		it's an idea , yeah .
_d4513 		whatcha [: what do you] need ? 
_d4513 		I mean if she's  , that might be an ideal time for her to +...
_d4513 		for her to sleep , it actually is , yeah . 
_d4513 		yeah ? 
_d4513 		where did Daddy go ? 
_d4513 		yeah , where do you think he's going ? 
_d4513 		to the hospital again . 
_d4513 		there he is . 
_d4513 		like a what , like a musketeer ? 
_d4513 		he's dressed up like a musketeer . 
_d4513 		yes , yeah . 
_d4513 		it's fun to get dressed up +//.
_d4513 		we're gonna dress up like bees . 
_d4513 		we're gonna dress up like bees . 
_d4513 		he did take pictures of us , all dressed like bees . 
_d4513 		Mommy , Grandma , great+grandma , and Naima . 
_d4513 		he took pictures of all of us dressed up in our bee costumes . 
_d4513 		bzzzz . 
_d4513 		okay . 
_d4513 		let's find the witch . 
_d4513 		you having a seat +//?
_d4513 		there's a witch . 
_d4513 		she has a wand . 
_d4513 		see that wand , with a star at the end ? 
_d4513 		that's a wand . 
_d4513 		and she has a big , tall hat . 
_d4514 		where , which one ? 
_d4514 		there's nothing to read here , these are just pictures . 
_d4514 		that baby's dressed up like a pumpkin . 
_d4514 		that baby's dressed up like a cat . 
_d4514 		that's just a kid all dressed in black clothes . 
_d4514 		I don't know what his name is . 
_d4514 		let's look at some other books . 
_d4514 		I'm tired of that one . 
_d4514 		how about this one ? 
_d4514 		or this one ? 
_d4514 		okay , let's read it . 
_d4514 		let's read it , you wanna sit down ? 
_d4514 		have a seat . 
_d4514 		have a seat . 
_d4514 		yeah , we both have microphones .
_d4515 		let's look at these pictures . 
_d4515 		what's the name of this book ? 
_d4515 		yeah , but they're all pictures about nursing . 
_d4515 		yes , the book is called we like to nurse . 
_d4515 		baby monkeys . 
_d4515 		just like human babies , in Mommy's arms . 
_d4515 		you know this book , don't you ? 
_d4515 		I think you've read this book before . 
_d4515 		do you wanna sit in my lap ? 
_d4515 		is that +//?
_d4516 		do you see it ? 
_d4516 		right there . 
_d4516 		the baby monkey's hugging the mommy . 
_d4516 		yes_c , well they're nursing . 
_d4516 		yeah , the page is broken .
_d4516 		it's torn . 
_d4516 		baby elephant nurses through her mouth while her trunk hugs mommy . 
_d4516 		hi , mommy elephant . 
_d4516 		what's this ? 
_d4516 		yes !
_d4516 		yes !
_d4516 		how many baby leopards are nursing in this picture ? 
_d4516 		yeah .
_d4516 		mommy spots and baby spots blend together to protect nursing leopards . 
_d4516 		what's this ? 
_d4516 		yeah . 
_d4516 		how many baby giraffes are there here ? 
_d4516 		there's one . 
_d4516 		one baby giraffe . 
_d4516 		one +//.
_d4516 		mama giraffe shelters her baby on a hot plains while they nurse . 
_d4516 		she's a tall animal . 
_d4516 		that's a big animal . 
_d4516 		they do have grass . 
_d4516 		and +...
_d4516 		mmmm+hmmm . 
_d4516 		yes , they probably do eat the grass . 
_d4516 		and they have a tree here too . 
_d4516 		that's white , what is that ? 
_d4516 		do you know what that is ? 
_d4516 		well this is a cloud , in the sky . 
_d4516 		cloud . 
_d4516 		that's a green mountain . 
_d4516 		and what's the animal called ? 
_d4516 		yeah , baby llama nurses in the cool mountain +... 
_d4516 		what ? 
_d4516 		skip it for you ? 
_d4516 		yeah , they're nursing in the bamboo . 
_d4516 		mama and baby panda cuddle and nur(se) +//.
_d4516 		cuddle and nurse under the bamboo . 
_d4516 		mmmm+hmmm . 
_d4516 		how many zebras are there ? 
_d4516 		well , there's one baby zebra , and there's one mommy zebra . 
_d4516 		chichichichichichi , mommy's eating grass while she's nursing +//.
_d4516 		do I eat sometimes when we nurse ? 
_d4516 		that's a what ? 
_d4516 		yes , that's a calf . 
_d4516 		right , the more she drinks , the more mommy makes . 
_d4516 		baby calf drinks delicious milk from her mommy . 
_d4516 		yeah , she drinks milk . 
_d4516 		piglets wag their tail +... 
_d4516 		piglets wag their tails in delight ! 
_d4516 		as they curl up to mommy for +... 
_d4516 		lunch . 
_d4516 		nursies lunch .
_d4516 		that's the mommy one , yes_c . 
_d4516 		and she has one , two , three puppies . 
_d4516 		they are pushing , mmmm+hmmm . 
_d4516 		they have some flowers too , see that ? 
_d4516 		yellow ones . 
_d4516 		uh , those look like daffodils . 
_d4516 		those flowers . 
_d4516 		twin lambs nurse on either side of mama . 
_d4516 		purr , purr , purr . 
_d4516 		a newborn +//.
_d4516 		what's that ? 
_d4516 		colt , right . 
_d4516 		what is it ? 
_d4516 		yeah , nurses with mommy at sunset . 
_d4516 		well , this page isn't broken , it's the same color as the page that's broken in the beginning of the book . 
_d4516 		and who's +//?
_d4516 		what kind of animal is that ? 
_d4516 		that's a mommy , and a +... 
_d4516 		yeah .
_d4516 		they have a light . 
_d4516 		that's right . 
_d4516 		they have a house , mmmm+hmmm .
_d4516 		oh , did they turn it on ? 
_d4516 		yes , again , there's that picture again . 
_d4516 		hmmm . 
_d4516 		they do have a light , it's a lamp . 
_d4516 		do you wanna help fold some laundry ? 
_d4516 		or sort some laundry over here ? 
_d4516 		you wanna put it back , okay . 
_d4516 		why dontcha [: don't you] put it on that shelf there . 
_d4516 		Mommy's gonna put away a few pieces of laundry , do you wanna help ? 
_d4516 		I don't know if this +//.
_d4516 		this is dirty laundry , I think . 
_d4516 		what's this doing in the clean laundry ,  dear . 
_d4516 		are you putting on my +... 
_d4516 		night+gown , Naima ? 
_d4516 		that's a crown ? 
_d4516 		that's a crown ? 
_d4516 		what ?
_d4516 		you're putting it on ? 
_d4516 		you're running around ? 
_d4516 		you do look like you're running around , wearing that crown .
_d4516 		are you being Max , the wild thing ? 
_d4516 		oh+wee+oh . 
_d4516 		what is Naima +...
_d4517 		you're wearing Mommy's night+gown . 
_d4517 		and calling it a crown . 
_d4517 		oh my gosh . 
_d4517 		that is so silly . 
_d4517 		that's a crown ? 
_d4517 		oh , you're making that for Halloween , is that your costume ? 
_d4517 		oh my gosh ! 
_d4517 		oh my gosh +//.
_d4517 		oh , there she is . 
_d4517 		here , you can wear this like a crown , look at that . 
_d4517 		hey , that's a crown ! 
_d4517 		you want me to help ya [: you] put it on ? 
_d4517 		you gonna wear that for Halloween , here . 
_d4517 		okay .
_d4517 		you might need a little help putting that on . 
_d4517 		oh , good job , there . 
_d4517 		hey , now it's a necklace . 
_d4517 		xxx . 
_d4517 		he wasn't nursing , was he ? 
_d4517 		he was getting cozy with his mommy . 
_d4517 		where did we see  ? 
_d4517 		yeah , in the group . 
_d4517 		yeah , let's make it into a crown again . 
_d4517 		there . 
_d4517 		xxx . 
_d4517 		that's a crown , you look like a king . 
_d4517 		you look like a king , Naima .
_d4517 		where do you think he went ? 
_d4517 		what ? 
_d4517 		well yeah , but then where did he go ? 
_d4517 		and he got into his car , and he went to the hospital . 
_d4517 		you're playing with your bus ? 
_d4517 		today is  , October twenty+fourth , Thursday . 
_d4517 		and +... 
_d4517 		here she comes . 
_d4517 		Naima is nineteen months old . 
_d4517 		ten days ago she turned nineteen months old , and +... 
_d4518 		okay . 
_d4518 		and this morning you said +... 
_d4518 		I will put it there , you used I and you meant Naima . 
_d4518 		that's really the +//.
_d4518 		pretty much the first time I heard that . 
_d4518 		and you say +... 
_d4518 		her , and his , and their +... 
_d4518 		and them , and she , and he , and it , you say all of those things . 
_d4518 		and that's +... 
_d4518 		just been developing over the past two weeks . 
_d4518 		you see them , yeah . 
_d4518 		and  +... 
_d4518 		yeah ? 
_d4518 		you're putting it over there for Mommy ? 
_d4518 		thank you . 
_d4518 		oh , Lucille is riding in there , huh ? 
_d4518 		okay . 
_d4518 		there , I closed it . 
_d4519 		did you bring her inside , or is she still in the car ? 
_d4519 		what , bring her inside again ? 
_d4519 		well when we go to the car , we'll look for Asha too . 
_d4519 		are you sure Asha wasn't in the kitchen , though ? 
_d4519 		I thought I saw her in the kitchen . 
_d4519 		who's falling down ? 
_d4519 		did she fall down ? 
_d4519 		Asha gasha ? 
_d4519 		that's a new rhyme +//. 
_d4519 		are you rhyming ? 
_d4519 		are you making rhymes ? 
_d4520 		what ? 
_d4520 		there is a dress in there +//.
_d4520 		were you gonna say making a rhyme ? 
_d4520 		hey , who did we see in the play+ground the other day +//?
_d4520 		Lauren ? 
_d4520 		a baby whose name is Lauren , she's your age . 
_d4520 		that's a crown ? 
_d4520 		that's a red crown ? 
_d4520 		what else is in the basket there ? 
_d4520 		pajamas . 
_d4520 		blue ones . 
_d4520 		that's a crown ? 
_d4520 		are you the king of wild things ? 
_d4520 		are you the king of wild things ? 
_d4520 		where did Naima go +//? 
_d4520 		oh , she must have gone to the tire store to fix our tire . 
_d4520 		is that where she went ? 
_d4520 		where did Naima go ? 
_d4520 		oh , she must have gone to the +... 
_d4520 		aquarium to look at the fishes . 
_d4520 		there she is ! 
_d4520 		where did +//?
_d4520 		you gotta hide yourself when you say that . 
_d4520 		where did Naima go ? 
_d4520 		hmmm . 
_d4520 		she must have gone to the store to buy baby yogurt . 
_d4520 		there you are ! 
_d4520 		where did Naima go ? 
_d4520 		oh no , she must have gone to the wa(shing)  +...
_d4520 		washing machine to do some laundry . 
_d4520 		oh , there you are ! 
_d4520 		where did Naima go ? 
_d4520 		she must have gone to the store to buy sheets for baby  . 
_d4520 		there you are ! 
_d4520 		where did Naima go ? 
_d4520 		where did Naima go +//? 
_d4520 		she must have gone to the +...
_d4520 		merry+go+round to ride on the horse with the funny hat . 
_d4520 		you felt it . 
_d4520 		yeah , you felt it when you were riding on it , you reached up and you patted the hat . 
_d4520 		it was fuzzy , wasn't it ? 
_d4520 		where did Naima go ? 
_d4520 		she must have gone to the children's museum to play in the boat . 
_d4520 		there she is ! 
_d4520 		where did Naima go ? 
_d4520 		hmmm , she must have gone to the +...
_d4520 		play+ground to swing on swings . 
_d4520 		there you are ! 
_d4520 		she must have gone into the bathroom to sit on her potty . 
_d4520 		where'd [: where did] she go ? 
_d4520 		there she is . 
_d4520 		where did Naima go ? 
_d4520 		she must have gone to the post+office to put the mail in the slot .
_d4520 		there you are ! 
_d4520 		I don't know , where did Naima go ? 
_d4520 		oh my gosh .
_d4520 		she must have gone to the old house +...
_d4520 		to rake some leaves . 
_d4520 		oh , there she is !
_d4520 		where did Naima go ? 
_d4520 		did she go outside to find acorns ? 
_d4520 		there she is !
_d4520 		where did Naima go , I don't know , where did she go ? 
_d4520 		there she is !
_d4520 		where did Naima go +//?
_d4520 		there she is !
_d4520 		she must have gone to the hospital , to the cafeteria , to eat some cheese with Daddy at lunchtime . 
_d4520 		there she is !
_d4520 		where did Naima go ? 
_d4520 		she must have gone to the kitchen to sort containers for Mommy . 
_d4520 		there she is ! 
_d4520 		where did Naima go ? 
_d4520 		she must have gone down to the mailbox to check for mail . 
_d4520 		there you are ! 
_d4520 		you're wearing pajamas actually . 
_d4520 		can you give those clean pajamas to Mommy please ? 
_d4520 		thank you , I'm gonna fold them . 
_d4520 		you gonna fold that +//?
_d4520 		those things ? 
_d4520 		well you can fold it actually . 
_d4520 		I think somebody was eating avocado in these pajamas . 
_d4520 		there's green marks on it . 
_d4520 		see ? 
_d4520 		well , green marks . 
_d4520 		mmmm+hmmm .
_d4520 		those wash+cloths ? 
_d4520 		giving them to me ?
_d4520 		thank you . 
_d4520 		maybe we'll resume this a little later . 
_d4520 		yeah , thirty+five minutes , okay . 
_d4520 		that's a bunny rabbit costume +//. 
_d4520 		let's see . 
_d4520 		yeah ! 
_d4520 		xxx . 
_d4520 		let's see . 
_d4521 		klick klack moos is on the floor here . 
_d4521 		well I was about to put away this laundry . 
_d4521 		do you wanna look at that +...
_d4521 		book while I'm putting away the laundry ? 
_d4521 		what ? 
_d4521 		all those kids are driving that little truck .
_d4521 		yeah . 
_d4521 		is that funny ? 
_d4521 		what do you see ? 
_d4521 		what are you looking at ? 
_d4521 		what is that ?
_d4521 		oh , those are toys . 
_d4521 		are there any kids playing with those , in that magazine ? 
_d4521 		what's that ? 
_d4521 		what do you think that is ? 
_d4521 		it looks like a little pretend kitchen . 
_d4521 		you like that idea ? 
_d4521 		what else is there ? 
_d4521 		the baby hershey kiss ? 
_d4521 		okay . 
_d4521 		let's see , the baby hershey kiss is +... 
_d4521 		not there . 
_d4521 		not there . 
_d4521 		not there . 
_d4521 		not there . 
_d4521 		there . 
_d4522 		a mommy one ? 
_d4522 		is there a mommy hershey kiss costume ? 
_d4522 		mmmm , really ? 
_d4522 		xxx .
_d4522 		I only see children in that magazine . 
_d4522 		I don't see any costumes for mommies . 
_d4522 		for  , Mommy ? 
_d4522 		oh , you're right , I actually +//.
_d4522 		I do have a costume . 
_d4522 		some mommies +... 
_d4522 		and daddies +...
_d4522 		yes , it's a bee . 
_d4522 		some mommies and daddies do get dressed up for Halloween . 
_d4522 		if they want to . 
_d4522 		and they drink something very delicious , what do they drink ? 
_d4522 		nectar . 
_d4522 		find the lion ? 
_d4522 		yeah , that's a bee . 
_d4523 		you found a witch costume in that magazine ? 
_d4523 		let's see . 
_d4523 		yes , that is a witch .
_d4523 		xxx . 
_d4523 		what ? 
_d4523 		do you see a musketeer ? 
_d4523 		that's the musketeer , all+right . 
_d4523 		what ? 
_d4523 		what , which one ? 
_d4523 		hershey's kiss . 
_d4523 		that's a hershey's kiss costume . 
_d4523 		and it's very very cute . 
_d4523 		it is very cute . 
_d4523 		what ?
_d4524 		find what ? 
_d4524 		oh , pictures of toys ? 
_d4524 		hmmm , here's some children painting . 
_d4524 		see ? 
_d4524 		those children are painting . 
_d4524 		with paint , you know how to paint with paint now , don't you ? 
_d4524 		xxx . 
_d4524 		a naked lizard . 
_d4524 		I think we should get you a naked lizard like we saw at the store so you can paint that . 
_d4524 		that looks like fun . 
_d4524 		that looks like that +//.
_d4524 		there's another person in that picture . 
_d4524 		is she painting also ? 
_d4524 		on top there's a little girl , what does she have , a bucket ? 
_d4524 		hmmm .
_d4524 		is there +//?
_d4524 		there she is ! 
_d4524 		does she have a bucket ? 
_d4524 		what's in her bucket ? 
_d4524 		well I'm wondering if she has paints or crayons in it . 
_d4524 		I don't see it too well , let's see , what does she have ? 
_d4524 		she has +...
_d4524 		paint . 
_d4524 		mmmm . 
_d4524 		what's that little girl doing ? 
_d4525 		what's that doing there ? 
_d4525 		why dontcha [: don't you] put it down , right in the book .
_d4525 		just put it right there , that'll [: that will] be fine . 
_d4525 		right in the +//.
_d4525 		I meant the magazine . 
_d4525 		I meant in the magazine .
_d4525 		oh , those kids are playing with hoops ? 
_d4525 		yeah . 
_d4525 		those are nice tunnels . 
_d4525 		you have a tunnel . 
_d4525 		and the library has a tunnel also . 
_d4525 		and that kid +//.
_d4525 		I see a kid on a mat . 
_d4525 		see the mat ? 
_d4525 		the kid is lying down on a mat +//.
_d4525 		hopping . 
_d4525 		eating seeds , yeah . 
_d4525 		there's another one ! 
_d4525 		yeah . 
_d4525 		yup [: yes] , and flying away . 
_d4525 		eating quickly . 
_d4525 		and then flying away . 
_d4525 		you saw a cardinal bird ? 
_d4525 		mmmm , I didn't see it . 
_d4525 		is it down there ? 
_d4525 		hmmm . 
_d4525 		mmmm+hmmm .
_d4526 		the mat is this thing right here . 
_d4526 		that child is falling on the mat , on purpose . 
_d4526 		xxx . 
_d4526 		sing bingo ? 
_d4526 		there was a +... 
_d4526 		had a +... 
_d4526 		and bingo was her +... 
_d4526 		b , i +... 
_d4526 		b , i +... 
_d4526 		b , i +... 
_d4526 		and bingo was her name+o . 
_d4526 		there +... 
_d4526 		was a farmer +... 
_d4526 		had a cat +... 
_d4526 		meow . 
_d4526 		zingo ? 
_d4526 		z , i +... 
_d4526 		n , g , o .
_d4526 		xxx . 
_d4526 		z , i , n , g , o . 
_d4526 		just turn the page and you'll see some more toys .
_d4526 		yes , that is a musketeer . 
_d4526 		dressed up for Halloween , that's right that child is dressed up like a musketeer for Halloween . 
_d4526 		that is a witch . 
_d4526 		did you know that witches fly ? 
_d4526 		yes , they do . 
_d4526 		you can turn the page . 
_d4526 		those children are playing with paint .
_d4526 		xxx . 
_d4526 		we will have_to find you a naked lizard to put paint on , I'm convinced that we will be able to do that . 
_d4526 		that was a na(ked) +//.
_d4526 		and we saw a painted one too , didn't we , at the store . 
_d4526 		we saw a naked one . 
_d4526 		and a painted one . 
_d4526 		two lizards . 
_d4526 		a woman showed us . 
_d4526 		we saw the painted one on the counter when we were buying your fingerpaint . 
_d4526 		and Naima said +//. 
_d4526 		name , name . 
_d4526 		and then Mommy said , you should ask the woman what kind of animal it is , (be)cause I didn't know . 
_d4526 		and then +...
_d4526 		and then the woman said it's a lizard , and then she took the naked lizard out from behind the counter and showed it to us ! 
_d4526 		and we laughed . 
_d4526 		she said , naked lizard , here's the naked lizard . 
_d4526 		and we said ,      . 
_d4526 		does the witch have a wand +//?
_d4526 		yes , she does have a wand . 
_d4526 		what do you think a tiger says ? 
_d4526 		yeah , that's right . 
_d4526 		you're gonna have fun on Halloween . 
_d4526 		where is the star ? 
_d4526 		the star is on the wand , isn't it ? 
_d4526 		mmmm , you see a witch ? 
_d4527 		that ,  that's a superhero . 
_d4527 		I would say that's a superhero . 
_d4527 		superhero . 
_d4527 		just turn the page , there will be some toys . 
_d4527 		I'm gonna leave this room now , okay ? 
_d4527 		wanna come with me ? 
_d4527 		we need to get ready to go to the post+office . 
_d4527 		we're going to go to the post+office today . 
_d4527 		and then we're going to go see Daddy . 
_d4527 		well , we're gonna pick him up . 
_d4527 		what are you looking at now ?
_d4527 		that is another superhero . 
_d4527 		superhero . 
_d4527 		superhero . 
_d4527 		it's called a superhero . 
_d4527 		superhero . 
_d4527 		are these Daddy's socks or Mommy's socks ? 
_d4527 		Daddy's . 
_d4527 		those are Daddy's , those are Daddy's . 
_d4527 		mmmm+hmmm . 
_d4527 		there's the musketeer , right there . 
_d4528 		you gonna sit and read here +... 
_d4528 		oh , yeah .
_d4528 		what's in that picture ? 
_d4528 		here , come sit over here . 
_d4528 		sit on the big pillow . 
_d4528 		what do you see in that picture ? 
_d4528 		are there any animals in that picture ? 
_d4528 		might be a wambat . 
_d4528 		let me come see what you're pointing at . 
_d4528 		hold on . 
_d4528 		I have_to be there to see it . 
_d4528 		k [: okay] , I'm coming to see . 
_d4528 		that instrument ? 
_d4528 		you were saying dijeridoo this morning . 
_d4528 		who's playing the dijeridoo in that picture ? 
_d4528 		a kangaroo , is that silly or what ? 
_d4528 		it's very silly . 
_d4528 		you really like that musketeer , don't you ? 
_d4528 		here's the pajama book , and Mommy's toddlers book . 
_d4528 		let me see , who's climbing on the tree . 
_d4528 		in that picture ? 
_d4528 		you know what that is . 
_d4528 		what's that animal ?
_d4528 		it's a koala . 
_d4528 		yeah . 
_d4528 		sitting in a +...
_d4528 		in the sun , yeah . 
_d4528 		what does the kookaburra do in the sun +//? 
_d4528 		kookaburra sits on the +... 
_d4528 		what kind of a tree does kookaburra sit on ? 
_d4528 		in that song ? 
_d4528 		old tree , yep [: yes] . 
_d4528 		what kind of a tree ? 
_d4528 		an old +... 
_d4528 		gum tree .
_d4528 		yeah , in the gum tree . 
_d4528 		what's the next part of that song , do you remember ? 
_d4528 		oh , that's the other song . 
_d4528 		no I'm thinking of kookaburra sits in the old gum tree +... 
_d4528 		merry , merry +... 
_d4528 		king ! 
_d4528 		of the +... 
_d4528 		of the bush , right ? 
_d4528 		is he +... 
_d4528 		yeah . 
_d4528 		gay your life must be . 
_d4528 		you're coming down ? 
_d4528 		stairs ? 
_d4528 		xxx .
_d4529 		hello , can you see me ? 
_d4529 		oh you know what , it's probably zoomed [?] . 
_d4529 		it's on zoom . 
_d4529 		k [: okay] , do you see Mommy ? 
_d4529 		do you see mommy in the camera ? 
_d4529 		xxx . 
_d4529 		you're sitting +//. 
_d4529 		on the floor ? 
_d4529 		here's your crown . 
_d4529 		oh , you're a , you're a king , you're a king ! 
_d4529 		oh , little king ! 
_d4529 		king Naima ! 
_d4530 		what are you doing ? 
_d4530 		what do you think we're going to do when  . 
_d4530 		don't need a slot , right [?] ? 
_d4530 		you wanna look in the camera ? 
_d4530 		well I'm not in it now . 
_d4530 		that's the rest of the room . 
_d4530 		I can see you . 
_d4530 		there's the bed , see the bed ? 
_d4530 		go ahead . 
_d4530 		go in the bed . 
_d4530 		xxx .
_d4530 		okay . 
_d4530 		uh +... 
_d4530 		I put it up there on that table , see ? 
_d4530 		on the table , it's the top , on top of where the nature book is . 
_d4530 		see the nature book on the little table ? 
_d4530 		not that table , the other table . 
_d4530 		(o)kay , have a seat . 
_d4531 		what's that cat doing ? 
_d4531 		mmmm+hmmm . 
_d4531 		that's called a fire  . 
_d4531 		fish for the cat , yep [: yes] . 
_d4531 		mmmm+hmmm . 
_d4531 		do you know what that cat's doing ? 
_d4531 		yes , licking her fur . 
_d4531 		the , the dog is shaking off the water . 
_d4531 		did we skip any pictures ? 
_d4531 		oh . 
_d4531 		what's the cat doing ? 
_d4531 		yeah . 
_d4532 		he went in the pond ? 
_d4532 		and he got wet in the pond ? 
_d4532 		do you think he was swimming ? 
_d4532 		oh show me how you swim . 
_d4532 		o:h .
_d4532 		you are swimming . 
_d4532 		okay .
_d4532 		okay , come back to Mommy . 
_d4532 		hi , little fish . 
_d4532 		hi little fish . 
_d4532 		yeah , now you're sitting down . 
_d4532 		that's a brown bird . 
_d4532 		watching the cat . 
_d4532 		hmmm .
_d4532 		I think the cat is watching the bird +//. 
_d4532 		that cat is hiding underneath the rug . 
_d4532 		that's what's happening there , I think . 
_d4532 		that's the cat's bottom . 
_d4532 		what is that ? 
_d4532 		oh , the dog's muzzle ? 
_d4532 		remember we talked about bears having muzzles ? 
_d4532 		where ?
_d4532 		oh , yes it's in the library . 
_d4532 		yes , we returned it . 
_d4532 		did we skip some pages here ? 
_d4532 		oh that's the u+p+s man . 
_d4532 		he's wearing a belt . 
_d4532 		see ? 
_d4533 		he likes to bury bones . 
_d4533 		oh the cat says I am the cat , I don't care whether they feed me or not as long as I  fed [?] . 
_d4533 		you remember that part . 
_d4533 		sometimes I tease them to feed me . 
_d4533 		sure is . 
_d4533 		that mouse is sneaking around . 
_d4533 		while the cat and the dog are asleep . 
_d4533 		well this part of +//.
_d4533 		I think that's right , I think this part of the dog's face is called a muzzle . 
_d4533 		or the +//.
_d4533 		hmmm . 
_d4533 		muzzle . 
_d4533 		you know what , I'll look that up , muzzle , I think that's right . 
_d4533 		bears have muzzles too . 
_d4533 		oh yeah . 
_d4533 		I don't know where the musk +//.
_d4533 		you wanna look through here again ? 
_d4533 		there's Mommy's feet , you can see Mommy's feet in the camera . 
_d4533 		I'm wearing some boots . 
_d4533 		do you remember what kinds of animals have ,  +...
_d4533 		did we review this ? 
_d4533 		what kind of animals +...
_d4533 		have pouches ? 
_d4533 		no what kind of animals hop , we talked about this . 
_d4533 		different animals hop . 
_d4533 		rabbits hop . 
_d4533 		what other kinds of animals hop ? 
_d4533 		frogs hop . 
_d4533 		armadillos hop ? 
_d4533 		maybe +... 
_d4533 		I'm not sure if they do . 
_d4533 		they don't ? 
_d4533 		um , how about crickets ? 
_d4533 		and kangaroos ? 
_d4533 		and any +//.
_d4533 		oh birds sometimes , some kinds of birds hop . 
_d4533 		cardinals hop ? 
_d4533 		yes , they do fly . 
_d4533 		and they eat seeds too .
_d4533 		like that , is that how they do it ? 
_d4533 		off the ground ? 
_d4533 		yeah , I think they do eat them off the ground . 
_d4533 		xxx . 
_d4533 		birds use their beaks when they're eating . 
_d4533 		I think we need to go soon . 
_d4533 		it's time to go to the post+office . 
_d4533 		and then it's time to meet Daddy . 
_d4533 		but first we have_to pack some food to go . 
_d4533 		have you had +...
_d4533 		at the hospital . 
_d4533 		she is licking her fur . 
_d4533 		the kitty +...
_d4533 		the kitty cat is licking her fur . 
_d4533 		she has a toy . 
_d4533 		she has a fish toy . 
_d4533 		yup [: yes] .
_d4533 		he's sleeping ? 
_d4533 		mmmm+hmmm . 
_d4533 		mmmm .
_d4533 		he likes to bury bones . 
_d4533 		dogs like to bury their bones . 
_d4533 		okay , well I'm gonna get ready to go , I've got things to pack up +... 
_d4533 		and then we need to +...
_d4533 		check your diaper , and we need to +... 
_d4533 		get bundled up (be)cause it's cold out . 
_d4534 		are you telling your friends to be safe in that bus , be safe friends . 
_d4534 		today is Halloween isn't it ? 
_d4534 you wanna take off your costume for now 
_d4534  looks like one antenna is falling off 
_d4534  yeah I can take those out for little while we can put them back on when we are ready to go to the library 
_d4534   you took it out for me okay you wanna give that to me okay . 
_d4534 		has what hair elastic on it yeah all the other ones are in okay I think . 
_d4534 		you wanna okay . 
_d4534 		Doggy Woggy slid down the slide didn't he  I don't think this is gonna go on over your costume we need to take off you bee costume for now we put it back on when we go to the library . 
_d4534 		okay let's take it off okay I forgot we didn't have this on  who just slid down who was that sliding dow ? 
_d4534 		yeah that was your friend Liza  okay . 
_d4534 		there she is I see it right there . 
_d4534 		was she in the car earlier , yesterday she was in the car . 
_d4534 		how many friends do you have right now you wanna count them ? 
_d4534 		let's count them .
_d4535 well when we go to the car we definitely have_to check 
_d4535  I don't know if any of them are in your room do you think they might be in your room sometimes they they'll stay in Mommy's purse when I bring them somewhere to be with you 
_d4535  they end up stay in my purse . 
_d4535 		it's terrible to lose them but we always find them . 
_d4535 		you're giving them to me ? 
_d4535 		are they going for a ride you remember yesterday we saw a school bus just like your school bus when we were at the store we saw a little school bus just like the friends school bus . 
_d4535 		I'm gonna look in my bag and see if any of your other friends are in there . 
_d4535 I'm gonna just look in your room f
_d4535  a second see if I can find them see if there's any friend here I don't see any  I'm gonna check my bag I have a feeling there might be in my bag  let see  there's lot of things here 
