_t4 		this is later the same day the twenty+ninth . 
_t4 		were you were you  .
_t4 		look Daddy wants you to wear Daddy wants you to wear the backpack now Naima .
_t4 		sweetie+pie let's wear the backpack . 
_t4 		oh baby .
_t4 		you could wear the backpack . 
_t4 		it wouldn't .
_t4 		it wouldn't hurt you .
_t4 		you wanna go outside with the stroller . 
_t4 		playing with the snow . 
_t4 		I guess we might be done taping . 
_t4 		here let's try the backpack . 
_t4 		oh there again . 
_t4 		here .
_t4 		okay we'll take the backpack off . 
_t4 		that's not for you baby . 
_t4 		okay this is taping over because we had a lot of problems and a big buzzing sound so I'm redoing the rest of this tape . 
_t4 		it's July it's July it's January sixth . 
_t4 		and we'll just see if there's a big buzzing noise . 
_t4 		what's Naima eating for supper ? 
_t4 		frozen banana . 
_t4 		it's cold is it so cold you'll have_to wear your snow suit . 
_t4 		oh: that's very cold then . 
_t4 		that would make it very cold . 
_t4 		is it that cold ? 
_t4 		is it really that cold ? 
_t4 		does Naima wanna eat some beans ? 
_t4 		or more tofu ? 
_t4 		you want some of these white beans ? 
_t4 		oh .
_t4 		let's eat them  . 
_t4 		oh yeah .
_t4 		we could have them with .
_t4 		what did you say ? 
_t4 		it would be good . 
_t4 		you're a bird . 
_t4 		you're a bear . 
_t4 		Mommy is opening the can of beans to feed her baby bird . 
_t4 		who's my baby bird ? 
_t4 		yeah . 
_t4 		Naima .
_t4 		well I can heat them up if you want . 
_t4 		you want them to be warm . 
_t4 		you want them to be hot . 
_t4 		yea yes I think  it's good to me . 
_t4 		let's get something to heat them a bit .
_t4 		more frozen banana . 
_t4 		oh+my+goodness we're out of frozen banana . 
_t4 		okay . 
_t4 		let's put some of these beans in the microwave for a few minutes . 
_t4 		hmmm . 
_t4 		okay let see if there is more in the refrigerator . 
_t4 		oh here's some how lucky . 
_t4 		that bag is empty you're right but there's some in this bag . 
_t4 		it's cold when you eat it yeah . 
_t4 		you will try . 
_t4 		there you go .
_t4 		you look like you're shivering is that frozen banana too cold ? 
_t4 		is it too cold ? 
_t4 		I'm gonna make more frozen bananas I'm gonna [: going to] freeze bananas . 
_t4 		and I'm gonna give you some warm actually these beans are hot . 
_t4 		hot to bone . 
_t4 		they are little bit hot okay you might wanna wait a minute . 
_t4 		mmmm nice beans  . 
_t4 		how lucky .
_t4 		how lucky . 
_t4 		okay .
_t4 		okay . 
_t4 		are you alright ? 
_t4 		you're coughing . 
_t4 		mmmm hot beans . 
_t4 		there we go . 
_t4 		mmmm . 
_t4 		here's some special cookie also . 
_t4 		so Naima . 
_t4 		do you like those beans ? 
_t4 		what're we gonna eat for a green vegetable today . 
_t4 		hey there's parsley  . 
_t4 		Mommy likes parsley . 
_t4 		yes they're leaves . 
_t4 		these leaves are called parsley . 
_t4 		you like it too okay .
_t4 		I didn't know you liked parsley . 
_t4 		I didn't realize that . 
_t4 		parsley .
_t4 		yeah . 
_t4 		oh+my+goodness there's some rotten yucky stuff in this refrigerator .
_t4 		Mommy has to throw out this icky icky icky . 
_t4 		well there was a cucumber that was rotten basically .
_t4 		I had to throw out a rotten cucumber . 
_t4 		but it's not a bad thing . 
_t4 		I wouldn't worry about it . 
_t4 		I'm gonna wash the parsley . 
_t4 		oh you'd like to eat some .
_t4 		I was gonna cut it up first . 
_t4 		shall I cut it ? 
_t4 		I'm gonna cut it .
_t4 		okay . 
_t4 		na+na .
_t4 		does Naima want some cracker ?
_t4 		more beans how about more beans . 
_t4 		hmmm . 
_t4 		and you have some tofu there too . 
_t4 		Mommy is gonna cut the parsley . 
_t4 		hmmm . 
_t4 		I think parsley tastes good . 
_t4 		do you think parsley taste good ? 
_t4 		do you like it ? 
_t4 		smells good too . 
_t4 		hmmm you okay ? 
_t4 		hmmm do you want some cracker ? 
_t4 		oh what would you like with it ? 
_t4 		you want some summer vegetables ? 
_t4 		you could put beans on the cracker . 
_t4 		
_t4 		p+u . 
_t4 		p+u . 
_t4 		do we have any summer vegetables or did you eat all the summer vegetables . 
_t4 		you might have eaten all out . 
_t4 		oh here's summer vegetables . 
_t4 		yummy yummy . 
_t4 		and Mommy's gonna have some something . 
_t4 		cheddar+cheese I guess . 
_t4 		here's some more parsley and I'm gonna give you summer vegetables to eat with your crackers . 
_t4 		would you like some cheese also ? 
_t4 		you can dip the crackers in the summer vegetables if you want to . 
_t4 		are you okay ? 
_t4 		what Boo ? 
_t4 		mmmm+hmmm .
_t4 		xxx .
_t4 		xxx . 
_t4 		you like that name . 
_t4 		you like that little girl . 
_t4 		baby .
_t4 		what ? 
_t4 		there isn't any more fro(zen) +//. 
_t4 		oh actually there's a li:ttle bit there . 
_t4 		hold on .
_t4 		okay I'll give you do you want fresh banana ?
_t4 		there's a frozen right there but that's all there is .
_t4 		I'm making some frozen banana .
_t4 		I'm putting it in the plastic bag to freeze it . 
_t4 		I'm gonna give you the frozen one .
_t4 		that's how it is ? 
_t4 		that's how it is . 
_t4 		into little pieces . 
_t4 		little pieces for you to eat . 
_t4 		yes I'm gonna cut it smaller . 
_t4 		to eat yes .
_t4 		for Naima baby .
_t4 		let's see . 
_t4 		hmmm I think Mommy will . 
_t4 		put away the tofu you want more tofu . 
_t4 		eat your vegetables too honey . 
_t4 		hmmm . 
_t4 		oh you've been eating your vegetables good job . 
_t4 		what else would you like now . 
_t4 		what can I get for you ? 
_t4 		what's Mommy gonna [: going to ] have ? 
_t4 		well I wasn't gonna cook anything I was trying to avoid cooking actually . 
_t4 		um I was just gonna have some beans with parsley and garlic . 
_t4 		and some bread do you want some bread to eat ? 
_t4 		Naima could have bread .
_t4 		oh you want more parsley okay . 
_t4 		okay .
_t4 		the leaves called parsley . 
_t4 		I can get you some leaves called parsley .
_t4 		yeah .
_t4 		mmmm warm leaves . 
_t4 		those are warm leaves . 
_t4 		it is .
_t4 		hmmm . 
_t4 		now Mommy needs garlic . 
_t4 		Mommy's gonna do what ? 
_t4 		what am I pretending ? 
_t4 		I'm not pretending .
_t4 		I'm really peeling garlic . 
_t4 		and I'm really .
_t4 		xxx what am I pretending ? 
_t4 		oh okay I thought I was really cutting garlic . 
_t4 		oh this isn't .
_t4 		okay . 
_t4 		what's Naima eating now ? 
_t4 		oh cracker and summer vegetables that sounds so delicious . 
_t4 		yeah delicious combination . 
_t4 		what's in the freezer . 
_t4 		you mean what's in there for you . 
_t4 		okay .
_t4 		you can have some frozen blueberries do you want some yogurt also ? 
_t4 		okay . 
_t4 		that would be a combination yeah . 
_t4 		combination . 
_t4 		combination in the nation . 
_t4 		okay . 
_t4 		do you have your spoon there okay so you can use that spoon . 
_t4 		I get you some yogurt . 
_t4 		we're almost out of this yogurt I can't believe it . 
_t4 		and frozen blueberries . 
_t4 		please don't dump all that out . 
_t4 		here's your yogurt . 
_t4 		can I use your spoon for a second . 
_t4 		there . 
_t4 		mmmm here's the spoon . 
_t4 		mmmm . 
_t4 		is the yogurt delicious ? 
_t4 		how is it ? 
_t4 		how is the yogurt ? 
_t4 		it must be good . 
_t4 		does it taste good ? 
_t4 		does it taste good ? 
_t4 		what ? 
_t4 		hi spider . 
_t4 		you're saying hi to a spider . 
_t4 		hi spider . 
_t4 		hi spider . 
_t4 		oh I didn't realize we had this here do you want some jack cheese . 
_t4 		you like jack cheese would you like some ? 
_t4 		you mean her little brother . 
_t4 		xxx little brother's name was  . 
_t4 		oh  she had two other brothers with her . 
_t4 		one was called  and one is called  . 
_t4 		no  was crying . 
_t4 		xxx wasn't crying  was the little baby brother . 
_t4 		he was the baby brother . 
_t4 		he was crying .
_t4 		the baby brother was crying when his his Mommy and Daddy would put him down . 
_t4 		what ? 
_t4 		xxx brother's names ? 
_t4 		you wanna hear them again ? 
_t4 		xxx and  . 
_t4 		xxx was the little one . 
_t4 		the little one .
_t4 		yeah he is .
_t4 		uh he is a .
_t4 		he is a little baby . 
_t4 		he was playing he was playing on your slide . 
_t4 		xxx was also playing on your slide . 
_t4 		she was going in a tunnel . 
_t4 		you you like  .
_t4 		you like the name   . 
_t4 		xxx .
_t4 		xxx . 
_t4 		what ? 
_t4 		how that ticker goes ? 
_t4 		mmmm now Mommy's got_to eat too . 
_t4 		mmmm Mommy was hungry . 
_t4 		you wanna eat toast . 
_t4 		you mean bread or toast . 
_t4 		okay . 
_t4 		I'll make .
_t4 		you wanna try some bread ? 
_t4 		bread . 
_t4 		this is rye bread .
_t4 		I don't think you've had this before . 
_t4 		it's called rye bread . 
_t4 		rye bread . 
_t4 		it's called a rye bread . 
_t4 		why don't you try it see if you like it . 
_t4 		do you want some water ? 
_t4 		water water . 
_t4 		mmmm+hmmm there . 
_t4 		xxx . 
_t4 		xxx was that little boy . 
_t4 		mmmm+hmmm . 
_t4 		xxx is  brother . 
_t4 		mmmm+hmmm . 
_t4 		what do you like ?
_t4 		brothers . 
_t4 		she had three brothers . 
_t4 		one two three  and  .
_t4 		xxx and  were playing and so as  . 
_t4 		they were playing with your blocks and they were playing with your slide . 
_t4 		do you want something more to eat .
_t4 		hi giddy giddy hi giddy giddy hi ? 
_t4 		you know  .
_t4 		ha Lucille is in Daddy's closet . 
_t4 		I know exactly where he is .
_t4 		do you need something else to eat do you want some . 
_t4 		or wheat . 
_t4 		want more blueberries . 
_t4 		yes . 
_t4 		fishing boat . 
_t4 		fishing boat . 
_t4 		what do you +/?
_t4 		who says that is a good question . 
_t4 		I don't know what you .
_t4 		Naima do you want to eat more blueberries ? 
_t4 		oh yes .
_t4 		you're sleepy . 
_t4 		Mommy thinks you're sleepy . 
_t4 		are you are you talking about the where I live book ? 
_t4 		sun .
_t4 		where I live sun beams sparkle like diamonds on water . 
_t4 		xxx  Mommy's name is  . 
_t4 		do you want more bean ? 
_t4 		beans more beans . 
_t4 		these are Mommy's beans they have garlic and also some parsley on it . 
_t4 		what are we gonna play with tonight now ?
_t4 		mmmm the Lego dolls good idea . 
_t4 		we can play with those Lego dolls . 
_t4 		we can pretend that they are going to a play group .
_t4 		oh good idea .
_t4 		mmmm they have fun there . 
_t4 		who'll get to drive in a toy car . 
_t4 		they'll take turns going down the slide I think . 
_t4 		hmmm Emma . 
_t4 		Julio .
_t4 		xxx . 
_t4 		mmmm+hmmm . 
_t4 		xxx . 
_t4 		mmmm+mmmm . 
_t4 		where . 
_t4 		what woman ?
_t4 		oh she's sitting there . 
_t4 		she's in the picture she's posing for the picture . 
_t4 		oh . 
_t4 		yeah she's posing with a man in that picture . 
_t4 		she's posing . 
_t4 		warm nice and cozy . 
_t4 		mmmm . 
_t4 		is it time to get out of the chair ? 
_t4 		okay let's get you let's get you out .
_t4 		who was at the play group ?
_t4 		xxx and his mother  .
_t4 		let's get clean now .
_t4 		who else   was there yeah .
_t4 		what was  doing ? 
_t4 		she was playing  she hugged you didn't she ? 
_t4 		she hugged you . 
_t4 		okay can you wash your hands now ?
_t4 		can you wash your hands please ? 
_t4 		that has soap on it . 
_t4 		scrub a+dub dub . 
_t4 		scrub+a scrub+a scrub+a . 
_t4 		umm I don't know exactly that caterpillar was in the country mass book for a while . 
_t4 		these crayons really shattered on the floor . 
_t4 		what do you remember . 
_t4 		I like both of those names too . 
_t4 		that's the Mommy and the little girl's names . 
_t4 		the little girl's name is  her mommy's name is  . 
_t4 		yes . 
_t4 		what . 
_t4 		diddy dad what does that mean . 
_t4 		diddy dad . 
_t4 		xxx . 
_t4 		yes it was . 
_t4 		yes mmmm+hmmm .
_t4 		oh hey speaking of Hippos Go Berserk it's right there . 
_t4 		look . 
_t4 		I don't think is here any more but you can check if you want to . 
_t4 		xxx was there too today . 
_t4 		ahh let's see .
_t4 		here's a good piece of paper . 
_t4 		you wanna draw you wanna draw on that piece . 
_t4 		oh don't throw them on the floor . 
_t4 		you know what those crayons break on the floor . 
_t4 		are you done drawing do you want to get down ? 
_t4 		that is a limpet shell . 
_t4 		what . 
_t4 		that's a scallop shell .
_t4 		that's a crayon . 
_t4 		that's a crayon . 
_t4 		I'm starting to put things away because you're acting like you're done drawing . 
_t4 		you drew some very nice things today . 
_t4 		okay . 
_t4 		little girl's name is  and her mommy's name is  .
_t4 		what's your name did you tell her your name ? 
_t4 		yeah did you tell her that was your name ?
_t4 		I know it's your name but did you tell her ? 
_t4 		the scallop shell did you hide the scallop shell somewhere ?
_t4 		oh dear . 
_t4 		oh dear I think you hid it somewhere . 
_t4 		yes . 
_t4 		is it here ?
_t4 		ahh there it is . 
_t4 		there's the scallop shell right there . 
_t4 		where did that scallop shell go ? 
_t4 		where did the scallop shell go ? 
_t4 		is it there  it's on the hippo . 
_t4 		it's on that hippo . 
_t4 		oh I should call Kristen . 
_t4 		xxx      .
_t4 		xxx    .
_t4 hi  it's   I hope you had good holidays 
_t4  I was calling to see if we are both still on for a play date for Thursday the ninth this Thursday  my phone home phone number is         we had said two which is fine  our nap time here is somewhat unpredictable  
_t4  you can tell me what works for you 
_t4  we are at     in  which is practically right down the street South Main Street from Four Seas Ice Cream if you know that so  I I'll look forward to hearing from you at some point 
_t4  hope we can still do this thanks bye .
_t4 		a big shell that's a big clam shell actually . 
_t4 		that's a clam shell . 
_t4 		that's a big clam shell . 
_t4 		that's the littlest of those shells yeah I think you're right .
_t4 		I think that's the littlest one . 
_t4 		what song is that ? 
_t4 		do I know that song ? 
_t4 		oh I don't think I know which one that was you're referring to .
_t4 		I know you know some other songs you know Jimmy crack corn song ? 
_t4 		how does that one go ? 
_t4 		the master's gone away .
_t4 		right .
_t4 		Jimmy crack corn I don't care . 
_t4 		can you sing it too ? 
_t4 		Jimmy crack corn I don't care . 
_t4 		that's Daddy's song and Mommy's song and the person's song . 
_t4 		that's a good song . 
_t4 		Jack .
_t4 		let see what other songs  how about Miss Julian Johnson . 
_t4 		good bye  . 
_t4 		she's gone to Dallas . 
_t4 		uh+huh . 
_t4 		you tell me you know that lyric I don't know it .
_t4 		she's coming . 
_t4 		she's going to Dallas uh+huh . 
_t4 		xxx   she's gone to Dallas uh+huh . 
_t4 		we can play that song and hear we can learn the lyrics . 
_t4 		Mommy doesn't know all the lyrics . 
_t4 		good+bye  uh+huh . 
_t4 		she's gone to Dallas uh+huh . 
_t4 		I'm cleaning up a little bit while I'm talking to you . 
_t4 		good bye  . 
_t4 		is there a dragon+fly over there +//.
_t4 		have you got a dragon+fly ?
_t4 		xxx in the house ?
_t4 		xxx where is it ? 
_t4 		where's the dragon+fly ? 
_t4 		not there .
_t4 		not there not there not there . 
_t4 		where is it where's the dragon+fly ? 
_t4 		xxx not there . 
_t4 		oh here are some other bugs though . 
_t4 		hey you got a crayon there let me put these away . 
_t4 		hi spider . 
_t4 		xxx   which is the biggest bug ? 
_t4 		which one is the littlest ? 
_t4 		I think that bee is the biggest one . 
_t4 		mmmm+hmmm . 
_t4 		xxx January tenth . 
_t4 		yes ,  is coming today . 
_t4 		what else is today , do you remember ? 
_t4 		xxx something else today . 
_t4 		oh . 
_t4 		you knew that ? 
_t4 		I guess you knew that . 
_t4 		oh that person's also going on the slide ,  yeah . 
_t4 		and +... 
_t4 		what ? 
_t4 		what'd [: what did] you say ? 
_t4 		oh yeah , she's on the see+saw with that other person . 
_t4 		let me see , can I bring them here ? 
_t4 		um +... 
_t4 		I'm taping earlier than I need to because Naima just said a whole lot of things and  +... 
_t4 		what she said ! 
_t4 		(be)cause she's in a talking mood . 
_t4 		xxx . 
_t4 		who's  ? 
_t4 		where ? 
_t4 		yes .
_t4 		at the play+group , that's right . 
_t4 		she was talking to her mommy  , yeah .
_t4 		that's right . 
_t4 		xxx . 
_t4 		Naima just said something like +//.
_t4 		what did you say about the slide ? 
_t4 		oh God , I can't remember , you said something very interesting . 
_t4 		oh well . 
_t4 		oh , that cat's name is punjabi ? 
_t4 		yeah Billy is the punjabi word for cat . 
_t4 		that's right . 
_t4 		this is a good play+ground , I think . 
_t4 		that's a slide or a see+saw ? 
_t4 		okay . 
_t4 		oh , the swing is in the living+room .
_t4 		oh , it is just like a rolling pin . 
_t4 		this looks just like a rolling pin , doesn't it ? 
_t4 		put dough there ? 
_t4 		and then what will we do , let's put the dough here , I'm pretending to put the dough down . 
_t4 		I'm gonna roll it , right ? 
_t4 		like that ? 
_t4 		that's how you roll dough , isn't it ? 
_t4 		can you do it ? 
_t4 		xxx roll the dough . 
_t4 		yeah . 
_t4 		yeah . 
_t4 		can I put the camera on  making the play+ground . 
_t4 		that's  around . 
_t4 		this kid is gonna chase it . 
_t4 		oh , that kid's gonna roll on the ball . 
_t4 		stand on it , wow ! 
_t4 		mmmm ! 
_t4 		I know what that one thing what I was gonna say you said , you +... 
_t4 		and you said there was +//.
_t4 		what did you say , there was a kid , there was a +... 
_t4 		there was a baby named Joe who visited us . 
_t4 		you heard the name Joe in the song and then you remembered . 
_t4 		that someone named Joe came to visit us . 
_t4 		a kid , yeah . 
_t4 		he's littler than you , though . 
_t4 		yes he is a baby . 
_t4 		there are lots_of things rolling in here now .
_t4 		xxx . 
_t4 		mmmm+hmmm . 
_t4 		that's a tree stump , that looks just like a tree stump ! 
_t4 		xxx tree stump , yeah . 
_t4 		that's dough , you gonna roll some more dough ? 
_t4 		let's see you roll the dough . 
_t4 		with the rolling pin . 
_t4 		is that how you roll dough ? 
_t4 		put a little bit . 
_t4 		I think this will work . 
_t4 		oh good , I'm glad she's being safe .
_t4 		she's being careful ? 
_t4 		o:h . 
_t4 		even though she was being careful , that can happen . 
_t4 		she okay ? 
_t4 		o:h , they're both gonna be on the see+saw ? 
_t4 		see if we can make a proper see+saw . 
_t4 		yeah ? 
_t4 		this is like a see+saw here . 
_t4 		see ? 
_t4 		whee . 
_t4 		except that , they're sliding down . 
_t4 		we could build a see+saw if I had some card+board and some scissors . 
_t4 		okay , we don't have_to . 
_t4 		oh , they're gonna slide down that slide . 
_t4 		oh , she's on a bridge ? 
_t4 		oh she's under the , she's under the bridge , you mean .
_t4 		o:h .
_t4 		she's going to Maine ? 
_t4 		you remember going over a bridge to Maine ? 
_t4 		wow ! 
_t4 		that's a good memory . 
_t4 		oh they're both  . 
_t4 		what are they gonna do when they get to Maine ? 
_t4 		oh , they're gonna get some buckets , you mean  . 
_t4 		at the beach . 
_t4 		what are they gonna play at the beach ? 
_t4 		xxx with the watering can ? 
_t4 		that sure sounds like fun . 
_t4 		and then , sprinkle sprinkle sprinkle ! 
_t4 		yeah , you like to pour it on your hair ? 
_t4 		do you do that in the bath+tub sometimes ? 
_t4 		I think you do . 
_t4 		you use ducks and cups in the bath+tub when Daddy gives you a bath , don't you ?
_t4 		okay , we'll make a desk for owl .
_t4 		this looks like it's almost like owl's house up here , (be)cause it's high up , you can pretend it's high up in the trees . 
_t4 		and we can make a desk for owl . 
_t4 		who's gonna pretend to be the owl , though ? 
_t4 		okay , that'll be the owl . 
_t4 		yes ? 
_t4 		we're gonna make owl's house up in the tree , right ? 
_t4 		here's a desk . 
_t4 		oh , who's going to visit the owl in the tree+house ? 
_t4 		mmmm . 
_t4 		and how does she +//.
_t4 		they're all gonna visit owl in the tree+house ? 
_t4 		okay +... 
_t4 		yeah , that's up in the tree , and they're in the owl's tree+house . 
_t4 		yeah . 
_t4 		what are they talking about ? 
_t4 		whose tail ? 
_t4 		oh , okay .
_t4 		which song is that about wig+wag a tail ? 
_t4 		hmmm . 
_t4 		oh , if you're happy and you know it . 
_t4 		oh , if you're happy and you know it +... 
_t4 		wig+wag your tail . 
_t4 		if you're happy and you know it , wig+wag your tail . 
_t4 		how do you wig+wag your tail ? 
_t4 		can you show me ? 
_t4 		this is your tail , if you were an animal your tail would be right here . 
_t4 		so this is how you wig+wag your tail . 
_t4 		if you're happy and you know it , and you really wanna show it +... 
_t4 		if you're happy and you know it , wig+wag your tail . 
_t4 		what +...
_t4 		she has a turkey ? 
_t4 		Miss  sang that happy and you know it song yesterday when we were at the toddler time , didn't she ? 
_t4 		you wanna make the tree+house again ? 
_t4 		oh , okay . 
_t4 		that's not how it's made , show me how to make it then . 
_t4 		to g . 
_t4 		is that a swear word ? 
_t4 		is that what you say when you're mad ? 
_t4 		yeah , those are words you say when you're mad sometimes . 
_t4 		how do you wanna make the tree+house ? 
_t4 		oh you  +//. 
_t4 		that is an h ! 
_t4 		xxx let's take a look  . 
_t4 		maybe we should make some stairs that go up to the tree+house , what do you think ? 
_t4 		make a what ? 
_t4 		oh a rope , that's how Pooh gets up to owl's house . 
_t4 		right ? 
_t4 		Pooh bear . 
_t4 		hmmm . 
_t4 		what can we use for a rope ? 
_t4 		make an r ? 
_t4 		with the blocks , okay . 
_t4 		mmmm , let's see , I think I'll use this to make the R . 
_t4 		I'm gonna open the door so we can hear it . 
_t4 		oh . 
_t4 		maybe I'll play it again , I like that song . 
_t4 		all around the kitchen , cock+a+doodle , doodle+doo ! 
_t4 		cock+a+doodle , doodle+doo ! 
_t4 		cock+a+doodle , doodle+doo ! 
_t4 		all around the kitchen , cock+a+doodle , doodle+doo ! 
_t4 		I'm gonna make the r now . 
_t4 		okay , here's my r . 
_t4 		come see it over here . 
_t4 		is that r ? 
_t4 		does that look like an r ? 
_t4 		she's changing her diaper there ? 
_t4 		oh , are you changing it ?
_t4 		oh . 
_t4 		you like that song Mary had a baby ? 
_t4 		maybe that's coming up soon on this tape , I don't know . 
_t4 		what other letters can we make with these blocks ? 
_t4 		how about an l ? 
_t4 		how about this ? 
_t4 		does that look like an l ? 
_t4 		it doesn't ? 
_t4 		okay how about this ? 
_t4 		there . 
_t4 		that's an l . 
_t4 		a j , okay . 
_t4 		a j to kiss the l ? 
_t4 		there's a j . 
_t4 		xxx . 
_t4 		there's the l . 
_t4 		you want a j that kisses an l ? 
_t4 		all+right we need more blocks if we're gonna do that , there's the j +... 
_t4 		and there's the l +... 
_t4 		now keep that j . 
_t4 		okay , there's the l . 
_t4 		you gonna make the j again ? 
_t4 		okay . 
_t4 		yeah ! 
_t4 		you wanna make a p , okay . 
_t4 		can you help to make the p ? 
_t4 		is that how we would make it ? 
_t4 		here's lemon . 
_t4 		oh dear , it's the lemon game again . 
_t4 		the lemon is out in the hall+way because you threw it out there . 
_t4 		didn't you ? 
_t4 		you want me to get it ? 
_t4 		okay . 
_t4 		she's gonna say  no ? 
_t4 		xxx ! 
_t4 		oh no , what's falling out of mother cat's cart ? 
_t4 		oranges are falling out of mother cat's cart ,  dear . 
_t4 		Loley worm's [: worm is] gonna say that ,  . 
_t4 		yeah . 
_t4 		oh she is Loley worm ,  she's pretending to be Loley worm ? 
_t4 		mr paint_a pig ! 
_t4 		mr paint_a pig ! 
_t4 		you were paint_a , you were ms paint pig the other day , when you were paint the +... 
_t4 		yes . 
_t4 		you painted a beautiful lizard . 
_t4 		yyy ! 
_t4 		lizard . 
_t4 		is a lizard a mammal ? 
_t4 		xxx really ? 
_t4 		I think she is a  , I think she is a reptile . 
_t4 		she's a mammal , she isn't a reptile , she's a mammal , are you sure ? 
_t4 		I don't think lizards nurse their babies .
_t4 		I don't think lizards nurse . 
_t4 		so the +//.
_t4 		I think they're reptiles . 
_t4 		turtles are reptiles ,  . 
_t4 		you're looking for a turtle , do you have any turtles ? 
_t4 		what kind of turtle do you have ? 
_t4 		what ?
_t4 		what ? 
_t4 		a purple turtle ? 
_t4 		you have a purple turtle ? 
_t4 		you have a gray turtle ,  . 
_t4 		wow that's a lot of turtles , you're pretending to have turtles ? 
_t4 		do you have a turtle farm ? 
_t4 		oh . 
_t4 		where did we see turtles ? 
_t4 		last week . 
_t4 		at the what ? 
_t4 		oh , yes the Museum of Natural History . 
_t4 		yeah , we saw some turtles there . 
_t4 		we saw one snake , we did see one snake there . 
_t4 		she was a volunteer at the museum . 
_t4 		I don't remember her name . 
_t4 		she got the snake out of the box . 
_t4 		yeah , she put it back in , that was good . 
_t4 		snuggle snake , snuggle snake snuggle snake ! 
_t4 		are you a snuggle snake sometimes ? 
_t4 		what's a snuggle snake ? 
_t4 		and do you remember we pretended to be snakes somewhere this week , where were we when we pretended  . 
_t4 		yes ! 
_t4 		at the yoga class . 
_t4 		we pretended  . 
_t4 		xxx was there , this is how we pretend to be a snake , like this +... 
_t4 		this is the way we pretend to be a snake . 
_t4 		okay . 
_t4 		they're slippery , mmmm+hmmm . 
_t4 		they're in our way . 
_t4 		we can't , we can't play on the rug because the blocks are in our way , I think . 
_t4 		we need to go to the book+store this morning , I think . 
_t4 		you gonna come with me to the book+store ? 
_t4 		you can play with the trains there . 
_t4 		you singing that song ? 
_t4 		train is+a coming ,  yeah . 
_t4 		oh you put your friends in the bag of blocks ? 
_t4 		they are in the bag of blocks . 
_t4 		I think Sally's hiding amongst the blocks . 
_t4 		xxx  . 
_t4 		where did Sally go ? 
_t4 		she's hiding where the blocks  . 
_t4 		you want me to read that baby book ? 
_t4 		okay . 
_t4 		that's an old baby book , isn't it ? 
_t4 		I think that's an old one +//.
_t4 		where is the microphone that goes with this ? 
_t4 		oh dear , we have a naked microphone . 
_t4 		uh +... 
_t4 		huh . 
_t4 		I see somebody riding a bird in that picture . 
_t4 		is somebody riding a bird ? 
_t4 		that's you riding a bird ? 
_t4 		are you a bird or are you riding a bird ? 
_t4 		oh Naima is a bird . 
_t4 		mmmm (o)kay . 
_t4 		okay . 
_t4 		what's their friend's name ? 
_t4 		yeah ! 
_t4 		Alice ! 
_t4 		and they all jump on the +... 
_t4 		yes ! 
_t4 		and her friend Alice . 
_t4 		I'm looking for  , I'm looking for  .
_t4 		xxx black  . 
_t4 		well what else is in that  baby book ? 
_t4 		what other stories are in there ? 
_t4 		what stories are in that baby book ? 
_t4 		oh Kim and Carrots like to watch ! 
_t4 		Kim and Carrots like to watch ! 
_t4 		oh dear , okay . 
_t4 		get Sally out of the blocks , okay . 
_t4 		okay . 
_t4 		all+right , I will . 
_t4 		in just a second . 
_t4 		anyway ? 
_t4 		what's she doing in there ? 
_t4 		you mean get her ? 
_t4 		all+right . 
_t4 		Sally +... 
_t4 		come out Sally ! 
_t4 		oh I see Emily but where's +//.
_t4 		you have Sally in your hand ! 
_t4 		she's in my hand . 
_t4 		today's January eleventh . 
_t4 		Naima has a microphone without a puffy black ball on top of it . 
_t4 		because it seems to be missing . 
_t4 		but you know what we were doing yesterday ? 
_t4 		don't touch that , okay ? 
_t4 		we were making letters , remember we were making letters ? 
_t4 		with the blocks ? 
_t4 		was that fun ? 
_t4 		oh okay , let's not do that then if it's not fun . 
_t4 		Liza ! 
_t4 		oh Liza , that's not safe , Liza ! 
_t4 		there she is ! 
_t4 		let's make a (.) garage . 
_t4 		and a bridge , what do you think ? 
_t4 		can we make a garage and a bridge ? 
_t4 		a garage for the trains . 
_t4 		and Liza and Sally can go in the garage and find the trains . 
_t4 		what do you think ? 
_t4 		yeah . 
_t4 		that aquarium train , yeah , and they can find them in there . 
_t4 		oh , what is this doing here +... 
_t4 		yeah Liza was not being safe there , I think . 
_t4 		I think Liza was in the bag of (.) blocks , right ? 
_t4 		and it wasn't completely safe , I think . 
_t4 		they're looking for the train ? 
_t4 		or they're finding the train ? 
_t4 		oh , what are they going to see in the train ? 
_t4 		what do they see ? 
_t4 		a shark ! 
_t4 		xxx what's in the train , Liza ? 
_t4 		a shark is in the train ! 
_t4 		I'm moving the garage over here . 
_t4 		let's put the train in the garage . 
_t4 		mmmm , and the train tracks can go right into the train garage . 
_t4 		oh you don't wanna do it that way ? 
_t4 		okay . 
_t4 		mmmm . 
_t4 		should we put a roof on the garage ? 
_t4 		mmmm . 
_t4 		well I was gonna , maybe make it taller , so I could put a roof on it . 
_t4 		I thought maybe a roof would be a good thing to have on a garage .
_t4 		you rubbing the train ? 
_t4 		o:h . 
_t4 		mmmm . 
_t4 		oh they're on the roof , aren't they ? 
_t4 		I see you , she said . 
_t4 		who said that ? 
_t4 		Liza and Sally said that +//.
_t4 		here comes the aquarium train ! 
_t4 		the shark is coming in there looking for Liza ? 
_t4 		looking for Sally and Liza  +//.
_t4 		hey , everybody's in that garage ! 
