_d4726 		what would you like ? 
_d4754 		I'm gonna get the tissue out of the bathroom .
_d4755 		oh that , are you thinking about that song . 
_d4755 		okay . 
_d4755 		two little kitty cats lying in the sun .
_d4755 		one jumped up and said I'd like to +... 
_d4755 		the other little kitty cat said I'm running +... 
_d4755 		too . 
_d4755 		round and round and round and round I'll play .
_d4755 		with you . 
_d4755 		is that your slipper ?
_d4755 		said I'd like to run . 
_d4755 		said o like to run ? 
_d4755 		said o like to run ? 
_d4755 		I think we should clean up just a little bit , because there's no room to play here .
_d4756 		yeah , let's play for awhile . 
_d4756 		yes , let's put together +... 
_d4756 		where are +//.
_d4756 		all these puzzles are all +... 
_d4756 		taken apart . 
_d4756 		I'm gonna put this one back together +//.
_d4756 		where's the +...
_d4756 		what shape is that called ? 
_d4756 		yeah that's the octagon .
_d4756 		and you know what that shape is . 
_d4756 		that's the square , and what shape is that ? 
_d4756 		yes .
_d4756 		and what shape is this ? 
_d4756 		yeah . 
_d4756 		and what is this shape ? 
_d4756 		yes . 
_d4756 		and what is that shape ? 
_d4756 		right . 
_d4756 		and you know what this one is .
_d4756 		this is the triangle . 
_d4756 		and here's the pentagon . 
_d4756 		and these go to the duck puzzle .
_d4756 		that's the duck .
_d4756 		oh wait +//.
_d4756 		mmmm+hmmm .
_d4757 		you want me to spell duck ? 
_d4757 		it does ? 
_d4757 		well you have the first letter absolutely right . 
_d4757 		duck begins with the letter d . 
_d4757 		you are good at spelling . 
_d4757 		let's find +//.
_d4757 		I'll spell it for you , I'm just putting these away . 
_d4757 		alright . 
_d4757 		we need a d first of all . 
_d4757 		like you said . 
_d4757 		where's the d ? 
_d4757 		here's a red d ? 
_d4757 		will that work for us ? 
_d4757 		yes . 
_d4757 		d . 
_d4757 		and then we need a u +//.
_d4757 		here's a red u . 
_d4757 		and now we need a c , can you find me a c ? 
_d4757 		are there any down here on the floor ? 
_d4757 		are there any c's here ? 
_d4757 		well I'm looking +//.
_d4757 		that's an o , that's a l , that's a k , that's an s .
_d4757 		oh you did find a c . 
_d4757 		it goes right here . 
_d4757 		great . 
_d4757 		yup [: yes] right here . 
_d4757 		yeah . 
_d4757 		well it goes like that . 
_d4757 		okay and then the k is the next letter . 
_d4757 		and that spells duck . 
_d4757 		d , u , c , k .
_d4757 		oh you wanna spell duck puzzle . 
_d4757 		all+right puzzle , that's a hard word , okay . 
_d4757 		the first letter of puzzle is +... 
_d4757 		p . 
_d4757 		can we find a p ? 
_d4757 		where's there a p , let's see . 
_d4757 		huh , I see one ! 
_d4757 		there's the p . 
_d4757 		I'm gonna spell puzzle underneath duck , okay ? 
_d4757 		then we need a u . 
_d4757 		another u . 
_d4757 		are there any on the fireplace ?
_d4757 		can you find a u ? 
_d4757 		I think I see one over there . 
_d4757 		a blue u . 
_d4757 		see the blue u ? 
_d4757 		right there . 
_d4757 		yeah .
_d4757 		that's a purple u you're right . 
_d4757 		that's also a u . 
_d4757 		okay we're gonna spell puzzle down here so we'll put the u next t(o) +//.
_d4757 		oh that spells up . 
_d4757 		you just spelled up . 
_d4757 		when you put that here . 
_d4757 		that spells duck up . 
_d4757 		duck up . 
_d4757 		that's very silly +//.
_d4757 		duck up . 
_d4757 		that spells duck  . 
_d4757 		I see a red one . 
_d4757 		you see it too +//.
_d4757 		you can get it .
_d4757 		do we have more than one z +//.
_d4757 		oh here's a yellow one . 
_d4757 		so let's put the z's here +//.
_d4757 		put the next z here . 
_d4757 		now that spells +//.
_d4757 		do you know what that spells ? 
_d4757 		it spells puzz . 
_d4757 		puzz , duck puzz . 
_d4757 		duck puzz .
_d4757 		that sounds very silly . 
_d4757 		now we wanna spell puzzle right , so we need an l like that +... 
_d4757 		and then we need an e: . 
_d4757 		here's an e . 
_d4757 		now that spells +... 
_d4757 		duck +...
_d4757 		yes . 
_d4757 		what do you wanna spell now . 
_d4757 		that spells +... 
_d4757 		vrap . 
_d4757 		that's a silly word , it doesn't mean anything . 
_d4757 		vrap . 
_d4757 		vrap . 
_d4757 		gog ,  we made up that word months ago ,  . 
_d4757 		gog . 
_d4757 		gog . 
_d4757 		hee   . 
_d4757 		duck puzzle .
_d4757 		duck puzzle . 
_d4757 		vrap . 
_d4757 		vrap . 
_d4757 		I'm gonna pause just to make sure this is recor(ding) .
_d4757 		no that belongs up here +//.
_d4758 		I'm gonna put it back . 
_d4758 		wanna spell something else ? 
_d4758 		vrap . 
_d4758 		lap ,  we could spell lap . 
_d4758 		like sit in my lap .
_d4758 		come on over here . 
_d4758 		let's spell lap . 
_d4758 		it does spell lap .
_d4759 		nap ! 
_d4759 		okay . 
_d4759 		let's get an n: . 
_d4759 		for nap . 
_d4759 		sometimes you can spell Naima with an n that's right . 
_d4759 		but to say nap +//.
_d4759 		to spell nap +... 
_d4759 		see here's our lap . 
_d4759 		take away the l . 
_d4759 		and put the n right there , it becomes nap . 
_d4759 		that spells nap . 
_d4759 		would you like to take a nap .
_d4759 		on my lap . 
_d4759 		that rhymes doesn't it ?
_d4759 		is my lap going to take a (.) nap ? 
_d4759 		that's silly . 
_d4759 		is it supper+time for you , are you hungry ? 
_d4759 		okay .
_d4759 		spe(lls) +//.
_d4759 		what does it spell ? 
_d4759 		d , u , c , k . 
_d4759 		it spells duck . 
_d4759 		this spells puzzle down here . 
_d4759 		p , u , z , z , l , e +//.
_d4759 		remember what this spells ? 
_d4759 		with the two z's it becomes puzz and the l and the e it becomes puzzle .
_d4759 		puzzle . 
_d4759 		puzzle my muzzle .
_d4759 		well , puzzle my muzzle . 
_d4759 		xxx .
_d4759 		oh , spell muzzle , what a good idea . 
_d4759 		can you find an m ? 
_d4759 		we need an m to spell muzzle . 
_d4759 		oh , great !
_d4759 		muzzle , now this spells muzzle . 
_d4759 		and actually what this spells is duck nap muzzle . 
_d4759 		this spells duck , this spells nap , and this spells muzzle . 
_d4759 		duck nap muzzle .
_d4759 		what's a duck nap muzzle ?
_d4759 		silly .
_d4760 		oh , you wanna spell lap again ? 
_d4760 		spell what ? 
_d4760 		knack ? 
_d4760 		what does knack mean ? 
_d4760 		sun . 
_d4760 		okay , can you get me the s that's over there ? 
_d4760 		s . 
_d4760 		and then we need a u . 
_d4760 		and then we need an n and that spells sun . 
_d4760 		grub ? 
_d4760 		xxx .
_d4760 		those are  +//.
_d4760 		those are Naima's words sh(e) that you use when your mad , aren't they ? 
_d4760 		do you say those words when you're mad ? 
_d4760 		grub and manuminy are words you use when you're mad . 
_d4760 		vavuvuvi . 
_d4760 		we would need a lot of v's to spell that . 
_d4760 		and besides , it's not really a word .
_d4760 		but do you +/.
_d4760 		duduniniz . 
_d4760 		d . 
_d4760 		u . 
_d4760 		d . 
_d4760 		u , n . 
_d4760 		u , n .
_d4760 		yes , the corner of the tip of the triangle is sharp in that puzzle . 
_d4760 		it's here , I put the puzzle pieces in this box again . 
_d4760 		it's in this box . 
_d4760 		oh , okay .
_d4760 		come on sit with me .
_d4761 		oh , you don't wanna read this one ? 
_d4761 		I don't know , I think that's in the other room . 
_d4761 		this is +/.
_d4761 		well let's read this one , look there's there's the fire engine .
_d4761 		there's the police (.) the police pig . 
_d4761 		and there's look what is Loly Worm doing there ?
_d4761 		yeah . 
_d4761 		pa pig bought a new car to give to Ma pig on her birthday . 
_d4761 		she will certainly be surprised when she sees her new car , won't she ? 
_d4761 		oh this is the car store , over here . 
_d4761 		on the way home pa stopped at a drug store , when he came out he got into a jeep . 
_d4761 		by mistake , see the jeep , it's a green jeep . 
_d4761 		you should be wearing your glasses , pa pig . 
_d4761 		Harry and Sally thought that pa had swapped cars with a soldier . 
_d4761 		then he went to the supermarket . 
_d4761 		when he came out he got into a police car . 
_d4761 		you made a good swap Daddy said Harry but pa wasn't listening and he didn't seemed to be thinking very well either , don't you agree ? 
_d4761 		he is blowing a whistle and he's saying , sto:p !
_d4761 		sto:p ! 
_d4761 		that's (.) the pig family in a police car . 
_d4761 		driving a police car . 
_d4761 		who's in back of them that's a good question .
_d4762 		oh the police fox is chasing them that's right . 
_d4762 		and then what happens +//.
_d4762 		next he drove to a fruit stand to buy some apples . 
_d4762 		when he left he took farmer fox's tractor . 
_d4762 		my , but pa is absent minded , isn't he +//?
_d4762 		oh there's the tractor . 
_d4762 		it's red . 
_d4762 		ma: will certainly like her new tractor , said Sally to Harry . 
_d4762 		they stopped to watch a fire . 
_d4762 		when the fire was up they left in the fire engine . 
_d4762 		how can anyone make so many mistakes ? 
_d4762 		and now what's happening ? 
_d4762 		then they  +//.
_d4762 		look at all that dirt .
_d4762 		then they stopped to watch some workers who digging a big hole in the ground . 
_d4762 		no , pa did not get into that dump truck by but by mistake he got into  he drove the car into the ho:le . 
_d4762 		oh brother . 
_d4762 		Roger Rhi(no) +//.
_d4762 		Ma_Pig was certainly surprised to see her new ca:r . 
_d4762 		there's Roger Rhino .
_d4762 		I am reading the book .
_d4762 		it looks as though he is very angry , that means mad . 
_d4762 		with that someone who took his power shovel . 
_d4762 		does he look mad to you ? 
_d4762 		mmmm I think he is mad .
_d4762 		they are feeling a little bit worried , I think . 
_d4762 		well , let's all hope that pa pig will never again make that many mistakes in one (.) day . 
_d4762 		hmmm .
_d4762 		he's mad .
_d4762 		he's bringing (.) the pig's car back to them , cause [: because] he wants to get his (.) steam shovel .
_d4762 		pa pig took the steam shovel by accident . 
_d4762 		it's over here . 
_d4762 		is that funny ?
_d4762 		that pig is worrying because the boat that he's in is about to (.) sink .
_d4763 		she's very surprised . 
_d4763 		the steam shovel is almost knocking her over . 
_d4763 		by accident . 
_d4763 		those are the pig children , they are watching (.) their daddy drive the steam shovel . 
_d4763 		let's see what else's in the here . 
_d4763 		these are different stories . 
_d4763 		I wanna look for a different story . 
_d4763 		oh here's a Loly Worm story , okay , let's go back and stick this one .
_d4763 		the story is called the talking (.) bread . 
_d4763 		they are making dough for bread . 
_d4763 		you've seen me do that , haven't you ?
_d4763 		yes , I use a rolling pin when I make bread . 
_d4763 		that's the dough , that's a lo:t of dough , look at all the +/.
_d4763 		they are kneading the dough . 
_d4763 		they patted it into loaves of all different shapes and sizes . 
_d4763 		balls , yep [: yes] , bowls are like balls .
_d4763 		then Humper Dink +//.
_d4763 		that's the oven . 
_d4763 		they're putting the bread dough into the oven to bake it +//.
_d4763 		okay , what happens over here ? 
_d4763 		after the loa(ves) +//.
_d4763 		look at all that bread on the wagon .
_d4763 		there must be twenty loaves of bread there . 
_d4763 		after the loaves had finished baking Humper Dink set them out on the table to cool . 
_d4763 		oh here , you're right on Mommy's microphone , I didn't realize that . 
_d4763 		mmmm   , fresh bread smells good . 
_d4763 		Mama , Humper Dink says , Mama . 
_d4763 		let me just adjust this , okay , okay . 
_d4763 		Mama . 
_d4763 		that's what he says , he's surprised .
_d4763 		Mama . 
_d4763 		finally he took out the last loaf . 
_d4763 		listen , did you hear that one when he pick that loaf , it said ,  it said , Mama . 
_d4763 		huh , but everybody knows that bread can't talk . 
_d4763 		the bread is talking , Naima . 
_d4763 		it must be haunted . 
_d4763 		huh help poli:ce , Humper Dink picked up Flossy and ran from the room . 
_d4763 		I must telephone sargent Murphy , he said . 
_d4763 		the bread said Mama .
_d4763 		sergeant Murphy +//.
_d4763 		that's the police dog . 
_d4763 		arrived in a hurry . 
_d4763 		he (.) is (.) driving the motorcycle without his shoes on and his shoes are tied to the end of the motorcycle . 
_d4763 		cause [: because] he was in such a hurry . 
_d4763 		he reached down and picked up the loaf of haunted bread . 
_d4763 		Mama +//.
_d4763 		oh+my+goodness , the bread is saying , Mama . 
_d4763 		the bread is talking . 
_d4763 		Murphy was so startled he fell into the mixing trough . 
_d4763 		that's where the dough is +//.
_d4763 		he fell into the dough +//.
_d4763 		look at what a mess he is , huh . 
_d4763 		at just that moment Huckle and Loly came into the bakery . 
_d4763 		who's gonna get him out is right , I don't know who's gonna get him out .
_d4763 		somebody had better get him out , he is going to be all sticky , and messy , and gooey . 
_d4763 		that is a very strange loaf of bread +/.
_d4763 		said Loly +//.
_d4763 		yep [: yes] . 
_d4763 		stretching out +//.
_d4763 		
_d4763 		that's how Lo(ly) +//.
_d4763 		that's how Loly walks .
_d4764 		he took a nibble , the bread said nothing , he nibbled and nibbled til [: until] only his foot showing . 
_d4764 		he went into the bread .
_d4764 		and still the bread said nothing .
_d4764 		Mama +//.
_d4764 		oh+my+goodness . 
_d4764 		Loly stood up . 
_d4764 		that's Loly and the bread is on top of him . 
_d4764 		the bread said (.) Mama .
_d4764 		Loly took another nibble then stuck out his head , I have solved the mystery .
_d4764 		he's ooching across the floor up there .
_d4764 		I have sol:ved the mystery , he said +/.
_d4764 		he is sticking his head out of the loaf of bread .
_d4764 		he's +//.
_d4764 		break the loaf open +/.
_d4764 		yeah , that's him .
_d4764 		but please don't break me .
_d4765 		Mama . 
_d4765 		baby , she says . 
_d4765 		it had fallen into the mixing trough and had been baked inside the bread . 
_d4765 		he is opening the bread and finding a doll inside the bread . 
_d4765 		hmmm .
_d4765 		oh with mystery solved they all sat down to eat the haunted bread , all of them that is except Loly . 
_d4765 		he had already eaten his fill .
_d4765 		he is ooching towards the loaf .
_d4765 		ooching .
_d4765 		you like that word , ooching , I like it , too .
_d4765 		ooching , Loly is ooching .
_d4766 		that means he is going toward the bread . 
_d4766 		ooching . 
_d4766 		ooching .
_d4766 		what is Loly doing in that picture , Naima ?
_d4766 		ooching .
_d4766 		he is ooching .
_d4767 		he's ooching . 
_d4767 		xxx do you wanna have some supper , Naima ?
_d4767 		read a book about ooching Loly Worm .
_d4767 		is that more fun ?
_d4767 		o:kay .
_d4767 		he is (.) taking a nibble . 
_d4767 		xxx he is nibble the bread  .
_d4767 		he's standing up with the bread on top of him , and the bread is saying Mama . 
_d4767 		he's standing up , sticking his head out of the bread . 
_d4767 		are you comfort(able) +//?
_d4767 		you don't look very comfortable .
_d4767 		he's ooching towards the bread , ooching .
_d4767 		when you're in bed .
_d4768 		you  around . 
_d4768 		ooching !
_d4768 		ooching sort of means crawling .
_d4768 		it sort of means crawling . 
_d4768 		ooching . 
_d4768 		ooching .
_d4768 		yeah .
_d4768 		he's ooching . 
_d4768 		xxx .
_d4768 		ooching .
_d4768 		he's ooching .
_d4768 		mmmm+hmmm , the bread +//.
_d4769 		what is the bread saying , do you remember ? 
_d4769 		xxx yes , it's saying Mama .
_d4769 		Mama .
_d4769 		it's talking , that bread is talking . 
_d4769 		because the doll is in there , and the doll is talking .
_d4769 		the doll +//.
_d4769 		oh the pig opens the bread and gets the doll out . 
_d4769 		this is a very silly , silly , silly story .
_d4769 		that's a funny story .
_d4770 		in this picture he's ooching toward the bread . 
_d4770 		and in this picture he's nibbling the bread .
_d4770 		he's nibbling , and nibbling , and nibbling . 
_d4770 		oh , what's in this picture ?
_d4770 		oh , and here's +//.
_d4770 		oh+my+goodness , look at this . 
_d4770 		the accident , Harvey pig (.) was driving down the street .
_d4770 		better keep your eyes on the road , Harvey . 
_d4770 		well , he didn't keep his eyes on the road and he had an accident . 
_d4770 		he bumped into that other (.) car , which is actually a taxi (.) taxi car . 
_d4770 		he's bumping into that car and getting in +/.
_d4770 		the pig is driving the pink car (.) and getting into an accident with a taxi . 
_d4770 		Loly Worm is riding in that taxi . 
_d4770 		well , Sergeant Murphy came riding along , do you see sergeant Murphy ?
_d4770 		which one is Sergeant Murphy +//?
_d4770 		he's a police dog , where is he ?
_d4771 		o:h I don't think so , I think he's here , he wears a helmet . 
_d4771 		that's how you can tell it's him . 
_d4771 		yep [: yes] .
_d4771 		yep [: yes] , he's blowing his whistle .
_d4771 		xxx . 
_d4771 		Sergeant Murphy came riding along .
_d4771 		everyone get on the sidewalk , he said . 
_d4771 		I don't want anyone arguing in the street , you might get run over +/.
_d4771 		Loly Worm is riding in that car .
_d4771 		so everyone got onto the sidewalk . 
_d4771 		now what happens ? 
_d4771 		and just in time , too .
_d4771 		Rockey was driving his bulldozer +/.
_d4771 		where ? 
_d4771 		that's a picture of a (.)  a (.) place  .
_d4771 		xxx the place where cars +/.
_d4771 		hmmm .
_d4771 		that's spells what ?
_d4771 		mobile ?
_d4771 		it smells +//.
_d4772 		spells muzzle actually . 
_d4772 		but , but mobiles +//.
_d4772 		oh wait +//.
_d4772 		hmmm .
_d4772 		I don't know what (.) what letters you are talking about . 
_d4772 		oh Murphy , Sergeant Murphy .
_d4772 		yes .
_d4772 		Murphy .
_d4772 		oh .
_d4772 		okay .
_d4772 		I will .
_d4772 		I'll look for it and I'll find it .
_d4772 		here it is ,  let's bring it back in here .
_d4772 		this is the good book , isn't it ?
_d4772 		this is a new book , we just +/.
_d4772 		we just +/.
_d4772 		we just got this book today .
_d4773 		that's banana's gorilla . 
_d4773 		somewhere on this train is a load of bananas for banana's gorilla . 
_d4773 		he asks where can they  can +/.
_d4773 		there's an elephant in that box car .
_d4773 		these are called box cars , that's a locomotive that pulls the train .
_d4773 		and these are box cars . 
_d4773 		yeah .
_d4773 		where did walruses go ?
_d4773 		well , we will find him . 
_d4773 		has anyone seen my bananas in here ? 
_d4773 		no bananas in here . 
_d4773 		go look in the rear . 
_d4773 		huh maybe they were put on this bus . 
_d4773 		that's what he's asking . 
_d4773 		sorry bananas , they are not with us . 
_d4773 		there's a pick up car , there's mr pink pig's car . 
_d4773 		were the bananas moved by this crane ? 
_d4773 		xxx or take it for a ride +/?
_d4773 		in this little red plane ?
_d4773 		so sorry bananas , try try again .
_d4773 		here is a car where bananas might hide . 
_d4773 		oh no , that's not what's riding inside . 
_d4773 		that's walruses , aren't they ? 
_d4773 		can you count those walruses ?
_d4773 		yes .
_d4773 		those are three walruses . 
_d4773 		and that is the first time Naima has accurately counted on her own .
_d4773 		she did it today . 
_d4773 		you counted them when we first looked at this book and I was surprised . 
_d4773 		you counted one two three walruses . 
_d4773 		huh really , look at this lo:ng train ,  my gosh . 
_d4773 		cheer up bananas , don't give up yet . 
_d4773 		just be careful you don't get wet .
_d4773 		maybe my bananas are hiding in here .
_d4773 		certainly not ,  my ,  dear . 
_d4773 		there's not one banana on this whole train , I'll just have_to go hungry again . 
_d4773 		look bananas in the last car , you bananas bananas , that's where they are . 
_d4773 		I found them , I found them . 
_d4773 		now I can eat , thank you so much . 
_d4773 		hmmm . 
_d4773 		yeah .
_d4773 		oh here's the other side of the train .
_d4773 		here's the other side of the train . 
_d4773 		this side of the train doesn't have +...
_d4773 		doesn't have flaps or (.) words , it's just the train . 
_d4773 		I think they are on the other side of this car .
_d4773 		there they are: .
_d4774 		do you wanna check ? 
_d4774 		okay , let's find the other side . 
_d4774 		there's the elephants .
_d4774 		can you find the walrus ?
_d4774 		can you find it ? 
_d4774 		mmmm , I knew  there's the alligator . 
_d4774 		xxx .
_d4774 		can you find the alligator ?
_d4774 		mmmm+hmmm .
_d4774 		I think I am going to pick up a few things here and there .
_d4774 		clean up , clean up .
_d4774 		we don't have_to clean up everything , just a few things .
_d4774 		xxx .
_d4774 		where did the elephant go: ? 
_d4774 		there it is , in that box car .
_d4774 		the walruses and three horses ? 
_d4774 		can you find them ?
_d4774 		I think they might be over here .
_d4774 		they're in their car . 
_d4774 		where are they ? 
_d4774 		do you see where they are ?
_d4774 		where did the alligator go ? 
_d4774 		where's the mouse ?
_d4775 		hmmm , I think the mouse is in the green locomotive . 
_d4775 		remember , and a tiny little +... 
_d4775 		ye:s , try the other side of that locomotive . 
_d4775 		is the mouse there ?
_d4775 		oh good .
_d4775 		banana's gorilla is surprised see the alligator . 
_d4775 		banana's gori(lla) +/.
_d4775 		oh where did they go ? 
_d4775 		do you wanna help me hang up the laundry in the yellow bathroom ? 
_d4775 		it needs to dry . 
_d4775 		oh , can you find the walruses ?
_d4775 		can you find them ?
_d4775 		elephant , I think the elephant's in a brown box car . 
_d4775 		oh , that's the telephone .
_d4775 		let's see who it is , who do you think it is ? 
_d4775 		that's the alligator ? 
_d4775 		hello .
_d4775 		hi .
_d4775 		okay , good .
_d4775 		um , I can't think of anything .
_d4775 		okay .
_d4775 		I haven't .
_d4775 		and she had some dinner actually , she had a +...
_d4775 		yeah , that turned into kind of a big snack , but I think she needs to eat soon .
_d4775 		but ,  , yeah I'll +//.
_d4775 		I gotta get her in the chair and +//.
_d4775 		see what there is for her to eat .
_d4775 		see you soon .
_d4775 		that was Daddy , he's coming home .
_d4775 		he's in the office , what was he doing in the off(ice) +/.
_d4776 		he's in the train ? 
_d4776 		Daddy was in the train ? 
_d4776 		do you think so ?
_d4776 		that dog is Sergeant Murphy .
_d4776 		xxx , Sergeant Murphy .
_d4776 		Sergeant Murphy . 
_d4776 		yeah , Sergeant Murphy . 
_d4776 		Sergeant .
_d4776 		Sergeant . 
_d4776 		on the grass ? 
_d4776 		o:h .
_d4776 		Sergeant Murphy .
_d4776 		Sergeant Moofy ? 
_d4776 		Sergeant Moofy ? 
_d4776 		Sergeant Moofy . 
_d4776 		Sergeant Murphy .
_d4776 		Sergeant Murphy . 
_d4776 		that's that dog's name .
_d4776 		xxx .
_d4776 		Sergeant Mommy ?
_d4776 		Sergeant Murphy , yeah .
_d4776 		mmmm+hmmm .
_d4776 		on the grass ?
_d4776 		I wonder +...
_d4777 		what there is for supper , would Naima like to eat some humus (.) for supper ? 
_d4777 		okay .
_d4777 		I think Mommy and Daddy are gonna eat supper cause [: because] Daddy's [: Daddy is] gonna come home . 
_d4777 		how bout [: about] you ?
_d4777 		Naima's [: Naima is] gonna have supper , also . 
_d4777 		supper , not summer . 
_d4777 		summer supper .
_d4777 		supper summer . 
_d4777 		summer mummer . 
_d4778 		I think the elephant is in the +... 
_d4778 		brown box+car . 
_d4778 		xxx .
_d4778 		where did the walruses go ? 
_d4778 		the , the three walruses .
_d4778 		where did those three walruses go ? 
_d4778 		an hour ? 
_d4778 		good ? 
_d4778 		is that wheat good ? 
_d4778 		xxx ,  .
_d4779 		yeah ,   had a pacifier in the music class . 
_d4779 		mmmm+hmmm .
_d4779 		perhaps I'll move my mic [: microphone] . 
_d4779 		further away from my mouth while I'm eating ? 
_d4779 		xxx Naima's [: Naima is] feeding herself like a big girl . 
_d4779 		we're eating breakfast . 
_d4779 		mmmm .
_d4779 		mmmm , you have wheat in your bowl .
_d4780 		a little wheat ? 
_d4780 		mmmm .
_d4780 		I think we should go see  this morning . 
_d4780 		and  and buy some vegetables from them . 
_d4780 		they might have plums . 
_d4780 		you have more yogurt , you have a lot of yogurt in there . 
_d4780 		and there's wheat in there , too . 
_d4780 		mmmm+hmmm .
_d4780 		you got any wheat ? 
_d4780 		want some more wheat ? 
_d4780 		some there and some there . 
_d4780 		you can call it kamut or wheat . 
_d4780 		Max ?
_d4780 		good morning Max . 
_d4780 		that's from the bedtime book . 
_d4780 		Max says good morning when he spills water on his red rubber elephant at bedtime . 
_d4780 		that Max , he's really a character . 
_d4780 		what else happens at bedtime ? 
_d4780 		Ru:by tries to put him to sleep . 
_d4780 		mmmm+hmmm . 
_d4780 		sleepy bear . 
_d4780 		ye:ah [: yes] .
_d4780 		Ruby gives him his walky+talky teddy bear . 
_d4780 		what ? 
_d4780 		fly ? 
_d4780 		xxx ,   . 
_d4780 		mmmm+hmmm . 
_d4780 		you're touching your legs , mmmm+hmmm . 
_d4780 		and your toes +... 
_d4780 		who did +//?
_d4780 		who did we see at the library yesterday ?
_d4780 		mmmm+hmmm , babies . 
_d4780 		which babies ? 
_d4780 		Alex .
_d4780 		mmmm+hmmm . 
_d4780 		follow baby Alex . 
_d4780 		I have no idea what that's supposed to mean . 
_d4780 		you did not follow him , he's too little . 
_d4780 		he can't even walk . 
_d4780 		he can't even crawl ! 
_d4780 		he's barely sitting up . 
_d4780 		mmmm .
_d4780 		would you like more wheat ? 
_d4780 		some in there and some in there . 
_d4780 		xxx ,     . 
_d4780 		some , mmmm+hmmm . 
_d4780 		I gave you some wheat . 
_d4780 		some kamut .
_d4780 		mmmm+hmmm . 
_d4780 		mmmm , you have some , mmmm+hmmm . 
_d4780 		mmmm+hmmm .
_d4780 		good morning , Max .
_d4781 		Wendy Max ? 
_d4781 		I think this morning we will drive to the bank . 
_d4781 		we'll take a stroller with us . 
_d4781 		and we'll go do our business at the bank . 
_d4781 		and then we will go (.) in the stroller . 
_d4781 		from the bank and we'll walk to  . 
_d4781 		and back to our car . 
_d4781 		does that sound like a good adventure ? 
_d4781 		mmmm+hmmm . 
_d4781 		you wanna meet a woman ?
_d4781 		hmmm . 
_d4781 		wheat . 
_d4781 		mmmm+hmmm . 
_d4781 		some . 
_d4781 		mmmm+hmmm , did you get it on your bib , mmmm+hmmm ?
_d4781 		hmmm . 
_d4781 		cheese ? 
_d4781 		you want some cheese ?
_d4781 		okay . 
_d4781 		when you're finished with that yogurt . 
_d4781 		hi , baby . 
_d4781 		are you done with that ?
_d4781 		I'll take it if you're done . 
_d4781 		you giving me the spoon , too ? 
_d4781 		thanks . 
_d4781 		let's clean up a little and then I'll give you some cheese , okay ?
_d4782 		xxx . 
_d4782 		Nai Nai Nai Nai ? 
_d4782 		that's your name !
_d4782 		that's your name .
_d4782 		Nai Nai Nai Nai .
_d4782 		Nai Nai Key ? 
_d4782 		nursey Key ? 
_d4782 		what kind of nonsense is that ? 
_d4782 		I don't think he does . 
_d4782 		Naima nurses , mmmm+hmmm .
_d4782 		you nurse with your mommy . 
_d4782 		I nurse you .
_d4782 		right now ? 
_d4782 		I thought you wanted cheese to eat . 
_d4782 		xxx you'd rather nurse ?
_d4782 		do you want more wheat ?
_d4782 		do you want cheese ?
_d4783 		to nurse ? 
_d4783 		or wheat ? 
_d4783 		those are very different things . 
_d4783 		miss , miss yogurt on her legs .
_d4783 		nursey legs ? 
_d4783 		wha:t ? 
_d4783 		Mommy's legs .
_d4783 		are your toes attached to your leg ?
_d4784 		oh , the doggy licked your toe . 
_d4784 		yes , he did . 
_d4784 		Daddy told me all about that . 
_d4784 		did it tickle ? 
_d4784 		sorry .
_d4784 		sorry , sorry ,  . 
_d4784 		not you . 
_d4784 		what would you like ? 
_d4784 		do you want wheat ? 
_d4784 		or do you want some (.) cheese ? 
_d4784 		okay . 
_d4784 		I'll get you some cheese .
_d4784 		teeny tiny cheese ?
_d4784 		teeny tiny cheese ? 
_d4784 		is that what your saying , oh+my+goodness .
_d4784 		wriggle giggle .
_d4785 		xxx . 
_d4785 		wiggle ?
_d4785 		wiggle your nose ? 
_d4785 		if you're happy and you know it (.) wiggle your nose . 
_d4785 		if you're happy and you know it wiggle your nose .
_d4785 		yeah , that's good . 
_d4785 		if you're happy and you know it , and you really wanna show it , if you're happy and you know it , wiggle your nose . 
_d4785 		hee   .
_d4785 		if you're happy and you know it +... 
_d4785 		touch your eyebrow . 
_d4785 		if you're happy and you know it , touch your eyebrow .
_d4785 		if you're happy and you know it , and you really wanna show it , if you're happy and you know it , touch your eyebrow . 
_d4785 		i:f you're happy and you know it , shout out loud . 
_d4785 		yay ! 
_d4785 		if you're happy and you know it , shout out loud . 
_d4785 		ya:y ! 
_d4785 		if you're happy and you know it , and you really wanna show it , if you're happy and you know it , shout out loud !
_d4785 		yay ! 
_d4785 		you didn't say yay . 
_d4785 		can you say yay ?
_d4785 		ya:y . 
_d4785 		loud . 
_d4785 		ya:y . 
_d4785 		that was loud . 
_d4785 		mmmm . 
_d4785 		what ? 
_d4785 		broccoli stew . 
_d4785 		o:h , I know why you're thinking of that . 
_d4785 		that book says +...
_d4785 		shout out loud ! 
_d4785 		good morning , sun . 
_d4785 		happy morning everyone ! 
_d4785 		breakfast too , buttered toast and broccoli ste:w +... 
_d4785 		for the bunny: , not for you: .
_d4785 		that book ? 
_d4785 		get it ?
_d4785 		well , I don't know where it is , we can look for it together . 
_d4785 		we can look for that book together , how does that sound ? 
_d4785 		xxx when you're done with your breakfast , we'll [: we will] look for that book . 
_d4785 		kids ? 
_d4785 		Tyler . 
_d4785 		yeah , Tyler went back home to North Carolina . 
_d4785 		a long time ago . 
