_d5898 		fire+flies .
_d5923 		pahoo bear ? 
_d5923 		puffy+bear .
_d5924 		oh , I think it'll work . 
_d5924 		you need to get some other pieces .
_d5924 		try some other pieces now . 
_d5924 		from over here . 
_d5924 		you've [: you have] got lots more pieces to work on . 
_d5924 		looks like this is part of Tigger .
_d5924 		is that part of Tig ?
_d5924 		mmmm+hmmm .
_d5924 		hmmm .
_d5924 		oh , there . 
_d5924 		it fell apart . 
_d5924 		well , now you're taking it apart , now . 
_d5924 		all+right . 
_d5924 		you're putting it back together again . 
_d5924 		giggle , giggle and spout ?
_d5924 		what's that ?
_d5924 		it's a so:ng ?
_d5924 		hmmm .
_d5924 		mmmm+hmmm .
_d5924 		why don't you bring it over this way , a little bit ?
_d5924 		yeah .
_d5924 		xxx get this one , then there's another piece over there .
_d5925 		why don't you try some other pieces here ? 
_d5925 		xxx you've had a+lot of pieces , like look at this piece . 
_d5925 		where do you think that one goes ?
_d5925 		yeah .
_d5925 		hmmm ? 
_d5925 		yeah . 
_d5925 		that's the name of the book .
_d5925 		and it's about a little rabbit named Daisy . 
_d5925 		what was Daisy trying to do ? 
_d5925 		yeah .
_d5925 		she's trying to learn how to hop .
_d5925 		she sat down on a thistle .
_d5925 		yeah .
_d5925 		she couldn't reach it .
_d5926 		yeah . 
_d5926 		I don't know who could it be .
_d5926 		I have no guesses . 
_d5926 		who do you guess ?
_d5926 		daddy+badger ?
_d5926 		maybe . 
_d5926 		it could be .
_d5927 		mmmm , maybe . 
_d5927 		let's [: let us] move these over so you can see them . 
_d5927 		ah , that belongs there .
_d5927 		is that a corner piece ?
_d5927 		I think that's a corner piece .
_d5927 		yes , it is . 
_d5928 		oh , there's one piece behind you . 
_d5928 		right by your knee . 
_d5928 		right behind you . 
_d5928 		there it is . 
_d5928 		the la:st piece . 
_d5928 		ya:y !
_d5928 		you did wonderfully . 
_d5928 		again ?
_d5928 		oh my gosh ! 
_d5928 		really ?
_d5928 		you did it again ! 
_d5928 		wo:w . 
_d5928 		you're gonna do it one more time ? 
_d5928 		xxx .
_d5928 		and then brush your teeth ?
_d5928 		okay , that's a good idea . 
_d5928 		one more time and then brush your teeth .
_d5928 		okay .
_d5928 		are you still okay , Grandma ? 
_d5928 		yeah , mmmm+hmmm .
_d5928 		you go to your desk , Mom . 
_d5928 		okay , I'll do that . 
_d5928 		xxx .
_d5928 		okay . 
_d5928 		there's two .
_d5928 		you need to take those two apart . 
_d5928 		these need to come apart . 
_d5928 		okay . 
_d5928 		yep [: yes] , all collected .
_d5928 		we can turn them all over , so you can see them . 
_d5928 		spread them out so you can see them . 
_d5928 		what one are you gonna start with ? 
_d5928 		yeah , what ?
_d5928 		xxx .
_d5928 		oka:y , it's done !
_d5928 		wow .
_d5929 		o:h . 
_d5929 		xxx . 
_d5929 		oh boy , is this the third or fourth time ? 
_d5929 		I think it's four .
_d5929 		number four . 
_d5929 		o:h , look at that !
_d5929 		you did it !
_d5929 		you're a real puzzler .
_d5929 		are you a puzzler ? 
_d5929 		this is +//.
_d5929 		I'm shutting this off .
_d5929 		yes ,  .
