_t4 		xxx okay let see , we in business ? 
_t4 		xxx underneath the crib and see if there are any balls ,  there's a big ball but not the blue ball . 
_t4 		where're [: where are] the other balls , you have the green one and the orange one ? 
_t4 		already ? 
_t4 		good .
_t4 		oh there's the (.) green one , and where's the orange one ? 
_t4 		is it up here ?
_t4 		oh .
_t4 		it's stuck , o:h . 
_t4 		let's see if there are any other balls here . 
_t4 		oh you turned the knob , good job .
_t4 		no I don't see em [: them] in there . 
_t4 		hmmm .
_t4 		where are you +...
_t4 		blue ball: ?
_t4 		there's motorcycle+chicken . 
_t4 		hi motorcycle+chicken . 
_t4 		I'm gonna go (.) in Mommy and Daddy's room and look fo:r +...
_t4 		the blue one , exactly .
_t4 		uh , you know what ? 
_t4 		it's under the bureau . 
_t4 		see , look over there . 
_t4 		can you believe it ? 
_t4 		uh , how are we gonna get that ? 
_t4 		is the clown gonna even reach there , where's yer [: your] broom ? 
_t4 		dyou [: do you] know where yer [: your] broom is ? 
_t4 		it is , okay , let's get that . 
_t4 		and then I'll get the blue ball out .
_t4 		oh , we need to get ready to go to the music class soon . 
_t4 		where's that broom ? 
_t4 		where are you broom ?
_t4 		where are you broom ? 
_t4 		hmmm: , it was in yer [: your] room wasn't it . 
_t4 		were you playing with (.)  with yer [: your] broom ? 
_t4 		were you and  playing with the broom maybe ? 
_t4 		let's look in (.) the living+room . 
_t4 		oh , I see the broom . 
_t4 		it's hi:ding . 
_t4 		it's hiding .
_t4 		here it is . 
_t4 		here's Naima's broo:m . 
_t4 		it's right he:re . 
_t4 		oh , so we're gonna get the ball with this broom right ? 
_t4 		then we have_to get dressed , but here let's go get the blue ball . 
_t4 		oh my gosh .
_t4 		this is going (.) back and forth and I can't get it , cause [: because] it's very difficult . 
_t4 		oh dear . 
_t4 		you're gonna help me get it ?
_t4 		uh ! 
_t4 		it seems to be +... 
_t4 		oh my gosh . 
_t4 		I got it .
_t4 		I lost my +... 
_t4 		mic in the process . 
_t4 		what ?
_t4 		let's go put it in the game . 
_t4 		it belongs in the game doesn't it ? 
_t4 		I'm sure you'd like to lose it instead .
_t4 		let's have all the balls together for at least five minutes .
_t4 		let's put it in the game okay ? 
_t4 		can you put it in the game ? 
_t4 		well you can lose it afterwards .
_t4 		but let's put them all in their +//. 
_t4 		and where's +//. 
_t4 		where's the other one that we're missing now .
_t4 		and where's the green one ,  you have the green one . 
_t4 		I think you need to turn the knob maybe . 
_t4 		then you have_to push them down , right ? 
_t4 		yep [: yes] , turn that knob , there .
_t4 		there's a blue one ya [: you] gonna put it up in there ?
_t4 		whoa . 
_t4 		time to turn the knob again . 
_t4 		time to turn the kno:b . 
_t4 		is that really stuck +//.
_t4 		o:h there . 
_t4 		o:h . 
_t4 		thank you for the duck .
_t4 		he:y ! 
_t4 		I keep finding more (.) alphabet pieces . 
_t4 		I mean abc's book pieces . 
_t4 		where did the abc's book go , maybe you can put the pieces where they belong . 
_t4 		igloo ? 
_t4 		some toys are slippery ? 
_t4 		some of those pieces sure are slippery .
_t4 		and there's more here , I think I just put them over here for you . 
_t4 		more pieces ? 
_t4 		what are they ? 
_t4 		what's that ? 
_t4 		jelly beans .
_t4 		that's where they belong . 
_t4 		that's a very hard one to do . 
_t4 		here's where the red one is at the top . 
_t4 		so you match them up . 
_t4 		there . 
_t4 		yeah .
_t4 		you're gonna find the page where the apple goes ?
_t4 		oh you put the apple in . 
_t4 		what're [: what are] all these pieces there ? 
_t4 		what are they ?
_t4 		oh +//. 
_t4 		yeah there's the octopus .
_t4 		what's that ?
_t4 		the wha:le .
_t4 		where's the whale go ?
_t4 		oh yeah . 
_t4 		something fell out .
_t4 		the nuts are always falling out .
_t4 		oh , and here's the horse . 
_t4 		did you hide the whale , is the whale hiding ?
_t4 		there's the whale .
_t4 		whale , you should go back in the water , whale .
_t4 		the:re's the whale !
_t4 		there's the fish ! 
_t4 		the fish is kissing the cat .
_t4 		I think the fish is (.) kissing (.) the cat . 
_t4 		and I see a goat over there too , dyou [: do you] see the goat ?
_t4 		kissi:ng the ca:t .
_t4 		no ?
_t4 		hiding ? 
_t4 		hiding with the cat ? 
_t4 		is the fish hiding with the cat , what's the fish doing ? 
_t4 		kissing the ca:t ? 
_t4 		oh my gosh . 
_t4 		what's the goat doing ? 
_t4 		she's got a wrench in her pocket doesn't she . 
_t4 		hi Wrenchie . 
_t4 		oh her head is backwards . 
_t4 		whose house ?
_t4 		he's blowing the dandelion seeds .
_t4 		into the air in that picture . 
_t4 		dandelion seeds . 
_t4 		what is he blowing ? 
_t4 		the what ? 
_t4 		those seeds !
_t4 		they're called dandelion seeds .
_t4 		yeah he's (.) coming down the tree: . 
_t4 		what are +//.
_t4 		what are these ?
_t4 		o:h , I think we skipped this page yesterday .
_t4 		when winter comes I watch the snow , falling from the sky . 
_t4 		there he i:s . 
_t4 		Naima don't take that off , that's +//.
_t4 		that belongs there . 
_t4 		okay . 
_t4 		that's the end of the story . 
_t4 		that Nicholas is a nice bunny+rabbit . 
_t4 		what ?
_t4 		does that book have a blank page too ?
_t4 		in the back ? 
_t4 		or in the front ? 
_t4 		or both . 
_t4 		you're putting your back against my back and leaning back .
_t4 		I think it's time to put some clothes on . 
_t4 		ti:me to put some clo:thes o:n . 
_t4 		ti:me to put some clo:thes o:n . 
_t4 		dyou [: do you] wanna pick out yer [: your] clothes , then we hafta go to the music class .
_t4 		don't you wanna go to the music class ? 
_t4 		what ?
_t4 		without any clothes ?
_t4 		what ? 
_t4 		Naima .
_t4 		you wanna go to the (.) music class without clothes ? 
_t4 		naked ? 
_t4 		I think you will get very cold if you do that . 
_t4 		it will be too cold to do that . 
_t4 		this I think is gonna be too small for you .
_t4 		oh , I'll take that cover , yep [: yes] .
_t4 		okay . 
_t4 		that's too small we'll give that to  cause [: because] it's too small for you . 
_t4 		it is .
_t4 		but it is .
_t4 		yeah . 
_t4 		don't know where did all your clothes go .
_t4 		uh+uh , put that down .
_t4 		babies don't touch diaper pails , neither do little girls . 
_t4 		let's change yer [: your] diaper okay ? 
_t4 		yes , you know what , this thing , this +...
_t4 		jumper +... 
_t4 		this suit is too little for Naima now .
_t4 		so we're gonna give it to  , cause [: because] it'll fit her .
_t4 		you don't wanna give it to her ? 
_t4 		it was for Naima , but if Naima wears it it'll be too tight . 
_t4 		yeah .
_t4 		well you could keep it longer if you wanted to but I don't think it's going to be very comfortable to wear . 
_t4 		it might be too tight , it won't fit you .
_t4 		doesn't fit Naima . 
_t4 		all+right , we can keep it if you (.) feel so strongly about it .
_t4 		wear it today ? 
_t4 		really ?
_t4 		you wanna wear that red suit ? 
_t4 		okay .
_t4 		it might be too tight .
_t4 		but you can wear it , you can try it on if you want . 
_t4 		what , did Daddy put her on the changing table ? 
_t4 		she's not usually on the changing table . 
_t4 		yeah , we'll take her off in a little bit .
_t4 		she's on the changing table . 
_t4 		yeah she does have earrings .
_t4 		what color is your shalwar+khamis . 
_t4 		yea:h [: yes] .
_t4 		what's it called ? 
_t4 		right , shalwar+khamis .
_t4 		what's Mommy called ? 
_t4 		is that a joke ? 
_t4 		okay we're gonna put this (.) suit that's too small for you on , and then you can see . 
_t4 		I can't even get it over your head Naima . 
_t4 		yer [: your] head's too big .
_t4 		all+right , we can wear it one more time . 
_t4 		here . 
_t4 		put yer [: your] arm in .
_t4 		she has a +//.
_t4 		a hair+band on her head . 
_t4 		okay let's see , let's put  the buttons . 
_t4 		yep [: yes] , you were wearing that backpack a few minutes ago . 
_t4 		you wanna wear that today ? 
_t4 		you were just complaining about taking it off . 
_t4 		o:h . 
_t4 		let me snap you now , snap the pants . 
_t4 		are you reading the Nicholas book again ? 
_t4 		hi Nicholas . 
_t4 		he likes to watch the snow falling . 
_t4 		I think your legs are gonna be cold in this Naima . 
_t4 		o:h , don't take it off . 
_t4 		let's put some socks on .
_t4 		oh+my+goodness . 
_t4 		you know what ? 
_t4 		we're gonna see  at the music class , and who else are we gonna see ? 
_t4 		yea:h [: yes] ,  , and who else maybe ?
_t4 		who else is usually there ? 
_t4 		xxx might be there .
_t4 		and who else . 
_t4 		and who else . 
_t4 		ye:s , Mommy will be there . 
_t4 		who ? 
_t4 		oh you're sleeping now ?
_t4 		okay .
_t4 		goodnight .
_t4 		who will also be there , that's what you were saying , also . 
_t4 		you're waking up now ? 
_t4 		we have_to go to the music class now .
_t4 		you're right , I'm drying that pear . 
_t4 		I washed it , and now I'm gonna dry it .
_t4 		it's in my hand , and I'm gonna wash it . 
_t4 		adjusting the camera . 
_t4 		Mommy is going to +... 
_t4 		ye:s !
_t4 		cut the pea:r . 
_t4 		today i:s +... 
_t4 		what's today ? 
_t4 		Saturday November twenty+third . 
_t4 		a:nd +... 
_t4 		Mommy's cutting pear for Naima to eat .
_t4 		you know what this skin is actually good to eat , I'm gonna [: going to] give you some with skin on it . 
_t4 		mmmm: . 
_t4 		this pear I think is perfectly ripe . 
_t4 		mmmm:  . 
_t4 		boy is that good . 
_t4 		yum  yu:m . 
_t4 		fresh pear ,  . 
_t4 		mmmm: ! 
_t4 		yummy: ! 
_t4 		you gonna have porridge also ? 
_t4 		wouldja [: would you] like porridge ? 
_t4 		okay .
_t4 		let's make some brown rice porridge . 
_t4 		yummy yummy , yummy yummy . 
_t4 		ooh . 
_t4 		so you're gonna go swimming with Daddy this morning ? 
_t4 		miss pear (.) mouth . 
_t4 		miss pear mouth . 
_t4 		where you gonna go with Daddy this morning ? 
_t4 		swimming cla:ss !
_t4 		who dyou [: do you] think's gonna be there ? 
_t4 		who ?
_t4 		who's gonna be there ? 
_t4 		is that what you said ? 
_t4 		you've got too much food in your mouth for me to understand you . 
_t4 		let's see . 
_t4 		you want some more pear ? 
_t4 		let me get the porridge started and then I'll give you some . 
_t4 		you just ate quite a lot of pear there . 
_t4 		are you a pear+bear ? 
_t4 		you're a bear who eats pears ? 
_t4 		let's see .
_t4 		you're a bear who nurses ?
_t4 		oh yeah , you are a bear who nurses .
_t4 		that's true .
_t4 		you're a bear who eats ?
_t4 		uh+huh .
_t4 		what do you +//.
_t4 		what do you eat little bear ? 
_t4 		what do you eat little bear ? 
_t4 		o:h , you're a little bear who eats fresh pear . 
_t4 		as opposed to fro:zen pear . 
_t4 		Mommy is finding the milk in the refrigerator +... 
_t4 		and taking it out . 
_t4 		some of this ?
_t4 		you know what that is ? 
_t4 		it is sweet potato: .
_t4 		you're a bear that eats what . 
_t4 		what do you eat little bear ? 
_t4 		you're a little bear who eats fresh pear ?
_t4 		mmmm , yummy .
_t4 		yes , okay .
_t4 		I'm gonna give you more , and I'll give you sweet potato since you're interested in it .
_t4 		are you a bear +//.
_t4 		a little bear who eats (.) sweet potato: ! 
_t4 		I'm making sweet potato squa:res .
_t4 		look there's a square ! 
_t4 		there's another square !
_t4 		eat those squares little bear .
_t4 		mmmm , more squares . 
_t4 		why are you spitting them out ?
_t4 		why ?
_t4 		why ? 
_t4 		spit +//.
_t4 		the little bear spit them out , I see that , but they're good to eat . 
_t4 		bears like to eat sweet potatoes . 
_t4 		I'm going to have one too . 
_t4 		mmmm , yummy .
_t4 		sweet potato squa:res . 
_t4 		mmmm . 
_t4 		they're sweet . 
_t4 		what does the bear eat ?
_t4 		oh , fresh pear there ?
_t4 		dyou [: do you] want some almond+butter with your fresh pear ?
_t4 		these are +...
_t4 		pear (.) triangles , they're almost like triangles . 
_t4 		right ? 
_t4 		now you have (.) sweet potato squares . 
_t4 		and pea:r triangles . 
_t4 		what's the bear eating ? 
_t4 		what else ? 
_t4 		what's that ? 
_t4 		sweet potato . 
_t4 		sweet potato squa:res . 
_t4 		Mommy's cooking +//.
_t4 		what am I cooking ?
_t4 		mmmm+hmmm .
_t4 		do you think that bears eat porridge ? 
_t4 		bears drink milk ? 
_t4 		mmmm+hmmm .
_t4 		bears drink their mommy's milk , yep [: yes] , little bears do .
_t4 		bear cubs do . 
_t4 		do they drink +//.
_t4 		do they eat porridge ? 
_t4 		do you know any bears who eat porridge ? 
_t4 		what bears eat porridge ? 
_t4 		little bears , uh+hu:h .
_t4 		Naima eats pears , yeah ?
_t4 		you eat pears too . 
_t4 		okay .
_t4 		have some sweet potato too . 
_t4 		it is a combination , it's actually a good combination .
_t4 		this porridge is gonna be extra special goo:d . 
_t4 		you're a bear that eats (.) what . 
_t4 		you're a bear that eats fresh pear , that rhymes !
_t4 		you're a bear that eats fresh pear everywhere . 
_t4 		you're a bear tha:t +... 
_t4 		nurses , everywhere +...
_t4 		you're a bear who's sitting there in your high chair ! 
_t4 		eating , yeah .
_t4 		some of this pear ?
_t4 		I'm stirring the porridge , or I was .
_t4 		and I'm heating up some milk too . 
_t4 		gonna heat it in the microwave . 
_t4 		what are ya [: you] gonna do this morning , dyou [: do you] remember ? 
_t4 		yeah !
_t4 		with Daddy .
_t4 		where are you gonna swim ? 
_t4 		at the Y ? 
_t4 		you swim at the Y , at the pool at the Y ? 
_t4 		dyou [: do you] sing a hello song ?
_t4 		at the pool , sometimes ?
_t4 		yes , you also sing a goodbye song there .
_t4 		maybe you don't sing a hello song , I don't know . 
_t4 		ooh . 
_t4 		what's Mommy giving you ? 
_t4 		mmmm: . 
_t4 		mash mash mash mash mash mash mash mash mash mash mash mash . 
_t4 		it looks like mud , doesn't it . 
_t4 		doesn't that look like mud ? 
_t4 		making mud .
_t4 		for Naima to eat . 
_t4 		mud . 
_t4 		mu:d . 
_t4 		I love mud . 
_t4 		you know that song ? 
_t4 		yeah , super duper mud .
_t4 		mud , mud , super duper mud , you remember that song . 
_t4 		mud , mud , I love mud . 
_t4 		I'm absolutely +//. 
_t4 		yes , positively +...
_t4 		wi:ld about +...
_t4 		mud .
_t4 		right . 
_t4 		I can't get around it , I have_to go +... 
_t4 		through it . 
_t4 		mud . 
_t4 		mud . 
_t4 		super duper mud .
_t4 		mud . 
_t4 		mud . 
_t4 		what ? 
_t4 		nursie ?
_t4 		nursie bursie ,  .
_t4 		oh yes , here we go .
_t4 		what kind of noise is that ?
_t4 		what kind of noise is that ?
_t4 		what kind of noise is that ? 
_t4 		a nursie noise , yea:h [: yes] .
_t4 		you know how to make that noise all+right . 
_t4 		have some of your prunes and oatmeal .
_t4 		no , doesn't look good ?
_t4 		you're waiting for the porridge ?
_t4 		it has to cool down just a little bit . 
_t4 		actually I think I'll cool it down with something . 
_t4 		I will cool it down for you . 
_t4 		putting soy milk in your porridge , so that it will be cooler . 
_t4 		it is windy today , boy . 
_t4 		it is really , really , really windy . 
_t4 		okay , Boo Boo . 
_t4 		well , the ground is wet .
_t4 		it was raining last night I think . 
_t4 		here's the bear porridge . 
_t4 		mmmm .
_t4 		let's see ,  . 
_t4 		just right . 
_t4 		just right . 
_t4 		no it's actually just barely warm . 
_t4 		you gonna try it ? 
_t4 		mmmm . 
_t4 		you want some pear there ?
_t4 		okay . 
_t4 		there . 
_t4 		how bout [: about] this . 
_t4 		okay . 
_t4 		have a bite of that porridge it's awfully good , I'm gonna [: going to] eat some myself . 
_t4 		see ? 
_t4 		mama bear's porridge +... 
_t4 		do you have baby bear's porridge ? 
_t4 		I +//.
_t4 		I see that you have a little on your hand , that's really okay . 
_t4 		it's +//.
_t4 		it's not a big deal .
_t4 		look a different spoon maybe ? 
_t4 		papa bear ? 
_t4 		where's that papa bear ? 
_t4 		oh in a Goldilocks book ?
_t4 		oh , in that book +... 
_t4 		that version of Goldilocks , the papa bear plays the violin . 
_t4 		yeah . 
_t4 		yes he is . 
_t4 		yeah , that's Mommy's coffee .
_t4 		wouldjou [: would you] like some wheat or some rice with your porridge ? 
_t4 		okay .
_t4 		doink ! 
_t4 		doink doink . 
_t4 		there's wheat right there . 
_t4 		yes , there's a raisin there wouldjou [: would you] like it ? 
_t4 		I hear something crunching . 
_t4 		something crunching over there ? 
_t4 		the wheat is crunching ? 
_t4 		mmmm . 
_t4 		Mommy's eating porridge +... 
_t4 		and drinking coffee . 
_t4 		and looking at you . 
_t4 		there's a Goldilocks book where the daddy plays a violin . 
_t4 		Goldipocks ? 
_t4 		xxx . 
_t4 		Goldibear . 
_t4 		Goldilocks is her real name , yeah .
_t4 		said Winken Blinken and Nod . 
_t4 		nets of silver and gold have we . 
_t4 		oh gold , that's like Goldilocks . 
_t4 		mmmm , you're right . 
_t4 		that's the same word that Goldilocks starts with . 
_t4 		her full name . 
_t4 		hmmm what's her full name ? 
_t4 		that's her (.) full name ?
_t4 		what is your full name ?
_t4 		Naima  , what's the first part of your full name ? 
_t4 		Naima  is part of your full name . 
_t4 		but the first part is  . 
_t4 		xxx , Naima +...
_t4 		yea:h [: yes] .
_t4 		your full name is +... 
_t4 		xxx Naima  . 
_t4 		would you like some yogurt ? 
_t4 		yogurt and porridge is a good combination . 
_t4 		that bear is eating . 
_t4 		that bear is eating porridge !
_t4 		mmmm . 
_t4 		there . 
_t4 		xxx . 
_t4 		are you thinking of the song that I made up ? 
_t4 		that's how it goes . 
_t4 		dyou [: do you] know the tune , can you sing it ? 
_t4 		you can sing it too +//.
_t4 		there are bears everywhere everywhere . 
_t4 		there are bears in your hair in your hair . 
_t4 		there are bears everywhere . 
_t4 		there are bears on your shirt on your shirt .
_t4 		there are bears on your shirt on your shirt . 
_t4 		in the music class today ? 
_t4 		o:h , there are little stuffed bears +//.
_t4 		at the music class +//.
_t4 		you're thinking of the little dogs ? 
_t4 		I think those are supposed to be puppies . 
_t4 		xxx . 
_t4 		yeah you wrap them up in the bla:nket and you put them to slee:p to the ni:ce mu:sic . 
_t4 		with a lu:llaby . 
_t4 		a lullaby .
_t4 		lullaby .
_t4 		no ?
_t4 		oh .
_t4 		what ?
_t4 		there are bears under your chair , under your chair . 
_t4 		there are bears on your chair , on your chair . 
_t4 		there are bears on your chair , there are bears everywhere . 
_t4 		there are bears everywhere , everywhere . 
_t4 		wouldjou [: would you] like some more wheat , or something else to eat ? 
_t4 		more wheat .
_t4 		there's some wheat there , yep [: yes] .
_t4 		there's yer [: your] spoon .
_t4 		how old are you ? 
_t4 		I'm blowing my nose and asking a question . 
_t4 		dyou [: do you] know how old you are , how old are you ? 
_t4 		you know what the answer is , the answer is +... 
_t4 		almost two . 
_t4 		almost two , is the answer . 
_t4 		who does that . 
_t4 		mmmm .
_t4 		that's a nursie noise .
_t4 		xxx and  visited us the other day . 
_t4 		xxx visited us the other day too . 
_t4 		who else there was one more person who visited the other day . 
_t4 		xxx and  and  came with +... 
_t4 		who's +//.
_t4 		who is  +//. 
_t4 		and  mommy ? 
_t4 		you don't remember her name ?
_t4 		she wears glasses +... 
_t4 		and she's the person who gave you that book , a couple weeks ago . 
_t4 		country mouse book . 
_t4 		what's her name , did you forget ?
_t4 		I know her name , I think you know her name too . 
_t4 		yeah  . 
_t4 		xxx came with  and  and  the other day . 
_t4 		and you played +... 
_t4 		where did you play ? 
_t4 		did you play outside with them ? 
_t4 		eat pizza outside ? 
_t4 		we ate pizza together . 
_t4 		but we didn't eat it outside . 
_t4 		we went to the restaurant to buy the pizza , do you remember that ? 
_t4 		what's that restaurant called ?
_t4 		yeah , sweet tomatoes .
_t4 		there is a big chair +//.
_t4 		big bear chair there . 
_t4 		we call it a bear chair . 
_t4 		who came with us to get the pizza ?
_t4 		who came with us in the car . 
_t4 		xxx did , yeah .
_t4 		xxx was telling you about her cat . 
_t4 		his name is +... 
_t4 		and she calls him Foofy for short .
_t4 		mmmm+hmmm . 
_t4 		his name is Foofy . 
_t4 		you can call him Angus , or you can call him Foofy , he has two names . 
_t4 		that's her cat's name . 
_t4 		were we talking about dogs ?
_t4 		when were we talking about dogs . 
_t4 		mmmm+hmmm . 
_t4 		there are bears everywhere ! 
_t4 		ooh there's one right there .
_t4 		there's a bear ! 
_t4 		I see a bear , in a high chair ! 
_t4 		she's a bear .
_t4 		you're a bear , you're a bear cub . 
_t4 		mmmm what is she eating ? 
_t4 		mmmm .
_t4 		the bear's eating some wheat ,    .
_t4 		mmmm . 
_t4 		I finished my porridge and now it's +... 
_t4 		a:ll +... 
_t4 		go:ne .
_t4 		you want me to have some more ? 
_t4 		I think I'm all set . 
_t4 		dyou [: do you] still have porridge in your bowl ? 
_t4 		o:h . 
_t4 		lucky .
_t4 		and , you have two spoons . 
_t4 		what ? 
_t4 		o:h , more wheat little bear ?
_t4 		get some out , okay I'll get some more wheat +//.
_t4 		out .
_t4 		eat some wheat bear . 
_t4 		I better go give Daddy his coffee . 
_t4 		before it gets too old . 
_t4 		we don't want Daddy drinking old coffee , do we . 
_t4 		yeah . 
_t4 		or he'll come in and he'll have_to make new coffee . 
_t4 		yes , it's a hundred percent  . 
_t4 		yes , sort of , yes . 
_t4 		here's Mommy ! 
_t4 		there's Mommy . 
_t4 		Mommy's gonna eat some pear too . 
_t4 		you want more pear , sure .
_t4 		this pear is ju:st right . 
_t4 		wash him . 
_t4 		are you mad at the pony ? 
_t4 		what happened ? 
_t4 		are you mad ? 
_t4 		why are you mad ? 
_t4 		why you need to squeeze him ? 
_t4 		he's a nice pony he's gonna give you  .
_t4 		yes .
_t4 		yes yes he's giving you a nice kiss .
_t4 		and here's this now . 
_t4 		hey I see a baby bug over there . 
_t4 		that we haven't read for a while . 
_t4 		do you see it too . 
_t4 		can you get that baby bug out please ?
_t4 		who's in that one ?
_t4 		let see who's in that baby bug . 
_t4 		hey Kim and Carrots . 
_t4 		oh: .
_t4 		that's Morocca that's right .
_t4 		this is the one where they have a store . 
_t4 		Kim has a shopping cart and a purse with pretend money in it . 
_t4 		Kim and Carrots are making a store .
_t4 		you know what I think we're missing some of this baby bug . 
_t4 		and there's the picture of the otter . 
_t4 		we're missing some of this we need to find the rest of this baby bug . 
_t4 		should we look for it ? 
_t4 		can you look for it where we had where we found the main part of the baby bug ? 
_t4 		is it over there in that little box . 
_t4 		okay shall we look for it now ? 
_t4 		oh where's rest of the baby bug now . 
_t4 		let's find it . 
_t4 		let's find it .
_t4 		are you finding it over there ? 
_t4 		I see some o:h this is it . 
_t4 		why don't we get the tape and fix it right now ? 
_t4 		I'm gonna get some tape and some scissors and we're gonna fix that baby bug right now . 
_t4 		okay . 
_t4 		ahh you like that idea . 
_t4 		here you go . 
_t4 		okay I think it goes here . 
_t4 		yes . 
_t4 		let see . 
_t4 		Kim and Carrots are making a store .
_t4 		Mommy visits the store and buy .
_t4 		your mommy or Kim's mommy you need your nose wiped I think .
_t4 		Naima's Mommy is going to fix the book .
_t4 		fix the baby bug . 
_t4 		so that we can read it yeah . 
_t4 		I'm cutting a piece of tape so that it will fit on the baby bug .
_t4 		that book is also broken isn't it ? 
_t4 		I'm cutting this tape with the scissors . 
_t4 		yeah . 
_t4 		what's in that fire engine book what's that about ? 
_t4 		yeah it's about fire engine isn't it ?
_t4 		have you ever seen a fire engine ? 
_t4 		that's right at the fire station . 
_t4 		you remember that ? 
_t4 		that was two weeks ago . 
_t4 		two weeks ago . 
_t4 		what else did we do at the fire station did you  ?
_t4 		we went inside yeah . 
_t4 		and what did you slide down ? 
_t4 		the pole . 
_t4 		yeah . 
_t4 		that was fun . 
_t4 		I'm fixing the baby bug . 
_t4 		I think it's fixed now . 
_t4 		I'm just checking it . 
_t4 		I'm making sure I fixed it okay . 
_t4 		okay .
_t4 		here we go . 
_t4 		oh I should fix this page too . 
_t4 		can I use the tape please ? 
_t4 		thank you . 
_t4 		thank you . 
_t4 		what are you doing ? 
_t4 		are you hugging the pony ? 
_t4 		you're squeezing the pony . 
_t4 		why are you biting him ? 
_t4 		grub him what does that mean ? 
_t4 		oh good you gonna be nice with him now ? 
_t4 		are you mad at him that's why you're biting are you mad at somebody ? 
_t4 		are you ?
_t4 		are you feeling mad ? 
_t4 		you look like you're squeezing the pony as if you're mad . 
_t4 		are you mad ?
_t4 		why are you throwing him ?
_t4 		if that was a real pony he would hurt . 
_t4 		because you're not being very nice to him . 
_t4 		squash him ?
_t4 		why would you wanna squash him ?
_t4 		wash him ? 
_t4 		wash him in the bathtub I don't think that's washable pony . 
_t4 		here it's all fixed this baby bug's [: bug is] all fixed now shall we read it ? 
_t4 		let's read it now that we fixed it . 
_t4 		okay .
_t4 		okay you gonna listen ? 
_t4 		Kim and carrots . 
_t4 		Kim has a shopping cart and a purse with pretend money in it . 
_t4 		you have that too don't you ?
_t4 		Kim and Carrots are making a +..? 
_t4 		yeah . 
_t4 		Kim and Carrots store has toys . 
_t4 		and . 
_t4 		that's right . 
_t4 		the Kim and Carrots store has toys cookies and fruit for sale .
_t4 		are you mad at that pony ? 
_t4 		okay Mommy visits the store and buys two oranges . 
_t4 		now it is Kim's turn to go .
_t4 		you're brushing your hair with the pony ? 
_t4 		is that what you're doing ? 
_t4 		you're hitting yourself in the face with the pony . 
_t4 		Kim buys a bear and an apple . 
_t4 		thank you very much Carrots . 
_t4 		he's wet is he wet because you put him in your mouth . 
_t4 		is that what happened ? 
_t4 		I think that might be what happened . 
_t4 		today is Tuesday December third .
_t4 		and we have lots and lots_of animal cards in here . 
_t4 		oh yeah .
_t4 		how many du(cks) how many ducks are here ?
_t4 		duckling . 
_t4 		yeah .
_t4 		a duckling . 
_t4 		yeah . 
_t4 		what ?
_t4 		that's the rhinoceros .
_t4 		it's looking at you . 
_t4 		and here is a +//? 
_t4 		snake and here is a +//? 
_t4 		what is it ? 
_t4 		yeah giraffe . 
_t4 		and here is the +//? 
_t4 		you know what that is ? 
_t4 		it makes this kind of a noise  .
_t4 		yeah it's a goat . 
_t4 		and look what are these ? 
_t4 		what're these things ? 
_t4 		what are these animals ? 
_t4 		yes lions .
_t4 		you're brushing your hair with the pony ? 
_t4 		and what's there ? 
_t4 		is there more than one ? 
_t4 		a duck and a duckling .
_t4 		and what's here ? 
_t4 		how many kangaroos are there ? 
_t4 		yeah that's a Joey . 
_t4 		what's the Joey doing ? 
_t4 		what's he doing ? 
_t4 		yes .
_t4 		it's sitting on the Mommy's pouch .
_t4 		and actually it's also looking at something . 
_t4 		what's it looking at ? 
_t4 		what do you think it's looking at ? 
_t4 		what's the Joey looking at ? 
_t4 		what's that ? 
_t4 		what is that ? 
_t4 		what's it look like ?
_t4 		it's a pink butterfly . 
_t4 		that Joey is sitting in her Mommy's pouch looking at a butterfly . 
_t4 		and what's this ? 
_t4 		a butterfly . 
_t4 		and what's this ? 
_t4 		a horse . 
_t4 		and what's that ? 
_t4 		oh there a(re) lots_of them . 
_t4 		and what's that ? 
_t4 		a walrus . 
_t4 		what's that ? 
_t4 		yeah those are fish . 
_t4 		skunk . 
_t4 		ant . 
_t4 		and what's in that picture ? 
_t4 		what ? 
_t4 		zebras . 
_t4 		and what is this the picture of ? 
_t4 		gorilla . 
_t4 		and who is this ? 
_t4 		a moose right and what are these ? 
_t4 		bees . 
_t4 		and what's that ? 
_t4 		that's an insect . 
_t4 		and those are beens . 
_t4 		and let see  you know what that is ? 
_t4 		yes it's a dragon fly . 
_t4 		what vegetable is this ?
_t4 		that's right . 
_t4 		what kind of flowers are those ?
_t4 		what kind of flowers are those ? 
_t4 		sunflowers . 
_t4 		they are soaking up the sun . 
_t4 		what vegetable is that do you know ? 
_t4 		spinach . 
_t4 		what kind what kind of flower is that ? 
_t4 		and these are butterflies and moths . 
_t4 		and what are these fruits called ? 
_t4 		yeah .
_t4 		and what else do we have here ? 
_t4 		this is something we use when we make salad . 
_t4 		you know what it is ? 
_t4 		it's lettuce . 
_t4 		lettuce . 
_t4 		and this is cabbage which you wouldn't know and these are ? 
_t4 		bees .
_t4 		what number is that ? 
_t4 		do you know what number that is ? 
_t4 		it's a number one two three four five six seven eight nine . 
_t4 		I don't know the nine is mixed in with these animal cards . 
_t4 		it was all mixed in with the animal cards . 
_t4 		it was mixed in with the animal cards . 
_t4 		it was all mixed in with the animal cards . 
_t4 		it was mixed in with the animal cards . 
_t4 		what else is in this fire engine book anyway ?
_t4 		oh  I jumped into my uniform putting on my boots and hat as I ran . 
_t4 		there are the boots . 
