_d4930 		xxx .
_d4938 		and he says somebody's [: somebody has] been rocking in my chair . 
_d4938 		he's very puzzled . 
_d4938 		I think you're right . 
_d4938 		I think Goldilocks has been rocking in the pappa bear's chair . 
_d4938 		and then +... 
_d4938 		and the mama bear goes and sits in her chair . 
_d4938 		right ? 
_d4938 		she starts to rock and what does she say ? 
_d4938 		she says , somebody's [: somebody has] been rocking in my chair too . 
_d4938 		mmmm+hmmm I think you're right . 
_d4938 		yes Goldilocks is still sleeping upstairs at this point . 
_d4938 		and then the baby bear goes over and +... 
_d4938 		there's a bird over at the feeder Naima . 
_d4938 		birds are coming to eat . 
_d4938 		can you see them ? 
_d4938 		there's a lot of sun in this room . 
_d4938 		there , now you're out of the sun . 
_d4938 		can you see the birds ? 
_d4938 		oh maybe they'll come back . 
_d4938 		you rearranging your cups ? 
_d4938 		hey you ate a lot of that egg , good job . 
_d4938 		what else would you like to eat ? 
_d4938 		sesame ? 
_d4938 		okay , let me find the sesame for you . 
_d4938 		would you like a pile of sesame right here ? 
_d4938 		here's a pile . 
_d4938 		well I forgot to buy jam at the store yesterday . 
_d4938 		we're almost out of strawberry jam . 
_d4938 		what else would you +... 
_d4938 		you're eating the sesame , is it good ? 
_d4938 		good . 
_d4938 		do you wanna eat some apple+sauce Naima ? 
_d4938 		I'll get you some apple+sauce . 
_d4938 		you want bread and jam ? 
_d4938 		you can have some of my bagel . 
_d4938 		there's no more jam right now . 
_d4938 		do you want apple+sauce too ? 
_d4938 		okay .
_d4938 		you want some plain bagel ? 
_d4938 		I think there's +... 
_d4938 		what happened to that ? 
_d4938 		uh yeah , you can have some of my plain bagel . 
_d4938 		let's see here . 
_d4938 		this is Mommy's plain bagel . 
_d4939 		oh yeah , the other part of the story  +... 
_d4939 		where did we leave off ? 
_d4939 		the baby bear looked at his rocking chair . 
_d4939 		and it was broken . 
_d4939 		and he said someone's [: someone has] been rocking in my rocking chair and they broke it . 
_d4939 		ugh he was kinda [: kind of] mad I think . 
_d4939 		so then +... 
_d4939 		mama bear said , don't worry we'll fix it . 
_d4939 		and then where do the bears go ? 
_d4939 		into the kitchen . 
_d4939 		(be)cause they're hungry . 
_d4939 		they've been out walking so they're hungry too just like Goldilocks was . 
_d4939 		when you walk for awhile you get hungry . 
_d4939 		they've been walking for a long time . 
_d4939 		um so the papa bear looked at his bowl , he didn't even have_to take a bite . 
_d4939 		he just looked at his bowl and said somebody's [: somebody has] been eating my porridge . 
_d4940 		oh no there's an uh+oh here . 
_d4940 		yes , I think Goldilocks was the one eating his porridge . 
_d4940 		I hope your elbow hasn't been in the way over here . 
_d4940 		let's attach this over here . 
_d4940 		and then the mama bear also says +... 
_d4940 		somebody's [: somebody has] been eating my porridge too ! 
_d4940 		I think you're right . 
_d4940 		and the baby bear looks at his bowl which is completely clean , remember because she washed it out this time . 
_d4940 		and he says somebody's [: somebody has] been eating my porridge . 
_d4940 		and she ate it all up . 
_d4940 		she washed out the bowl and it's completely empty ! 
_d4940 		I think maybe the baby bear starts to cry at this point . 
_d4940 		do you think so ? 
_d4940 		and the papa bear says , don't worry we'll make you some more porridge . 
_d4940 		so the bears ate all their porridge . 
_d4940 		then when they were done eating they went upstairs to take a nap . 
_d4940 		you're having sesame with apple+sauce  . 
_d4940 		who likes the bagel in her porridge ? 
_d4940 		oh .
_d4940 		she likes bagels with porridge  . 
_d4941 		hmmm , I'm just remembering something . 
_d4941 		okay .
_d4941 		um +... 
_d4941 		they go upstairs and the papa bear says , somebody's [: somebody has] been sleeping in my bed . 
_d4941 		the story of the day ? 
_d4941 		I'm still telling the Goldilocks story . 
_d4941 		you mean you wanna hear what we did yesterday ? 
_d4941 		okay . 
_d4941 		um yesterday was Wednesday . 
_d4941 		we woke up +... 
_d4941 		Mommy made coffee . 
_d4941 		and in the morning we went out and did errands . 
_d4941 		we went to the bank . 
_d4941 		we went to the hardware store . 
_d4941 		we bought a rake at the hardware store just for you . 
_d4941 		and then we went to the +... 
_d4941 		we stopped in the shoe store for a minute . 
_d4941 		we stopped to make sure that your shoes were still the right size . 
_d4941 		that was very quick we didn't stay there for very long . 
_d4942 		you have cold feet ? 
_d4942 		really ? 
_d4942 		it looks like there's some sun on your feet . 
_d4942 		I can see it . 
_d4942 		there on your left foot there's some sun yeah . 
_d4942 		now it's in the sun can you feel the sun ? 
_d4942 		I meant can your foot feel the sun ? 
_d4942 		oh my God . 
_d4942 		I think we're gonna go to town hall before we go to toddler time . 
_d4942 		xxx has a doggie named  . 
_d4943 		is he a silly dog ? 
_d4943 		he likes to roll . 
_d4943 		yeah .
_d4943 		he was rolling on the beach in the +...
_d4943 		oh no .
_d4943 		then he was shaking the water off yeah . 
_d4943 		mmmm  . 
_d4943 		what a nice doggie , you were patting him . 
_d4943 		you were patting him . 
_d4943 		mmmm  . 
_d4943 		yup [: yes] , there was a fence there . 
_d4943 		at that vacation house . 
_d4944 		xxx and  vacation house . 
_d4944 		that's what it was . 
_d4944 		that place we visited , it was the vacation house that  and  were staying at . 
_d4944 		and  . 
_d4944 		and that was in a different town called Provincetown . 
_d4944 		it was like a city except it was really a town . 
_d4944 		Provincetown . 
_d4944 		that's where they were having their vacation . 
_d4944 		in Provincetown . 
_d4944 		did you see a bird ? 
_d4944 		no there's still some seeds there . 
_d4944 		I think their seeds are all gone in the big feeder . 
_d4944 		in this little feeder right here there's some seeds . 
_d4944 		I can see them . 
_d4944 		I think we've got_to get ready to go .
_d4944 		if we're gonna go to town hall we may be too late already . 
_d4944 		yeah .
_d4944 		well I hope we're gonna go to both . 
_d4944 		I just forgot that there's something happening at town hall today . 
_d4944 		okay . 
_d4944 		you're putting the bear down there ?
_d4944 		oops .
_d4945 		yeah , you have pajamas on . 
_d4945 		let's go in the living room for a few minutes to play . 
_d4945 		xxx .
_d4945 		oh . 
_d4945 		xxx .
_d4945 		in the morning when you wake up . 
_d4945 		what do you say when you wake up in the morning ? 
_d4945 		sometimes you wake up and you say nursie .
_d4945 		almost always you say that . 
_d4945 		xxx what do you say next ?
_d4945 		sometimes you say good morning Mommy .
_d4945 		right ?
_d4945 		sometimes you say Na wants to read a book . 
_d4945 		you wanna read a book .
_d4945 		and sometimes you say +...
_d4945 		nursie other side .
_d4946 		sometimes you say where'd [: where did] Daddy go ? 
_d4946 		I thought you'd wanna play for a little longer . 
_d4946 		you're acting like it's be:d ti:me . 
_d4946 		oh you're going to sleep ?
_d4946 		can you leave the backpack there ?
_d4946 		grizzly+bear ?
_d4946 		okay , let me have his arm . 
_d4946 		and put it on him .
_d4946 		xxx .
_d4946 		oh , he's sitting here as if he's having a picnic . 
_d4946 		you like to eat grapes ? 
_d4946 		does he like them to be sliced ? 
_d4946 		mmmm .
_d4946 		he likes having picnics , I think . 
_d4946 		he wants to go to a house ? 
_d4946 		you can leave the microphone right there , okay ?
_d4946 		yeah . 
_d4946 		what else does he like to eat at the picnic ?
_d4946 		grapes and what else ?
_d4946 		if you were going to have a picnic what would you be eating ? 
_d4946 		bread ? 
_d4946 		you'd eat bread at your picnic ?
_d4946 		that's a great idea .
_d4946 		oh the bear would like bread ? 
_d4946 		oh , is he eating pineapple ?
_d4946 		xxx . 
_d4946 		did you cut it up for him ?
_d4946 		into small pieces so he doesn't have a huge piece in his mouth .
_d4946 		great . 
_d4946 		xxx .
_d4946 		grizzly+bear I hope you eat small pieces of that pineapple so that you  eat carefully . 
_d4946 		chew it a lot like Mommy says , right ? 
_d4946 		xxx .
_d4947 		he's sick and you're taking care of him ? 
_d4947 		what are you going to do for him ?
_d4947 		how are you going to take care of him ? 
_d4947 		what will you do ? 
_d4947 		you could make him some tea: . 
_d4947 		you could take his temperature . 
_d4947 		do you wanna take his temperature ? 
_d4947 		yeah .
_d4947 		is he +//?
_d4947 		is he throwing up ?
_d4947 		mmmm , what would make him feel better then ? 
_d4947 		nursies would make him feel better ,  .
_d4948 		he'll find his mommy and she'll nurse him . 
_d4948 		what else could you do for him ? 
_d4948 		
_d4948 		um , take his temperature . 
_d4948 		to check his throat out . 
_d4948 		you could give him some medicine .
_d4948 		
_d4948 		xxx .
_d4948 		uh , you could put a special  bandage .
_d4948 		yep [: yes] .
_d4948 		mmmm+hmmm .
_d4948 		and an ankle bangle like you had at the hospital . 
_d4948 		oh , to Daddy's office ? 
_d4948 		xxx .
_d4948 		he has his own office ?
_d4948 		oh: . 
_d4948 		will he feel better if he goes there ? 
_d4948 		mmmm . 
_d4948 		what are you doing ? 
_d4948 		you're massaging your foot ? 
_d4948 		does it feel good ? 
_d4948 		
_d4948 		you're massaging your foot with one finger ?
_d4949 		which finger ? 
_d4949 		yeah . 
_d4949 		sat [: does that] feel nice ? 
_d4949 		xxx .
_d4949 		oh .
_d4949 		uh huh . 
_d4949 		yes .
_d4949 		oh 
_d4949 		I bet he likes that .
_d4949 		his paw .
_d4949 		does he have a sore paw ? 
_d4949 		oh , that's nice . 
_d4949 		the mouse ? 
_d4949 		oh , in that in that book .
_d4949 		the book ,  , if you take a mouse to the movies . 
_d4949 		the mouse has a big microphone .
_d4949 		it looks different than this microphone .
_d4949 		oh , that's part of the camera . 
_d4949 		that's the lens cap for the camera .
_d4949 		that's called a lens cap . 
_d4949 		d'you [: do you] hear that noise ? 
_d4949 		what does it sound like ?
_d4949 		bells . 
_d4949 		the lens cap ? 
_d4949 		xxx .
_d4949 		it's kinda [: kind of] hard to get it to stay on , isn't it ? 
_d4949 		that's the lens . 
_d4949 		that's the camera's lens . 
_d4949 		that +//. 
_d4949 		I don't know what you'd call this .
_d4949 		this is the +//. 
_d4949 		oh .
_d4949 		but you're not there .
_d4949 		you can see the grizzly+bear .
_d4949 		see grizzly+bear ? 
_d4949 		that's the bear from the hospital . 
_d4949 		d'you [: do you] wanna have a snack ? 
_d4949 		you wanna have some gingerbread cake ?
_d4949 		we could go and eat a little gingerbread cake snack if you want . 
_d4949 		oh , you're sleeping .
_d4949 		okay .
_d4949 		now you're waking up .
_d4950 		oh , that's how you wake up . 
_d4950 		uh huh . 
_d4950 		you sit up like that when you wake up ?
_d4950 		you look very comfy there . 
_d4950 		are you comfy ? 
_d4950 		Daddy's working . 
_d4950 		I think we should call him though and tell him how close you are to bed time .
_d4950 		we'll call him and say hi .
_d4950 		well , you know what , I don't want you to do that right now .
_d4951 		no , no , I don't think so . 
_d4951 		it's not okay to play with the nursies .
_d4951 		oh , you're sleeping a little bit more ?
_d4951 		okay . 
_d4951 		are you snoring ? 
_d4951 		I don't hear any snoring .
_d4951 		uh huh .
_d4951 		good morning Naima . 
_d4951 		
_d4951 		oh .
_d4952 		you'll be nursing in a little while . 
_d4952 		we'll nurse before we go to sleep , okay ? 
_d4952 		maybe we should get your new hair+brush and brush your hair . 
_d4952 		would you like to do it yourself ?
_d4952 		looking down at yer [: your] bed there ? 
_d4952 		mmmm .
_d4952 		okay , we'll pick this up later .
_d4952 		okay , let's see . 
_d4952 		xxx . 
_d4952 		mmmm+hmmm , mmmm+hmmm , mmmm+hmmm . 
_d4952 		yeah , mmmm+hmmm . 
_d4952 		are you putting them in there ? 
_d4952 		
_d4952 		mmmm+hmmm , mmmm+hmmm .
_d4952 		that's a little space for drawers ? 
_d4952 		yep [: yes] . 
_d4952 		xxx .
_d4952 		I don't know if there's any space . 
_d4952 		oh , there's already Yoko and Frank and whoever's in there . 
_d4952 		okay . 
_d4952 		xxx .
_d4952 		xxx . 
_d4952 		oh , in the cafeteria ?
_d4952 		I'm recording now . 
_d4952 		oh , they're gonna go to the kitchen ?
_d4952 		are they gonna eat those pancakes that Timothy's mother's making ?
_d4952 		oh , she's making something else for them ? 
_d4952 		what is she making ? 
_d4952 		what would +//? 
_d4952 		what do you think they want for breakfast ?
_d4952 		what did they like to eat for breakfast ? 
_d4952 		okay  .
_d4952 		drink it +!? 
_d4952 		there . 
_d4952 		Doris wants to drink maple syrup ? 
_d4952 		maple syrup is sticky . 
_d4952 		she could have a bite of pancakes with maple syrup on it . 
_d4952 		xxx . 
_d4952 		who else is going to sit at the table next to Doris ?
_d4952 		oh .
_d4952 		good . 
_d4952 		that looks like some porridge there .
_d4952 		maybe she'd like to eat that . 
_d4952 		mmmm .
_d4952 		and what's in front of the porridge ?
_d4953 		what's that ? 
_d4953 		does it look like toast ?
_d4953 		mmmm . 
_d4953 		who's gonna eat the toast ? 
_d4953 		
_d4953 		xxx .
_d4953 		oh: , okay Timothy's mother , take them out of the oven .
_d4954 		bring them the muffins . 
_d4954 		they're hot ? 
_d4954 		some are cool ? 
_d4954 		cool enough to eat ? 
_d4954 		mmmm .
_d4954 		what kind of muffins are they ?
_d4954 		finger muffins +!?
_d4954 		finger muffins ?
_d4954 		what are finger muffins ?
_d4954 		finger muffins ? 
_d4954 		xxx .
_d4954 		oh+my+goodness .
_d4954 		xxx does that mean they're eating them with their fingers ?
_d4954 		is that what finger muffins are ? 
_d4954 		mmmm .
_d4954 		what's Brighton [?] going to do ?
_d4955 		is there a play space in this book ? 
_d4955 		I think there's only the school .
_d4955 		it's time to go to Daisy's play house again ? 
_d4955 		you liked it there , I guess .
_d4955 		why is this not on ? 
_d4955 		to f+one . 
_d4955 		f+one f+two .
_d4955 		I guess the light is just low . 
_d4955 		I guess it needs a new battery .
_d4955 		batteries , yeah .
_d4955 		okay , well we'll see if this +... 
_d4955 		there she is .
_d4955 		I'm gonna have_to go get another copy of this book just so that she can have a new set of dolls . 
_d4955 		cause [: because] they're so bent up  . 
_d4955 		xxx .
_d4955 		xxx I mean you might not be recording if the signal is I mean if the battery  really low . 
_d4955 		I know .
_d4955 		xxx . 
_d4955 		oh , I'm not gonna worry about it . 
_d4955 		I'll just do it later if it turns out  .
_d4955 		xxx .
_d4955 		
_d4955 		xxx .
_d4955 		oh , you have  over there . 
_d4955 		which Frank ? 
_d4955 		this Frank . 
_d4955 		the blue striped Frank .
_d4955 		oh , blue striped Frank .
_d4955 		I can make the coffee if you wanna just sit here with her . 
_d4955 		xxx .
_d4955 		I'll put the stereo  .
_d4955 		xxx .
_d4955 		xxx .
_d4956 		blue striped Frank goes there ? 
_d4956 		or I can turn off . 
_d4956 		she gave you a princess birthday card , didn't she ? 
_d4956 		um , today's Saturday March twenty ninth . 
_d4956 		and we're not quite set up yet , just give me a minute .
_d4956 		xxx .
_d4956 		
_d4956 		xxx .
_d4956 		are there crumbs in your high chair ?
_d4956 		all+right .
_d4956 		crumbs and porridge ?
_d4956 		oh , dried porridge .
_d4957 		yep [: yes] . 
_d4957 		I see that too . 
_d4957 		you know what , it's all+right , you can sit there anyway . 
_d4957 		you can climb right up and  . 
_d4957 		okay .
_d4957 		xxx . 
_d4957 		for her to eat .
_d4957 		yeah .
_d4958 		yeah , I'm not gonna strap you in cause [: because] we're just gonna have a quick snack here . 
_d4958 		let's see , where are those cookies ?
_d4958 		yeah .
_d4958 		I'm getting them for you .
_d4958 		it's a new box of cookies , it's not a new kind .
_d4959 		oh , my+goodness . 
_d4959 		xxx this is not what we wanted . 
_d4959 		I bought teething biscuits by mistake . 
_d4959 		well (.) you used to have these .
_d4959 		do you like these ?
_d4959 		you used to eat that kind when you were a little baby . 
_d4959 		xxx ?
_d4959 		well , I thought that's what I was buying but I made a mistake . 
_d4959 		oh , no . 
_d4959 		but we did buy this kind of animal crackers . 
_d4959 		these are animal cookies . 
_d4959 		oh !
_d4959 		that's a wagon . 
_d4959 		there's a lion , I think .
_d4959 		xxx a hippo !
_d4959 		yep [: yes] . 
_d4959 		that's  that's a wagon .
_d4959 		that's like a circus wagon . 
_d4959 		hey , what kind of juice would you like honey   . 
_d4959 		xxx .
_d4959 		well , you know what , actually I think Daddy used up the cherry juice . 
_d4959 		I think +... 
_d4959 		I guess  .
_d4959 		xxx .
_d4959 		all we have (.) is apricot nectar . 
_d4959 		can you have some of that ?
_d4959 		okay , good .
_d4959 		let's have that .
_d4959 		who drinks nectar ? 
_d4959 		and who else ?
_d4959 		butterflies . 
_d4959 		other insects , I think . 
_d4959 		and Naima !
_d4959 		and Mommy ! 
_d4959 		I'm gonna drink some apricot nectar also . 
_d4959 		xxx  . 
_d4959 		mmmm , I like that apricot nectar . 
_d4959 		
_d4959 		I think it's a fox , Naima .
_d4959 		I think it is a fox . 
_d4959 		are the cookies good ? 
_d4959 		xxx . 
_d4959 		mmmm , juice . 
_d4959 		nectar . 
_d4959 		we ate it up the other day .
_d4960 		are you ready for yer [: your] supper already ? 
_d4960 		well  . 
_d4960 		oh , cold  orzo or cold arthur pasta ? 
_d4960 		yes , there is cold arthur pasta .
_d4960 		do you want some ?
_d4960 		on the cold Arthur pasta ?
_d4960 		d'you [: do you] want warm tomato sauce or cold tomato sauce ? 
_d4960 		okay . 
_d4960 		are you really hungry now ?
_d4960 		it sounds to me like you're a little bit hungry . 
_d4960 		yeah , let's get'choo [: get you] some some of that Arthur pasta .
_d4961 		yeah , it's cold , it's in the refrigerator . 
_d4961 		xxx . 
_d4961 		
_d4961 		okay . 
_d4961 		um , if you're gonna tomato sauce +...
_d4961 		well (.) all+right , let's just roll up let's just get a bib and roll up your sleeves really well .
_d4961 		what ?
_d4961 		um , let's (.) put this (.) on you too . 
_d4961 		I wanna put the little seat belt on you . 
_d4961 		yeah .
_d4961 		the microphone ?
_d4961 		yeah , I was moving the microphone .
_d4962 		yeah , you're hungry I think . 
_d4962 		so we're gonna give you some food . 
_d4962 		and cold arthur pasta . 
_d4962 		mmmm , Naima likes cold tomato sauce .
_d4962 		I know I know you do .
_d4962 		xxx .
_d4962 		okay . 
_d4962 		okay .
_d4962 		oh ,  huh . 
_d4962 		xxx .
_d4962 		you're gonna mix it up .
_d4962 		okay .
_d4962 		where is the tomato sauce ? 
_d4962 		that's what I wanna know . 
_d4962 		there it is . 
_d4962 		xxx .
_d4962 		kay [: okay] why don't we put these crackers over here . 
_d4962 		I'll get a smaller +//. 
_d4962 		actually we'll get a little paper plate for your arthur pasta . 
_d4962 		and you said you wanted a spoon . 
_d4962 		there we go .
_d4962 		yeah , I'm gonna give you tomato sauce also .
_d4963 		that's gonna be very cold , you know . 
_d4963 		oh , that's not tomato sauce . 
_d4963 		I'm looking for the tomato sauce . 
_d4963 		xxx let's see . 
_d4963 		here it is . 
_d4963 		d'you [: do you] want some cheese ? 
_d4963 		xxx . 
_d4963 		here's the salty cheese . 
_d4963 		yep [: yes] .
_d4963 		d'jou [: did you] say you know ? 
_d4963 		we have salty cheese you know . 
_d4963 		but do we have a grater ? 
_d4963 		xxx that is the question . 
_d4963 		a clean grater ?
_d4963 		here's a grater . 
_d4963 		kay [: okay] I can get you more of that when you need it . 
_d4963 		xxx . 
_d4963 		all+right , let's try to clean this (.) kitchen up a tiny bit . 
_d4963 		is that good ? 
_d4963 		lemme [: let me] fix it . 
_d4963 		there . 
_d4963 		di'jou [: did you] have fun eating at (.) the restaurant with Daddy this (.) this morning ? 
_d4963 		we had lunch at the restaurant . 
_d4963 		what di'jou [: did you] eat at the restaurant ?
_d4963 		guacamole . 
_d4963 		anything else ? 
_d4963 		black beans . 
_d4963 		mmmm , what else di'jou [: did you] eat ? 
_d4963 		di'jou [: did you] eat any rice there ?
_d4963 		di'jou [: did you] eat any cheese ? 
_d4963 		what's that noise ? 
_d4963 		hello ? 
_d4963 		hello . 
_d4963 		good . 
_d4963 		yeah . 
_d4963 		uh , she's having a snack that's morphing into something more like dinner . 
_d4963 		a:nd she: (.) is in a good mood and she had (.) a two hour nap which started out as a forty five minute nap then nursed back to sleep . 
_d4963 		so the whole thing was two hours . 
_d4963 		and I'm trying to make a stab at our horrendously messy kitchen . 
_d4963 		and that's about it . 
_d4963 		uh huh . 
_d4963 		sure , hold on a minute . 
_d4963 		it's Daddy on the phone . 
_d4963 		um , there isn't any there unless it's tucked way back . 
_d4963 		see you .
_d4963 		I think that was da:ddy . 
_d4963 		he was going to be coming home soon .
_d4963 		what's what ? 
_d4963 		oh , that's  that's a biscuit .
_d4963 		you used to eat those when  were a really little baby . 
_d4963 		teething biscuit . 
_d4963 		it's called a teething biscuit .
_d4963 		xxx silly Mommy bought them by mistake . 
_d4963 		I thought I was getting (.) Naima's cookies . 
_d4963 		but I was buying teething biscuits by mistake . 
_d4963 		where'd [: where did] she go , Naima ?
_d4963 		are you hiding her in there ?
_d4964 		I [?] was [?] hiding Lucille . 
_d4964 		xxx .
_d4964 		she's getting cozy . 
_d4964 		mmmm , nice and cozy .
_d4964 		what's this song ?
_d4964 		Johnny getcher [: get your] haircut . 
_d4964 		Sally .
_d4964 		yeah . 
_d4964 		oh yer [: you're] gonna comb her hair with a spoon ?
_d4964 		okay .
_d4964 		there you go .
_d4964 		go ahead and comb it .
_d4964 		do a good job . 
_d4964 		she's dressed ? 
_d4964 		Betty Martin [x 
_d4964 		haircut haircut , Johnny getcher [: get your] haircut  me .
_d4964 		xxx . 
_d4964 		what is she doing ?
_d4964 		
_d4964 		this song is I got a letter this morning . 
_d4965 		Luci:lle . 
_d4965 		xxx .
_d4965 		hey , hey , I'm right here .
_d4965 		I'm right here , I'm not goin' [: going] anywhere .
_d4965 		it's cleaner for the kitchen . 
_d4965 		it's a cleaner for the kitchen . 
_d4965 		what happened to her towel ? 
_d4965 		oh , did it ?
_d4965 		oh , yes , I see .
_d4966 		early in the morning . 
_d4966 		what are you doing ? 
_d4966 		mmmm , that's not +//.
_d4966 		what ?
_d4966 		oh , she's doing a somersault ?
_d4966 		oh .
_d4966 		was she doing a somersault there ? 
_d4966 		you do a good job wrapping her up .
_d4966 		you want me to help you do it ?
_d4966 		okay , I'll be right there . 
_d4966 		yes .
_d4966 		I heardjou [: heard you] . 
_d4966 		I'll be right there .
_d4966 		it's rhyming ? 
_d4966 		xxx .
_d4966 		xxx .
_d4966 		Lucille . 
_d4966 		is that her name ?
_d4966 		Luciwull .
_d4967 		yes ? 
_d4967 		okay , Lucille , let's go in the towel .
_d4967 		let's go get wrapped up , very nice and cozy: . 
_d4967 		she's wet ? 
_d4967 		is she really ? 
_d4967 		oh you like this song , don't you ? 
_d4967 		pick a bale a' [: of] hay . 
_d4967 		is she lying there ? 
_d4967 		uh huh .
_d4967 		oh , I had a little girl  .
_d4967 		I'm on my way to Texas to pick a bale a day . 
_d4967 		xxx . 
_d4967 		three nine eight . 
_d4967 		three six  one . 
_d4967 		he went to the hospital . 
_d4967 		she's lying down on the towel . 
_d4967 		she what ? 
_d4967 		she's  ? 
_d4967 		she's  and  .
_d4967 		those are two real little girls that you know . 
_d4967 		
_d4968 		her name is George ? 
_d4968 		that's a little boy you know .
_d4968 		I think it's time to get out of the chair . 
_d4968 		you can still play with her . 
_d4968 		can I take your bib off ?
_d4968 		oh .
_d4968 		okay . 
_d4968 		okay . 
_d4968 		where did she go ?
_d4968 		her name is  ? 
_d4968 		we don't even know anybody named  .
_d4968 		who is  ?
_d4968 		we don't know +...
_d4969 		xxx . 
_d4969 		xxx . 
_d4969 		xxx !
_d4969 		yes we know  . 
_d4969 		xxx is  brother . 
_d4969 		right ? 
_d4969 		yeah .
_d4969 		xxx .
_d4969 		that's right .
_d4969 		xxx .
_d4969 		oh , her name is  now ?
_d4969 		mmmm+hmmm .
_d4969 		xxx .
_d4969 		xxx .
_d4969 		Lucille .
_d4969 		I'm gonna make a phone call now .
_d4969 		Mommy's gonna make a phone call . 
_d4969 		would you like to play with Lucille in the living room ?
_d4969 		okay .
_d4969 		d'you [: do you] want some water to drink ? 
_d4969 		oh .
_d4969 		okay , let's have juicy water .
_d4969 		okay .
_d4969 		I don't know where she is .
_d4969 		I can't see her .
_d4969 		oh , she's under the green towel .
_d4970 		mmmm . 
_d4970 		what's she gonna eat ?
_d4970 		here , I'll give her a little bowl .
_d4970 		I'll find a little bowl for her . 
_d4970 		here's yer [: your] juice .
_d4970 		here's a little bowl of grapes for her . 
_d4970 		she can sit on the blanket (.) and eat grapes from this bowl . 
_d4970 		they're in a white bowl . 
_d4970 		she's eating ? 
_d4970 		oh , what else does she like to eat ? 
_d4970 		here y'go [: you go] Lucille . 
_d4971 		the macaroni's [: macaroni is] cooked , yeah . 
_d4971 		what the macaroni , well this is regular macaroni .
_d4971 		this is regular delicious macaroni and cheese . 
_d4971 		where is the special fork you can use ? 
_d4971 		mmmm well I will get you your bib . 
_d4971 		mmmm dinner time . 
_d4971 		today is April second . 
_d4971 		xxx  in the background . 
_d4971 		I'm on f+one . 
_d4972 		D_W's still up , when Arthur gets home from babysitting , right ? 
_d4972 		that's right . 
_d4972 		D_W's still up when Arthur gets home from babysitting . 
_d4972 		that's a good story . 
_d4972 		now let's see what Mommy's gonna eat . 
_d4972 		I guess I'm going to eat this , actually I'm gonna eat what you're eating . 
_d4972 		did you have a fun day today , what did you do today ?
_d4972 		we went to +... 
_d4972 		toddler time . 
_d4972 		and we saw Rascal .
_d4972 		we saw Rascal the dinosaur at toddler time . 
_d4972 		then we went to a restaurant . 
_d4972 		I don't think you liked the food that I got for you at the restaurant . 
_d4972 		(re)member I got you the eggs and the toast ? 
_d4972 		I gave you some cabbage there on your plate , do you see it ? 
_d4972 		let's see . 
_d4972 		Naima would you like some summer vegetables ?
_d4972 		okay let me see if I have some . 
_d4972 		I'm trying to heat up some some dinner for Mommy to eat too .
_d4972 		do you want some cold corn ? 
_d4972 		okay , you wan(t) a little of this too .
_d4972 		let's see , I think these are +... 
_d4972 		I think this is called summer vegetable dinner , that jar . 
_d4972 		I don('t) know if we have any ,  we do have regular summer vegetables . 
_d4972 		I'm gonna put it right here , okay ? 
_d4972 		right here ? 
_d4972 		summer vegetables ,  . 
_d4972 		then where we go to , then we came home . 
_d4972 		then we went to the play+ground after you woke up from your nap . 
_d4972 		an(d) then +//.
_d4972 		what ? 
_d4972 		an(d) then , after we went to the play+ground +... 
_d4972 		we went to +... 
_d4972 		yes except we actually went to Cape Cod Natural Foods to buy your diapers first . 
_d4972 		an(d) then we went to the drugstore . 
_d4972 		we had to wait in line at the drugstore , do you remember that ? 
_d4972 		it's the dinosaur song ? 
_d4972 		huh , it is cave+land . 
_d4972 		must be good because you're quiet . 
_d4972 		a li(tt)le pasta with summer vegetables , that's good . 
_d4972 		no ? 
_d4972 		oh you got some of the cabbage in there , huh ? 
_d4972 		you don't have_to eat it , it's spicy . 
_d4972 		you okay ? 
_d4972 		it has ginger in it , it's okay . 
_d4972 		oh , we had to leave the play+ground because it was raining , didn't we ? 
_d4972 		you know what , you don't have_to eat it at all .
_d4972 		in fact , I'm not e(v)en gonna eat it , it has hot pepper in it , I forgot ,  . 
_d4972 		heh , it's too hot , you don't have_to eat it . 
_d4972 		no I'm not gonna eat it either , have some summer vegetables .
_d4972 		yeah you can take the cabbage away . 
_d4972 		let's make sure there's no cabbage in here . 
_d4972 		just leave it there , just go ahead and eat your other food . 
_d4972 		what did we have_to do at the play+ground ? 
_d4972 		what ? 
_d4972 		I think the fun song is coming up . 
_d4972 		what else did we do ?
_d4973 		you went on the swings . 
_d4973 		I chased you . 
_d4973 		you said you were tired . 
_d4973 		xxx pop up  in the jungle . 
_d4973 		well I'd like to eat my dinner +//.
_d4973 		I'm gonna eat an(d) then read , okay ?
_d4973 		you're gonna read them ?
_d4974 		you can't have them on your tray until you're finished . 
_d4974 		have a little more , have a little more to eat an(d) then we can read . 
_d4974 		you got some food in your bib there ? 
_d4974 		let me check these kiwis to see if they're ripe . 
_d4974 		oops ,  , the bananas fell down . 
_d4974 		I'm trying to see if these kiwis are ripe .
_d4974 		I don't believe they are ripe yet . 
_d4974 		actually , the avocado is ripe I think , do you want avocado ? 
_d4974 		do you wanna have some ?
_d4974 		okay .
_d4974 		okay .
_d4974 		you don't believe the avocado's [: avocado is] ripe ?
_d4974 		I think it is .
_d4974 		the kiwi is not ripe .
_d4974 		the avocado is ripe , I think . 
_d4974 		sometimes we can't be a hundred percent sure . 
_d4974 		oh I think I was right about the avocado . 
