_t4 		xxx .
_t4 		uh yeah , you can have some of my plain bagel . 
_t4 		let's see here . 
_t4 		this is Mommy's plain bagel . 
_t4 		oh yeah , the other part of the story  +... 
_t4 		where did we leave off ? 
_t4 		the baby bear looked at his rocking chair . 
_t4 		and it was broken . 
_t4 		and he said someone's [: someone has] been rocking in my rocking chair and they broke it . 
_t4 		ugh he was kinda [: kind of] mad I think . 
_t4 		so then +... 
_t4 		mama bear said , don't worry we'll fix it . 
_t4 		and then where do the bears go ? 
_t4 		into the kitchen . 
_t4 		(be)cause they're hungry . 
_t4 		they've been out walking so they're hungry too just like Goldilocks was . 
_t4 		when you walk for awhile you get hungry . 
_t4 		they've been walking for a long time . 
_t4 		um so the papa bear looked at his bowl , he didn't even have_to take a bite . 
_t4 		he just looked at his bowl and said somebody's [: somebody has] been eating my porridge . 
_t4 		oh no there's an uh+oh here . 
_t4 		yes , I think Goldilocks was the one eating his porridge . 
_t4 		I hope your elbow hasn't been in the way over here . 
_t4 		let's attach this over here . 
_t4 		and then the mama bear also says +... 
_t4 		somebody's [: somebody has] been eating my porridge too ! 
_t4 		I think you're right . 
_t4 		and the baby bear looks at his bowl which is completely clean , remember because she washed it out this time . 
_t4 		and he says somebody's [: somebody has] been eating my porridge . 
_t4 		and she ate it all up . 
_t4 		she washed out the bowl and it's completely empty ! 
_t4 		I think maybe the baby bear starts to cry at this point . 
_t4 		do you think so ? 
_t4 		and the papa bear says , don't worry we'll make you some more porridge . 
_t4 		so the bears ate all their porridge . 
_t4 		then when they were done eating they went upstairs to take a nap . 
_t4 		you're having sesame with apple+sauce  . 
_t4 		who likes the bagel in her porridge ? 
_t4 		oh .
_t4 		she likes bagels with porridge  . 
_t4 		hmmm , I'm just remembering something . 
_t4 		okay .
_t4 		um +... 
_t4 		they go upstairs and the papa bear says , somebody's [: somebody has] been sleeping in my bed . 
_t4 		the story of the day ? 
_t4 		I'm still telling the Goldilocks story . 
_t4 		you mean you wanna hear what we did yesterday ? 
_t4 		okay . 
_t4 		um yesterday was Wednesday . 
_t4 		we woke up +... 
_t4 		Mommy made coffee . 
_t4 		and in the morning we went out and did errands . 
_t4 		we went to the bank . 
_t4 		we went to the hardware store . 
_t4 		we bought a rake at the hardware store just for you . 
_t4 		and then we went to the +... 
_t4 		we stopped in the shoe store for a minute . 
_t4 		we stopped to make sure that your shoes were still the right size . 
_t4 		that was very quick we didn't stay there for very long . 
_t4 		you have cold feet ? 
_t4 		really ? 
_t4 		it looks like there's some sun on your feet . 
_t4 		I can see it . 
_t4 		there on your left foot there's some sun yeah . 
_t4 		now it's in the sun can you feel the sun ? 
_t4 		I meant can your foot feel the sun ? 
_t4 		oh my God . 
_t4 		I think we're gonna go to town hall before we go to toddler time . 
_t4 		xxx has a doggie named  . 
_t4 		is he a silly dog ? 
_t4 		he likes to roll . 
_t4 		yeah .
_t4 		he was rolling on the beach in the +...
_t4 		oh no .
_t4 		then he was shaking the water off yeah . 
_t4 		mmmm  . 
_t4 		what a nice doggie , you were patting him . 
_t4 		you were patting him . 
_t4 		mmmm  . 
_t4 		yup [: yes] , there was a fence there . 
_t4 		at that vacation house . 
_t4 		xxx and  vacation house . 
_t4 		that's what it was . 
_t4 		that place we visited , it was the vacation house that  and  were staying at . 
_t4 		and  . 
_t4 		and that was in a different town called Provincetown . 
_t4 		it was like a city except it was really a town . 
_t4 		Provincetown . 
_t4 		that's where they were having their vacation . 
_t4 		in Provincetown . 
_t4 		did you see a bird ? 
_t4 		no there's still some seeds there . 
_t4 		I think their seeds are all gone in the big feeder . 
_t4 		in this little feeder right here there's some seeds . 
_t4 		I can see them . 
_t4 		I think we've got_to get ready to go .
_t4 		if we're gonna go to town hall we may be too late already . 
_t4 		yeah .
_t4 		well I hope we're gonna go to both . 
_t4 		I just forgot that there's something happening at town hall today . 
_t4 		okay . 
_t4 		you're putting the bear down there ?
_t4 		oops .
_t4 		yeah , you have pajamas on . 
_t4 		let's go in the living room for a few minutes to play . 
_t4 		xxx .
_t4 		oh . 
_t4 		xxx .
_t4 		in the morning when you wake up . 
_t4 		what do you say when you wake up in the morning ? 
_t4 		sometimes you wake up and you say nursie .
_t4 		almost always you say that . 
_t4 		xxx what do you say next ?
_t4 		sometimes you say good morning Mommy .
_t4 		right ?
_t4 		sometimes you say Na wants to read a book . 
_t4 		you wanna read a book .
_t4 		and sometimes you say +...
_t4 		nursie other side .
_t4 		sometimes you say where'd [: where did] Daddy go ? 
_t4 		I thought you'd wanna play for a little longer . 
_t4 		you're acting like it's be:d ti:me . 
_t4 		oh you're going to sleep ?
_t4 		can you leave the backpack there ?
_t4 		grizzly+bear ?
_t4 		okay , let me have his arm . 
_t4 		and put it on him .
_t4 		xxx .
_t4 		oh , he's sitting here as if he's having a picnic . 
_t4 		you like to eat grapes ? 
_t4 		does he like them to be sliced ? 
_t4 		mmmm .
_t4 		he likes having picnics , I think . 
_t4 		he wants to go to a house ? 
_t4 		you can leave the microphone right there , okay ?
_t4 		yeah . 
_t4 		what else does he like to eat at the picnic ?
_t4 		grapes and what else ?
_t4 		if you were going to have a picnic what would you be eating ? 
_t4 		bread ? 
_t4 		you'd eat bread at your picnic ?
_t4 		that's a great idea .
_t4 		oh the bear would like bread ? 
_t4 		oh , is he eating pineapple ?
_t4 		xxx . 
_t4 		did you cut it up for him ?
_t4 		into small pieces so he doesn't have a huge piece in his mouth .
_t4 		great . 
_t4 		xxx .
_t4 		grizzly+bear I hope you eat small pieces of that pineapple so that you  eat carefully . 
_t4 		chew it a lot like Mommy says , right ? 
_t4 		xxx .
_t4 		he's sick and you're taking care of him ? 
_t4 		what are you going to do for him ?
_t4 		how are you going to take care of him ? 
_t4 		what will you do ? 
_t4 		you could make him some tea: . 
_t4 		you could take his temperature . 
_t4 		do you wanna take his temperature ? 
_t4 		yeah .
_t4 		is he +//?
_t4 		is he throwing up ?
_t4 		mmmm , what would make him feel better then ? 
_t4 		nursies would make him feel better ,  .
_t4 		he'll find his mommy and she'll nurse him . 
_t4 		what else could you do for him ? 
_t4 		
_t4 		um , take his temperature . 
_t4 		to check his throat out . 
_t4 		you could give him some medicine .
_t4 		
_t4 		xxx .
_t4 		uh , you could put a special  bandage .
_t4 		yep [: yes] .
_t4 		mmmm+hmmm .
_t4 		and an ankle bangle like you had at the hospital . 
_t4 		oh , to Daddy's office ? 
_t4 		xxx .
_t4 		he has his own office ?
_t4 		oh: . 
_t4 		will he feel better if he goes there ? 
_t4 		mmmm . 
_t4 		what are you doing ? 
_t4 		you're massaging your foot ? 
_t4 		does it feel good ? 
_t4 		
_t4 		you're massaging your foot with one finger ?
_t4 		which finger ? 
_t4 		yeah . 
_t4 		sat [: does that] feel nice ? 
_t4 		xxx .
_t4 		oh .
_t4 		uh huh . 
_t4 		yes .
_t4 		oh 
_t4 		I bet he likes that .
_t4 		his paw .
_t4 		does he have a sore paw ? 
_t4 		oh , that's nice . 
_t4 		the mouse ? 
_t4 		oh , in that in that book .
_t4 		the book ,  , if you take a mouse to the movies . 
_t4 		the mouse has a big microphone .
_t4 		it looks different than this microphone .
_t4 		oh , that's part of the camera . 
_t4 		that's the lens cap for the camera .
_t4 		that's called a lens cap . 
_t4 		d'you [: do you] hear that noise ? 
_t4 		what does it sound like ?
_t4 		bells . 
_t4 		the lens cap ? 
_t4 		xxx .
_t4 		it's kinda [: kind of] hard to get it to stay on , isn't it ? 
_t4 		that's the lens . 
_t4 		that's the camera's lens . 
_t4 		that +//. 
_t4 		I don't know what you'd call this .
_t4 		this is the +//. 
_t4 		oh .
_t4 		but you're not there .
_t4 		you can see the grizzly+bear .
_t4 		see grizzly+bear ? 
_t4 		that's the bear from the hospital . 
_t4 		d'you [: do you] wanna have a snack ? 
_t4 		you wanna have some gingerbread cake ?
_t4 		we could go and eat a little gingerbread cake snack if you want . 
_t4 		oh , you're sleeping .
_t4 		okay .
_t4 		now you're waking up .
_t4 		oh , that's how you wake up . 
_t4 		uh huh . 
_t4 		you sit up like that when you wake up ?
_t4 		you look very comfy there . 
_t4 		are you comfy ? 
_t4 		Daddy's working . 
_t4 		I think we should call him though and tell him how close you are to bed time .
_t4 		we'll call him and say hi .
_t4 		well , you know what , I don't want you to do that right now .
_t4 		no , no , I don't think so . 
_t4 		it's not okay to play with the nursies .
_t4 		oh , you're sleeping a little bit more ?
_t4 		okay . 
_t4 		are you snoring ? 
_t4 		I don't hear any snoring .
_t4 		uh huh .
_t4 		good morning Naima . 
_t4 		
_t4 		oh .
_t4 		you'll be nursing in a little while . 
_t4 		we'll nurse before we go to sleep , okay ? 
_t4 		maybe we should get your new hair+brush and brush your hair . 
_t4 		would you like to do it yourself ?
_t4 		looking down at yer [: your] bed there ? 
_t4 		mmmm .
_t4 		okay , we'll pick this up later .
_t4 		okay , let's see . 
_t4 		xxx . 
_t4 		mmmm+hmmm , mmmm+hmmm , mmmm+hmmm . 
_t4 		yeah , mmmm+hmmm . 
_t4 		are you putting them in there ? 
_t4 		
_t4 		mmmm+hmmm , mmmm+hmmm .
_t4 		that's a little space for drawers ? 
_t4 		yep [: yes] . 
_t4 		xxx .
_t4 		I don't know if there's any space . 
_t4 		oh , there's already Yoko and Frank and whoever's in there . 
_t4 		okay . 
_t4 		xxx .
_t4 		xxx . 
_t4 		oh , in the cafeteria ?
_t4 		I'm recording now . 
_t4 		oh , they're gonna go to the kitchen ?
_t4 		are they gonna eat those pancakes that Timothy's mother's making ?
_t4 		oh , she's making something else for them ? 
_t4 		what is she making ? 
_t4 		what would +//? 
_t4 		what do you think they want for breakfast ?
_t4 		what did they like to eat for breakfast ? 
_t4 		okay  .
_t4 		drink it +!? 
_t4 		there . 
_t4 		Doris wants to drink maple syrup ? 
_t4 		maple syrup is sticky . 
_t4 		she could have a bite of pancakes with maple syrup on it . 
_t4 		xxx . 
_t4 		who else is going to sit at the table next to Doris ?
_t4 		oh .
_t4 		good . 
_t4 		that looks like some porridge there .
_t4 		maybe she'd like to eat that . 
_t4 		mmmm .
_t4 		and what's in front of the porridge ?
_t4 		what's that ? 
_t4 		does it look like toast ?
_t4 		mmmm . 
_t4 		who's gonna eat the toast ? 
_t4 		
_t4 		xxx .
_t4 		oh: , okay Timothy's mother , take them out of the oven .
_t4 		bring them the muffins . 
_t4 		they're hot ? 
_t4 		some are cool ? 
_t4 		cool enough to eat ? 
_t4 		mmmm .
_t4 		what kind of muffins are they ?
_t4 		finger muffins +!?
_t4 		finger muffins ?
_t4 		what are finger muffins ?
_t4 		finger muffins ? 
_t4 		xxx .
_t4 		oh+my+goodness .
_t4 		xxx does that mean they're eating them with their fingers ?
_t4 		is that what finger muffins are ? 
_t4 		mmmm .
_t4 		what's Brighton [?] going to do ?
_t4 		is there a play space in this book ? 
_t4 		I think there's only the school .
_t4 		it's time to go to Daisy's play house again ? 
_t4 		you liked it there , I guess .
_t4 		why is this not on ? 
_t4 		to f+one . 
_t4 		f+one f+two .
_t4 		I guess the light is just low . 
_t4 		I guess it needs a new battery .
_t4 		batteries , yeah .
_t4 		okay , well we'll see if this +... 
_t4 		there she is .
_t4 		I'm gonna have_to go get another copy of this book just so that she can have a new set of dolls . 
_t4 		cause [: because] they're so bent up  . 
_t4 		xxx .
_t4 		xxx I mean you might not be recording if the signal is I mean if the battery  really low . 
_t4 		I know .
_t4 		xxx . 
_t4 		oh , I'm not gonna worry about it . 
_t4 		I'll just do it later if it turns out  .
_t4 		xxx .
_t4 		
_t4 		xxx .
_t4 		oh , you have  over there . 
_t4 		which Frank ? 
_t4 		this Frank . 
_t4 		the blue striped Frank .
_t4 		oh , blue striped Frank .
_t4 		I can make the coffee if you wanna just sit here with her . 
_t4 		xxx .
_t4 		I'll put the stereo  .
_t4 		xxx .
_t4 		xxx .
_t4 		blue striped Frank goes there ? 
_t4 		or I can turn off . 
_t4 		she gave you a princess birthday card , didn't she ? 
_t4 		um , today's Saturday March twenty ninth . 
_t4 		and we're not quite set up yet , just give me a minute .
_t4 		xxx .
_t4 		
_t4 		xxx .
_t4 		are there crumbs in your high chair ?
_t4 		all+right .
_t4 		crumbs and porridge ?
_t4 		oh , dried porridge .
_t4 		yep [: yes] . 
_t4 		I see that too . 
_t4 		you know what , it's all+right , you can sit there anyway . 
_t4 		you can climb right up and  . 
_t4 		okay .
_t4 		xxx . 
_t4 		for her to eat .
_t4 		yeah .
_t4 		yeah , I'm not gonna strap you in cause [: because] we're just gonna have a quick snack here . 
_t4 		let's see , where are those cookies ?
_t4 		yeah .
_t4 		I'm getting them for you .
_t4 		it's a new box of cookies , it's not a new kind .
_t4 		oh , my+goodness . 
_t4 		xxx this is not what we wanted . 
_t4 		I bought teething biscuits by mistake . 
_t4 		well (.) you used to have these .
_t4 		do you like these ?
_t4 		you used to eat that kind when you were a little baby . 
_t4 		xxx ?
_t4 		well , I thought that's what I was buying but I made a mistake . 
_t4 		oh , no . 
_t4 		but we did buy this kind of animal crackers . 
_t4 		these are animal cookies . 
_t4 		oh !
_t4 		that's a wagon . 
_t4 		there's a lion , I think .
_t4 		xxx a hippo !
_t4 		yep [: yes] . 
_t4 		that's  that's a wagon .
_t4 		that's like a circus wagon . 
_t4 		hey , what kind of juice would you like honey   . 
_t4 		xxx .
_t4 		well , you know what , actually I think Daddy used up the cherry juice . 
_t4 		I think +... 
_t4 		I guess  .
_t4 		xxx .
_t4 		all we have (.) is apricot nectar . 
_t4 		can you have some of that ?
_t4 		okay , good .
_t4 		let's have that .
_t4 		who drinks nectar ? 
_t4 		and who else ?
_t4 		butterflies . 
_t4 		other insects , I think . 
_t4 		and Naima !
_t4 		and Mommy ! 
_t4 		I'm gonna drink some apricot nectar also . 
_t4 		xxx  . 
_t4 		mmmm , I like that apricot nectar . 
_t4 		
_t4 		I think it's a fox , Naima .
_t4 		I think it is a fox . 
_t4 		are the cookies good ? 
_t4 		xxx . 
_t4 		mmmm , juice . 
_t4 		nectar . 
_t4 		we ate it up the other day .
_t4 		are you ready for yer [: your] supper already ? 
_t4 		well  . 
_t4 		oh , cold  orzo or cold arthur pasta ? 
_t4 		yes , there is cold arthur pasta .
_t4 		do you want some ?
_t4 		on the cold Arthur pasta ?
_t4 		d'you [: do you] want warm tomato sauce or cold tomato sauce ? 
_t4 		okay . 
_t4 		are you really hungry now ?
_t4 		it sounds to me like you're a little bit hungry . 
_t4 		yeah , let's get'choo [: get you] some some of that Arthur pasta .
_t4 		yeah , it's cold , it's in the refrigerator . 
_t4 		xxx . 
_t4 		
_t4 		okay . 
_t4 		um , if you're gonna tomato sauce +...
_t4 		well (.) all+right , let's just roll up let's just get a bib and roll up your sleeves really well .
_t4 		what ?
_t4 		um , let's (.) put this (.) on you too . 
_t4 		I wanna put the little seat belt on you . 
_t4 		yeah .
_t4 		the microphone ?
_t4 		yeah , I was moving the microphone .
_t4 		yeah , you're hungry I think . 
_t4 		so we're gonna give you some food . 
_t4 		and cold arthur pasta . 
_t4 		mmmm , Naima likes cold tomato sauce .
_t4 		I know I know you do .
_t4 		xxx .
_t4 		okay . 
_t4 		okay .
_t4 		oh ,  huh . 
_t4 		xxx .
_t4 		you're gonna mix it up .
_t4 		okay .
_t4 		where is the tomato sauce ? 
_t4 		that's what I wanna know . 
_t4 		there it is . 
_t4 		xxx .
_t4 		kay [: okay] why don't we put these crackers over here . 
_t4 		I'll get a smaller +//. 
_t4 		actually we'll get a little paper plate for your arthur pasta . 
_t4 		and you said you wanted a spoon . 
_t4 		there we go .
_t4 		yeah , I'm gonna give you tomato sauce also .
_t4 		that's gonna be very cold , you know . 
_t4 		oh , that's not tomato sauce . 
_t4 		I'm looking for the tomato sauce . 
_t4 		xxx let's see . 
_t4 		here it is . 
_t4 		d'you [: do you] want some cheese ? 
_t4 		xxx . 
_t4 		here's the salty cheese . 
_t4 		yep [: yes] .
_t4 		d'jou [: did you] say you know ? 
_t4 		we have salty cheese you know . 
_t4 		but do we have a grater ? 
_t4 		xxx that is the question . 
_t4 		a clean grater ?
_t4 		here's a grater . 
_t4 		kay [: okay] I can get you more of that when you need it . 
_t4 		xxx . 
_t4 		all+right , let's try to clean this (.) kitchen up a tiny bit . 
_t4 		is that good ? 
_t4 		lemme [: let me] fix it . 
_t4 		there . 
_t4 		di'jou [: did you] have fun eating at (.) the restaurant with Daddy this (.) this morning ? 
_t4 		we had lunch at the restaurant . 
_t4 		what di'jou [: did you] eat at the restaurant ?
_t4 		guacamole . 
_t4 		anything else ? 
_t4 		black beans . 
_t4 		mmmm , what else di'jou [: did you] eat ? 
_t4 		di'jou [: did you] eat any rice there ?
_t4 		di'jou [: did you] eat any cheese ? 
_t4 		what's that noise ? 
_t4 		hello ? 
_t4 		hello . 
_t4 		good . 
_t4 		yeah . 
_t4 		uh , she's having a snack that's morphing into something more like dinner . 
_t4 		a:nd she: (.) is in a good mood and she had (.) a two hour nap which started out as a forty five minute nap then nursed back to sleep . 
_t4 		so the whole thing was two hours . 
_t4 		and I'm trying to make a stab at our horrendously messy kitchen . 
_t4 		and that's about it . 
_t4 		uh huh . 
_t4 		sure , hold on a minute . 
_t4 		it's Daddy on the phone . 
_t4 		um , there isn't any there unless it's tucked way back . 
_t4 		see you .
_t4 		I think that was da:ddy . 
_t4 		he was going to be coming home soon .
_t4 		what's what ? 
_t4 		oh , that's  that's a biscuit .
_t4 		you used to eat those when  were a really little baby . 
_t4 		teething biscuit . 
_t4 		it's called a teething biscuit .
_t4 		xxx silly Mommy bought them by mistake . 
_t4 		I thought I was getting (.) Naima's cookies . 
_t4 		but I was buying teething biscuits by mistake . 
_t4 		where'd [: where did] she go , Naima ?
_t4 		are you hiding her in there ?
_t4 		I [?] was [?] hiding Lucille . 
_t4 		xxx .
_t4 		she's getting cozy . 
_t4 		mmmm , nice and cozy .
_t4 		what's this song ?
_t4 		Johnny getcher [: get your] haircut . 
_t4 		Sally .
_t4 		yeah . 
_t4 		oh yer [: you're] gonna comb her hair with a spoon ?
_t4 		okay .
_t4 		there you go .
_t4 		go ahead and comb it .
_t4 		do a good job . 
_t4 		she's dressed ? 
_t4 		Betty Martin [x 
_t4 		haircut haircut , Johnny getcher [: get your] haircut  me .
_t4 		xxx . 
_t4 		what is she doing ?
_t4 		
_t4 		this song is I got a letter this morning . 
_t4 		Luci:lle . 
_t4 		xxx .
_t4 		hey , hey , I'm right here .
_t4 		I'm right here , I'm not goin' [: going] anywhere .
_t4 		it's cleaner for the kitchen . 
_t4 		it's a cleaner for the kitchen . 
_t4 		what happened to her towel ? 
_t4 		oh , did it ?
_t4 		oh , yes , I see .
_t4 		early in the morning . 
_t4 		what are you doing ? 
_t4 		mmmm , that's not +//.
_t4 		what ?
_t4 		oh , she's doing a somersault ?
_t4 		oh .
_t4 		was she doing a somersault there ? 
_t4 		you do a good job wrapping her up .
_t4 		you want me to help you do it ?
_t4 		okay , I'll be right there . 
_t4 		yes .
_t4 		I heardjou [: heard you] . 
_t4 		I'll be right there .
_t4 		it's rhyming ? 
_t4 		xxx .
_t4 		xxx .
_t4 		Lucille . 
_t4 		is that her name ?
_t4 		Luciwull .
_t4 		yes ? 
_t4 		okay , Lucille , let's go in the towel .
_t4 		let's go get wrapped up , very nice and cozy: . 
_t4 		she's wet ? 
_t4 		is she really ? 
_t4 		oh you like this song , don't you ? 
_t4 		pick a bale a' [: of] hay . 
_t4 		is she lying there ? 
_t4 		uh huh .
_t4 		oh , I had a little girl  .
_t4 		I'm on my way to Texas to pick a bale a day . 
_t4 		xxx . 
_t4 		three nine eight . 
_t4 		three six  one . 
_t4 		he went to the hospital . 
_t4 		she's lying down on the towel . 
_t4 		she what ? 
_t4 		she's  ? 
_t4 		she's  and  .
_t4 		those are two real little girls that you know . 
_t4 		
_t4 		her name is George ? 
_t4 		that's a little boy you know .
_t4 		I think it's time to get out of the chair . 
_t4 		you can still play with her . 
_t4 		can I take your bib off ?
_t4 		oh .
_t4 		okay . 
_t4 		okay . 
_t4 		where did she go ?
_t4 		her name is  ? 
_t4 		we don't even know anybody named  .
_t4 		who is  ?
_t4 		we don't know +...
_t4 		xxx . 
_t4 		xxx . 
_t4 		xxx !
_t4 		yes we know  . 
_t4 		xxx is  brother . 
_t4 		right ? 
_t4 		yeah .
_t4 		xxx .
_t4 		that's right .
_t4 		xxx .
_t4 		oh , her name is  now ?
_t4 		mmmm+hmmm .
_t4 		xxx .
_t4 		xxx .
_t4 		Lucille .
_t4 		I'm gonna make a phone call now .
_t4 		Mommy's gonna make a phone call . 
_t4 		would you like to play with Lucille in the living room ?
_t4 		okay .
_t4 		d'you [: do you] want some water to drink ? 
_t4 		oh .
_t4 		okay , let's have juicy water .
_t4 		okay .
_t4 		I don't know where she is .
_t4 		I can't see her .
_t4 		oh , she's under the green towel .
_t4 		mmmm . 
_t4 		what's she gonna eat ?
_t4 		here , I'll give her a little bowl .
_t4 		I'll find a little bowl for her . 
_t4 		here's yer [: your] juice .
_t4 		here's a little bowl of grapes for her . 
_t4 		she can sit on the blanket (.) and eat grapes from this bowl . 
_t4 		they're in a white bowl . 
_t4 		she's eating ? 
_t4 		oh , what else does she like to eat ? 
_t4 		here y'go [: you go] Lucille . 
_t4 		the macaroni's [: macaroni is] cooked , yeah . 
_t4 		what the macaroni , well this is regular macaroni .
_t4 		this is regular delicious macaroni and cheese . 
_t4 		where is the special fork you can use ? 
_t4 		mmmm well I will get you your bib . 
_t4 		mmmm dinner time . 
_t4 		today is April second . 
_t4 		xxx  in the background . 
_t4 		I'm on f+one . 
_t4 		D_W's still up , when Arthur gets home from babysitting , right ? 
_t4 		that's right . 
_t4 		D_W's still up when Arthur gets home from babysitting . 
_t4 		that's a good story . 
_t4 		now let's see what Mommy's gonna eat . 
_t4 		I guess I'm going to eat this , actually I'm gonna eat what you're eating . 
_t4 		did you have a fun day today , what did you do today ?
_t4 		we went to +... 
_t4 		toddler time . 
_t4 		and we saw Rascal .
_t4 		we saw Rascal the dinosaur at toddler time . 
_t4 		then we went to a restaurant . 
_t4 		I don't think you liked the food that I got for you at the restaurant . 
_t4 		(re)member I got you the eggs and the toast ? 
_t4 		I gave you some cabbage there on your plate , do you see it ? 
_t4 		let's see . 
_t4 		Naima would you like some summer vegetables ?
_t4 		okay let me see if I have some . 
_t4 		I'm trying to heat up some some dinner for Mommy to eat too .
_t4 		do you want some cold corn ? 
_t4 		okay , you wan(t) a little of this too .
_t4 		let's see , I think these are +... 
_t4 		I think this is called summer vegetable dinner , that jar . 
_t4 		I don('t) know if we have any ,  we do have regular summer vegetables . 
_t4 		I'm gonna put it right here , okay ? 
_t4 		right here ? 
_t4 		summer vegetables ,  . 
_t4 		then where we go to , then we came home . 
_t4 		then we went to the play+ground after you woke up from your nap . 
_t4 		an(d) then +//.
_t4 		what ? 
_t4 		an(d) then , after we went to the play+ground +... 
_t4 		we went to +... 
_t4 		yes except we actually went to Cape Cod Natural Foods to buy your diapers first . 
_t4 		an(d) then we went to the drugstore . 
_t4 		we had to wait in line at the drugstore , do you remember that ? 
_t4 		it's the dinosaur song ? 
_t4 		huh , it is cave+land . 
_t4 		must be good because you're quiet . 
_t4 		a li(tt)le pasta with summer vegetables , that's good . 
_t4 		no ? 
_t4 		oh you got some of the cabbage in there , huh ? 
_t4 		you don't have_to eat it , it's spicy . 
_t4 		you okay ? 
_t4 		it has ginger in it , it's okay . 
_t4 		oh , we had to leave the play+ground because it was raining , didn't we ? 
_t4 		you know what , you don't have_to eat it at all .
_t4 		in fact , I'm not e(v)en gonna eat it , it has hot pepper in it , I forgot ,  . 
_t4 		heh , it's too hot , you don't have_to eat it . 
_t4 		no I'm not gonna eat it either , have some summer vegetables .
_t4 		yeah you can take the cabbage away . 
_t4 		let's make sure there's no cabbage in here . 
_t4 		just leave it there , just go ahead and eat your other food . 
_t4 		what did we have_to do at the play+ground ? 
_t4 		what ? 
_t4 		I think the fun song is coming up . 
_t4 		what else did we do ?
_t4 		you went on the swings . 
_t4 		I chased you . 
_t4 		you said you were tired . 
_t4 		xxx pop up  in the jungle . 
_t4 		well I'd like to eat my dinner +//.
_t4 		I'm gonna eat an(d) then read , okay ?
_t4 		you're gonna read them ?
_t4 		you can't have them on your tray until you're finished . 
_t4 		have a little more , have a little more to eat an(d) then we can read . 
_t4 		you got some food in your bib there ? 
_t4 		let me check these kiwis to see if they're ripe . 
_t4 		oops ,  , the bananas fell down . 
_t4 		I'm trying to see if these kiwis are ripe .
_t4 		I don't believe they are ripe yet . 
_t4 		actually , the avocado is ripe I think , do you want avocado ? 
_t4 		do you wanna have some ?
_t4 		okay .
_t4 		okay .
_t4 		you don't believe the avocado's [: avocado is] ripe ?
_t4 		I think it is .
_t4 		the kiwi is not ripe .
_t4 		the avocado is ripe , I think . 
_t4 		sometimes we can't be a hundred percent sure . 
_t4 		oh I think I was right about the avocado . 
_t4 		it looks perfectly ripe .
_t4 		what ? 
_t4 		you like that song about Henry the octopus , don't you ? 
_t4 		he likes to swim . 
_t4 		how's the avocado ? 
_t4 		swim , Henry , swim swim  . 
_t4 		hey (re)member what you learned how to do today ? 
_t4 		hum . 
_t4 		you learned how to hum today . 
_t4 		no , you learned at home , Mommy showed you how to hum and you did it . 
_t4 		yeah with your lips closed , singing with your lips closed . 
_t4 		singing with your lips closed . 
_t4 		do you want more  +...
_t4 		hmmm what's the matter with that ? 
_t4 		I was gonna ask if you wanted more macaroni .
_t4 		there you go . 
_t4 		you can use your fork . 
_t4 		I'll get you a spoon . 
_t4 		thick spoon .
_t4 		sorry , you got more cabbage , I'm sorry . 
_t4 		don't even think about eating the cabbage . 
_t4 		okay . 
_t4 		yep [: yes] , you okay ?
_t4 		do you want yogurt ? 
_t4 		yep [: yes] .
_t4 		oh we forgot to buy blueberries , we forgot to even look for blueberries .
_t4 		you're right Naima . 
_t4 		we don't have some , no we don't . 
_t4 		oh . 
_t4 		you mean at the store I forgot to look at when we were at cape cod natural foods . 
_t4 		here's plain yogurt , here here here . 
_t4 		you've got two big spoons there . 
_t4 		oh we met some new children there .
_t4 		let's see , we're in a new class an(d) there was a little girl sitting on your left +... 
_t4 		whose name is  . 
_t4 		xxx is her name . 
_t4 		an(d) on your right there was a little girl whose name was  . 
_t4 		and who else ? 
_t4 		a little boy named  . 
_t4 		whose also just two years old . 
_t4 		and a little boy named  . 
_t4 		and a little boy named  . 
_t4 		um who else ? 
_t4 		I'm trying to remember the other kids . 
_t4 		oh  , there was a kid named  there . 
_t4 		what ? 
_t4 		are you making up funny rhymes ? 
_t4 		are you finished eating your macaroni ? 
_t4 		oh .
_t4 		do you want somethin(g) else to eat ? 
_t4 		you want some fresh apple , slices ? 
_t4 		do you wanna eat grated apple ? 
_t4 		you want some cheese ? 
_t4 		it looks to me like you're actually done eating because you don't look very hungry .
_t4 		we do what ? 
_t4 		you want me to grate salty cheese ?
_t4 		you want macaroni , I think you have a whole pile of it in your bowl . 
_t4 		oh you want salt and cheese on your macaroni .
_t4 		I can do that . 
_t4 		I can do that for you . 
_t4 		if I can find the salt and cheese I can do that for you . 
_t4 		I don't think you're really drinking that so I'll put it here .
_t4 		you want some salty cheese right on that macaroni ? 
_t4 		okay .
_t4 		there .
_t4 		there's your fork spoon item thing . 
_t4 		no ? 
_t4 		okay . 
_t4 		hey hey hey . 
_t4 		don't put it on the floor . 
_t4 		do not put it on the floor .
_t4 		I'll take you out right away .
_t4 		if you're gonna eat that's fine , but you can't throw things on the floor (be)cause that makes me mad , that makes a mess . 
_t4 		you can just eat , did you get enough salty cheese there ? 
_t4 		what makes you happy ?
_t4 		xxx .
_t4 		what ?
_t4 		miss macaroni mouth . 
_t4 		macaroni mouth . 
_t4 		I was whistling actually .
_t4 		what ? 
_t4 		singing and whistling , yeah .
_t4 		I guess I was sort [: sort of] doin(g) that . 
_t4 		yes . 
_t4 		yes Naima .
_t4 		how's the salty cheese , is it very salty ? 
