_d4880 		xxx has the (.) transmitter in it . 
_d4895 		looking for another d because we another d to spell daddy . 
_d4895 		xxx don't see any there . 
_d4895 		we should buy some at the toy store , well we did buy some well I did buy some one letter just the other day so one thing we do have another d somewhere let's see not there not there . 
_d4895 		oh letter d where are you letter d . 
_d4895 		yes pumpkin doodle bug .
_d4895 		pumpkin doodle bug . 
_d4895 		we are do you think you have any in your room ?
_d4895 		you have any more letters in your room . 
_d4895 		carry you I have_to carry you to the other room ? 
_d4895 		let's march . 
_d4895 		march march march I'm gonna go look for a d in the other room . 
_d4895 		are you marching ? 
_d4895 		I see some numbers are there any letters ? 
_d4895 		ha maybe we don't have any more . 
_d4895 		how could that possibly be ? 
_d4895 		here's the z .
_d4895 		I want .
_d4895 		oh for zoo for the word zoo . 
_d4895 		oh you could spell that that's zoo spells z o o . 
_d4896 		hmmm there's another d right there . 
_d4896 		let's go back and finish spelling daddy and let's close this window because it should not be open . 
_d4896 		because it is cold out . 
_d4896 		now you can spell daddy .
_d4896 		I'm just gonna go check the these windows to make sure they aren't open also but of course they are . 
_d4896 		of course you're horse . 
_d4896 		down there . 
_d4896 		let's go put that d where it belongs  . 
_d4896 		and then we can spell zoo also . 
_d4896 		okay the d a d okay that d goes next to this d right there . 
_d4896 		and turn it around because it's a backward a little bit . 
_d4896 		great and now we just need a y to spell daddy . 
_d4896 		do you think there's another y here somewhere here's one here here we go d a d d y spells daddy . 
_d4896 		now this says .
_d4896 		yeah . 
_d4896 		it does .
_d4896 		now this says raccoon mommy daddy . 
_d4896 		you wanna spell zoo . 
_d4896 		I think we gonna have_to borrow o's to spell zoo . 
_d4896 		wait there's two o's over here .
_d4896 		you don't really have_to borrow that I think that's a zero in front of mommy . 
_d4896 		z o o can you put the two o's next to the z . 
_d4896 		great z o o zoo . 
_d4896 		raccoon mommy daddy zoo . 
_d4896 		that's what we spelled . 
_d4896 		I think that's Daddy's car I just heard .
_d4896 		I thought I heard something .
_d4896 		I think Mommy did hear Daddy's car . 
_d4896 		let's go in here because we need to start the macaroni and cheese anyway . 
_d4896 		yes I see his car there .
_d4896 		daddy daddy .
_d4896 		daddy waddy daddy waddy is right .
_d4896 		he had a drum today . 
_d4896 		in music class ?
_d4896 		that's great . 
_d4896 		that's great . 
_d4896 		there's Daddy . 
_d4896 		look I know what do you want me to do . 
_d4896 		he got too much snow .
_d4896 		what would you like me to do to help ? 
_d4896 		nothing .
_d4896 		okay .
_d4896 		xxx okay . 
_d4896 		I'll take it from here you can just give it to me here and I'll .
_d4896 		hey baby it's baby .
_d4896 		is there more or is that it ?
_d4896 		what's that ? 
_d4896 		there more . 
_d4896 		ha .
_d4896 		Daddy look at all the food Daddy bought at the grocery store  my goodness . 
_d4896 		is this gonna fit in the refrigerator ? 
_d4896 		I don't know if it will . 
_d4897 		you think it doesn't yeah it might not there's a lot of stuff here . 
_d4897 		that's goat cheese that's cheese that's made from goat's milk . 
_d4897 		Mommy's gonna try to make things fit in the refrigerator . 
_d4897 		oh you are helping .
_d4897 		thank you you're making that fit in the fridge . 
_d4897 		great . 
_d4897 		Naima is putting the goat cheese in the fridge . 
_d4897 		thank you sweetie . 
_d4897 		that's very helpful . 
_d4897 		let see you gonna eat that soy yogurt ? 
_d4897 		well that doesn't go in the refrigerator only things that need to stay cold go in the refrigerator . 
_d4897 		that'll go on the shelf I think . 
_d4897 		hmmm .
_d4897 		you can leave that goat cheese there Naima was helping by putting the goat cheese in the refrigerator . 
_d4897 		ah .
_d4897 		coffee filters right .
_d4897 		try desperately to find goat cheese from france but I couldn't .
_d4897 		xxx . 
_d4897 		yeah I think it's because of whole pasteurization .
_d4897 		because of act of solidarity .
_d4897 		this actually goes on this doesn't need to be in the refrigerator .
_d4898 		ah  excellent . 
_d4898 		does that you're helping Dad .
_d4898 		you have a party shell in here  .
_d4898 		I know I just haven't had any time . 
_d4898 		is that was that chocolate pudding pie you were going to make ? 
_d4898 		that was suppose to be maybe I should do that this weekend .
_d4898 		to make chocolate pudding pie . 
_d4898 		I think Naima just put something in the fridge that maybe doesn't need  twice . 
_d4898 		xxx twice I love cold  twice  . 
_d4898 		hahaha [: laughing] .
_d4898 		we don't put this in the fridge Naima . 
_d4898 		that doesn't need to be in here sweetie .
_d4898 		these don't need to be cold .
_d4898 		they don't spoil in the warm . 
_d4898 		only only something needs to be cold not everything needs to be cold .
_d4898 		thank you for helping . 
_d4898 		hmmm and here's some baby yogurt that needs to go in the fridge doesn't . 
_d4898 		oh yeah you wanna eat that I was just about to make . 
_d4898 		in fact all I didn't do is turn the water of macaroni and cheese for her .
_d4898 		macaroni .
_d4898 		and possibly for me .
_d4898 		do the macaroni . 
_d4898 		do you wanna eat baby yogurt while you're waiting for macaroni and cheese ? 
_d4898 		okay .
_d4898 		you wanna pick one up ? 
_d4898 		you wanna take a baby yogurt out of the container . 
_d4898 		okay why you pick one . 
_d4898 		and go over .
_d4898 		and go over to your chair .
_d4898 		fish . 
_d4898 		and can you climb up there on your own ? 
_d4898 		why don't you put it here for now . 
_d4898 		and I help you get it as soon as you get up into your chair okay . 
_d4899 		did she tell you it was silly . 
_d4899 		oh silly . 
_d4899 		you gonna come up here and have your yogurt ?
_d4899 		oh you slipped  you know what your foot is hampered here . 
_d4899 		here we go wow . 
_d4899 		and we can take off the back pack I think .
_d4899 		yeah .
_d4899 		yeah .
_d4900 		yes if you make a mess you have_to have a bib . 
_d4900 		we're gonna put a bib on now . 
_d4900 		it is a microphone . 
_d4900 		it is Naima's microphone  what happened .
_d4900 		ouch .
_d4900 		fucking christ . 
_d4900 		what happened ? 
_d4900 		ah . 
_d4900 		what fell on your head ? 
_d4900 		nothing I stood up . 
_d4900 		oh you stood up . 
_d4900 		well this .
_d4900 		oh was . 
_d4900 		xxx .
_d4900 		ah . 
_d4900 		ah .
_d4900 		Daddy hurt himself .
_d4900 		ah . 
_d4900 		ah .
_d4900 		you wanna  you wanna kiss his head . 
_d4900 		ah .
_d4900 		just why don't you sit down for a minute .
_d4900 		oh you wanna get down and kiss his head here . 
_d4900 		oh you don't have_to get down boo here . 
_d4900 		um thank you thank you thank you .
_d4900 		I've done that on this and banged my head  .
_d4900 		ah .
_d4900 		Daddy was bumping his head . 
_d4900 		it's an argument for side by side freezer .
_d4900 		well well .
_d4900 		ah .
_d4900 		ah ouch . 
_d4900 		you wanna put some ice on it . 
_d4900 		ah . 
_d4900 		I think I had a concussion .
_d4900 		you might put ice on it to make it feel better sometimes people do that .
_d4900 		ahh . 
_d4900 		xxx . 
_d4900 		I got something special for Naima .
_d4900 		you did something special for Naima .
_d4900 		we can call it a big splurge . 
_d4900 		oh yeah .
_d4900 		what would that be ? 
_d4900 		oh  huh new zealand . 
_d4900 		yeah . 
_d4900 		wow . 
_d4900 		well you know she's so used to the frozen kind she may or may not .
_d4900 		that's alright .
_d4900 		we could yeah me too . 
_d4900 		well I'll be happy to do that .
_d4900 		look what Daddy got for you  you took the cover off of that all by yourself .
_d4900 		those are fresh blueberries . 
_d4900 		now I'm gonna get a bib for you . 
_d4900 		fresh blueberries  yeah . 
_d4900 		alright let's get this microphone in a okay place right there may be . 
_d4900 		ah . 
_d4900 		is that good yogurt ? 
_d4900 		okay .
_d4900 		you got some yogurt on your bib there . 
_d4900 		let Mommy wash these . 
_d4900 		that was nice of you you're okay ? 
_d4900 		yeah . 
_d4900 		xxx right . 
_d4900 		yes I'm .
_d4900 		huh you're .
_d4900 		yes .
_d4900 		good .
_d4900 		where's the camera ? 
_d4900 		it's in the other room it doesn't really have_to be here . 
_d4900 		yeah I know . 
_d4900 		ah .
_d4900 		hmmm  you got some . 
_d4900 		hmmm . 
_d4900 		oh this makes me wanna be in Maine in August . 
_d4900 		hmmm . 
_d4900 		actually in June  August . 
_d4900 		ah Naima please don't paint with your food . 
_d4900 		if you wanna paint you should play with the paint . 
_d4900 		do you want smaller bowl for your yogurt ?
_d4900 		you're just fooling around . 
_d4900 		Naima .
_d4900 		xxx . 
_d4900 		hmmm yeah .
_d4900 		it's a mess I'm gonna clean up would you like a bigger bowl ? 
_d4900 		for your yogurt was it hard to get the yogurt out ? 
_d4900 		I think she just wanted to make a mess . 
_d4900 		because Mommy and Daddy clean up . 
_d4900 		now there's less yogurt to eat when you spill it like that .
_d4900 		you have_to start cleaning up your own stuff Naima . 
_d4900 		she has started . 
_d4900 		aha   . 
_d4900 		we should make a point of getting her to bed early though tonight . 
_d4900 		yeah Mommy is washing the blueberries . 
_d4900 		hand washed by your elf . 
_d4900 		hmmm . 
_d4900 		commission . 
_d4900 		hmmm  yummy  . 
_d4900 		oh wow . 
_d4900 		by the way this is yours from like a week ago . 
_d4900 		ah chuck it .
_d4900 		you can drink it  . 
_d4900 		xxx . 
_d4900 		yeah  . 
_d4900 		um I did buy chocolate ice+cream . 
_d4900 		yay Daddy bought chocolate ice+cream . 
_d4900 		and cones .
_d4900 		yes I saw the cones thank you . 
_d4900 		you welcome . 
_d4900 		I it'll be such a treat . 
_d4900 		Mommy has the macaroni . 
_d4900 		I do I do I do . 
_d4900 		xxx .
_d4900 		xxx .
_d4900 		yeah stuff something like that definitely .
_d4900 		I am I am going to put the dry macaroni in the pot yeah .
_d4900 		xxx . 
_d4900 		no there's still some of that .
_d4900 		I'm probably gonna eat this mac and cheese too but I would happily eat something else did you have a dinner plan in mind or not really . 
_d4900 		ah well I brought because of her I actually last night brought one more cod  .
_d4900 		who was taking care of you today ? 
_d4900 		Daddy was .
_d4900 		and then  was for a little while . 
_d4900 		then Mommy was for a little while . 
_d4900 		that's a Naima told me you had to play a drum today is that right ? 
_d4900 		that's right . 
_d4900 		and yesterday did  say she was gonna have you wear her hat . 
_d4900 		no . 
_d4900 		because she's been saying something like that . 
_d4900 		what is that green object on the floor ? 
_d4900 		her elastic . 
_d4900 		oh . 
_d4900 		here we go now I'm going to put the dry macaroni in  . 
_d4900 		and coming . 
_d4901 		we're gonna see if we can get a baby in here and tape this on  . 
_d4901 		where's that baby girl , let's  . 
_d4901 		oh you're putting those away +//.
_d4901 		yeah let's bring it into your room . 
_d4901 		oh yes I think there's a diaper that needs changing around here . 
_d4901 		you need to be nursed ,  , there's a baby who needs to be nursed ! 
_d4901 		I see , I see ! 
_d4901 		well come right in here .
_d4901 		oh Naima boo ! 
_d4901 		oh I think it does belong to the tool+box , those look like (.) nuts ! 
_d4901 		and they go with something called bolts . 
_d4901 		I think you have nuts and bolts for your tool+box . 
_d4901 		and the +... 
_d4901 		wrench +... 
_d4901 		is what you use for those . 
_d4901 		if I'm not mistaken . 
_d4901 		oh that does belong to the set of blocks . 
_d4901 		looks like it's almost a bridge . 
_d4901 		you know what it also looks like ? 
_d4901 		it looks like , oops +//.
_d4901 		that block . 
_d4901 		and those screws , or rather , those nuts +... 
_d4901 		are those hexagons ? 
_d4901 		do they have six sides , let's look +... 
_d4901 		xxx , they are hexagons ! 
_d4902 		it looks like it's on your thumb now . 
_d4902 		mmmm+hmmm ! 
_d4902 		you have your middle finger .
_d4902 		that's your middle finger , you were just putting that yellow hexagon on your middle finger . 
_d4902 		that is your +... 
_d4902 		what ? 
_d4902 		I think it's your thumb too ! 
_d4902 		that's right ! 
_d4902 		that is your thumb . 
_d4902 		which one is your index finger ? 
_d4902 		show me . 
_d4902 		yes  ! 
_d4902 		that's your index finger ! 
_d4902 		yeah , you have one on your right hand and you also have one on your left hand . 
_d4902 		you have an index finger on your right hand +... 
_d4902 		and an index finger on your left hand . 
_d4902 		yeah ! 
_d4902 		give yourself to the rain ! 
_d4902 		that's a good book , he was really doing a good job reading those poems to you . 
_d4902 		what's Daddy doing right now ? 
_d4902 		Daddy has a conference calright now . 
_d4902 		yes , he was calling somebody right now . 
_d4902 		o:h , let's see +... 
_d4902 		diaper time ! 
_d4902 		we don't have any covers , I think all the covers are in the (.) dryer , so , we're gonna have_to use another (.) paper+diaper . 
_d4902 		we had an exciting , long day +//.
_d4902 		do you believe what Daddy told you ? 
_d4902 		and she checked you out ? 
_d4902 		and she made sure you were okay when you slept through the whole thing ?
_d4902 		what nursie ? 
_d4902 		well (.) those are +...
_d4902 		part of my body . 
_d4902 		and my whole body right now is engaged in changing your diaper . 
_d4902 		it is , what color hexagon is it ? 
_d4902 		it's a hexagon with a hole in the middle . 
_d4902 		I have_to go wash my hands but I will be right back , okay ? 
_d4902 		you can stay here while I wash my hands if you want .
_d4902 		I will be very quick , as quick as I can be . 
_d4902 		that belongs to your letters ? 
_d4902 		oh yeah , that's the top to the letters container , isn't it ? 
_d4902 		they're all gone ?
_d4902 		they're not all gone +//.
_d4902 		why don't you come in here and we'll play the sentences game ? 
_d4902 		yeah , why don't you come sit over here ? 
_d4902 		come sit over here . 
_d4902 		we can play together . 
_d4902 		o:h , there's the duck ! 
_d4902 		let's put him right here . 
_d4902 		and we'll have plenty of room to play the game . 
_d4902 		I see a hat ! 
_d4902 		I see a bed ! 
_d4902 		who sleeps in that bed ? 
_d4902 		you think , do you think the duck sleeps in that bed ? 
_d4902 		really ? 
_d4902 		a saw +//.
_d4902 		the duck is what it  +//.
_d4903 		the , that's right , that's a the . 
_d4903 		you  +//.
_d4903 		you must have been playing this game (.) with Daddy . 
_d4903 		did you play this game with Daddy today ? 
_d4903 		oh , before you came and picked me up ? 
_d4903 		the . 
_d4903 		the duck . 
_d4903 		where did +//.
_d4903 		I'll find the word saw for you . 
_d4903 		the duck +... 
_d4903 		where is that word ? 
_d4903 		oh we need another the for the bed , don't we ? 
_d4903 		that's eight +... 
_d4903 		eight +... 
_d4903 		hmmm . 
_d4903 		xxx trouble finding those words . 
_d4903 		the . 
_d4903 		you can +//.
_d4903 		this the can go to the bed . 
_d4903 		the , bed +//.
_d4903 		now it says the duck the bed . 
_d4903 		hmmm . 
_d4903 		and you'd like to put saw there . 
_d4903 		there's a saw . 
_d4903 		the duck saw +... 
_d4903 		there , it fits ! 
_d4903 		the duck saw +... 
_d4903 		what did the duck see ? 
_d4903 		xxx . 
_d4903 		you want me to +//.
_d4903 		you wanna spread these out , so you can see them ? 
_d4903 		what did the duck see ? 
_d4903 		oh she saw a frog ? 
_d4903 		the duck saw +... 
_d4903 		a +... 
_d4903 		frog ! 
_d4903 		yeah , now put the frog there . 
_d4903 		I , I think the way this works is you have_to lift it up and put it on top and then push it down . 
_d4903 		the duck saw +... 
_d4903 		a frog ! 
_d4903 		that's great ! 
_d4903 		the chickens  bed ? 
_d4903 		xxx . 
_d4903 		oh , is that a chicken , this is actually a bird . 
_d4903 		what's this +//.
_d4903 		let's see +... 
_d4903 		seven , eight , nine , ten , eleven , today is March eleventh .
_d4903 		the birds saw a bed , okay . 
_d4903 		let's get a the with a  +//.
_d4903 		xxx I think we need that . 
_d4903 		okay .
_d4903 		the (.) bird .
_d4903 		the bird . 
_d4903 		and d'you [: do you] need another saw ? 
_d4903 		here's one . 
_d4903 		that's a saw . 
_d4903 		the bird saw +... 
_d4903 		a bed ? 
_d4903 		a bed . 
_d4903 		the bird (.) saw (.) a +... 
_d4903 		mmmm (o)kay . 
_d4903 		there we go . 
_d4903 		you don't need the the .
_d4903 		the bird saw a bed ! 
_d4903 		the bird saw a bed . 
_d4903 		what other animals are here ? 
_d4903 		a boy ! 
_d4903 		what is that boy +//? 
_d4903 		you know I recognize that boy from another book .
_d4903 		I think that boy is in another one of your books . 
_d4903 		do you recognize him ?
_d4903 		I think he's in the +//. 
_d4903 		I think he's in my big book . 
_d4903 		I'm gonna  look for the picture of him . 
_d4903 		let's see if it's the same boy . 
_d4903 		I think it's that boy . 
_d4903 		he's eating something . 
_d4903 		in fact it might even be him . 
_d4903 		xxx .
_d4903 		that's him , isn' [: isn't] it ? 
_d4903 		sleeping ? 
_d4903 		I think that's him sleeping .
_d4903 		I think it's the same boy .
_d4904 		you think so too ? 
_d4904 		let's see , are there any other pictures of him ? 
_d4904 		you know , where's your word book because +... 
_d4904 		hmmm , I don't know if we still have that book . 
_d4904 		I'm not sure where it is . 
_d4904 		I think he's also in the word book .
_d4904 		let's see if there's anything else . 
_d4904 		any other pictures that are the same . 
_d4904 		you'd [: you would] like to do that ? 
_d4904 		I +//. 
_d4904 		that word book was broken , wasn't it ?
_d4904 		well let's look . 
_d4904 		let's look an' [: and] see if the word +//.
_d4904 		ouch   .
_d4904 		xxx .
_d4904 		you wanna kiss it ?
_d4904 		oh , thank you sweetie .
_d4904 		thank you sweetie+pie .
_d4904 		you made it better ? 
_d4904 		yes , thank you .
_d4904 		I'm gonna see if the word book is behind your book rack here .
_d4904 		but I think the word book was broken . 
_d4904 		so I might have put it somewhere else . 
_d4904 		xxx I don't see it here .
_d4904 		it's not here .
_d4904 		the word book isn't here , but lemme [: let me] look someplace else . 
_d4904 		where: ? 
_d4904 		where might that be ? 
_d4904 		xxx . 
_d4904 		oh there's that Spot book .
_d4905 		mmmm , I think (.) that word book +... 
_d4905 		you wanna read Spot book ?
_d4905 		okay .
_d4905 		okay .
_d4905 		yeah +//. 
_d4905 		oh actually here's part of the word book .
_d4905 		this book . 
_d4905 		right ? 
_d4905 		see the word book's broken but part of it is in there . 
_d4905 		maybe +...
_d4905 		lemme [: let me] see if the rest of it's in here too . 
_d4905 		I'll just take a quick look . 
_d4905 		mmmm , I don't see it right there . 
_d4905 		okay . 
_d4905 		where'jou [: where did you] go ? 
_d4905 		okay . 
_d4905 		y'wanna [: you want to] read the Spot book ? 
_d4905 		let's sit over here and read it . 
_d4905 		come sit over here next to Mommy ? 
_d4905 		oh . 
_d4905 		mmmm  . 
_d4905 		kiss .
_d4905 		I missed you this morning . 
_d4905 		well I don't know where the rest of it is . 
_d4905 		we'll have_to find the rest of it before we can fix it . 
_d4905 		hey (.) I bet there are more things that are the same . 
_d4905 		let's just look . 
_d4905 		I thought I saw that ball . 
_d4905 		you see a picture of a ball somewhere here ? 
_d4905 		well , I thought there was one . 
_d4905 		I thought it was the same (.) ball . 
_d4905 		and that baby , that is definitely (.) a baby we've seen and somewhere +//.
_d4905 		actually I think that baby was in the (.) bath book ? 
_d4905 		
_d4905 		that you used to have . 
_d4905 		well I don't know what happened to that actually . 
_d4905 		I don't know .
_d4905 		let's see if any of these  +...
_d4905 		yeah the word book and the baby bath book .
_d4905 		I don't know where .
_d4906 		okay that's actually a different ball , isn' [: isn't] it ? 
_d4906 		I thought maybe some of these things were the same . 
_d4906 		that hat looks very familiar .
_d4906 		have we seen a picture of this hat somewhere before ? 
_d4906 		xxx .
_d4906 		there's a dollhouse .
_d4906 		maybe there's a hat in here somewhere .
_d4906 		mmmm I on' [: don't] see it . 
_d4906 		it's a different ball , different hat . 
_d4906 		hmmm . 
_d4907 		iza' [: is that] watchou [: what you] said ? 
_d4907 		anyway . 
_d4907 		okay d'you [: do you] wanna read this Spot book ? 
_d4907 		Spot has had a very busy day . 
_d4907 		what do you think he's been doing all day ? 
_d4907 		
_d4907 		oh the bird . 
_d4907 		there's that blue bird .
_d4907 		now he'd ready for bed . 
_d4907 		spot is yawning +//. 
_d4907 		it looks like the bird is yawning too .
_d4907 		xxx .
_d4907 		the birdie's [: birdie is] yawning at Spot ?
_d4908 		I think the birdie is yawning and I think (.) Spot is yawning too . 
_d4908 		xxx .
_d4908 		Spot loves his bath . 
_d4908 		he's taking a bath because +..? 
_d4908 		he has clothes on ?
_d4908 		the bird is fat ?
_d4908 		mister Frumble is fat .
_d4909 		in that other book . 
_d4909 		the bird is a little bit fat . 
_d4909 		Spot loves his bath . 
_d4909 		that baby duck seems to be a duckling ? 
_d4909 		and that's the boat .
_d4909 		d'you [: do you] think Spot plays with that boat in his bathtub ?
_d4909 		I bet he does .
_d4909 		he also has some bubbles to play with in the bathtub .
_d4909 		what does his towel have ? 
_d4909 		stars , red stars .
_d4909 		he's enjoying his bath . 
_d4909 		Spot dog . 
_d4909 		he seems to be a bear ? 
_d4909 		d'you [: do you] mean he's pretending to be a bear ? 
_d4909 		Spot the dog is pretending to be a bear in his bathtub ? 
_d4909 		xxx .
_d4909 		because there's a puppy in the duckling ?
_d4909 		oh popping .
_d4910 		is he popping bubbles ? 
_d4910 		oh and here's his soft cozy towel .
_d4910 		he's getting wrapped up .
_d4910 		what ?
_d4910 		oh he has one drip .
_d4910 		that's actually one drop of water . 
_d4910 		one drop of water is dripping off him . 
_d4910 		you think there's more drops on him ?
_d4910 		there might be some drops under the towel .
_d4910 		he might be drying off the drops of water with the towel . 
_d4910 		just like Daddy does and Mommy does . 
_d4910 		when it's time to take you out of the bath we dry off the drops of water with the towel . 
_d4910 		xxx .
_d4910 		you look like Spot ? 
_d4910 		that's one drop of water .
_d4910 		it's dripping . 
_d4910 		it's dripping off of Spot .
_d4910 		he's getting dry .
_d4910 		Spot chooses a favorite book .
_d4911 		he's picking it . 
_d4911 		choose means the same thing as pick .
_d4911 		Spot chooses a favorite book means he picks out a favorite book . 
_d4911 		he's choosing .
_d4911 		choosing .
_d4911 		he's choo:sing the book .
_d4911 		choosing rhymes with oozing . 
_d4911 		what happened over there ? 
_d4911 		oh .
_d4912 		yer [: you're] making the cafeteria bigger ? 
_d4912 		mmmm .
_d4912 		d'you [: do you] wanna finish the book ? 
_d4912 		we didn't actually finish reading it .
_d4912 		Spot chooses a favorite book . 
_d4912 		for a bed+time (.) story .
_d4912 		that's his daddy . 
_d4912 		I think you're right .
_d4912 		on this page Mommy and Daddy (.) are reading the book to Spot . 
_d4912 		good night Spot .
_d4912 		Spot cool down .
_d4912 		that was your joke a while ago . 
_d4912 		
_d4912 		Spot cool down . 
_d4912 		Spot grot ? 
_d4912 		Spot hot .
_d4912 		Spot what ?
_d4912 		Spot pot .
_d4913 		that's a good one . 
_d4913 		Spot what .
_d4913 		Spot tot . 
_d4913 		Spot quat ?
_d4913 		Spot not . 
_d4913 		that doesn't even rhyme .
_d4913 		Spot +...
_d4913 		Spot bon mott .
_d4914 		you're putting what on the cafeteria ? 
_d4914 		a curve ?
_d4914 		oh that's a nice curved block you're putting on the cafeteria . 
_d4914 		oh , great . 
_d4914 		a curve . 
_d4914 		xxx let's see . 
_d4914 		I'm adjusting the camera .
_d4914 		xxx . 
_d4914 		here's some curved train tracks .
_d4914 		that's a curved track , isn't it ? 
_d4914 		just like this is a curved block . 
_d4914 		that's a curved piece of track . 
_d4914 		oh you need some blocks to go there ? 
_d4914 		mmmm (o)kay . 
_d4914 		are there any in here you'd like to use ?
_d4914 		a sun ? 
_d4914 		which this one ?
_d4914 		this one ? 
_d4914 		
_d4914 		where should we put it ?
_d4914 		okay .
_d4915 		you can put it put it where you think it should go . 
_d4915 		that's the folded up toy basket . 
_d4915 		mmmm (o)kay .
_d4915 		well some of the walls of the cafeteria fell down .
_d4915 		sh' [: should] we put it back together ? 
_d4915 		okay .
_d4916 		where w'jou [: would you] like to put it ? 
_d4916 		you wanna take it out of the plastic ? 
_d4916 		if you bring it over here I'll do that for you . 
_d4916 		I don't think anything else is over there . 
_d4916 		I'm getting you the basket . 
_d4916 		see ? 
_d4916 		it's first it's flat .
_d4916 		and then +... 
_d4916 		xxx .
_d4916 		it's not flat any more .
_d4916 		y'anna [: you want to] practice folding it ? 
_d4916 		y'wanna [: you want to] put the bear back in that ? 
_d4916 		xxx . 
_d4916 		fold and hold , it's called a fold and hold .
_d4916 		fold and hold .
_d4916 		I'm gonna put the sentences  puzzle pieces back , since we're not playing with that any more . 
_d4916 		we can make (.) make room by putting them away . 
_d4916 		are ya [: you] gonna help ? 
_d4916 		thanks .
_d4916 		that's great . 
_d4916 		mmmm  can take that one . 
_d4916 		hey I noticed the  caterpillar's here in the cafeteria . 
_d4916 		does he want the tomato or does he just want tea ? 
_d4916 		okay , maybe I'll get the teacup for the caterpillar then . 
_d4916 		there , now'e [: now he] has some tea . 
_d4916 		oh , did you find more pieces ?
_d4916 		xxx . 
_d4916 		okay , we're almost finished putting these away . 
_d4916 		that's great . 
_d4916 		now we have more room for things . 
_d4916 		it looks like you're putting books in there . 
_d4916 		are you putting them in there because you wanna take them somewhere ? 
_d4916 		mmmm that one is called ten apples up on top . 
_d4916 		xxx .
_d4916 		okay .
_d4917 		xxx wanna read that book ? 
_d4917 		you wanna sit over here (.) on my lap ? 
_d4917 		to read it . 
_d4917 		xxx .
_d4917 		mmmm .
_d4917 		let's see here .
_d4917 		yes that's the old Spot book , isn't it ? 
_d4917 		I think the new Spot book is +... 
_d4917 		xxx .
_d4917 		in the back seat of the car , isn't it ? 
_d4917 		here's the old one though .
_d4917 		where's Spot ? 
_d4917 		that's Spot .
_d4917 		he hasn't eaten his supper .
_d4917 		that's +...
_d4917 		yeah that's his mommy Sally .
_d4917 		xxx .
_d4917 		xxx .
_d4917 		I think she's gonna find him .
_d4917 		I know she's gonna look for him .
_d4918 		he hasn't eaten his supper . 
_d4918 		where can he be ?
_d4918 		where'd [: where did] he go ? 
_d4918 		is he behind the door ?
_d4918 		xxx .
_d4918 		no , that's a bear who says nope [: no] . 
_d4918 		that bear looks like he's eating honey .
_d4918 		xxx .
_d4919 		he's not there . 
_d4919 		is he inside the clock ?
_d4919 		xxx .
_d4919 		no: . 
_d4919 		that's the boa constrictor .
_d4919 		is he in: the piano: ?
_d4920 		nope [: no] nope [: no] . 
_d4920 		that's the hippo and the birdie .
_d4920 		is he under the stairs ?
_d4920 		is he under the stairs ?
_d4920 		no: says the lion .
_d4920 		xxx .
_d4920 		I don't know .
_d4920 		where'd [: where did] he go ?
_d4920 		is he in the closet ?
_d4920 		there's a monkey in the closet !
_d4920 		the monkey is eating bananas .
_d4920 		he left a banana peel on the floor of the closet .
_d4920 		is he under the bed ?
_d4920 		do you think he's under the bed Naima ?
_d4920 		d'you [: do you] think he's here ?
_d4920 		xxx .
_d4920 		no it's a +...
_d4920 		it's an alligator . 
_d4920 		the alligator says no: .
_d4920 		is he in the box ?
_d4920 		xxx .
_d4920 		nope [: no] nope [: no] nope [: no] . 
_d4920 		I don't know , where do you think he went Naima ?
_d4920 		there's Spot , he's under the rug ! 
_d4920 		but no , that's the turtle . 
_d4920 		xxx . 
_d4920 		try the basket .
_d4920 		he's in the basket !
_d4920 		good boy , Spot ! 
_d4920 		there are the crumbs next to Sally's bowl .
_d4920 		d'you [: do you] think Spot's [: Spot is] eating dog food ? 
_d4920 		mmmm , d'you [: do you] think he likes it ?
_d4920 		d'you [: do you] think he wants his mommy to get more food for him ? 
_d4920 		who's gonna wash her bowl off ?
_d4920 		Spot's [: Spot is] gonna wash Sally's bowl ?
_d4921 		waddayou [: what do you] think ? 
_d4921 		she's finished already . 
_d4921 		you think that Spot is gonna wash it off for her ?
_d4921 		or she's gonna wash it off ?
_d4921 		mmmm+hmmm , I bet Sally's gonna wash out her own bowl .
_d4921 		she's the mommy . 
_d4921 		what about the skirt that that doll's wearing . 
_d4921 		oh does she wanna wear it instead ? 
_d4921 		does she wanna borrow it ?
_d4921 		oh (.) those other people in the cafeteria .
_d4921 		mmmm . 
_d4921 		what're [: what are] they eating ? 
_d4921 		are they eating lunch ? 
_d4921 		hmmm . 
_d4922 		who is this ? 
_d4922 		who gave her that name , Bibi ? 
_d4922 		who gave the doll that name , Bibi ? 
_d4922 		oh Bibby and Bobby are sitting next to each+other ? 
_d4922 		hmmm . 
_d4922 		yeah , grandma gave you these dolls .
_d4922 		these were a present from grandma . 
_d4922 		they were all in the box from grandma at Christmas time .
_d4923 		grandma's gonna come visit this Friday . 
_d4923 		d'you [: do you] know why ? 
_d4923 		d'you [: do you] know why grandma's gonna come visit ? 
_d4923 		xxx why d'you [: do you] think ?
_d4923 		d'you [: do you] know why ?
_d4923 		xxx  .
_d4923 		what are you doing ? 
_d4923 		I was asking a question . 
_d4923 		d'you [: do you] know why grandma's coming to visit you this Friday ?
_d4923 		yes , you knew !
_d4923 		and she'll come to music together with us too . 
_d4923 		that'll [: that will] be fun . 
