_d6019 		(o)kay . 
_d6037 		I wonder how cold it's gonna get tonight . 
_d6037 		more snow +//. 
_d6037 		oh no . 
_d6037 		and how cold will it be I wonder . 
_d6037 		ooh , that's pretty cold . 
_d6037 		hmmm . 
_d6037 		maybe she'll tell us about that . 
_d6037 		two+hundred inches ! 
_d6037 		oh , poor grandma  , she'll be shoveling and shoveling and shoveling . 
_d6037 		we'd better call her later . 
_d6037 		I wonder what's happening in Brookline . 
_d6037 		and Jamaica Plain . 
_d6037 		oh no .
_d6037 		oh no . 
_d6037 		I wonder if we'll reach  on the phone if we call her . 
_d6037 		hmmm . 
_d6037 		xxx . 
_d6037 		xxx      . 
_d6037 		in Brookline I wonder what the weather is . 
_d6037 		I guess there's a commercial +//. 
_d6037 		there must be a commercial happening . 
_d6037 		we'll hear more weather in a minute . 
_d6037 		the advertisement .
_d6037 		that's okay . 
_d6037 		
_d6037 		oh no no no no no . 
_d6037 		show me again what's happening over there . 
_d6037 		what's happened on the floor there Naima ? 
_d6037 		can you go over to the barn and tell the story ? 
_d6037 		what just happened there ? 
_d6037 		that's what +/.
_d6038 		I'm Maureen . 
_d6038 		oh . 
_d6038 		I see snow on those power+lines there . 
_d6038 		Meghan is telling Maureen what happened ? 
_d6038 		(o)kay . 
_d6038 		what happened ? 
_d6038 		Meghan ? 
_d6038 		weighing +//?
_d6038 		weighing them down ? 
_d6038 		weighting them down ? 
_d6038 		weighing them down . 
_d6038 		the weight of the snow +...
_d6038 		oh . 
_d6038 		let me see if I can get over there so I can see that .
_d6038 		I'd like to see that . 
_d6038 		let me see .
_d6038 		oh , there's the power+line . 
_d6038 		yep [: yes] . 
_d6038 		and there's the tip of the tree . 
_d6038 		today is January twenty (.) seventh . 
_d6038 		two+thousand+five . 
_d6038 		and there seems to be a big storm in our living room . 
_d6038 		okay .
_d6038 		okay . 
_d6038 		hey . 
_d6038 		oh my gosh .
_d6038 		ugh . 
_d6038 		it's very windy .
_d6038 		ugh . 
_d6038 		was it wet snow ?
_d6038 		wet snow is heavier .
_d6038 		oh . 
_d6038 		but there was a +/.
_d6038 		oh and (.) what +//? 
_d6038 		what happened in the barn when they lost power ? 
_d6038 		what happened ? 
_d6038 		xxx  . 
_d6038 		(be)cause the heat went off in the barn ? 
_d6038 		mmmm . 
_d6038 		xxx  .
_d6039 		mmmm . 
_d6039 		mmmm+hmmm . 
_d6039 		sort of a poncho . 
_d6039 		mmmm . 
_d6039 		looks nice and cozy . 
_d6039 		is it still snowing outside there in the real outdoors ? 
_d6039 		yes . 
_d6039 		I think it is , but it's very light . 
_d6039 		snow , snow , nothing but snow . 
_d6039 		a hundred inches ? 
_d6039 		what town in Cape Cod +//? 
_d6039 		on Cape Cod is tha(t) +/?
_d6039 		oh . 
_d6039 		in Baltimore ? 
_d6039 		o:h . 
_d6040 		what are our friends doing about that ? 
_d6040 		what's  doing ?
_d6040 		what's  doing ? 
_d6040 		what's  doing ? 
_d6040 		what ? 
_d6040 		xxx . 
_d6040 		does she have_to get to work ? 
_d6040 		she has to probably drive +... 
_d6040 		actually , she works at +//. 
_d6040 		at her home most of the time now . 
_d6040 		she has a office at home . 
_d6040 		oh . 
_d6040 		she +... 
_d6040 		does some writing +... 
_d6040 		that has to do with +... 
_d6040 		mmmm . 
_d6040 		getting money to pay for +... 
_d6040 		health+care for people . 
_d6040 		health +//. 
_d6040 		doctor visits and medicines and things . 
_d6040 		she writes about +... 
_d6040 		she's a writer who writes about health and +... 
_d6040 		government and +... 
_d6040 		how people's +//. 
_d6040 		get the medicines they need and what they should do about that . 
_d6040 		all those problems related to +... 
_d6040 		money and health in +... 
_d6040 		in Maryland . 
_d6040 		xxx . 
_d6040 		look at you . 
_d6040 		xxx . 
_d6040 		xxx  . 
_d6040 		are you sleeping on your slide ? 
_d6040 		xxx pink snow .
_d6040 		xxx    . 
_d6040 		has pink snow forecast for Baltimore ? 
_d6040 		xxx      .
_d6040 		how (a)bout it's the snow in the sunset .
_d6040 		yes , that's +/.
_d6040 		right . 
_d6040 		yeah . 
_d6040 		and +..? 
_d6040 		
_d6040 		xxx . 
_d6040 		what ?
_d6040 		o:h .
_d6040 		o:h .
_d6040 		oh . 
_d6040 		so people have_to do their own shoveling . 
_d6040 		I see . 
