_t4 		xxx are you giving me a present ? 
_t4 		what else could it be that would knock down that bird feeder ?
_t4 		hmmm . 
_t4 		and I know it wasn't the storm .
_t4 		xxx . 
_t4 		I don't +//.
_t4 		how could a +//.
_t4 		I don't think a squirrel +/.
_t4 		a tiger ? 
_t4 		on Cape Cod ? 
_t4 		escaped from the zoo ? 
_t4 		xxx   .
_t4 		I don't think so . 
_t4 		well it must +//. 
_t4 		probably a raccoon . 
_t4 		(be)cause I can't think of any +/. 
_t4 		oh tell Grandma  about the raccoon that came +//.
_t4 		was it last week Naima ? 
_t4 		I think it was . 
_t4 		well some time last week . 
_t4 		what about it ? 
_t4 		tell tell her  . 
_t4 		tell me the story .
_t4 		oh . 
_t4 		was he trying to get into your garbage ? 
_t4 		oh no can't do that .
_t4 		shouldn't do that . 
_t4 		because raccoons and squirrels might come in .
_t4 		lemme [: let me] get your fork Naima . 
_t4 		a fork will help you eat it without getting your fingers messy and hurting your boo+boo . 
_t4 		it's not too hot . 
_t4 		kinda [: kind of] cool actually . 
_t4 		(be)cause the pasta was cold even though the sauce was hot . 
_t4 		what do you think ? 
_t4 		xxx .
_t4 		xxx   . 
_t4 		xxx the  . 
_t4 		
_t4 		I'll put some on then you stir it up with your fork okay ? 
_t4 		the sauce is pretty hot . 
_t4 		xxx   . 
_t4 		that's cheese sauce . 
_t4 		it's cheese sauce .
_t4 		cheese is what has the protein . 
_t4 		it's got cheddar cheese in it . 
_t4 		don't you need to pull the dish a little closer to you(rself) ? 
_t4 		there you go . 
_t4 		I heard a bird but +... 
_t4 		what bird is that ? 
_t4 		there's a little milk to drink . 
_t4 		Naima you only can have the water if you do not put your spoon or your hand or your fingers into it or any food into it . 
_t4 		it's for drinking only okay ? 
_t4 		there's a sparrow on the ground . 
_t4 		hmmm . 
_t4 		xxx . 
_t4 		what ?
_t4 		oh you're right . 
_t4 		oh there's the cardinal . 
_t4 		there's the cardinal . 
_t4 		mmmm it's on the fence+post .
_t4 		over on the it was over on the fence+post .
_t4 		it just flew away . 
_t4 		but now maybe he'll come back . 
_t4 		maybe he'll come +... 
_t4 		do you get cardinals on your porch ? 
_t4 		uh really not too much goes 
_t4 		xxx  . 
_t4 		mmmm+hmmm . 
_t4 		it's so dark and +... 
_t4 		I mean +/. 
_t4 		you don't have a feeder though either right ?
_t4 		no we don't have a feeder . 
_t4 		boy did some bird flew by . 
_t4 		I couldn't tell . 
_t4 		it was too fast . 
_t4 		how do they get to your feeder ? 
_t4 		well maybe they spread the word . 
_t4 		to the other birds I've +//. 
_t4 		oh there  +//. 
_t4 		hey there's the cardy . 
_t4 		I don't think you can see it now but maybe the cardinal will come over . 
_t4 		xxx . 
_t4 		they are ? 
_t4 		really ? 
_t4 		blue jays probably scare cardinals . 
_t4 		oh there's a very big bird . 
_t4 		cardinals just sitting  over there . 
_t4 		I don't , you can't see it from your angle .
_t4 		it's in the tree over in the neighbor('s) . 
_t4 		oh it just flew away . 
_t4 		it's been around . 
_t4 		I wonder if they have a nest around . 
_t4 		well they come very frequently . 
_t4 		the cardinals do . 
_t4 		
_t4 		hmmm . 
_t4 		any more than one male at a time . 
_t4 		hmmm . 
_t4 		yes ? 
_t4 		what ?
_t4 		you want tomato sauce ? 
_t4 		your kind ? 
_t4 		what kind is your kind ? 
_t4 		I will get you some . 
_t4 		yeah . 
_t4 		xxx  . 
_t4 		what kind do you like ? 
_t4 		what's the name of it ? 
_t4 		is it spaghetti sauce ? 
_t4 		or is it +... 
_t4 		just plain tomato sauce . 
_t4 		is that the right kind ?
_t4 		it's moldy .
_t4 		oh . 
_t4 		xxx .
_t4 		I'll get some more out of the (.) basement . 
_t4 		oh we can't eat that . 
_t4 		it's not good . 
_t4 		(be)cause it('ll) make you sick .
_t4 		xxx  you a stomach ache .
_t4 		it's not fresh .
_t4 		yeah some fresh (.) tomato sauce . 
_t4 		this is the kind that you like . 
_t4 		uh+huh . 
_t4 		plain tomato sauce . 
_t4 		plain tomato sauce .
_t4 		well . 
_t4 		you want it on plain pasta ? 
_t4 		I'm sorry you didn't like that . 
_t4 		did you sleep through all night ?
_t4 		Naima .
_t4 		no .
_t4 		you woke up at three+o+clock and you asked Mommy to nurse . 
_t4 		xxx  that's so early .
_t4 		when I said , it's still night+time it's not morning yet , you said , no no it's morning . 
_t4 		and I said it's not morning . 
_t4 		do you mind if this is cold or do you want me to heat it up ? 
_t4 		
_t4 		you want it cold ? 
_t4 		both the pasta and (.) sauce cold ? 
_t4 		hmmm . 
_t4 		xxx  .
_t4 		hmmm . 
_t4 		usually I warm up the pasta and give you cold sauce but we could do the opposite . 
_t4 		I bet you went right to sleep last night though . 
_t4 		remember we went to the restaurant . 
_t4 		for dinner . 
_t4 		xxx   .
_t4 		now that one      . 
_t4 		xxx . 
_t4 		it's a new restaurant . 
_t4 		that was a good restaurant . 
_t4 		and very nice +//. 
_t4 		nice to look at the walls and the windows . 
_t4 		and listen to the piano .
_t4 		it was good food . 
_t4 		no there's a: chickadee . 
_t4 		what does a chickadee say ?
_t4 		what does a chickadee say ? 
_t4 		oh is that what he  . 
_t4 		I thought the chickadee said , chickadee  (.) chickadee   .
_t4 		maybe I can ask Grandma  to grate some cheese for you . 
_t4 		sure . 
_t4 		grate it right into this bowl . 
_t4 		have a plate instead is that  ? 
_t4 		no .
_t4 		did you give me those bowls ? 
_t4 		I think yes you're right . 
_t4 		I think you did .
_t4 		xxx  . 
_t4 		these were from a local +... 
_t4 		yeah ? 
_t4 		pottery shop . 
_t4 		so if you come +... 
_t4 		in June would that be like a long weekend ? 
_t4 		um . 
_t4 		that last weekend of June . 
_t4 		yes that would probably make it a lo(ng) +//. 
_t4 		oh there's the cardinal . 
_t4 		and Bill would come too right ? 
_t4 		yeah  . 
_t4 		(o)kay . 
_t4 		well I'm gonna put it on the calendar so that we don't +...
_t4 		xxx . 
_t4 		have any  +/.
_t4 		the chickadee . 
_t4 		but there's +//. 
_t4 		over on the wire is the cardinal and I think it's the Momma cardinal . 
_t4 		there . 
_t4 		do you see the cardinal now ? 
_t4 		over on the fence . 
_t4 		over on the fence behind your daddy's car . 
_t4 		right over there . 
_t4 		can you ? 
_t4 		oh .
_t4 		well he flew off . 
_t4 		he won't go to the +//. 
_t4 		there's a robin . 
_t4 		so far I haven't seen him go to the bird feeder . 
_t4 		I don't know why . 
_t4 		oh I know why I was confused (be)cause we actually don't come back until that Tuesday . 
_t4 		we're gonna get here . 
_t4 		oh . 
_t4 		we have vaca(tion) +//. 
_t4 		he +//. 
_t4 		(be)cause  has that Monday off . 
_t4 		and then Tuesday is his regular day off . 
_t4 		hmmm+hmmm . 
_t4 		so we have full +... 
_t4 		although we might be back actually earlier . 
_t4 		this is probably enough for Naima . 
_t4 		xxx  yep [: yes]   . 
_t4 		(woul)d you like some cheese ? 
_t4 		
_t4 		you wan(na) [: want to] say thanks to Grandma  for grating +/? 
_t4 		oh there's the cardinals at the feeder now .
_t4 		for grating it for you ? 
_t4 		c(an) (y)ou see it ?
_t4 		xxx 
_t4 		doesn't stay very long . 
_t4 		xxx    . 
_t4 		xxx . 
_t4 		hmmm . 
_t4 		is that a goldfinch ? 
_t4 		little bit too bright to be a robin I think . 
_t4 		oh wait no you can't see it it's way up in the tree . 
_t4 		maybe it'll come down . 
_t4 		where let me see .
_t4 		yeah .
_t4 		xxx  . 
_t4 		they're starting to get the word that there's seed down here . 
_t4 		where's the  +//.
_t4 		it was up there in the tree but I can't see it now . 
_t4 		it's very +... 
_t4 		oh look there's a cherry tree in bloom right there . 
_t4 		I didn't notice that before . 
_t4 		oh that's a cherry not a magnolia ? 
_t4 		mmmm+hmmm .
_t4 		yeah . 
_t4 		magnolias have big big blossoms . 
_t4 		magnolias up in Providence it's gorgeous . 
_t4 		mmmm . 
_t4 		(be)cause it +//. 
_t4 		there goes the bluejay .
_t4 		yeah . 
_t4 		and +... 
_t4 		and Providence has a lot of (.) red+bud trees which +... 
_t4 		mmmm+hmmm .
_t4 		we don't have +/.
_t4 		oh  .
_t4 		I think they don't grow well here or something but . 
_t4 		they're just +//. 
_t4 		I mean they're kinda [: kind of] like cherry trees except the color is more intense and they're earlier .
_t4 		and they tend to be these huge trees so no leaves and just +...
_t4 		a kind of brighter pink .
_t4 		yeah .
_t4 		little flowers .
_t4 		well that's the +//. 
_t4 		I think I was away part of the weekend at the reunion down in Port Jarvis +...
_t4 		area .
_t4 		that's what you're doing then ?
_t4 		yeah .
_t4 		you know our reunion . 
_t4 		yeah I know what you're talking about .
_t4 		oh .
_t4 		you made it go away ? 
_t4 		so other birds could come ? 
_t4 		oh right . 
_t4 		it's back again .
_t4 		xxx   .
_t4 		is it listening to what you're telling it ? 
_t4 		no it's not . 
_t4 		xxx    . 
_t4 		it's still there .
_t4 		there's an insect ? 
_t4 		where ? 
_t4 		oh near you ? 
_t4 		oh yeah on the window .
_t4 		it's an ant . 
_t4 		no . 
_t4 		right it's not red . 
_t4 		the red ant ? 
_t4 		I mean the re(d) +//.
_t4 		ant . 
_t4 		I don't see it anymore . 
_t4 		oh I don't know .
_t4 		it might . 
_t4 		xxx I'll leave the grater out . 
_t4 		and take this away . 
_t4 		no . 
_t4 		it's on the outside . 
_t4 		it was not inside it was on the outside of the window . 
_t4 		I don't know . 
_t4 		we try not to have any ants  in the house . 
_t4 		there are ants in the bathroom ? 
_t4 		yeah  . 
_t4 		Cape Cod +... 
_t4 		humidity , insects . 
_t4 		mmmm+hmmm . 
_t4 		well we get insects in our house too sometimes . 
_t4 		xxx . 
_t4 		we get black ants sometimes .
_t4 		we get spiders a lotta [: lot of]  +//. 
_t4 		hmmm .
_t4 		in fact there was a spider in the shower this morning . 
_t4 		oh ! 
_t4 		a daddy+long+legs spider . 
_t4 		in your shower ?
_t4 		in my shower . 
_t4 		oh I think that's (be)cause that doesn't get used very much . 
_t4 		yeah . 
_t4 		so they set up home there . 
_t4 		xxx . 
_t4 		I washed it wash down the drain . 
_t4 		xxx . 
_t4 		daddy+long+legs ? 
_t4 		why do we call it that ? 
_t4 		because they have very very long legs . 
_t4 		and I don't know why it's called that . 
_t4 		you know , I don't think those are actually spiders .
_t4 		daddy+long+legs . 
_t4 		oh yeah ?
_t4 		(be)cause I don't think they have the s(ame) +//. 
_t4 		there're not enough    . 
_t4 		ah .
_t4 		
_t4 		why was it in ?
_t4 		well , maybe it was attracted to the water . 
_t4 		probably (be)cause I turned the shower on . 
_t4 		and it was in the shower . 
_t4 		well I think it went down the drain . 
_t4 		(be)cause it was all wet .
_t4 		well it couldn't swim . 
_t4 		xxx  . 
_t4 		I'm not  I saw any . 
_t4 		where did I  +... 
_t4 		take the train when I came with Naima and got picked up by you . 
_t4 		you came to Brewster . 
_t4 		oh . 
_t4 		no I mean (be)cause I +... 
_t4 		
_t4 		or did you +//?
_t4 		oh maybe I'm thinking of where you took me . 
_t4 		
_t4 		yeah , right .
_t4 		you picked me up one place +/. 
_t4 		I took you to Stamford .
_t4 		yeah . 
_t4 		and that was after I'd been in New York ? 
_t4 		or before . 
_t4 		xxx let me think now . 
_t4 		I think that I +/.
_t4 		you had been to me and then   . 
_t4 		I think I went from you to New York .
_t4 		I think that's right . 
_t4 		yeah . 
_t4 		and that means that I +... 
_t4 		you picked me up in S(tamford) +... 
_t4 		no wait . 
_t4 		no (be)cause I think +... 
_t4 		Laura +...
_t4 		you came from New York up (.) to Brewster . 
_t4 		but I think  took me to +...
_t4 		the commuter rail . 
_t4 		oh . 
_t4 		from in New York I got on the train to Brewster . 
_t4 		I'm pretty sure . 
_t4 		yeah . 
_t4 		you came up to Brewster . 
_t4 		and then you picked me up . 
_t4 		I picked you up but not at +/.
_t4 		which means that when you picked me up the first time +... 
_t4 		no wait . 
_t4 		I +//. 
_t4 		I rented this car+seat that was there . 
_t4 		I know .
_t4 		but +... 
_t4 		yeah . 
_t4 		and then I took you to Stamford . 
_t4 		wait , who lives +...
_t4 		now I'm confused .
_t4 		I'm really confused . 
_t4 		well I do know I picked you up in Brewster . 
_t4 		you did . 
_t4 		yeah . 
_t4 		and then I s(tayed) +//. 
_t4 		yeah and then I stayed with you and then you took me to the Stamford +... 
_t4 		right . 
_t4 		to go home . 
_t4 		yeah that's what you did . 
_t4 		mmmm+hmmm I stayed at my house . 
_t4 		but I'm talking about the time we visited Grandma  at her house when you were a baby . 
_t4 		we have pictures of that . 
_t4 		she did stay at our house when you were a baby also but I'm talking about her house now (be)cause we took the train there . 
_t4 		you were a baby . 
_t4 		to visit . 
_t4 		and you actually came to my work . 
_t4 		you came to my office . 
_t4 		right . 
_t4 		who's that ? 
_t4 		here's the Daddy . 
_t4 		monster . 
_t4 		Daddy Monster . 
_t4 		there's muffins Daddy .
_t4 		Daddy Monster . 
_t4 		Daddy Monster Daddy Monster .
_t4 		yes Baby ? 
_t4 		oh my go:sh !
_t4 		daddy+long+legs . 
_t4 		xxx  for this no I can put it down . 
_t4 		xxx    . 
_t4 		xxx   . 
_t4 		no I was just thinking Mom if I were to do that again +... 
_t4 		mmmm+hmmm . 
_t4 		um I would go to Stamford and you would pick me up at Stamford . 
_t4 		isn't that the closest ? 
_t4 		yeah .
_t4 		that is the +/. 
_t4 		no Stamford is +//.
_t4 		no Brewster is the closest . 
_t4 		but you +//. 
_t4 		no but for me +...
_t4 		you wouldn't be able to come . 
_t4 		yeah .
_t4 		yeah that doesn't make sense .
_t4 		yeah you'd have +//. 
_t4 		uh it would be Stamford .
_t4 		that's what I mean if I were to come from here +... 
_t4 		yeah Stamford . 
_t4 		and how far is Stamford from you ? 
_t4 		it's about an hour . 
_t4 		depending on traffic . 
_t4 		time of day . 
_t4 		yeah .
_t4 		well I would do that maybe some time . 
_t4 		mmmm . 
_t4 		there's the cardinal . 
_t4 		it's on the  +//. 
_t4 		on the ground . 
_t4 		maybe he'll fly up . 
_t4 		just had the usual (.) presentation of six different meals to her highness . 
_t4 		it's on the ground .
_t4 		is any   ? 
_t4 		huh ? 
_t4 		is any of it +/. 
_t4 		this is what's gonna happen .
_t4 		now it's +... 
_t4 		and she  +... 
_t4 		in front of the car .
_t4 		tried a little fromage . 
_t4 		um still sort of on the ground .
_t4 		she didn't really like the muffins .
_t4 		there's the chickadee .
_t4 		she had smoked mackerel she didn't really eat that .
_t4 		she asked me to make macaroni and cheese and I made it from scratch .
_t4 		shh .
_t4 		maybe it's +...
_t4 		did you see it ?
_t4 		oh my god . 
_t4 		did you see it ? 
_t4 		and then   tomato sauce .
_t4 		it was right there .
_t4 		flew right by the bird feeder . 
_t4 		oh .
_t4 		they keep flying by .
_t4 		do you want more pasta Boo ?
_t4 		Grandma  can you grate a little more cheese or is some already there ? 
_t4 		yep [: yes] .
_t4 		oh there's more in here . 
_t4 		this is the last of the pasta . 
_t4 		when this is gone there's no more and I'm not gonna make more . 
_t4 		(be)cause I have other things to do today other than make meals for you .
_t4 		xxx   . 
_t4 		we're gonna cut your hair . 
_t4 		yeah we're gonna cut your hair before +/.
_t4 		and then Grandma has to go . 
_t4 		Grandma's gonna go home after that .
_t4 		oh my god .
_t4 		well I gotta go see Bill . 
_t4 		and then I gotta go to work tomorrow . 
_t4 		it's her birthday .
_t4 		hey happy birthday . 
_t4 		thank you .
_t4 		it's her real birthday . 
_t4 		I forgot to say that . 
_t4 		(be)cause we've (.) been saying happy birthday all weekend .
_t4 		yeah .
_t4 		well tomorrow I have_to go to work . 
_t4 		today I'm gonna go home and see Bill and we might go out for a ride or we might go out shopping or +//.
_t4 		and have dinner +... 
_t4 		or +...
_t4 		it might be a surprise .
_t4 		he might have a surprise for me .
_t4 		I think she's talking about  .
_t4 		xxx you've had many surprises . 
_t4 		yeah  gonna have a surprise .
_t4 		I didn't think their criticism was very trenchant .
_t4 		but I'd like   .
_t4 		xxx .
_t4 		yeah .
_t4 		I mean it's sort of peripheral things yes but the sort of issues   . 
_t4 		well I hope it's trenchant (be)cause then it means (.) there's still a book I can write . 
_t4 		xxx   . 
_t4 		xxx . 
_t4 		why ? 
_t4 		hmmm ? 
_t4 		why ? 
_t4 		why what ? 
_t4 		why that means there's still a book +..? 
_t4 		well because +... 
_t4 		if it's trenchant . 
_t4 		no if there's serious +... 
_t4 		issues with south+beach that should be corrected then +... 
_t4 		well it's not +//. 
_t4 		it's not clear to me that +... 
_t4 		take your feet off the wall . 
_t4 		no .
_t4 		xxx  . 
_t4 		no . 
_t4 		Grandma says no . 
_t4 		Sleepy Bear says no . 
_t4 		xxx  .
_t4 		mmmm . 
_t4 		I'm not even gonna [: going to ] tell you (be)cause you already know . 
_t4 		I've al(ready) +//.
_t4 		I've told you all the things that aren't allowed . 
_t4 		there's some more pear if you want . 
_t4 		you're Claire this morning ? 
_t4 		who are you gonna be this afternoon ?
_t4 		you're still gonna be Claire this afternoon ?
_t4 		xxx    . 
_t4 		yes I have_to go this morning . 
_t4 		she's gonna be gone before the morning even . 
_t4 		mmmm+hmmm .
_t4 		mmmm I like the muffin . 
_t4 		that cheese sauce is pretty nice . 
_t4 		mmmm . 
_t4 		I like the muffin . 
_t4 		stay asleep ? 
_t4 		not tonight no . 
_t4 		xxx  .
_t4 		wait stay here and sleep ? 
_t4 		she's gonna go bye+bye . 
_t4 		but I'm gonna +//. 
_t4 		I'm planning another sleep+over next month . 
_t4 		xxx   .
_t4 		I'm gonna come and visit you next month again . 
_t4 		xxx   .
_t4 		and have another sleep+over .
_t4 		I like to see you . 
_t4 		I like to visit you . 
_t4 		it was good to see +... 
_t4 		yep [: yes] . 
_t4 		do you like me to come and visit you ? 
_t4 		so have you     ? 
_t4 		we have fun don't we . 
_t4 		xxx    .
_t4 		alright . 
_t4 		mmmm .
_t4 		what was that    ? 
_t4 		uh  . 
_t4 		gotta +... 
_t4 		look for times . 
_t4 		and see if it was just an afternoon or whether it was some kind of stay .
_t4 		what ?
_t4 		there's a kids day part of   .
_t4 		there's a what ?
_t4 		there's a colorful +... 
_t4 		a flower .
_t4 		xxx   .
_t4 		it's a it's a new name of a flower that Naima made up .
_t4 		oh .
_t4 		which we like .
_t4 		we like that .
_t4 		yeah .
_t4 		that is a nice name .
_t4 		delphadinia .
_t4 		delphadinia .
_t4 		it's very specific . 
_t4 		what color is that flower ? 
_t4 		ooh , mu(lti) +/. 
