_t4 		xxx has the (.) transmitter in it . 
_t4 		now this says raccoon mommy daddy . 
_t4 		you wanna spell zoo . 
_t4 		I think we gonna have_to borrow o's to spell zoo . 
_t4 		wait there's two o's over here .
_t4 		you don't really have_to borrow that I think that's a zero in front of mommy . 
_t4 		z o o can you put the two o's next to the z . 
_t4 		great z o o zoo . 
_t4 		raccoon mommy daddy zoo . 
_t4 		that's what we spelled . 
_t4 		I think that's Daddy's car I just heard .
_t4 		I thought I heard something .
_t4 		I think Mommy did hear Daddy's car . 
_t4 		let's go in here because we need to start the macaroni and cheese anyway . 
_t4 		yes I see his car there .
_t4 		daddy daddy .
_t4 		daddy waddy daddy waddy is right .
_t4 		he had a drum today . 
_t4 		in music class ?
_t4 		that's great . 
_t4 		that's great . 
_t4 		there's Daddy . 
_t4 		look I know what do you want me to do . 
_t4 		he got too much snow .
_t4 		what would you like me to do to help ? 
_t4 		nothing .
_t4 		okay .
_t4 		xxx okay . 
_t4 		I'll take it from here you can just give it to me here and I'll .
_t4 		hey baby it's baby .
_t4 		is there more or is that it ?
_t4 		what's that ? 
_t4 		there more . 
_t4 		ha .
_t4 		Daddy look at all the food Daddy bought at the grocery store  my goodness . 
_t4 		is this gonna fit in the refrigerator ? 
_t4 		I don't know if it will . 
_t4 		you think it doesn't yeah it might not there's a lot of stuff here . 
_t4 		that's goat cheese that's cheese that's made from goat's milk . 
_t4 		Mommy's gonna try to make things fit in the refrigerator . 
_t4 		oh you are helping .
_t4 		thank you you're making that fit in the fridge . 
_t4 		great . 
_t4 		Naima is putting the goat cheese in the fridge . 
_t4 		thank you sweetie . 
_t4 		that's very helpful . 
_t4 		let see you gonna eat that soy yogurt ? 
_t4 		well that doesn't go in the refrigerator only things that need to stay cold go in the refrigerator . 
_t4 		that'll go on the shelf I think . 
_t4 		hmmm .
_t4 		you can leave that goat cheese there Naima was helping by putting the goat cheese in the refrigerator . 
_t4 		ah .
_t4 		coffee filters right .
_t4 		try desperately to find goat cheese from france but I couldn't .
_t4 		xxx . 
_t4 		yeah I think it's because of whole pasteurization .
_t4 		because of act of solidarity .
_t4 		this actually goes on this doesn't need to be in the refrigerator .
_t4 		ah  excellent . 
_t4 		does that you're helping Dad .
_t4 		you have a party shell in here  .
_t4 		I know I just haven't had any time . 
_t4 		is that was that chocolate pudding pie you were going to make ? 
_t4 		that was suppose to be maybe I should do that this weekend .
_t4 		to make chocolate pudding pie . 
_t4 		I think Naima just put something in the fridge that maybe doesn't need  twice . 
_t4 		xxx twice I love cold  twice  . 
_t4 		hahaha [: laughing] .
_t4 		we don't put this in the fridge Naima . 
_t4 		that doesn't need to be in here sweetie .
_t4 		these don't need to be cold .
_t4 		they don't spoil in the warm . 
_t4 		only only something needs to be cold not everything needs to be cold .
_t4 		thank you for helping . 
_t4 		hmmm and here's some baby yogurt that needs to go in the fridge doesn't . 
_t4 		oh yeah you wanna eat that I was just about to make . 
_t4 		in fact all I didn't do is turn the water of macaroni and cheese for her .
_t4 		macaroni .
_t4 		and possibly for me .
_t4 		do the macaroni . 
_t4 		do you wanna eat baby yogurt while you're waiting for macaroni and cheese ? 
_t4 		okay .
_t4 		you wanna pick one up ? 
_t4 		you wanna take a baby yogurt out of the container . 
_t4 		okay why you pick one . 
_t4 		and go over .
_t4 		and go over to your chair .
_t4 		fish . 
_t4 		and can you climb up there on your own ? 
_t4 		why don't you put it here for now . 
_t4 		and I help you get it as soon as you get up into your chair okay . 
_t4 		did she tell you it was silly . 
_t4 		oh silly . 
_t4 		you gonna come up here and have your yogurt ?
_t4 		oh you slipped  you know what your foot is hampered here . 
_t4 		here we go wow . 
_t4 		and we can take off the back pack I think .
_t4 		yeah .
_t4 		yeah .
_t4 		yes if you make a mess you have_to have a bib . 
_t4 		we're gonna put a bib on now . 
_t4 		it is a microphone . 
_t4 		it is Naima's microphone  what happened .
_t4 		ouch .
_t4 		fucking christ . 
_t4 		what happened ? 
_t4 		ah . 
_t4 		what fell on your head ? 
_t4 		nothing I stood up . 
_t4 		oh you stood up . 
_t4 		well this .
_t4 		oh was . 
_t4 		xxx .
_t4 		ah . 
_t4 		ah .
_t4 		Daddy hurt himself .
_t4 		ah . 
_t4 		ah .
_t4 		you wanna  you wanna kiss his head . 
_t4 		ah .
_t4 		just why don't you sit down for a minute .
_t4 		oh you wanna get down and kiss his head here . 
_t4 		oh you don't have_to get down boo here . 
_t4 		um thank you thank you thank you .
_t4 		I've done that on this and banged my head  .
_t4 		ah .
_t4 		Daddy was bumping his head . 
_t4 		it's an argument for side by side freezer .
_t4 		well well .
_t4 		ah .
_t4 		ah ouch . 
_t4 		you wanna put some ice on it . 
_t4 		ah . 
_t4 		I think I had a concussion .
_t4 		you might put ice on it to make it feel better sometimes people do that .
_t4 		ahh . 
_t4 		xxx . 
_t4 		I got something special for Naima .
_t4 		you did something special for Naima .
_t4 		we can call it a big splurge . 
_t4 		oh yeah .
_t4 		what would that be ? 
_t4 		oh  huh new zealand . 
_t4 		yeah . 
_t4 		wow . 
_t4 		well you know she's so used to the frozen kind she may or may not .
_t4 		that's alright .
_t4 		we could yeah me too . 
_t4 		well I'll be happy to do that .
_t4 		look what Daddy got for you  you took the cover off of that all by yourself .
_t4 		those are fresh blueberries . 
_t4 		now I'm gonna get a bib for you . 
_t4 		fresh blueberries  yeah . 
_t4 		alright let's get this microphone in a okay place right there may be . 
_t4 		ah . 
_t4 		is that good yogurt ? 
_t4 		okay .
_t4 		you got some yogurt on your bib there . 
_t4 		let Mommy wash these . 
_t4 		that was nice of you you're okay ? 
_t4 		yeah . 
_t4 		xxx right . 
_t4 		yes I'm .
_t4 		huh you're .
_t4 		yes .
_t4 		good .
_t4 		where's the camera ? 
_t4 		it's in the other room it doesn't really have_to be here . 
_t4 		yeah I know . 
_t4 		ah .
_t4 		hmmm  you got some . 
_t4 		hmmm . 
_t4 		oh this makes me wanna be in Maine in August . 
_t4 		hmmm . 
_t4 		actually in June  August . 
_t4 		ah Naima please don't paint with your food . 
_t4 		if you wanna paint you should play with the paint . 
_t4 		do you want smaller bowl for your yogurt ?
_t4 		you're just fooling around . 
_t4 		Naima .
_t4 		xxx . 
_t4 		hmmm yeah .
_t4 		it's a mess I'm gonna clean up would you like a bigger bowl ? 
_t4 		for your yogurt was it hard to get the yogurt out ? 
_t4 		I think she just wanted to make a mess . 
_t4 		because Mommy and Daddy clean up . 
_t4 		now there's less yogurt to eat when you spill it like that .
_t4 		you have_to start cleaning up your own stuff Naima . 
_t4 		she has started . 
_t4 		aha   . 
_t4 		we should make a point of getting her to bed early though tonight . 
_t4 		yeah Mommy is washing the blueberries . 
_t4 		hand washed by your elf . 
_t4 		hmmm . 
_t4 		commission . 
_t4 		hmmm  yummy  . 
_t4 		oh wow . 
_t4 		by the way this is yours from like a week ago . 
_t4 		ah chuck it .
_t4 		you can drink it  . 
_t4 		xxx . 
_t4 		yeah  . 
_t4 		um I did buy chocolate ice+cream . 
_t4 		yay Daddy bought chocolate ice+cream . 
_t4 		and cones .
_t4 		yes I saw the cones thank you . 
_t4 		you welcome . 
_t4 		I it'll be such a treat . 
_t4 		Mommy has the macaroni . 
_t4 		I do I do I do . 
_t4 		xxx .
_t4 		xxx .
_t4 		yeah stuff something like that definitely .
_t4 		I am I am going to put the dry macaroni in the pot yeah .
_t4 		xxx . 
_t4 		no there's still some of that .
_t4 		I'm probably gonna eat this mac and cheese too but I would happily eat something else did you have a dinner plan in mind or not really . 
_t4 		ah well I brought because of her I actually last night brought one more cod  .
_t4 		who was taking care of you today ? 
_t4 		Daddy was .
_t4 		and then  was for a little while . 
_t4 		then Mommy was for a little while . 
_t4 		that's a Naima told me you had to play a drum today is that right ? 
_t4 		that's right . 
_t4 		and yesterday did  say she was gonna have you wear her hat . 
_t4 		no . 
_t4 		because she's been saying something like that . 
_t4 		what is that green object on the floor ? 
_t4 		her elastic . 
_t4 		oh . 
_t4 		here we go now I'm going to put the dry macaroni in  . 
_t4 		and coming . 
_t4 		we're gonna see if we can get a baby in here and tape this on  . 
_t4 		where's that baby girl , let's  . 
_t4 		oh you're putting those away +//.
_t4 		yeah let's bring it into your room . 
_t4 		oh yes I think there's a diaper that needs changing around here . 
_t4 		you need to be nursed ,  , there's a baby who needs to be nursed ! 
_t4 		I see , I see ! 
_t4 		well come right in here .
_t4 		oh Naima boo ! 
_t4 		oh I think it does belong to the tool+box , those look like (.) nuts ! 
_t4 		and they go with something called bolts . 
_t4 		I think you have nuts and bolts for your tool+box . 
_t4 		and the +... 
_t4 		wrench +... 
_t4 		is what you use for those . 
_t4 		if I'm not mistaken . 
_t4 		oh that does belong to the set of blocks . 
_t4 		looks like it's almost a bridge . 
_t4 		you know what it also looks like ? 
_t4 		it looks like , oops +//.
_t4 		that block . 
_t4 		and those screws , or rather , those nuts +... 
_t4 		are those hexagons ? 
_t4 		do they have six sides , let's look +... 
_t4 		xxx , they are hexagons ! 
_t4 		it looks like it's on your thumb now . 
_t4 		mmmm+hmmm ! 
_t4 		you have your middle finger .
_t4 		that's your middle finger , you were just putting that yellow hexagon on your middle finger . 
_t4 		that is your +... 
_t4 		what ? 
_t4 		I think it's your thumb too ! 
_t4 		that's right ! 
_t4 		that is your thumb . 
_t4 		which one is your index finger ? 
_t4 		show me . 
_t4 		yes  ! 
_t4 		that's your index finger ! 
_t4 		yeah , you have one on your right hand and you also have one on your left hand . 
_t4 		you have an index finger on your right hand +... 
_t4 		and an index finger on your left hand . 
_t4 		yeah ! 
_t4 		give yourself to the rain ! 
_t4 		that's a good book , he was really doing a good job reading those poems to you . 
_t4 		what's Daddy doing right now ? 
_t4 		Daddy has a conference calright now . 
_t4 		yes , he was calling somebody right now . 
_t4 		o:h , let's see +... 
_t4 		diaper time ! 
_t4 		we don't have any covers , I think all the covers are in the (.) dryer , so , we're gonna have_to use another (.) paper+diaper . 
_t4 		we had an exciting , long day +//.
_t4 		do you believe what Daddy told you ? 
_t4 		and she checked you out ? 
_t4 		and she made sure you were okay when you slept through the whole thing ?
_t4 		what nursie ? 
_t4 		well (.) those are +...
_t4 		part of my body . 
_t4 		and my whole body right now is engaged in changing your diaper . 
_t4 		it is , what color hexagon is it ? 
_t4 		it's a hexagon with a hole in the middle . 
_t4 		I have_to go wash my hands but I will be right back , okay ? 
_t4 		you can stay here while I wash my hands if you want .
_t4 		I will be very quick , as quick as I can be . 
_t4 		that belongs to your letters ? 
_t4 		oh yeah , that's the top to the letters container , isn't it ? 
_t4 		they're all gone ?
_t4 		they're not all gone +//.
_t4 		why don't you come in here and we'll play the sentences game ? 
_t4 		yeah , why don't you come sit over here ? 
_t4 		come sit over here . 
_t4 		we can play together . 
_t4 		o:h , there's the duck ! 
_t4 		let's put him right here . 
_t4 		and we'll have plenty of room to play the game . 
_t4 		I see a hat ! 
_t4 		I see a bed ! 
_t4 		who sleeps in that bed ? 
_t4 		you think , do you think the duck sleeps in that bed ? 
_t4 		really ? 
_t4 		a saw +//.
_t4 		the duck is what it  +//.
_t4 		the , that's right , that's a the . 
_t4 		you  +//.
_t4 		you must have been playing this game (.) with Daddy . 
_t4 		did you play this game with Daddy today ? 
_t4 		oh , before you came and picked me up ? 
_t4 		the . 
_t4 		the duck . 
_t4 		where did +//.
_t4 		I'll find the word saw for you . 
_t4 		the duck +... 
_t4 		where is that word ? 
_t4 		oh we need another the for the bed , don't we ? 
_t4 		that's eight +... 
_t4 		eight +... 
_t4 		hmmm . 
_t4 		xxx trouble finding those words . 
_t4 		the . 
_t4 		you can +//.
_t4 		this the can go to the bed . 
_t4 		the , bed +//.
_t4 		now it says the duck the bed . 
_t4 		hmmm . 
_t4 		and you'd like to put saw there . 
_t4 		there's a saw . 
_t4 		the duck saw +... 
_t4 		there , it fits ! 
_t4 		the duck saw +... 
_t4 		what did the duck see ? 
_t4 		xxx . 
_t4 		you want me to +//.
_t4 		you wanna spread these out , so you can see them ? 
_t4 		what did the duck see ? 
_t4 		oh she saw a frog ? 
_t4 		the duck saw +... 
_t4 		a +... 
_t4 		frog ! 
_t4 		yeah , now put the frog there . 
_t4 		I , I think the way this works is you have_to lift it up and put it on top and then push it down . 
_t4 		the duck saw +... 
_t4 		a frog ! 
_t4 		that's great ! 
_t4 		the chickens  bed ? 
_t4 		xxx . 
_t4 		oh , is that a chicken , this is actually a bird . 
_t4 		what's this +//.
_t4 		let's see +... 
_t4 		seven , eight , nine , ten , eleven , today is March eleventh .
_t4 		the birds saw a bed , okay . 
_t4 		let's get a the with a  +//.
_t4 		xxx I think we need that . 
_t4 		okay .
_t4 		the (.) bird .
_t4 		the bird . 
_t4 		and d'you [: do you] need another saw ? 
_t4 		here's one . 
_t4 		that's a saw . 
_t4 		the bird saw +... 
_t4 		a bed ? 
_t4 		a bed . 
_t4 		the bird (.) saw (.) a +... 
_t4 		mmmm (o)kay . 
_t4 		there we go . 
_t4 		you don't need the the .
_t4 		the bird saw a bed ! 
_t4 		the bird saw a bed . 
_t4 		what other animals are here ? 
_t4 		a boy ! 
_t4 		what is that boy +//? 
_t4 		you know I recognize that boy from another book .
_t4 		I think that boy is in another one of your books . 
_t4 		do you recognize him ?
_t4 		I think he's in the +//. 
_t4 		I think he's in my big book . 
_t4 		I'm gonna  look for the picture of him . 
_t4 		let's see if it's the same boy . 
_t4 		I think it's that boy . 
_t4 		he's eating something . 
_t4 		in fact it might even be him . 
_t4 		xxx .
_t4 		that's him , isn' [: isn't] it ? 
_t4 		sleeping ? 
_t4 		I think that's him sleeping .
_t4 		I think it's the same boy .
_t4 		you think so too ? 
_t4 		let's see , are there any other pictures of him ? 
_t4 		you know , where's your word book because +... 
_t4 		hmmm , I don't know if we still have that book . 
_t4 		I'm not sure where it is . 
_t4 		I think he's also in the word book .
_t4 		let's see if there's anything else . 
_t4 		any other pictures that are the same . 
_t4 		you'd [: you would] like to do that ? 
_t4 		I +//. 
_t4 		that word book was broken , wasn't it ?
_t4 		well let's look . 
_t4 		let's look an' [: and] see if the word +//.
_t4 		ouch   .
_t4 		xxx .
_t4 		you wanna kiss it ?
_t4 		oh , thank you sweetie .
_t4 		thank you sweetie+pie .
_t4 		you made it better ? 
_t4 		yes , thank you .
_t4 		I'm gonna see if the word book is behind your book rack here .
_t4 		but I think the word book was broken . 
_t4 		so I might have put it somewhere else . 
_t4 		xxx I don't see it here .
_t4 		it's not here .
_t4 		the word book isn't here , but lemme [: let me] look someplace else . 
_t4 		where: ? 
_t4 		where might that be ? 
_t4 		xxx . 
_t4 		oh there's that Spot book .
_t4 		mmmm , I think (.) that word book +... 
_t4 		you wanna read Spot book ?
_t4 		okay .
_t4 		okay .
_t4 		yeah +//. 
_t4 		oh actually here's part of the word book .
_t4 		this book . 
_t4 		right ? 
_t4 		see the word book's broken but part of it is in there . 
_t4 		maybe +...
_t4 		lemme [: let me] see if the rest of it's in here too . 
_t4 		I'll just take a quick look . 
_t4 		mmmm , I don't see it right there . 
_t4 		okay . 
_t4 		where'jou [: where did you] go ? 
_t4 		okay . 
_t4 		y'wanna [: you want to] read the Spot book ? 
_t4 		let's sit over here and read it . 
_t4 		come sit over here next to Mommy ? 
_t4 		oh . 
_t4 		mmmm  . 
_t4 		kiss .
_t4 		I missed you this morning . 
_t4 		well I don't know where the rest of it is . 
_t4 		we'll have_to find the rest of it before we can fix it . 
_t4 		hey (.) I bet there are more things that are the same . 
_t4 		let's just look . 
_t4 		I thought I saw that ball . 
_t4 		you see a picture of a ball somewhere here ? 
_t4 		well , I thought there was one . 
_t4 		I thought it was the same (.) ball . 
_t4 		and that baby , that is definitely (.) a baby we've seen and somewhere +//.
_t4 		actually I think that baby was in the (.) bath book ? 
_t4 		
_t4 		that you used to have . 
_t4 		well I don't know what happened to that actually . 
_t4 		I don't know .
_t4 		let's see if any of these  +...
_t4 		yeah the word book and the baby bath book .
_t4 		I don't know where .
_t4 		okay that's actually a different ball , isn' [: isn't] it ? 
_t4 		I thought maybe some of these things were the same . 
_t4 		that hat looks very familiar .
_t4 		have we seen a picture of this hat somewhere before ? 
_t4 		xxx .
_t4 		there's a dollhouse .
_t4 		maybe there's a hat in here somewhere .
_t4 		mmmm I on' [: don't] see it . 
_t4 		it's a different ball , different hat . 
_t4 		hmmm . 
_t4 		iza' [: is that] watchou [: what you] said ? 
_t4 		anyway . 
_t4 		okay d'you [: do you] wanna read this Spot book ? 
_t4 		Spot has had a very busy day . 
_t4 		what do you think he's been doing all day ? 
_t4 		
_t4 		oh the bird . 
_t4 		there's that blue bird .
_t4 		now he'd ready for bed . 
_t4 		spot is yawning +//. 
_t4 		it looks like the bird is yawning too .
_t4 		xxx .
_t4 		the birdie's [: birdie is] yawning at Spot ?
_t4 		I think the birdie is yawning and I think (.) Spot is yawning too . 
_t4 		xxx .
_t4 		Spot loves his bath . 
_t4 		he's taking a bath because +..? 
_t4 		he has clothes on ?
_t4 		the bird is fat ?
_t4 		mister Frumble is fat .
_t4 		in that other book . 
_t4 		the bird is a little bit fat . 
_t4 		Spot loves his bath . 
_t4 		that baby duck seems to be a duckling ? 
_t4 		and that's the boat .
_t4 		d'you [: do you] think Spot plays with that boat in his bathtub ?
_t4 		I bet he does .
_t4 		he also has some bubbles to play with in the bathtub .
_t4 		what does his towel have ? 
_t4 		stars , red stars .
_t4 		he's enjoying his bath . 
_t4 		Spot dog . 
_t4 		he seems to be a bear ? 
_t4 		d'you [: do you] mean he's pretending to be a bear ? 
_t4 		Spot the dog is pretending to be a bear in his bathtub ? 
_t4 		xxx .
_t4 		because there's a puppy in the duckling ?
_t4 		oh popping .
_t4 		is he popping bubbles ? 
_t4 		oh and here's his soft cozy towel .
_t4 		he's getting wrapped up .
_t4 		what ?
_t4 		oh he has one drip .
_t4 		that's actually one drop of water . 
_t4 		one drop of water is dripping off him . 
_t4 		you think there's more drops on him ?
_t4 		there might be some drops under the towel .
_t4 		he might be drying off the drops of water with the towel . 
_t4 		just like Daddy does and Mommy does . 
_t4 		when it's time to take you out of the bath we dry off the drops of water with the towel . 
_t4 		xxx .
_t4 		you look like Spot ? 
_t4 		that's one drop of water .
_t4 		it's dripping . 
_t4 		it's dripping off of Spot .
_t4 		he's getting dry .
_t4 		Spot chooses a favorite book .
_t4 		he's picking it . 
_t4 		choose means the same thing as pick .
_t4 		Spot chooses a favorite book means he picks out a favorite book . 
_t4 		he's choosing .
_t4 		choosing .
_t4 		he's choo:sing the book .
_t4 		choosing rhymes with oozing . 
_t4 		what happened over there ? 
_t4 		oh .
_t4 		yer [: you're] making the cafeteria bigger ? 
_t4 		mmmm .
_t4 		d'you [: do you] wanna finish the book ? 
_t4 		we didn't actually finish reading it .
_t4 		Spot chooses a favorite book . 
_t4 		for a bed+time (.) story .
_t4 		that's his daddy . 
_t4 		I think you're right .
_t4 		on this page Mommy and Daddy (.) are reading the book to Spot . 
_t4 		good night Spot .
_t4 		Spot cool down .
_t4 		that was your joke a while ago . 
_t4 		
_t4 		Spot cool down . 
_t4 		Spot grot ? 
_t4 		Spot hot .
_t4 		Spot what ?
_t4 		Spot pot .
_t4 		that's a good one . 
_t4 		Spot what .
_t4 		Spot tot . 
_t4 		Spot quat ?
_t4 		Spot not . 
_t4 		that doesn't even rhyme .
_t4 		Spot +...
_t4 		Spot bon mott .
_t4 		you're putting what on the cafeteria ? 
_t4 		a curve ?
_t4 		oh that's a nice curved block you're putting on the cafeteria . 
_t4 		oh , great . 
_t4 		a curve . 
_t4 		xxx let's see . 
_t4 		I'm adjusting the camera .
_t4 		xxx . 
_t4 		here's some curved train tracks .
_t4 		that's a curved track , isn't it ? 
_t4 		just like this is a curved block . 
_t4 		that's a curved piece of track . 
_t4 		oh you need some blocks to go there ? 
_t4 		mmmm (o)kay . 
_t4 		are there any in here you'd like to use ?
_t4 		a sun ? 
_t4 		which this one ?
_t4 		this one ? 
_t4 		
_t4 		where should we put it ?
_t4 		okay .
_t4 		you can put it put it where you think it should go . 
_t4 		that's the folded up toy basket . 
_t4 		mmmm (o)kay .
_t4 		well some of the walls of the cafeteria fell down .
_t4 		sh' [: should] we put it back together ? 
_t4 		okay .
_t4 		where w'jou [: would you] like to put it ? 
_t4 		you wanna take it out of the plastic ? 
_t4 		if you bring it over here I'll do that for you . 
_t4 		I don't think anything else is over there . 
_t4 		I'm getting you the basket . 
_t4 		see ? 
_t4 		it's first it's flat .
_t4 		and then +... 
_t4 		xxx .
_t4 		it's not flat any more .
_t4 		y'anna [: you want to] practice folding it ? 
_t4 		y'wanna [: you want to] put the bear back in that ? 
_t4 		xxx . 
_t4 		fold and hold , it's called a fold and hold .
_t4 		fold and hold .
_t4 		I'm gonna put the sentences  puzzle pieces back , since we're not playing with that any more . 
_t4 		we can make (.) make room by putting them away . 
_t4 		are ya [: you] gonna help ? 
_t4 		thanks .
_t4 		that's great . 
_t4 		mmmm  can take that one . 
_t4 		hey I noticed the  caterpillar's here in the cafeteria . 
_t4 		does he want the tomato or does he just want tea ? 
_t4 		okay , maybe I'll get the teacup for the caterpillar then . 
_t4 		there , now'e [: now he] has some tea . 
_t4 		oh , did you find more pieces ?
_t4 		xxx . 
_t4 		okay , we're almost finished putting these away . 
_t4 		that's great . 
_t4 		now we have more room for things . 
_t4 		it looks like you're putting books in there . 
_t4 		are you putting them in there because you wanna take them somewhere ? 
_t4 		mmmm that one is called ten apples up on top . 
_t4 		xxx .
_t4 		okay .
_t4 		xxx wanna read that book ? 
_t4 		you wanna sit over here (.) on my lap ? 
_t4 		to read it . 
_t4 		xxx .
_t4 		mmmm .
_t4 		let's see here .
_t4 		yes that's the old Spot book , isn't it ? 
_t4 		I think the new Spot book is +... 
_t4 		xxx .
_t4 		in the back seat of the car , isn't it ? 
_t4 		here's the old one though .
_t4 		where's Spot ? 
_t4 		that's Spot .
_t4 		he hasn't eaten his supper .
_t4 		that's +...
_t4 		yeah that's his mommy Sally .
_t4 		xxx .
_t4 		xxx .
_t4 		I think she's gonna find him .
_t4 		I know she's gonna look for him .
_t4 		he hasn't eaten his supper . 
_t4 		where can he be ?
_t4 		where'd [: where did] he go ? 
_t4 		is he behind the door ?
_t4 		xxx .
_t4 		no , that's a bear who says nope [: no] . 
_t4 		that bear looks like he's eating honey .
_t4 		xxx .
_t4 		he's not there . 
_t4 		is he inside the clock ?
_t4 		xxx .
_t4 		no: . 
_t4 		that's the boa constrictor .
_t4 		is he in: the piano: ?
_t4 		nope [: no] nope [: no] . 
_t4 		that's the hippo and the birdie .
_t4 		is he under the stairs ?
_t4 		is he under the stairs ?
_t4 		no: says the lion .
_t4 		xxx .
_t4 		I don't know .
_t4 		where'd [: where did] he go ?
_t4 		is he in the closet ?
_t4 		there's a monkey in the closet !
_t4 		the monkey is eating bananas .
_t4 		he left a banana peel on the floor of the closet .
_t4 		is he under the bed ?
_t4 		do you think he's under the bed Naima ?
_t4 		d'you [: do you] think he's here ?
_t4 		xxx .
_t4 		no it's a +...
_t4 		it's an alligator . 
_t4 		the alligator says no: .
_t4 		is he in the box ?
_t4 		xxx .
_t4 		nope [: no] nope [: no] nope [: no] . 
_t4 		I don't know , where do you think he went Naima ?
_t4 		there's Spot , he's under the rug ! 
_t4 		but no , that's the turtle . 
_t4 		xxx . 
_t4 		try the basket .
_t4 		he's in the basket !
_t4 		good boy , Spot ! 
_t4 		there are the crumbs next to Sally's bowl .
_t4 		d'you [: do you] think Spot's [: Spot is] eating dog food ? 
_t4 		mmmm , d'you [: do you] think he likes it ?
_t4 		d'you [: do you] think he wants his mommy to get more food for him ? 
_t4 		who's gonna wash her bowl off ?
_t4 		Spot's [: Spot is] gonna wash Sally's bowl ?
_t4 		waddayou [: what do you] think ? 
_t4 		she's finished already . 
_t4 		you think that Spot is gonna wash it off for her ?
_t4 		or she's gonna wash it off ?
_t4 		mmmm+hmmm , I bet Sally's gonna wash out her own bowl .
_t4 		she's the mommy . 
_t4 		what about the skirt that that doll's wearing . 
_t4 		oh does she wanna wear it instead ? 
_t4 		does she wanna borrow it ?
_t4 		oh (.) those other people in the cafeteria .
_t4 		mmmm . 
_t4 		what're [: what are] they eating ? 
_t4 		are they eating lunch ? 
_t4 		hmmm . 
_t4 		who is this ? 
_t4 		who gave her that name , Bibi ? 
_t4 		who gave the doll that name , Bibi ? 
_t4 		oh Bibby and Bobby are sitting next to each+other ? 
_t4 		hmmm . 
_t4 		yeah , grandma gave you these dolls .
_t4 		these were a present from grandma . 
_t4 		they were all in the box from grandma at Christmas time .
_t4 		grandma's gonna come visit this Friday . 
_t4 		d'you [: do you] know why ? 
_t4 		d'you [: do you] know why grandma's gonna come visit ? 
_t4 		xxx why d'you [: do you] think ?
_t4 		d'you [: do you] know why ?
_t4 		xxx  .
_t4 		what are you doing ? 
_t4 		I was asking a question . 
_t4 		d'you [: do you] know why grandma's coming to visit you this Friday ?
_t4 		yes , you knew !
_t4 		and she'll come to music together with us too . 
_t4 		that'll [: that will] be fun . 
_t4 		you wanna take the baby book to music class ? 
_t4 		well usually we don't bring things like this to music class because (.) there's so much to do at music class , there's hardly any time to do anything else . 
_t4 		we could read it now .
_t4 		y'ant [: you want] me to read this one ? 
_t4 		up on your toes , in for a kiss .
_t4 		xxx . 
_t4 		up on your toes and I hug you (.) like this . 
_t4 		up on your toes , in for a +... 
_t4 		a hug !
_t4 		up on your toes , you're my +...
_t4 		sweet little bug . 
_t4 		didja [: did you] knock your head on that ? 
_t4 		you're going in your house .
_t4 		okay . 
_t4 		xxx . 
_t4 		you going out ? 
_t4 		I see that , yeah .
_t4 		xxx .
_t4 		there's something that I want to measure . 
_t4 		xxx your trains going over the bridge . 
_t4 		xxx . 
_t4 		I want to measure your (.) toy shelf . 
_t4 		you wanna measure your toys ? 
_t4 		you could measure some toys and I could measure the toy shelf . 
_t4 		you wanna measure a book ? 
_t4 		let's see , where is there a tape+measure ? 
_t4 		d'you [: do you] know , have you seen a tape+measure ?
_t4 		measuring+tape ? 
_t4 		have you seen the measuring+tape ? 
_t4 		can you be careful cause [: because] the camera's right there ? 
_t4 		let's look for the measuring+tape and then we can measure things . 
_t4 		xxx .
_t4 		no you wanna measure blocks or you wanna play with the blocks . 
_t4 		but we do need to find a measuring tape don't we , to measure them ? 
_t4 		oh , you wanna pretend to measure things . 
_t4 		xxx . 
_t4 		let's see , I know I saw some measuring+tape very recently . 
_t4 		measuring+tape . 
_t4 		here's some measuring tape . 
_t4 		xxx . 
_t4 		oh that radio's stuck there huh ? 
_t4 		here you go . 
_t4 		there . 
_t4 		I'm going to go look for something that I need .
_t4 		I'm looking for (.) the (..) children's furniture catalog .
_t4 		that used to be in the kitchen .
_t4 		and I don't know (.) if it's +//.
_t4 		I'm gonna look and see if it's still here .
_t4 		it might still be here . 
_t4 		here's that thing .
_t4 		what is Naima doing ? 
_t4 		I don't see it .
_t4 		you're taking +//.
_t4 		oh you took it off !
_t4 		hold on , hold on !
_t4 		oh+my+goodness .
_t4 		will you help me find that catalog ? 
_t4 		let's go look for it in the bedroom . 
_t4 		hey , hey , hey !
_t4 		oh dear .
_t4 		let's lift your foot up for a second .
_t4 		there , okay .
_t4 		yer [: you are] playing in your play suit ? 
_t4 		d'ya [: do you] wanna get a snack soon ? 
_t4 		are you hungry at all ? 
_t4 		dijou [: did you] eat lunch with Daddy ? 
_t4 		what did you eat for lunch Naima , d'you [: do you] remember ?
_t4 		dijou [: did you] really eat garlic hummus for lunch ?
_t4 		hey that's great ! 
_t4 		dijou [: did you] have it with a spoon or dijou [: did you] have it with crackers ? 
_t4 		oh boy .
_t4 		that sounds terrific . 
_t4 		I'm still looking for that catalog that I mentioned .
_t4 		cause [: because] there's something I need to measure . 
_t4 		I hope I didn't throw it out by accident . 
_t4 		well I need to measure your +... 
_t4 		fooey said Mommy . 
_t4 		fooey . 
_t4 		you're kissing my back ?
_t4 		oh !
_t4 		those are big kisses on my back . 
